,goal_x
0,0.6
1,0.6
2,0.6
3,0.6
4,0.6
5,0.6
6,0.6
7,0.6
8,0.6
9,0.6
10,0.6
11,0.6
12,0.6
13,0.6
14,0.6
15,0.6
16,0.6
17,0.6
18,0.6
19,0.6
20,0.6
21,0.6
22,0.3
23,0.3
24,0.3
25,0.3
26,0.3
27,0.3
28,0.3
29,0.3
30,0.3
31,0.3
32,0.3
33,0.3
34,0.3
35,0.3
36,0.3
37,0.3
38,0.3
39,0.3
40,0.3
41,0.3
42,0.3
43,0.3
44,0.3
45,0.3
46,0.3
47,0.3
48,0.3
49,0.3
50,0.3
51,0.3
52,0.3
53,0.3
54,0.3
55,0.3
56,0.3
57,0.3
58,0.3
59,0.3
60,0.3
61,0.3
62,0.3
63,0.3
64,0.3
65,0.3
66,0.3
67,0.3
68,0.3
69,0.3
70,0.3
71,0.3
72,0.3
73,0.3
74,0.3
75,0.3
76,0.3
77,0.3
78,0.3
79,0.3
80,0.3
81,-1.2
82,-1.2
83,-1.2
84,-1.2
85,-1.2
86,-1.2
87,-1.2
88,-1.2
89,-1.2
90,-1.2
91,-1.2
92,-1.2
93,-1.2
94,-1.2
95,-1.2
96,-1.2
97,-1.2
98,-1.2
99,-1.2
100,-1.2
101,-1.2
102,-1.2
103,-1.2
104,-1.2
105,-1.2
106,-1.2
107,-1.2
108,-1.2
109,-1.2
110,-1.2
111,-1.2
112,-1.2
113,-1.2
114,-1.2
115,-1.2
116,-1.2
117,-1.2
118,-1.2
119,-1.2
120,-1.2
121,-1.2
122,-1.2
123,-1.2
124,-1.2
125,-1.2
126,-1.2
127,-1.2
128,-1.2
129,-1.2
130,-1.2
131,-1.2
132,-1.2
133,-1.2
134,-1.2
135,-1.2
136,-1.2
137,-1.2
138,-1.2
139,-1.2
140,-1.2
141,-1.2
142,-1.2
143,-1.2
144,-1.2
145,-1.2
146,-1.2
147,-1.2
148,-1.2
149,-1.2
150,-1.2
151,-1.2
152,-1.2
153,-1.2
154,-1.2
155,-1.2
156,-1.2
157,-1.2
158,-1.2
159,-1.2
160,-1.2
161,-1.2
162,1.2
163,1.2
164,1.2
165,1.2
166,1.2
167,1.2
168,1.2
169,1.2
170,1.2
171,1.2
172,1.2
173,1.2
174,1.2
175,1.2
176,1.2
177,1.2
178,1.2
179,1.2
180,1.2
181,1.2
182,1.2
183,1.2
184,1.2
185,1.2
186,1.2
187,1.2
188,1.2
189,1.2
190,1.2
191,1.2
192,1.2
193,1.2
194,1.2
195,1.2
196,1.2
197,1.2
198,1.2
199,1.2
200,1.2
201,1.2
202,1.2
203,1.2
204,1.2
205,1.2
206,1.2
207,1.2
208,1.2
209,1.2
210,1.2
211,1.2
212,1.2
213,1.2
214,1.2
215,1.2
216,1.2
217,1.2
218,1.2
219,1.2
220,1.2
221,1.2
222,1.2
223,1.2
224,1.2
225,1.2
226,1.2
227,1.2
228,1.2
229,1.2
230,1.2
231,1.2
232,1.2
233,1.2
234,1.2
235,1.2
236,1.2
237,1.2
238,1.2
239,1.2
240,1.2
241,1.2
242,1.2
243,1.2
244,1.2
245,1.2
246,-0.6
247,-0.6
248,-0.6
249,-0.6
250,-0.6
251,-0.6
252,-0.6
253,-0.6
254,-0.6
255,-0.6
256,-0.6
257,-0.6
258,-0.6
259,-0.6
260,-0.6
261,-0.6
262,-0.6
263,-0.6
264,-0.6
265,-0.6
266,-0.6
267,-0.6
268,-0.6
269,-0.6
270,-0.6
271,-0.6
272,-0.6
273,-0.6
274,-0.6
275,-0.6
276,-0.6
277,-0.6
278,-0.6
279,-0.6
280,-0.6
281,-0.6
282,-0.6
283,-0.6
284,-0.6
285,-0.6
286,-0.6
287,-0.6
288,-0.6
289,-0.6
290,-0.6
291,-0.6
292,-0.6
293,-0.6
294,-0.6
295,-0.6
296,-0.6
297,-0.6
298,-0.6
299,-0.6
300,-0.6
301,-0.6
302,-0.6
303,-0.6
304,-0.6
305,-0.6
306,-0.6
307,-0.6
308,-0.6
309,-0.6
310,-0.6
311,-0.6
312,-0.6
313,-0.6
314,-0.6
315,-0.6
316,-0.6
317,-0.6
318,-0.6
319,-0.6
320,-0.6
321,-0.6
322,-0.6
323,-0.6
324,-0.6
325,-1.2
326,-1.2
327,-1.2
328,-1.2
329,-1.2
330,-1.2
331,-1.2
332,-1.2
333,-1.2
334,-1.2
335,-1.2
336,-1.2
337,-1.2
338,-1.2
339,-1.2
340,-1.2
341,-1.2
342,-1.2
343,-1.2
344,-1.2
345,-1.2
346,-1.2
347,-1.2
348,-1.2
349,-1.2
350,-1.2
351,-1.2
352,-1.2
353,-1.2
354,-1.2
355,-1.2
356,-1.2
357,-1.2
358,-1.2
359,-1.2
360,-1.2
361,-1.2
362,-1.2
363,-1.2
364,-1.2
365,-1.2
366,-1.2
367,-1.2
368,-1.2
369,-1.2
370,-1.2
371,-1.2
372,-1.2
373,-1.2
374,-1.2
375,-1.2
376,-1.2
377,-1.2
378,-1.2
379,-1.2
380,-1.2
381,-1.2
382,-1.2
383,-1.2
384,-1.2
385,-1.2
386,-1.2
387,-1.2
388,-1.2
389,-1.2
390,-1.2
391,-1.2
392,-1.2
393,-1.2
394,-1.2
395,-1.2
396,-1.2
397,-1.2
398,-1.2
399,-1.2
400,-1.2
401,-1.2
402,-1.2
403,-1.2
404,-1.2
405,-1.2
406,-1.2
407,-1.2
408,-1.2
409,-1.2
410,-1.2
411,-1.2
412,-1.2
413,-1.2
414,-1.2
415,-1.2
416,-1.2
417,-1.2
418,-1.2
419,-1.2
420,-1.2
421,-1.2
422,-1.2
423,-1.2
424,-1.2
425,-1.2
426,-1.2
427,-1.2
428,-1.2
429,-1.2
430,-1.2
431,-1.2
432,-1.2
433,-1.2
434,-1.2
435,-1.2
436,-1.2
437,-1.2
438,-1.2
439,-1.2
440,-1.2
441,-1.2
442,-1.2
443,-1.2
444,-1.2
445,-1.2
446,-1.2
447,-1.2
448,-1.2
449,-1.2
450,-1.2
451,-1.2
452,-1.2
453,-1.2
454,-1.2
455,-1.2
456,-1.2
457,-1.2
458,-1.2
459,-1.2
460,-1.2
461,-1.2
462,-1.2
463,-1.2
464,-1.2
465,-1.2
466,-1.2
467,-1.2
468,-1.2
469,-1.2
470,-1.2
471,-1.2
472,-1.2
473,-1.2
474,-1.2
475,-1.2
476,-1.2
477,-1.2
478,-1.2
479,-1.2
480,-1.2
481,-1.2
482,-1.2
483,-1.2
484,-1.2
485,-1.2
486,-1.2
487,-1.2
488,-1.2
489,-1.2
490,-1.2
491,-1.2
492,0.5
493,0.5
494,0.5
495,0.5
496,0.5
497,0.5
498,0.5
499,0.5
500,0.5
501,0.5
502,0.5
503,0.5
504,0.5
505,0.5
506,0.5
507,0.5
508,0.5
509,0.5
510,0.5
511,0.5
512,0.5
513,0.5
514,0.5
515,0.5
516,0.5
517,0.5
518,0.5
519,0.5
520,0.5
521,0.5
522,0.5
523,0.5
524,0.5
525,0.5
526,0.5
527,0.5
528,0.5
529,0.5
530,0.5
531,0.5
532,0.5
533,0.5
534,0.5
535,0.5
536,0.5
537,0.5
538,0.5
539,0.5
540,0.5
541,0.5
542,0.5
543,0.5
544,0.5
545,0.5
546,0.5
547,0.5
548,0.5
549,0.5
550,0.5
551,0.5
552,0.5
553,0.5
554,0.5
555,0.5
556,0.5
557,0.5
558,0.5
559,0.5
560,0.5
561,0.5
562,0.5
563,0.5
564,0.5
565,0.5
566,0.5
567,0.5
568,0.5
569,0.5
570,0.5
571,0.5
572,0.5
573,0.5
574,0.5
575,0.5
576,0.5
577,0.5
578,0.5
579,0.5
580,0.5
581,0.5
582,0.5
583,0.5
584,0.5
585,0.5
586,0.5
587,0.5
588,0.5
589,0.5
590,0.5
591,0.5
592,0.5
593,0.5
594,0.5
595,0.5
596,0.5
597,0.5
598,0.5
599,0.5
600,0.5
601,0.5
602,0.5
603,0.5
604,0.5
605,0.5
606,0.5
607,0.5
608,0.5
609,0.5
610,0.5
611,0.5
612,0.5
613,0.5
614,0.5
615,0.5
616,0.5
617,0.5
618,0.5
619,0.5
620,0.5
621,0.5
622,0.5
623,0.5
624,0.5
625,0.5
626,0.5
627,0.5
628,0.5
629,0.5
630,0.5
631,0.5
632,0.5
633,0.5
634,0.5
635,0.5
636,0.5
637,0.5
638,0.5
639,0.5
640,0.5
641,0.5
642,0.5
643,0.5
644,0.5
645,0.5
646,0.5
647,0.5
648,0.5
649,0.5
650,0.5
651,0.5
652,0.5
653,0.5
654,0.5
655,0.5
656,0.5
657,0.5
658,0.5
659,0.5
660,0.5
661,0.5
662,0.5
663,0.5
664,0.5
665,0.5
666,0.5
667,0.5
668,0.5
669,0.5
670,0.5
671,0.5
672,0.5
673,0.5
674,0.5
675,0.5
676,0.5
677,0.5
678,0.5
679,0.5
680,0.5
681,0.5
682,0.5
683,0.5
684,0.5
685,0.5
686,0.5
687,0.5
688,0.5
689,0.5
690,0.5
691,0.5
692,0.5
693,0.5
694,0.5
695,0.5
696,0.5
697,0.5
698,0.5
699,0.5
700,0.5
701,0.5
702,0.5
703,0.5
704,0.5
705,0.5
706,0.5
707,0.5
708,0.5
709,0.5
710,0.5
711,0.5
712,0.5
713,0.5
714,0.5
715,0.5
716,0.5
717,0.5
718,0.5
719,0.5
720,0.5
721,0.5
722,0.5
723,0.5
724,0.5
725,0.5
726,0.5
727,0.5
728,0.5
729,0.5
730,0.5
731,0.5
732,0.5
733,0.5
734,0.5
735,0.5
736,0.5
737,0.5
738,0.5
739,0.5
740,0.5
741,0.5
742,0.5
743,0.5
744,0.5
745,0.5
746,0.5
747,0.5
748,0.5
749,0.5
750,0.5
751,0.5
752,0.5
753,0.5
754,0.5
755,0.5
756,0.5
757,0.5
758,0.5
759,0.5
760,0.5
761,0.5
762,0.5
763,0.5
764,0.5
765,0.5
766,0.5
767,0.5
768,0.5
769,0.5
770,0.5
771,0.5
772,0.5
773,0.5
774,0.5
775,0.5
776,0.5
777,0.5
778,0.5
779,0.5
780,0.5
781,0.5
782,0.5
783,0.5
784,0.5
785,0.5
786,0.5
787,0.5
788,0.5
789,0.5
790,0.5
791,0.5
792,-0.9
793,-0.9
794,-0.9
795,-0.9
796,-0.9
797,-0.9
798,-0.9
799,-0.9
800,-0.9
801,-0.9
802,-0.9
803,-0.9
804,-0.9
805,-0.9
806,-0.9
807,-0.9
808,-0.9
809,-0.9
810,-0.9
811,-0.9
812,-0.9
813,-0.9
814,-0.9
815,-0.9
816,-0.9
817,-0.9
818,-0.9
819,-0.9
820,-0.9
821,-0.9
822,-0.9
823,-0.9
824,-0.9
825,-0.9
826,-0.9
827,-0.9
828,-0.9
829,-0.9
830,-0.9
831,-0.9
832,-0.9
833,-0.9
834,-0.9
835,-0.9
836,-0.9
837,-0.9
838,-0.9
839,-0.9
840,-0.9
841,-0.9
842,-0.9
843,-0.9
844,-0.9
845,-0.9
846,-0.9
847,-0.9
848,-0.9
849,-0.9
850,-0.9
851,-0.9
852,-0.9
853,-0.9
854,-0.9
855,-0.9
856,-0.9
857,-0.9
858,-0.9
859,-0.9
860,-0.9
861,-0.9
862,-0.9
863,-0.9
864,-0.9
865,-0.9
866,-0.9
867,-0.9
868,-0.9
869,-0.9
870,-0.9
871,-0.9
872,-0.9
873,-0.9
874,-0.9
875,-0.9
876,-0.9
877,-0.9
878,-0.9
879,-0.9
880,-0.9
881,-0.9
882,-0.9
883,-0.9
884,-0.9
885,-0.9
886,-0.9
887,-0.9
888,-0.9
889,-0.9
890,-0.9
891,-0.9
892,-0.9
893,-0.9
894,-0.9
895,-0.9
896,-0.9
897,-0.9
898,-0.9
899,-0.9
900,-0.9
901,-0.9
902,-0.9
903,-0.9
904,-0.9
905,-0.9
906,-0.9
907,-0.9
908,-0.9
909,-0.9
910,-0.9
911,-0.9
912,-0.9
913,-0.9
914,-0.9
915,-0.9
916,-0.9
917,-0.9
918,-0.9
919,-0.9
920,-0.9
921,-0.9
922,-0.9
923,-0.9
924,-0.9
925,-0.9
926,-0.9
927,-0.9
928,-0.9
929,-0.9
930,-0.9
931,-0.9
932,-0.9
933,-0.9
934,-0.9
935,-0.9
936,-0.9
937,-0.9
938,-0.9
939,-0.9
940,-0.9
941,-0.9
942,-0.9
943,-0.9
944,-0.9
945,-0.9
946,-0.9
947,-0.9
948,-0.9
949,-0.9
950,-0.9
951,-0.9
952,-0.9
953,-0.9
954,-0.9
955,-0.9
956,-0.9
957,-0.9
958,-0.9
959,-0.9
960,-0.9
961,-0.9
962,-0.9
963,-0.9
964,-0.9
965,-0.9
966,-0.9
967,-0.9
968,-0.9
969,-0.9
970,-0.9
971,-0.9
972,-0.9
973,-0.9
974,-0.9
975,-0.9
976,-0.9
977,-0.9
978,-0.9
979,-0.9
980,-0.9
981,-0.9
982,-0.9
983,-0.9
984,-0.9
985,-0.9
986,-0.9
987,-0.9
988,-0.9
989,-0.9
990,-0.9
991,-0.9
992,-0.9
993,-0.9
994,-0.9
995,-0.9
996,-0.9
997,-0.9
998,-0.9
999,-0.9
1000,-0.9
1001,-0.9
1002,-0.9
1003,-0.9
1004,-0.9
1005,-0.9
1006,-0.9
1007,-0.9
1008,-0.9
1009,-0.9
1010,-0.9
1011,-0.9
1012,-0.9
1013,-0.9
1014,-0.9
1015,-0.9
1016,-0.9
1017,-0.9
1018,-0.9
1019,-0.9
1020,-0.9
1021,-0.9
1022,-0.9
1023,-0.9
1024,-0.9
1025,-0.9
1026,-0.9
1027,-0.9
1028,-0.9
1029,-0.9
1030,-0.9
1031,-0.9
1032,-0.9
1033,-0.9
1034,-0.9
1035,-0.9
1036,-0.9
1037,-0.9
1038,-0.9
1039,-0.9
1040,-0.9
1041,-0.9
1042,-0.9
1043,-0.9
1044,-0.9
1045,-0.9
1046,-0.9
1047,-0.9
1048,-0.9
1049,-0.9
1050,-0.9
1051,-0.9
1052,-0.9
1053,-0.9
1054,-0.9
1055,-0.9
1056,-0.9
1057,-0.9
1058,-0.9
1059,-0.9
1060,-0.9
1061,-0.9
1062,-0.9
1063,-0.9
1064,-0.9
1065,-0.9
1066,-0.9
1067,-0.9
1068,-0.9
1069,-0.9
1070,-0.9
1071,-0.9
1072,-0.9
1073,-0.9
1074,-0.9
1075,-0.9
1076,-0.9
1077,-0.9
1078,-0.9
1079,-0.9
1080,-0.9
1081,-0.9
1082,-0.9
1083,-0.9
1084,-0.9
1085,-0.9
1086,-0.9
1087,-0.9
1088,-0.9
1089,-0.9
1090,-0.9
1091,-0.9
1092,-0.1
1093,-0.1
1094,-0.1
1095,-0.1
1096,-0.1
1097,-0.1
1098,-0.1
1099,-0.1
1100,-0.1
1101,-0.1
