,robot_y
0,8.331162493560534e-07
1,-3.457269653776255e-05
2,-0.00016496186225640374
3,-0.0001472712328887136
4,-0.0001319335007191915
5,-0.00023387858464686583
6,-0.00016938962424854263
7,-2.893977774273456e-05
8,3.61250698253053e-05
9,6.1982636699536115e-06
10,0.00034152994625218975
11,0.0009115265919351649
12,0.0010012698168725108
13,7.112617103798653e-05
14,-0.0008042434201367745
15,-0.0021265088908492625
16,-0.00391795736791567
17,-0.006144767040361824
18,-0.008335062507285032
19,-0.010358038085660649
20,-0.01171209339920496
21,-0.013346568363790015
22,-0.015233033432418715
23,-0.01722365333761235
24,-0.01873567521860133
25,-0.020445667510765424
26,-0.022222807165263717
27,-0.025051560918987824
28,-0.028419589483065912
29,-0.03208406425319194
30,-0.03677613499276941
31,-0.040856668865920924
32,-0.04433539226371374
33,-0.04869694260327131
34,-0.05285434349886326
35,-0.05716953094154026
36,-0.06221358978249915
37,-0.06573555737956929
38,-0.06989975148955445
39,-0.07429771830619025
40,-0.07948492529359444
41,-0.08410659554871745
42,-0.0887626607290141
43,-0.09384805852850045
44,-0.09918921741702323
45,-0.10335514269053898
46,-0.10867456675538356
47,-0.115113397279868
48,-0.11996538033030363
49,-0.1256231296745147
50,-0.13082822881298137
51,-0.13727330490755993
52,-0.14234473969890138
53,-0.14913741916887122
54,-0.15386963400354275
55,-0.15867011895449928
56,-0.1649500980745193
57,-0.1699080410985758
58,-0.1752177601981698
59,-0.18043116418218907
60,-0.18548298393602886
61,-0.19123312792514782
62,-0.1968840504739407
63,-0.2028780572490797
64,-0.2088033526450127
65,-0.21474712717451938
66,-0.2205580932756902
67,-0.2261155785964339
68,-0.23143074016731446
69,-0.2369050332561872
70,-0.24158067586730594
71,-0.24789355990100922
72,-0.2517264947234509
73,-0.25865686627652207
74,-0.264845754946531
75,-0.2711251321997199
76,-0.2781397460629309
77,-0.2838025892383847
78,-0.2893234584082816
79,-0.2946347512394852
80,-0.2991881579761905
81,7.84129405806482e-05
82,0.00031707827334375306
83,-0.0001277613017185232
84,-0.0007296143219375803
85,-0.002078156441090963
86,-0.0040172441384938315
87,-0.005586770277033094
88,-0.006419332792253193
89,-0.0074528332201629095
90,-0.008392464373397593
91,-0.008786928969843266
92,-0.009611391693670803
93,-0.010143470393541876
94,-0.01065416881798276
95,-0.011423585607044266
96,-0.01197816517366969
97,-0.01220595290108347
98,-0.012117150790105807
99,-0.012620877223348714
100,-0.012927099368737462
101,-0.013457033992586364
102,-0.013986734863601113
103,-0.014829697146260768
104,-0.015785197839454375
105,-0.0173308678363814
106,-0.019714692128185368
107,-0.02145421801073176
108,-0.02317483667829784
109,-0.025861773091580362
110,-0.027994869741916957
111,-0.03011100576666824
112,-0.031993923752301694
113,-0.03386370032170015
114,-0.03576298811397383
115,-0.03913385566784539
116,-0.04106305634496095
117,-0.04471989704423942
118,-0.04809370521980537
119,-0.05176267587472808
120,-0.05586664814152345
121,-0.060222772604792474
122,-0.06571274190923845
123,-0.06981739514207634
124,-0.07587470159407199
125,-0.08094147217113438
126,-0.08512938100108283
127,-0.09033304207449844
128,-0.09559202608680166
129,-0.1008494681663193
130,-0.10731251801557261
131,-0.11221674507487527
132,-0.11712974795563248
133,-0.12421906855939585
134,-0.1303511139582505
135,-0.13672647595699747
136,-0.1434765907537219
137,-0.1502654101152454
138,-0.1584044930872077
139,-0.16591067060352147
140,-0.1721876988623314
141,-0.17989513889992026
142,-0.18924257107408635
143,-0.1961562266640934
144,-0.20453026621472548
145,-0.21296028734182687
146,-0.22280697166849084
147,-0.2310767335525473
148,-0.23908631470411243
149,-0.24674918122700507
150,-0.25341560196808666
151,-0.2612638135322429
152,-0.27082403516352044
153,-0.27953519035357355
154,-0.2872511157328948
155,-0.2966430699260894
156,-0.3060033951253752
157,-0.3160423005010092
158,-0.32293606547528725
159,-0.33340285669742964
160,-0.34224577037952614
161,-0.3499919744567336
162,2.955096727621045e-06
163,4.6331895052520504e-05
164,-4.152913421932023e-05
165,-0.0003893865019087916
166,-0.0011586206742838692
167,-0.001914959519651461
168,-0.002756149679808074
169,-0.004825700593605321
170,-0.006775773336199169
171,-0.00891485817206863
172,-0.011460647826231359
173,-0.013829968617611344
174,-0.01669487061908956
175,-0.019406335707611595
176,-0.02211653611363787
177,-0.025615124460161075
178,-0.028333704949717587
179,-0.03240376706442422
180,-0.03572598633577476
181,-0.03820046245852867
182,-0.04146752523887674
183,-0.044947141364034736
184,-0.04908875534425525
185,-0.05460522783558183
186,-0.05862117535134218
187,-0.06315412268737419
188,-0.06874474306199767
189,-0.07318930594276261
190,-0.07908467027220167
191,-0.08572415741025925
192,-0.0924112378059671
193,-0.10023443891924663
194,-0.10614513395430225
195,-0.11198611040199043
196,-0.12069554977741563
197,-0.12792146371669355
198,-0.13380837654965622
199,-0.14115088708669848
200,-0.14890741099353308
201,-0.15670232136531623
202,-0.16404013057179706
203,-0.17091626522227818
204,-0.17759350842868468
205,-0.18436262967552633
206,-0.1920246830066932
207,-0.1973152904825027
208,-0.20384799371968176
209,-0.21089451720648936
210,-0.2181987299710807
211,-0.22573738624976178
212,-0.23505464513113614
213,-0.24220386966002808
214,-0.25100641378367144
215,-0.2606749255843313
216,-0.2691515938119709
217,-0.2769053344601265
218,-0.28673686989373176
219,-0.29629591987117354
220,-0.3073631109833851
221,-0.3169583737119763
222,-0.3251965922279846
223,-0.33637475546967643
224,-0.3430913433245387
225,-0.3545854804157707
226,-0.36474787855543594
227,-0.37583034000180227
228,-0.3872488676221479
229,-0.40075270576626415
230,-0.4102445353602886
231,-0.41969880355587286
232,-0.43320865658470675
233,-0.444419702739419
234,-0.45557487372512884
235,-0.46830920072208876
236,-0.47773857649450824
237,-0.4898885732646712
238,-0.5019001259876079
239,-0.5154760150271628
240,-0.5267508975111024
241,-0.5359990052815261
242,-0.5472097236879424
243,-0.5602633722424245
244,-0.5692546472181397
245,-0.5798568474517595
246,-2.1233614133963025e-06
247,-2.3027615482186882e-05
248,-0.0002735910906832969
249,-0.0008227753624971889
250,-0.0014151866305080396
251,-0.0020424483410572424
252,-0.002614867353371273
253,-0.0030223716409312163
254,-0.0034595265346477845
255,-0.0029225591060554382
256,-0.002336788308688451
257,-0.0023871275898186338
258,-0.002667727487607902
259,-0.002844546678988614
260,-0.0027218036616327903
261,-0.002301002441113395
262,-0.001653183795635803
263,-0.001030639857862925
264,-0.000438010468757571
265,0.0003048290079960144
266,0.0005893185789929707
267,0.0006790868377013115
268,0.000556018906119192
269,0.00041270491843437994
270,1.492676282252972e-05
271,0.0001484439526492912
272,0.0002987716609079742
273,0.00035741142530093355
274,0.0003693821485910306
275,0.0008102137343836501
276,0.0015631641607471735
277,0.001623437124371477
278,0.001214540295320896
