,reward
0,477.0
1,-641.0
2,-655.0
3,-662.0
4,-655.0
5,-658.0
6,-659.0
7,-659.0
8,-668.0
9,-661.0
10,-665.0
11,-657.0
12,-668.0
13,-658.0
14,-662.0
15,-667.0
16,-656.0
17,-662.0
18,-657.0
19,-657.0
20,-663.0
21,-656.0
22,-657.0
23,-661.0
24,427.0
25,-585.0
26,437.0
27,-594.0
28,-662.0
29,-660.0
30,-654.0
31,-653.0
32,-658.0
33,-663.0
34,-657.0
35,430.0
36,-588.0
37,-658.0
38,-659.0
39,-661.0
40,-663.0
41,-666.0
42,-665.0
43,-659.0
44,-660.0
45,-659.0
46,-657.0
47,-664.0
48,-653.0
49,-657.0
50,-657.0
51,-661.0
52,-656.0
53,-663.0
54,-658.0
55,-661.0
56,-654.0
57,-658.0
58,-656.0
59,-655.0
60,-657.0
61,-662.0
62,-657.0
63,-657.0
64,-657.0
65,-652.0
66,-657.0
67,-300.0
68,-660.0
69,-658.0
70,-661.0
71,-655.0
72,-656.0
73,439.0
74,-595.0
75,-653.0
76,-656.0
77,-300.0
78,-660.0
79,-662.0
80,-658.0
81,-655.0
82,-666.0
83,-657.0
84,-665.0
85,-659.0
86,429.0
87,-586.0
88,-659.0
89,-667.0
90,-659.0
91,-653.0
92,-662.0
93,-660.0
94,-658.0
95,-660.0
96,-672.0
97,-650.0
98,-666.0
99,-664.0
100,435.0
101,-611.0
102,422.0
103,-580.0
104,-654.0
105,-660.0
106,-658.0
107,-657.0
108,-650.0
109,-661.0
110,-660.0
111,444.0
112,-607.0
113,-662.0
114,473.0
115,-634.0
116,-664.0
117,-655.0
118,-662.0
119,-665.0
120,-660.0
121,-657.0
122,-660.0
123,429.0
124,-584.0
125,422.0
126,-586.0
127,-656.0
128,472.0
129,-642.0
130,-656.0
131,-656.0
132,438.0
133,-594.0
134,-671.0
135,-667.0
136,-656.0
137,-655.0
138,-657.0
139,-661.0
140,-659.0
141,-664.0
142,-656.0
143,-657.0
144,-658.0
145,-668.0
146,-658.0
147,-657.0
148,-666.0
149,-663.0
150,-665.0
151,-666.0
152,-655.0
153,-660.0
154,-658.0
155,-659.0
156,-655.0
157,-657.0
158,-656.0
159,-656.0
160,-659.0
161,-659.0
162,-654.0
163,-652.0
164,-658.0
165,-662.0
166,-660.0
167,-657.0
168,-662.0
169,-662.0
170,-654.0
171,-661.0
172,-664.0
173,-656.0
174,-666.0
175,-668.0
176,-657.0
177,-658.0
178,-662.0
179,-659.0
180,-663.0
181,-655.0
182,-660.0
183,-663.0
184,-659.0
185,-661.0
186,-658.0
187,-667.0
188,-654.0
189,-658.0
190,450.0
191,-619.0
192,-656.0
193,-659.0
194,-655.0
195,-663.0
196,-661.0
197,-663.0
198,-659.0
199,-658.0
200,-655.0
201,-654.0
202,-664.0
203,-663.0
204,-669.0
205,-660.0
206,-657.0
207,-661.0
208,-660.0
209,477.0
210,-638.0
211,-667.0
212,-661.0
213,429.0
214,-587.0
215,-654.0
216,-660.0
217,-659.0
218,-661.0
219,430.0
220,-596.0
221,-663.0
222,-663.0
223,-663.0
224,451.0
225,-611.0
226,-657.0
227,-662.0
228,438.0
229,-593.0
230,-661.0
231,-660.0
232,-664.0
233,-661.0
234,-664.0
235,-660.0
236,-663.0
237,-659.0
238,-653.0
239,-657.0
240,-657.0
241,-662.0
242,-656.0
243,-652.0
244,-659.0
245,-662.0
246,-663.0
247,-658.0
248,-663.0
249,-654.0
250,-662.0
251,-655.0
252,-658.0
253,483.0
254,-644.0
255,443.0
256,-615.0
257,-657.0
258,-662.0
259,-667.0
260,-671.0
261,-660.0
262,-656.0
263,-300.0
264,-655.0
265,-657.0
266,-662.0
267,-672.0
268,-661.0
269,-675.0
270,-665.0
271,-658.0
272,-649.0
273,-657.0
274,-673.0
275,-657.0
276,-654.0
277,-668.0
278,-653.0
279,-657.0
280,-653.0
281,-657.0
282,-663.0
283,-661.0
284,-671.0
285,-658.0
286,-657.0
287,-658.0
288,-674.0
289,-663.0
290,-657.0
291,-662.0
292,-671.0
293,-300.0
294,-661.0
295,-656.0
296,-664.0
297,470.0
298,-641.0
299,-654.0
300,-653.0
301,-664.0
302,-666.0
303,-660.0
304,437.0
305,-596.0
306,-661.0
307,-665.0
308,-657.0
309,-658.0
310,-661.0
311,-656.0
312,-661.0
313,441.0
314,-600.0
315,-666.0
316,-659.0
317,-657.0
318,-663.0
319,-662.0
320,428.0
321,-586.0
322,-656.0
323,-661.0
324,-661.0
325,-666.0
326,-667.0
327,-661.0
328,-658.0
329,-673.0
330,-661.0
331,-665.0
332,-662.0
333,-658.0
334,-656.0
335,-665.0
336,-657.0
337,-662.0
338,-662.0
339,-655.0
340,-661.0
341,-661.0
342,-658.0
343,-657.0
344,-664.0
345,-662.0
346,-657.0
347,-654.0
348,-657.0
349,-650.0
350,-653.0
351,-661.0
352,-666.0
353,-655.0
354,-658.0
355,-656.0
356,-657.0
357,-660.0
358,-661.0
359,-654.0
360,-656.0
361,-667.0
362,-661.0
363,-662.0
364,-664.0
365,-653.0
366,-661.0
367,-658.0
368,-656.0
369,-661.0
370,-656.0
371,434.0
372,-594.0
373,430.0
374,-589.0
375,-655.0
376,435.0
377,-589.0
378,-656.0
379,-658.0
380,-659.0
381,-300.0
382,-658.0
383,-659.0
384,-663.0
385,-656.0
386,-660.0
387,-663.0
388,-657.0
389,-655.0
390,-655.0
391,-657.0
392,-654.0
393,-661.0
394,-657.0
395,-662.0
396,-663.0
397,-654.0
398,-667.0
399,-659.0
400,-666.0
401,-668.0
402,-658.0
403,-665.0
404,-656.0
405,-653.0
406,-654.0
407,-661.0
408,-661.0
409,-662.0
410,-300.0
411,-656.0
412,-668.0
413,-655.0
414,-666.0
415,-666.0
416,-669.0
417,-655.0
418,-659.0
419,-655.0
420,-655.0
421,-654.0
422,-657.0
423,-661.0
424,-656.0
425,-654.0
426,-653.0
427,-668.0
428,-655.0
429,-659.0
430,-668.0
431,-656.0
432,-654.0
433,-652.0
434,-658.0
435,-652.0
436,444.0
437,-601.0
438,-660.0
439,-658.0
440,-661.0
441,-659.0
442,-660.0
443,-661.0
444,-658.0
445,-653.0
446,-656.0
447,-652.0
448,-665.0
449,-657.0
450,-657.0
451,-658.0
452,-660.0
453,-661.0
454,441.0
455,-593.0
456,-657.0
457,-664.0
458,-654.0
459,-662.0
460,-661.0
461,-660.0
462,-665.0
463,-657.0
464,-663.0
465,-655.0
466,422.0
467,-585.0
468,-663.0
469,-658.0
470,-661.0
471,-657.0
472,-658.0
473,-662.0
474,-662.0
475,-665.0
476,-663.0
477,-656.0
478,-653.0
479,-681.0
480,-653.0
481,-656.0
482,-659.0
483,-655.0
484,-660.0
485,-671.0
486,-658.0
487,484.0
488,-657.0
489,-661.0
490,-661.0
491,-671.0
492,420.0
493,-579.0
494,-658.0
495,-655.0
496,-655.0
497,-659.0
498,-656.0
499,-672.0
500,-659.0
501,-663.0
502,-657.0
503,-658.0
504,-659.0
505,-658.0
506,-659.0
507,-660.0
508,-655.0
509,-656.0
510,-661.0
511,-658.0
512,-657.0
513,-658.0
514,-655.0
515,-657.0
516,473.0
517,-634.0
518,-669.0
519,-657.0
520,-657.0
521,-658.0
522,-661.0
523,-657.0
524,-651.0
525,-663.0
526,-655.0
527,-663.0
528,-660.0
529,-671.0
530,-655.0
531,-661.0
532,-660.0
533,-660.0
534,-657.0
