,reward
0,582.0
1,-1278.0
2,-1040.0
3,-1446.0
4,-1320.0
5,-1236.0
6,-1422.0
7,-640.0000000000001
8,-1434.0
9,-1438.0
10,-1460.0
11,-1386.0
12,-1494.0
13,-778.0
14,-1446.0
15,-1486.0
16,-836.0
17,-1446.0
18,-1134.0
19,-1406.0
20,-1444.0
21,-1072.0
22,-1406.0
23,-1328.0
24,781.9999999999998
25,-830.0
26,753.9999999999999
27,-892.0
28,-1052.0
29,-1430.0
30,-1182.0
31,-1354.0
32,-1394.0
33,-1242.0
34,-1406.0
35,771.9999999999999
36,-694.0
37,-1414.0
38,-1206.0
39,-1288.0
40,-1404.0
41,-1368.0
42,-1010.0
43,-1272.0
44,-674.0000000000001
45,-1422.0
46,-1396.0
47,-878.0000000000001
48,-1088.0
49,-1406.0
50,-1386.0
51,-1032.0
52,-1398.0
53,-1064.0
54,-1414.0
55,-540.0000000000002
56,-1352.0
57,-1414.0
58,-956.0
59,-1390.0
60,-884.0
61,-1302.0
62,-1396.0
63,-1406.0
64,-1304.0
65,-1366.0
66,-782.0
67,-792.0
68,-1430.0
69,-1064.0
70,-1368.0
71,-592.0000000000001
72,-1398.0
73,751.9999999999999
74,-910.0
75,-1086.0
76,-1398.0
77,-2400.0
78,-1430.0
79,-1364.0
80,-1204.0
81,-1390.0
82,-758.0
83,-1406.0
84,-1470.0
85,-972.0
86,771.9999999999999
87,-838.0
88,-838.0
89,-1204.0
90,-1422.0
91,-958.0
92,-1170.0
93,-1430.0
94,-1414.0
95,-1290.0
96,-1222.0
97,-1350.0
98,-1264.0
99,-1452.0
100,751.9999999999999
101,-512.0000000000001
102,785.9999999999998
103,-790.0
104,-1372.0
105,-1400.0
106,-1414.0
107,-1250.0
108,-1350.0
109,-1428.0
110,-1420.0
111,717.9999999999999
112,-826.0
113,-1446.0
114,602.0
115,-1092.0
116,-1058.0
117,-1390.0
118,-1016.0
119,-1470.0
120,-1066.0
121,-1282.0
122,-1300.0
123,745.9999999999999
124,-822.0
125,783.9999999999998
126,-798.0
127,-1358.0
128,602.0
129,-790.0000000000002
130,-1388.0
131,-1160.0
