,reward
0,-310.0
1,-315.0
2,-313.0
3,-307.0
4,-300.0
5,-296.0
6,-300.0
7,-300.0
8,-238.0
9,-243.0
10,-241.0
11,-300.0
12,-287.0
13,-250.0
14,-237.0
15,987.0
16,-229.0
17,-241.0
18,-234.0
19,-234.0
20,-241.0
21,-236.0
22,-300.0
23,-300.0
24,-241.0
25,-231.0
26,-232.0
27,-238.0
28,981.0
29,-217.0
30,-300.0
31,-300.0
32,-300.0
33,-237.0
34,-300.0
35,-300.0
36,-234.0
37,-300.0
38,-231.0
39,-300.0
40,-241.0
41,-236.0
42,-300.0
43,-242.0
44,-237.0
45,-236.0
46,-237.0
47,-236.0
48,-300.0
49,-237.0
50,-242.0
51,-236.0
52,-300.0
53,-300.0
54,-240.0
55,-237.0
56,-239.0
57,-256.0
58,-238.0
59,-300.0
60,-242.0
61,-238.0
62,-253.0
63,-238.0
64,-248.0
65,-253.0
66,-300.0
67,-245.0
68,-244.0
69,-242.0
70,-359.0
71,-251.0
72,-242.0
73,991.0
74,-300.0
75,989.0
76,-226.0
77,-253.0
78,863.0
79,-217.0
80,877.0
81,-300.0
82,-239.0
83,-259.0
84,-300.0
85,-241.0
86,-235.0
87,-240.0
88,-232.0
89,-257.0
90,-246.0
91,-300.0
92,989.0
93,-225.0
94,-237.0
95,-300.0
96,-244.0
97,-239.0
98,-264.0
99,-250.0
100,-264.0
101,-250.0
102,982.0
103,-227.0
104,-264.0
105,-241.0
106,-258.0
107,983.0
108,-226.0
109,-241.0
110,-259.0
111,-241.0
112,-264.0
113,-240.0
114,-241.0
115,-257.0
116,-300.0
117,983.0
118,-225.0
119,-300.0
120,-243.0
121,-259.0
122,-243.0
123,-300.0
124,-243.0
125,-241.0
126,-243.0
127,-283.0
128,-262.0
129,-275.0
130,-283.0
131,-280.0
132,-268.0
133,-246.0
134,-281.0
135,-289.0
136,-244.0
137,-310.0
138,-300.0
139,-248.0
140,-284.0
141,-284.0
142,979.0
143,-266.0
144,-270.0
145,-295.0
146,-379.0
147,-285.0
148,-255.0
149,-240.0
150,-304.0
151,942.0
152,-287.0
153,-301.0
154,966.0
155,-330.0
156,727.0
157,-300.0
158,-300.0
159,-300.0
160,-300.0
161,-300.0
162,-300.0
163,-300.0
164,-300.0
165,-300.0
166,-300.0
167,963.0
168,-300.0
169,965.0
170,859.0
171,961.0
172,822.0
173,940.0
174,-300.0
175,895.0
176,757.0
177,917.0
178,851.0
179,-337.0
180,956.0
181,-388.0
182,-382.0
183,964.0
184,918.0
185,-300.0
186,-300.0
187,-300.0
188,-262.0
189,959.0
190,-300.0
191,932.0
192,-332.0
193,-259.0
194,971.0
195,-387.0
196,-275.0
197,849.0
198,-282.0
199,-300.0
200,955.0
201,-300.0
202,958.0
203,973.0
204,940.0
205,-303.0
206,956.0
207,-300.0
208,-257.0
209,-262.0
210,-249.0
211,932.0
212,939.0
213,935.0
214,945.0
215,-286.0
216,901.0
217,-288.0
218,-300.0
219,-486.0
220,-284.0
221,-275.0
222,-249.0
223,-265.0
224,824.0
225,-274.0
226,-262.0
227,-300.0
228,968.0
229,-284.0
230,958.0
231,-410.0
232,961.0
233,-300.0
234,908.0
235,-300.0
236,969.0
237,-300.0
238,970.0
239,-300.0
240,969.0
241,-287.0
242,889.0
243,898.0
244,-291.0
245,962.0
246,950.0
247,-328.0
248,-300.0
249,-441.0
250,-300.0
251,923.0
252,-306.0
253,-281.0
254,-486.0
255,958.0
256,-300.0
257,-300.0
258,-289.0
259,-292.0
260,-262.0
261,957.0
262,-288.0
263,990.0
264,-267.0
265,-249.0
266,911.0
267,951.0
268,963.0
269,-300.0
270,-274.0
271,-352.0
272,-379.0
273,-358.0
274,-259.0
275,-246.0
276,944.0
277,-339.0
278,750.0
279,-331.0
280,-293.0
281,-270.0
282,-300.0
283,-292.0
284,951.0
285,-249.0
286,953.0
287,-300.0
288,-300.0
289,900.0
290,920.0
291,-300.0
292,953.0
293,-266.0
294,-252.0
295,-359.0
296,-260.0
297,762.0
298,-270.0
299,-249.0
300,-360.0
301,897.0
302,864.0
303,-351.0
304,-335.0
305,-295.0
306,872.0
307,-292.0
308,923.0
309,786.0
310,-253.0
311,-279.0
312,-300.0
313,-254.0
314,-300.0
315,-244.0
316,928.0
317,-258.0
318,-246.0
319,-292.0
320,927.0
321,-245.0
322,-333.0
323,-278.0
324,-293.0
325,-274.0
326,-360.0
327,-271.0
328,-264.0
329,-301.0
330,-300.0
331,-289.0
332,-251.0
333,-285.0
334,-277.0
335,-245.0
336,972.0
337,-312.0
338,-332.0
339,-292.0
340,709.0
341,-260.0
342,-267.0
343,-254.0
344,959.0
345,-400.0
346,-300.0
347,919.0
348,-219.0
349,-248.0
350,-346.0
351,862.0
352,942.0
353,-250.0
354,-300.0
355,-290.0
356,937.0
357,-274.0
358,-350.0
359,-254.0
360,-244.0
361,966.0
362,-300.0
363,-305.0
364,963.0
365,-300.0
366,939.0
367,972.0
368,-300.0
369,-378.0
370,-246.0
371,-290.0
372,-241.0
373,970.0
374,-381.0
375,-244.0
376,962.0
377,-319.0
378,-303.0
379,-248.0
380,980.0
381,955.0
382,959.0
383,-300.0
384,-300.0
385,895.0
386,864.0
387,-308.0
388,929.0
389,-277.0
390,-257.0
391,910.0
392,965.0
393,-305.0
394,-252.0
395,-324.0
396,-300.0
397,-290.0
398,-300.0
399,715.0
400,-245.0
401,-300.0
402,937.0
403,-244.0
404,-261.0
405,-274.0
406,983.0
407,-299.0
408,-245.0
409,-300.0
410,983.0
411,-281.0
412,870.0
413,-300.0
414,945.0
415,-300.0
416,-300.0
417,975.0
418,934.0
419,893.0
420,-300.0
421,832.0
422,909.0
423,-292.0
424,-384.0
425,908.0
426,-300.0
427,-324.0
428,959.0
429,-301.0
430,902.0
431,944.0
432,804.0
433,-339.0
434,930.0
435,-256.0
436,-419.0
437,-243.0
438,880.0
439,912.0
440,921.0
441,-370.0
442,990.0
443,-233.0
444,960.0
445,-252.0
446,867.0
447,-270.0
448,-320.0
449,979.0
450,850.0
451,-300.0
452,945.0
453,787.0
454,-300.0
455,937.0
456,977.0
457,968.0
458,-299.0
459,-300.0
460,-300.0
461,-254.0
462,-266.0
463,-262.0
464,759.0
465,-243.0
466,-300.0
467,-287.0
468,704.0
469,911.0
470,951.0
471,805.0
472,-258.0
473,937.0
474,948.0
475,-300.0
476,-258.0
477,-255.0
478,-363.0
479,-263.0
480,974.0
481,-315.0
482,988.0
483,956.0
484,846.0
485,-266.0
486,852.0
487,960.0
488,-271.0
489,918.0
490,931.0
491,-266.0
492,974.0
493,-266.0
494,-252.0
495,919.0
496,-300.0
497,867.0
498,949.0
499,868.0
500,937.0
501,837.0
502,938.0
503,930.0
504,-292.0
505,935.0
506,943.0
507,-276.0
508,968.0
509,910.0
510,971.0
511,-330.0
512,-265.0
513,-260.0
514,-328.0
515,-291.0
516,937.0
517,969.0
518,-297.0
519,895.0
520,908.0
521,-312.0
522,-314.0
523,-300.0
524,-300.0
525,-252.0
526,938.0
527,-335.0
528,-287.0
529,-271.0
530,886.0
531,946.0
532,-300.0
533,-299.0
534,-411.0
535,-284.0
536,896.0
537,-300.0
538,-462.0
539,-266.0
540,930.0
541,-300.0
542,-300.0
543,-302.0
544,-300.0
545,-384.0
546,-241.0
547,-354.0
548,-284.0
549,-273.0
550,-371.0
551,-300.0
552,-300.0
553,-300.0
554,-300.0
555,-482.0
556,-270.0
557,-300.0
558,-300.0
559,-300.0
560,952.0
561,927.0
562,843.0
563,866.0
564,-263.0
565,935.0
566,-406.0
567,-264.0
568,971.0
569,799.0
570,-307.0
571,-254.0
