,reward
0,-664.0
1,-1096.0
2,-940.0
3,-1264.0
4,-1248.0
5,-518.0000000000001
6,-584.0
7,-664.0
8,-704.0
9,-568.0
10,-118.00000000000011
11,-460.0
12,-62.000000000000085
13,-544.0
14,-2400.0
15,1260.0
16,-368.0
17,-1918.0
18,-632.0
19,-656.0
20,-2138.0
21,-624.0
22,-656.0
23,-2370.0
24,-664.0
25,1098.0
26,-480.0
27,-676.0
28,-2204.0
29,-406.0000000000001
30,1064.0
31,-460.00000000000017
32,-112.00000000000009
33,-358.00000000000017
34,-578.0000000000002
35,-396.0
36,-466.0000000000004
37,903.9999999999998
38,-500.0000000000001
39,-546.0000000000002
40,-248.0000000000001
41,-214.00000000000006
42,-148.0000000000001
43,-280.00000000000034
44,-208.00000000000017
45,-574.0000000000002
46,-604.0000000000001
47,-846.0000000000002
48,1232.0
49,-930.0000000000002
50,1190.0
51,1287.9999999999998
52,1039.9999999999998
53,1164.0
54,1096.0
55,73.99999999999994
56,-358.00000000000034
57,980.0
58,1212.0
59,-236.00000000000026
60,621.9999999999998
61,-296.0000000000003
62,-470.0000000000005
63,974.0
64,-1048.0000000000002
65,911.9999999999998
66,-428.0000000000004
67,671.9999999999998
68,1174.0
69,1034.0
70,-1160.0
71,-376.0000000000003
72,-602.0000000000002
73,1256.0
74,1293.9999999999998
75,1218.0
76,829.9999999999997
77,1245.9999999999998
78,1325.9999999999998
79,-270.0000000000001
80,1060.0
81,887.9999999999998
82,-408.0000000000003
83,1114.0
84,-154.00000000000034
85,-1036.0
86,1254.0
87,895.9999999999995
88,1351.9999999999998
89,-104.00000000000003
90,1196.0
91,1200.0
92,1212.0
93,1413.9999999999998
94,1400.0
95,-124.00000000000026
96,761.9999999999999
97,1157.9999999999998
98,1381.9999999999998
99,1319.9999999999995
100,1337.9999999999998
101,1256.0
102,1148.0
103,1152.0
104,935.9999999999999
105,1122.0
106,853.9999999999999
107,-20.000000000000227
108,1080.0
109,1256.0
110,1417.9999999999998
111,1315.9999999999998
112,1391.9999999999998
113,1389.9999999999998
114,1140.0
115,1200.0
116,1252.0
117,1329.9999999999998
118,1465.9999999999998
119,1119.9999999999998
120,1384.0
121,1198.0
122,-544.0000000000001
123,1272.0
124,1341.9999999999998
125,-486.0000000000002
126,1236.0
127,-698.0000000000001
128,1182.0
129,-704.0000000000001
130,1186.0
131,1359.9999999999998
132,1368.0
133,1305.9999999999998
134,1090.0
135,1226.0
136,1108.0
137,1344.0
138,1387.9999999999998
139,1402.0
140,1122.0
141,1194.0
142,1418.0
143,1351.9999999999998
144,1313.9999999999998
145,1361.9999999999998
146,1154.0
147,1349.9999999999998
148,1298.0
149,1229.9999999999998
150,820.0
151,1279.9999999999998
152,1321.9999999999998
153,1161.9999999999998
154,1216.0
155,1168.0
156,1287.9999999999998
157,1355.9999999999998
158,1142.0
159,1365.9999999999998
160,1229.9999999999998
161,1245.9999999999998
162,1182.0
163,1262.0
164,1293.9999999999998
165,1317.9999999999998
166,1371.9999999999998
167,1312.0
168,1248.0
169,1234.0
170,1104.0
171,1152.0
172,1186.0
173,1211.9999999999998
174,1214.0
175,1354.0
176,1483.9999999999998
177,1227.9999999999998
178,1329.9999999999998
179,1291.9999999999998
180,1236.0
181,1331.9999999999998
182,1292.0
183,1287.9999999999998
184,1202.0
185,1386.0
186,1333.9999999999998
