,reward
0,-950.0
1,-582.0
2,-1130.0
3,630.0
4,-958.0
5,-1214.0
6,-1198.0
7,-608.0
8,-1198.0
9,-1238.0
10,-850.0
11,-1272.0000000000002
12,-942.0000000000002
13,-1242.0
14,207.99999999999977
15,95.99999999999977
16,362.0
17,-608.0000000000005
18,-516.0000000000002
19,-538.0000000000005
20,-402.0000000000006
21,-490.0000000000007
22,-458.0000000000002
23,-588.0000000000007
24,-574.0000000000005
25,-410.0000000000007
26,-424.0000000000002
27,-408.00000000000034
28,-586.0000000000005
29,538.0
30,-406.00000000000057
31,-470.0000000000005
32,-342.0000000000005
33,-424.0000000000001
34,-266.0000000000004
35,-454.00000000000045
36,-476.00000000000057
37,-452.00000000000085
38,-370.00000000000034
39,-570.0000000000002
40,-395.99999999999983
41,-524.0000000000006
42,-452.0000000000002
43,-500.00000000000057
44,-450.0000000000005
45,-524.0000000000005
46,-482.0000000000007
47,-372.0000000000004
48,-378.00000000000057
49,-502.00000000000045
50,-428.0000000000007
51,-474.0000000000007
52,-492.00000000000074
53,-524.0000000000007
54,-464.0000000000002
55,-368.0
56,-388.0000000000002
57,-498.0000000000002
58,-412.0000000000004
59,-420.0000000000002
60,-386.0000000000005
61,-610.0000000000002
62,-410.0000000000007
63,-540.0000000000005
64,335.9999999999999
65,-382.00000000000074
66,-554.0000000000007
67,-400.0000000000002
68,-466.0000000000006
69,-508.0000000000007
70,-413.99999999999994
71,-446.00000000000057
72,-480.00000000000045
73,-606.0000000000006
74,-394.00000000000034
75,-580.0000000000005
76,-436.0000000000001
77,-562.0000000000005
78,-538.0000000000007
79,-548.0000000000007
80,-402.0000000000005
81,-358.00000000000057
82,401.9999999999999
83,-402.0000000000006
84,-438.0000000000006
85,-440.0000000000004
86,-638.0000000000005
87,-524.0
88,-554.0000000000005
89,-620.0000000000007
90,-408.0000000000006
91,-560.0000000000007
92,-554.0000000000006
93,-552.0000000000002
94,-466.0000000000004
95,-496.00000000000057
96,-398.0000000000006
97,-448.00000000000034
98,-422.0000000000006
99,-486.0000000000005
100,-388.0000000000001
101,-522.0000000000007
102,-476.0000000000001
103,-646.0000000000005
104,-380.00000000000017
105,-520.0000000000002
106,-508.0000000000005
107,-538.0000000000005
108,-482.0000000000007
109,-408.0000000000002
110,-424.0000000000005
111,-494.0000000000006
112,-446.0000000000004
113,-574.0000000000005
114,-366.00000000000045
115,-620.0000000000005
116,-488.0000000000003
117,-588.0000000000007
118,-496.0000000000007
119,-522.0000000000005
120,-404.00000000000034
121,-376.00000000000034
122,-370.00000000000034
123,-550.0000000000005
124,-622.0000000000007
125,-476.0000000000006
126,-378.0000000000005
127,-484.00000000000074
128,-510.0000000000002
129,-508.00000000000057
130,-420.0000000000008
131,-536.0000000000007
132,-432.0000000000006
133,-470.0000000000005
134,-724.0000000000005
135,-586.0000000000006
136,-356.0000000000005
137,-508.0000000000007
138,-364.00000000000045
139,-384.0000000000007
140,-428.0000000000001
141,-378.00000000000057
142,-424.0000000000006
143,-450.00000000000057
144,-548.0000000000007
145,-410.00000000000074
146,-534.0000000000007
147,346.0
148,-426.0000000000007
149,-482.00000000000074
150,-354.00000000000045
151,-446.00000000000017
152,-472.00000000000045
153,-538.0000000000005
154,-528.0000000000007
155,-494.00000000000057
156,-558.0000000000005
157,-516.0000000000007
158,-394.00000000000074
159,-564.0000000000005
160,-384.0000000000002
161,-464.0000000000008
162,-418.00000000000057
163,-462.0000000000008
164,-500.00000000000074
165,-434.0000000000005
166,-542.0000000000005
167,-812.0000000000005
168,-488.00000000000057
169,-622.0000000000007
170,-422.00000000000057
171,-430.0000000000006
172,-550.0000000000005
173,-568.0000000000005
174,-470.0000000000005
175,-570.0000000000005
176,-518.0000000000005
177,-566.0000000000005
178,-550.0000000000001
179,-428.00000000000057
180,-427.99999999999994
181,-400.0000000000006
182,-680.0000000000001
183,-500.0000000000006
184,-464.00000000000074
185,-506.00000000000045
186,-548.0000000000007
187,-420.00000000000074
188,-506.00000000000057
189,-414.0000000000007
190,-408.00000000000045
191,-590.0000000000005
192,-516.0000000000007
193,-606.0000000000005
194,-560.0000000000005
195,-394.0000000000005
196,-456.0
197,-528.0000000000005
198,-576.0000000000006
199,-696.0000000000005
200,-388.00000000000074
201,-592.0000000000007
202,-516.0000000000005
203,-502.0000000000002
204,-534.0000000000007
205,-474.00000000000045
206,-496.0000000000007
207,-518.0000000000007
208,-448.0000000000005
209,-546.0000000000005
210,-395.99999999999983
211,-476.00000000000074
212,-486.0000000000007
213,-398.0000000000005
214,-510.0000000000001
215,-490.0000000000008
216,-468.0000000000002
217,-508.00000000000097
218,-426.0000000000007
219,-466.00000000000057
220,-374.00000000000057
221,-604.0000000000005
222,-264.00000000000034
223,-556.0000000000007
224,-468.00000000000045
225,-638.0000000000003
226,-438.0000000000002
227,442.0
228,-496.00000000000034
229,-428.0000000000005
230,-364.00000000000057
231,-674.0000000000005
232,-552.0000000000005
233,-512.0000000000006
234,-566.0000000000005
235,-500.0000000000008
236,-344.00000000000057
237,-514.0000000000001
238,-490.00000000000045
239,-392.00000000000045
240,-420.00000000000045
241,-454.0000000000006
242,-552.0000000000005
243,-460.0000000000008
244,-490.00000000000074
245,-514.0000000000005
246,-558.0000000000005
247,-560.0000000000005
248,554.0
249,-466.00000000000057
250,-378.0000000000009
251,-442.0000000000002
252,-568.0000000000005
253,-526.0000000000001
254,-504.0000000000007
255,-548.0000000000005
256,-386.0000000000005
257,-568.0000000000007
258,-390.00000000000034
259,-560.0000000000007
260,-372.0000000000003
261,-504.00000000000074
262,-380.0000000000005
263,-468.00000000000045
264,-434.0000000000008
265,-672.0000000000005
266,-526.0000000000007
267,-582.0000000000007
268,-526.0000000000005
269,-516.0000000000007
270,-398.00000000000034
271,-366.0000000000005
272,-704.0000000000002
273,-326.00000000000034
274,-464.0000000000002
275,-458.0000000000007
276,-464.00000000000017
277,-416.0000000000005
278,-570.0000000000001
279,-400.0000000000002
280,-376.0000000000005
281,-562.0000000000005
282,-600.0000000000005
283,-482.00000000000034
284,-420.00000000000017
285,-508.00000000000045
286,-542.0000000000005
287,-476.0
288,-420.0000000000007
289,-544.0000000000005
290,-378.0000000000007
291,-520.0000000000007
292,-502.0000000000007
293,-404.00000000000057
294,-568.0000000000005
295,-394.0000000000004
296,-608.0000000000007
