,reward
0,-601.0
1,-633.0
2,-635.0
3,-638.0
4,-634.0
5,-625.0
6,-300.0
7,-687.0
8,440.0
9,-642.0
10,-591.0
11,-629.0
12,-638.0
13,-300.0
14,-300.0
15,-594.0
16,429.0
17,-578.0
18,-601.0
19,-300.0
20,-300.0
21,-589.0
22,-724.0
23,-676.0
24,-660.0
25,491.0
26,-300.0
27,477.0
28,-578.0
29,364.0
30,-630.0
31,345.0
32,-746.0
33,-584.0
34,222.0
35,-723.0
36,-300.0
37,334.0
38,334.0
39,-300.0
40,484.0
41,-300.0
42,454.0
43,313.0
44,246.0
45,463.0
46,452.0
47,442.0
48,458.0
49,436.0
50,447.0
51,424.0
52,476.0
53,441.0
54,415.0
55,446.0
56,-650.0
57,445.0
58,470.0
59,440.0
60,453.0
61,446.0
62,451.0
63,476.0
64,403.0
65,454.0
66,485.0
67,466.0
68,454.0
69,443.0
70,447.0
71,466.0
72,-576.0
73,481.0
74,467.0
75,475.0
76,468.0
77,435.0
78,408.0
79,473.0
80,442.0
81,453.0
82,455.0
83,452.0
84,452.0
85,459.0
86,410.0
87,439.0
88,469.0
89,464.0
90,-689.0
91,491.0
92,446.0
93,-788.0
94,469.0
95,468.0
96,462.0
97,437.0
98,436.0
99,467.0
100,458.0
101,480.0
102,444.0
103,480.0
104,478.0
105,464.0
106,472.0
107,477.0
108,461.0
109,474.0
110,465.0
111,430.0
112,464.0
113,-597.0
114,487.0
115,454.0
116,462.0
117,464.0
118,463.0
119,-608.0
120,413.0
121,403.0
122,471.0
123,474.0
124,460.0
125,461.0
126,411.0
127,452.0
128,470.0
129,471.0
130,430.0
131,441.0
132,471.0
133,471.0
134,366.0
135,444.0
136,457.0
137,471.0
138,419.0
139,448.0
140,437.0
141,-607.0
142,467.0
143,460.0
144,444.0
145,461.0
146,465.0
147,-587.0
148,471.0
149,462.0
150,451.0
151,480.0
152,464.0
153,466.0
154,455.0
155,467.0
156,477.0
157,343.0
158,480.0
159,447.0
160,464.0
161,-624.0
162,481.0
163,462.0
164,436.0
165,461.0
166,458.0
167,401.0
168,-300.0
169,484.0
170,471.0
171,460.0
172,452.0
173,467.0
174,386.0
175,415.0
176,451.0
177,461.0
178,482.0
179,475.0
180,452.0
181,468.0
182,446.0
183,-609.0
184,473.0
185,471.0
186,464.0
187,448.0
188,470.0
189,468.0
190,432.0
191,462.0
192,451.0
193,436.0
194,456.0
195,450.0
196,465.0
197,448.0
198,479.0
199,465.0
200,468.0
201,451.0
202,476.0
203,453.0
204,-580.0
205,471.0
206,447.0
207,474.0
208,447.0
209,456.0
210,442.0
211,451.0
212,434.0
213,442.0
214,-616.0
215,-592.0
216,488.0
217,442.0
218,-598.0
219,492.0
220,451.0
221,468.0
222,450.0
223,458.0
224,459.0
225,464.0
226,471.0
227,471.0
228,457.0
229,466.0
230,446.0
231,477.0
232,458.0
233,458.0
234,444.0
235,466.0
236,415.0
237,472.0
238,-615.0
239,480.0
240,437.0
241,473.0
242,454.0
243,470.0
244,469.0
245,458.0
246,458.0
247,462.0
248,458.0
249,471.0
250,463.0
251,452.0
252,459.0
253,446.0
254,441.0
255,427.0
256,462.0
257,464.0
258,433.0
259,428.0
260,398.0
261,-557.0
262,476.0
263,471.0
264,475.0
265,477.0
266,441.0
267,468.0
268,438.0
269,446.0
270,340.0
271,462.0
272,474.0
273,472.0
274,469.0
275,-723.0
276,479.0
277,481.0
278,470.0
279,-593.0
280,434.0
281,473.0
282,445.0
283,469.0
284,480.0
285,469.0
286,469.0
287,469.0
288,454.0
289,434.0
290,435.0
291,-572.0
292,485.0
293,482.0
294,465.0
295,480.0
296,481.0
297,466.0
298,439.0
299,463.0
300,472.0
301,434.0
302,478.0
303,439.0
304,447.0
305,477.0
306,475.0
307,456.0
308,478.0
309,481.0
310,392.0
311,460.0
312,435.0
313,458.0
314,477.0
315,473.0
316,471.0
317,429.0
318,467.0
319,476.0
320,451.0
321,458.0
322,458.0
323,461.0
324,448.0
325,476.0
326,-607.0
327,462.0
328,466.0
329,459.0
330,447.0
331,475.0
332,481.0
333,480.0
334,464.0
335,-604.0
336,487.0
337,476.0
338,460.0
339,473.0
340,459.0
341,461.0
342,459.0
343,475.0
344,463.0
345,438.0
346,480.0
347,467.0
348,469.0
349,469.0
350,439.0
351,462.0
352,477.0
353,460.0
354,463.0
355,466.0
356,470.0
357,474.0
358,461.0
359,455.0
360,460.0
361,455.0
362,456.0
363,482.0
364,455.0
365,435.0
366,479.0
367,481.0
368,448.0
369,457.0
370,469.0
371,439.0
372,476.0
373,459.0
374,464.0
375,451.0
376,483.0
377,473.0
378,471.0
379,479.0
380,433.0
381,453.0
382,464.0
383,457.0
384,470.0
385,473.0
386,464.0
387,470.0
388,482.0
389,448.0
390,434.0
391,460.0
392,448.0
393,478.0
394,453.0
395,468.0
396,455.0
397,460.0
398,451.0
399,481.0
400,456.0
401,480.0
402,470.0
403,481.0
404,457.0
405,479.0
406,455.0
407,454.0
408,472.0
409,463.0
410,462.0
411,474.0
412,450.0
413,456.0
414,429.0
415,455.0
416,467.0
417,450.0
418,470.0
419,473.0
420,439.0
421,477.0
422,482.0
423,473.0
424,479.0
425,452.0
426,451.0
427,462.0
428,448.0
429,461.0
430,468.0
431,475.0
432,473.0
433,462.0
434,458.0
435,461.0
436,459.0
437,459.0
438,451.0
439,478.0
440,463.0
441,466.0
442,473.0
443,462.0
444,477.0
445,482.0
446,477.0
447,472.0
448,463.0
449,476.0
450,459.0
451,453.0
452,443.0
453,445.0
454,448.0
455,460.0
456,456.0
457,483.0
458,480.0
459,438.0
460,452.0
461,450.0
462,461.0
463,482.0
464,479.0
465,467.0
466,475.0
467,459.0
468,470.0
469,453.0
470,436.0
471,474.0
472,465.0
473,472.0
474,471.0
475,484.0
476,483.0
477,482.0
478,452.0
479,461.0
480,440.0
481,474.0
482,468.0
483,478.0
484,483.0
485,470.0
486,470.0
487,457.0
488,466.0
489,462.0
490,471.0
491,451.0
492,459.0
493,469.0
494,453.0
495,470.0
496,477.0
497,460.0
498,468.0
499,477.0
500,443.0
501,465.0
502,479.0
503,462.0
504,447.0
505,458.0
506,478.0
507,453.0
508,463.0
509,438.0
510,460.0
511,476.0
512,457.0
513,450.0
514,476.0
515,464.0
516,441.0
517,451.0
518,472.0
519,459.0
520,424.0
521,480.0
522,483.0
523,466.0
524,458.0
525,473.0
526,459.0
527,449.0
528,476.0
529,465.0
530,450.0
531,447.0
532,455.0
533,471.0
534,453.0
535,449.0
536,459.0
537,469.0
538,473.0
539,466.0
540,459.0
541,460.0
542,441.0
543,435.0
544,465.0
545,465.0
546,462.0
547,468.0
548,476.0
549,466.0
550,439.0
551,461.0
552,480.0
553,424.0
554,468.0
555,470.0
556,476.0
557,459.0
558,459.0
559,476.0
560,465.0
561,472.0
562,481.0
563,481.0
564,470.0
565,459.0
566,465.0
567,466.0
568,465.0
569,453.0
570,428.0
571,463.0
572,449.0
573,462.0
574,471.0
575,462.0
576,469.0
577,481.0
578,464.0
579,457.0
580,446.0
581,456.0
582,463.0
583,473.0
584,450.0
585,460.0
586,458.0
587,469.0
588,479.0
589,439.0
590,446.0
591,480.0
592,465.0
593,480.0
594,465.0
595,483.0
596,473.0
597,483.0
598,475.0
599,444.0
600,460.0
601,470.0
602,452.0
603,469.0
604,476.0
605,479.0
606,423.0
607,-585.0
608,484.0
609,469.0
610,445.0
611,464.0
612,473.0
613,476.0
614,434.0
615,469.0
616,450.0
617,443.0
618,438.0
619,469.0
