,reward
0,-934.0
1,-1262.0
2,-1214.0
3,-1222.0
4,-1246.0
5,-1206.0
6,-730.0000000000002
7,-1114.0000000000002
8,-942.0
9,571.9999999999999
10,-782.0
11,-780.0000000000001
12,-834.0
13,724.0
14,-2350.0
15,-964.0
16,-922.0000000000002
17,-894.0
18,-618.0000000000001
19,-662.0
20,666.0
21,844.0
22,-232.00000000000017
23,-498.0
24,-808.0000000000006
25,-320.0000000000007
26,-368.00000000000017
27,-510.0000000000001
28,-516.0
29,-798.0000000000002
30,562.0
31,-408.00000000000045
32,516.0
33,-368.00000000000017
34,-524.0
35,-326.0000000000005
36,516.0
37,704.0
38,-426.0000000000004
39,459.99999999999994
40,896.0
41,531.9999999999999
42,781.9999999999998
43,501.99999999999994
44,636.0
45,718.0
46,711.9999999999999
47,-448.0000000000001
48,564.0
49,775.9999999999998
50,580.0
51,-226.0000000000001
52,375.9999999999998
53,678.0
54,682.0
55,620.0
56,554.0
57,588.0
58,624.0
59,748.0
60,935.9999999999999
61,867.9999999999999
62,686.0
63,785.9999999999998
64,596.0
65,1075.9999999999998
66,917.9999999999998
67,814.0
68,706.0
69,782.0
70,915.9999999999999
71,893.9999999999999
72,922.0
73,660.0
74,850.0
75,-186.0000000000001
76,732.0
77,876.0
78,930.0
79,684.0
80,713.9999999999999
81,923.9999999999999
82,692.0
83,690.0
84,746.0
85,777.9999999999998
86,754.0
87,832.0
88,880.0
89,742.0
90,714.0
91,813.9999999999999
92,936.0
93,884.0
94,728.0
95,938.0
96,698.0
97,662.0
98,730.0
99,664.0
100,680.0
101,874.0
102,744.0
103,876.0
104,961.9999999999999
105,904.0
106,778.0
107,760.0
108,642.0
109,722.0
110,640.0
111,682.0
112,690.0
113,724.0
114,712.0
115,735.9999999999999
116,862.0
117,650.0
118,840.0
119,670.0
120,770.0
121,943.9999999999999
122,652.0
123,768.0
124,660.0
125,924.0
126,732.0
127,824.0
128,682.0
129,813.9999999999999
130,731.9999999999999
131,796.0
132,750.0
133,843.9999999999999
134,953.9999999999999
135,896.0
136,745.9999999999999
137,852.0
138,912.0
139,722.0
140,863.9999999999999
141,820.0
142,842.0
143,922.0
144,950.0
145,959.9999999999999
146,862.0
147,863.9999999999999
148,848.0
149,959.9999999999999
150,900.0
151,774.0
152,955.9999999999999
153,704.0
154,985.9999999999999
155,911.9999999999999
156,774.0
157,843.9999999999999
158,833.9999999999999
159,1046.0
160,937.9999999999999
161,872.0
162,874.0
163,794.0
164,704.0
165,676.0
166,756.0
167,771.9999999999999
168,1034.0
169,660.0
170,819.9999999999999
171,979.9999999999998
172,836.0
173,692.0
174,796.0
175,892.0
176,640.0
177,782.0
178,991.9999999999999
179,922.0
180,840.0
181,620.0
182,800.0
183,809.9999999999999
184,672.0
185,608.0
186,746.0
187,804.0
188,763.9999999999998
189,952.0
190,958.0
191,887.9999999999999
192,788.0
193,876.0
194,672.0
195,690.0
196,723.9999999999999
197,716.0
198,1042.0
199,592.0
200,898.0
201,774.0
202,983.9999999999999
203,971.9999999999999
204,684.0
205,928.0
206,867.9999999999998
207,834.0
208,973.9999999999999
209,916.0
210,612.0
211,784.0
212,728.0
213,676.0
214,758.0
215,802.0
216,722.0
217,684.0
218,588.0
219,928.0
220,929.9999999999999
221,750.0
222,640.0
223,680.0
224,724.0
225,682.0
226,738.0
227,852.0
228,774.0
229,574.0
230,885.9999999999999
231,850.0
232,954.0
233,726.0
234,770.0
235,754.0
236,912.0
237,790.0
238,740.0
239,676.0
240,696.0
241,878.0
242,722.0
243,848.0
244,776.0
245,818.0
246,688.0
247,847.9999999999998
248,886.0
249,837.9999999999999
250,650.0
251,700.0
252,748.0
253,739.9999999999999
254,810.0
255,658.0
256,700.0
257,880.0
258,867.9999999999999
259,847.9999999999999
260,905.9999999999999
261,949.9999999999999
262,802.0
263,953.9999999999999
264,770.0
265,956.0
266,889.9999999999999
267,638.0
268,706.0
269,924.0
270,935.9999999999999
271,987.9999999999999
272,941.9999999999998
273,849.9999999999999
274,680.0
275,748.0
276,628.0
277,714.0
278,747.9999999999999
279,722.0
280,807.9999999999999
281,809.9999999999999
282,934.0
283,901.9999999999999
284,920.0
285,868.0
286,702.0
287,690.0
288,910.0
289,652.0
290,696.0
291,638.0
292,888.0
293,920.0
294,666.0
295,702.0
296,892.0
297,706.0
298,832.0
299,902.0
300,845.9999999999998
301,840.0
302,795.9999999999999
303,702.0
304,680.0
305,1027.9999999999998
306,881.9999999999999
307,688.0
308,890.0
309,692.0
310,817.9999999999999
311,771.9999999999999
312,743.9999999999999
313,847.9999999999999
314,894.0
315,876.0
316,852.0
317,904.0
318,884.0
319,997.9999999999999
320,936.0
321,834.0
322,795.9999999999999
323,936.0
324,829.9999999999999
325,716.0
326,822.0
327,920.0
328,660.0
329,772.0
330,932.0
331,989.9999999999999
332,828.0
333,834.0
334,861.9999999999998
335,891.9999999999999
336,844.0
337,694.0
338,660.0
339,792.0
340,672.0
341,714.0
342,1044.0
343,1038.0
344,875.9999999999998
345,838.0
346,698.0
347,706.0
348,828.0
349,740.0
350,909.9999999999999
351,801.9999999999998
352,666.0
353,821.9999999999999
354,724.0
355,786.0
356,946.0
357,634.0
358,786.0
359,1026.0
360,1025.9999999999998
361,882.0
362,870.0
363,728.0
364,630.0
365,846.0
366,822.0
367,804.0
368,829.9999999999999
369,688.0
370,791.9999999999998
371,835.9999999999999
372,876.0
373,879.9999999999999
374,724.0
375,728.0
376,876.0
377,682.0
378,866.0
379,748.0
380,888.0
381,664.0
382,618.0
383,865.9999999999999
384,778.0
385,826.0
386,884.0
387,622.0
388,700.0
389,756.0
390,759.9999999999999
391,822.0
392,895.9999999999999
393,700.0
394,786.0
395,808.0
396,847.9999999999999
397,813.9999999999999
398,778.0
399,906.0
400,857.9999999999999
401,838.0
402,844.0
403,629.9999999999999
404,844.0
405,-678.0
406,546.0
407,782.0
408,914.0
409,1000.0
410,855.9999999999999
411,818.0
412,776.0
413,954.0
414,957.9999999999999
415,946.0
416,1099.9999999999995
417,920.0
418,736.0
419,806.0
420,879.9999999999999
421,868.0
422,825.9999999999999
423,840.0
424,722.0
425,961.9999999999999
426,878.0
427,961.9999999999999
428,862.0
429,770.0
430,799.9999999999999
431,632.0
432,762.0
433,961.9999999999999
434,648.0
435,949.9999999999999
436,688.0
437,853.9999999999999
438,688.0
439,833.9999999999999
440,885.9999999999998
441,728.0
442,814.0
443,914.0
444,922.0
445,832.0
446,953.9999999999998
447,650.0
448,680.0
449,668.0
450,831.9999999999999
451,936.0
452,674.0
453,805.9999999999999
454,927.9999999999999
455,873.9999999999999
456,938.0
457,983.9999999999998
458,851.9999999999999
459,1044.0
460,648.0
461,720.0
462,766.0
463,846.0
464,846.0
465,816.0
466,680.0
467,784.0
468,854.0
469,894.0
470,856.0
471,740.0
472,785.9999999999999
473,684.0
474,846.0
475,860.0
476,817.9999999999999
477,857.9999999999999
478,806.0
479,810.0
480,819.9999999999998
481,929.9999999999999
482,776.0
483,916.0
484,924.0
485,704.0
486,963.9999999999999
487,838.0
488,696.0
489,692.0
490,841.9999999999999
491,779.9999999999999
492,674.0
493,764.0
494,848.0
495,694.0
496,791.9999999999999
497,684.0
498,752.0
499,666.0
500,849.9999999999999
501,850.0
502,962.0
503,744.0
504,728.0
505,908.0
506,668.0
507,894.0
508,844.0
509,728.0
510,754.0
511,670.0
512,944.0
513,910.0
514,891.9999999999999
515,688.0
516,892.0
517,957.9999999999998
518,835.9999999999999
519,652.0
520,810.0
521,676.0
522,698.0
523,847.9999999999999
524,838.0
525,700.0
526,910.0
527,834.0
528,626.0
529,832.0
530,947.9999999999999
531,786.0
532,832.0
533,694.0
534,819.9999999999999
535,908.0
536,796.0
537,819.9999999999999
538,825.9999999999998
539,861.9999999999999
540,932.0
541,704.0
542,638.0
543,840.0
544,858.0
545,644.0
546,698.0
547,950.0
548,1023.9999999999998
549,854.0
550,886.0
551,634.0
552,698.0
553,758.0
554,778.0
555,666.0
556,668.0
557,719.9999999999999
558,965.9999999999999
559,857.9999999999999
560,744.0
561,957.9999999999999
562,842.0
563,859.9999999999999
564,742.0
565,776.0
566,777.9999999999998
567,926.0
568,782.0
569,700.0
570,674.0
571,704.0
572,654.0
573,874.0
574,660.0
575,702.0
576,710.0
577,738.0
578,995.9999999999999
579,901.9999999999999
580,642.0
581,894.0
582,-2108.0
583,670.0
584,736.0
585,844.0
586,983.9999999999999
587,696.0
588,702.0
589,704.0
590,720.0
591,938.0
592,933.9999999999999
593,-562.0
594,718.0
595,908.0
596,950.0
597,784.0
598,670.0
599,776.0
600,-2400.0
601,688.0
602,972.0
603,748.0
604,-594.0
605,648.0
606,757.9999999999999
607,736.0
608,714.0
609,-676.0
610,616.0
611,732.0
612,828.0
613,865.9999999999999
614,859.9999999999999
615,927.9999999999999
616,781.9999999999999
617,884.0
618,831.9999999999999
619,909.9999999999999
620,864.0
621,779.9999999999999
622,906.0
623,726.0
624,923.9999999999998
625,800.0
626,819.9999999999999
627,922.0
628,907.9999999999999
629,915.9999999999999
630,885.9999999999998
631,951.9999999999999
632,790.0
633,694.0
634,716.0
635,979.9999999999999
636,845.9999999999998
637,660.0
638,814.0
639,785.9999999999998
640,890.0
641,891.9999999999999
642,883.9999999999999
643,1009.9999999999998
644,876.0
645,887.9999999999999
646,794.0
647,802.0
648,782.0
649,685.9999999999999
650,680.0
651,698.0
652,863.9999999999999
653,768.0
654,610.0
655,848.0
656,1003.9999999999998
657,592.0
658,648.0
659,784.0
660,-798.0000000000001
661,416.0
662,-356.0000000000001
663,388.0
664,504.0
665,871.9999999999999
666,754.0
667,-620.0000000000001
668,588.0
669,562.0
670,-726.0
671,-252.00000000000017
672,-396.0000000000001
673,-452.0
674,-786.0000000000001
675,-538.0
676,-456.0000000000001
677,353.9999999999999
678,679.9999999999999
679,-372.00000000000034
680,-1298.0
681,-466.00000000000006
682,280.0
683,843.9999999999998
684,-512.0
685,45.99999999999994
686,-750.0000000000001
687,-708.0
688,595.9999999999999
689,50.0
690,-1380.0
691,-780.0000000000001
692,-586.0000000000001
693,-786.0000000000001
694,77.99999999999989
695,-490.0000000000002
696,179.9999999999999
697,-842.0000000000001
698,-550.0000000000001
699,-744.0
700,-1064.0
701,-566.0000000000001
702,-590.0
703,-736.0
704,-728.0000000000001
705,-618.0000000000001
706,-1454.0
707,473.99999999999994
708,-450.0000000000001
709,-1154.0
710,-1168.0
711,-894.0000000000001
712,-1506.0
713,-870.0
714,-1356.0
715,-1466.0
716,-1776.0
717,-1866.0
718,-1596.0
719,-1536.0
720,-2258.0
721,-1734.0
722,-1728.0
723,-1408.0
724,-1676.0
725,-1396.0
726,-1402.0
727,-1628.0
728,-1542.0
729,-1640.0
730,-1704.0
731,-1568.0
732,-1484.0
733,-1598.0
734,-1342.0
735,8.0
736,-1624.0
737,-1852.0
738,-1044.0
739,-1522.0
740,-1844.0
741,-1294.0
742,-1432.0
743,-1834.0
744,-1342.0
745,-1690.0
746,-1158.0
747,-1204.0
748,-692.0
749,-1128.0
750,-1660.0
751,-1534.0
752,-1412.0
753,-1528.0
754,-1648.0
755,-1500.0
756,-1108.0
757,-1536.0
758,-1480.0
759,-1474.0
760,-652.0
