,reward
0,-418.00000000000017
1,-756.0
2,-1294.0
3,-1270.0
4,-1206.0
5,-850.0
6,-1222.0
7,574.0
8,-966.0
9,696.0
10,-950.0
11,642.0
12,-934.0
13,-1254.0
14,-1302.0
15,-1300.0
16,-1820.0
17,-496.0000000000005
18,-486.0000000000001
19,-472.0000000000004
20,407.99999999999994
21,-2.0000000000002274
22,-658.0000000000005
23,-470.0000000000005
24,-426.00000000000074
25,-478.0000000000006
26,-466.00000000000057
27,-578.0000000000003
28,-398.00000000000057
29,-572.0000000000005
30,-412.0000000000006
31,-450.0000000000004
32,-462.0000000000007
33,-600.0000000000005
34,-478.0000000000005
35,-516.0000000000007
36,-498.0000000000007
37,-532.0000000000005
38,-438.00000000000057
39,508.0
40,-380.0000000000005
41,-604.0000000000001
42,-510.00000000000034
43,-388.0000000000004
44,-428.0000000000006
45,-494.0000000000002
46,-532.0000000000007
47,-476.00000000000074
48,-516.0000000000006
49,-496.0000000000004
50,-388.0000000000005
51,-618.0000000000002
52,-640.0000000000002
53,-490.0000000000007
54,-430.00000000000045
55,-512.0000000000005
56,-570.0000000000006
57,-560.0000000000005
58,-624.0000000000002
59,-444.0000000000005
60,-428.0000000000007
61,-472.0000000000007
62,-396.00000000000074
63,-492.00000000000034
64,-434.0000000000005
65,-442.00000000000034
66,-630.0000000000005
67,-518.0000000000007
68,-630.0000000000008
69,-544.0000000000007
70,-380.0000000000007
71,-490.00000000000045
72,368.0
73,-414.00000000000057
74,-460.0000000000005
75,-514.0000000000006
76,-476.0000000000001
77,-556.0000000000007
78,-438.0000000000006
79,-662.0000000000005
80,-370.0000000000002
81,-418.0000000000003
82,-350.0000000000001
83,-420.0000000000006
84,-602.0000000000006
85,-484.00000000000057
86,-558.0000000000007
87,-364.0000000000004
88,-490.0000000000007
89,-428.0000000000002
90,-384.00000000000034
91,-486.00000000000045
92,245.99999999999977
93,-448.0000000000006
94,-440.0000000000002
95,-404.0000000000007
96,-492.00000000000057
97,-404.0000000000006
98,-378.0000000000005
99,-508.00000000000045
100,-398.00000000000074
101,237.99999999999994
102,-594.0000000000005
103,-308.00000000000034
104,-430.0000000000002
105,-648.0000000000005
106,-424.0000000000006
107,-554.0000000000006
108,-662.0000000000005
109,-424.0000000000008
110,-392.00000000000045
111,-614.0000000000005
112,-374.00000000000034
113,-586.0000000000005
114,-574.0000000000005
115,-426.0000000000006
116,-540.0000000000005
117,-462.00000000000034
118,-536.0000000000005
119,-452.0000000000006
120,-368.0000000000007
121,-462.00000000000045
122,-608.0000000000005
123,-606.0000000000005
124,-544.0000000000002
125,-410.0000000000005
126,-490.0000000000002
127,-422.00000000000045
128,-528.0000000000007
129,-444.00000000000045
130,-384.00000000000097
131,-526.0000000000007
132,-438.0000000000006
133,-540.0000000000005
134,-606.0000000000005
135,-596.0000000000005
136,-410.0000000000007
137,-496.00000000000045
138,-568.0000000000007
139,-474.0000000000004
140,-380.00000000000057
141,-430.0000000000007
142,-396.0000000000006
143,-544.0000000000007
144,-504.0000000000007
145,-624.0000000000005
146,476.0
147,-482.0000000000006
148,-296.00000000000034
149,-606.0000000000005
150,-402.00000000000034
151,-476.0000000000005
152,-444.0000000000004
153,-530.0000000000007
154,-484.0000000000005
155,-498.00000000000085
156,-392.0000000000002
157,-592.0000000000007
158,-454.00000000000074
159,-402.0000000000007
160,-396.0000000000007
161,-632.0000000000005
162,-404.0000000000002
163,-550.0000000000007
164,-408.0000000000001
165,-484.00000000000074
166,-506.00000000000057
167,-530.0000000000002
168,-474.00000000000074
169,-592.0000000000005
170,-378.0000000000005
171,-430.00000000000045
172,-568.0000000000007
173,-418.0000000000005
174,-524.0000000000006
175,-466.0000000000006
176,-494.00000000000074
177,-570.0000000000005
178,-604.0000000000005
179,-566.0000000000005
180,-396.0000000000005
181,-618.0000000000005
182,-566.0000000000003
183,-490.0000000000005
184,-694.0000000000006
185,-470.0000000000009
186,112.0
187,-468.0000000000007
188,-438.0000000000002
189,-526.0000000000007
190,-385.9999999999998
191,-480.0000000000007
192,-546.0000000000005
193,-484.00000000000057
194,-340.00000000000034
195,-452.0000000000005
196,-470.00000000000045
197,-616.0000000000005
198,-440.00000000000034
199,-534.0000000000005
200,-366.00000000000034
201,-530.0000000000009
202,-512.0000000000005
203,-556.0000000000007
204,-486.0000000000006
205,-424.0000000000005
206,-548.0000000000006
207,-508.0000000000003
208,-606.0000000000005
209,-514.0000000000002
210,-396.00000000000057
211,-578.0000000000002
212,-480.00000000000034
213,-486.00000000000074
214,-268.00000000000045
215,-518.0000000000007
216,-518.0000000000007
217,512.0
218,-468.00000000000057
219,-466.00000000000074
220,-392.00000000000034
221,-470.0000000000007
222,-426.00000000000045
223,-308.0000000000002
224,-574.0000000000002
225,-404.00000000000085
226,-470.0000000000006
227,-482.00000000000074
228,-610.0000000000002
229,-456.00000000000045
230,-430.0000000000007
231,-336.0000000000001
232,-530.0000000000007
233,-408.0000000000005
234,173.9999999999999
235,-536.0000000000005
236,-600.0000000000005
237,-602.0000000000003
238,-472.00000000000074
239,-522.0000000000006
240,-386.0000000000007
241,-592.0000000000005
242,-422.00000000000034
243,-588.0000000000007
244,-436.00000000000034
245,-444.00000000000006
246,-510.00000000000057
247,-448.0000000000005
248,-366.0000000000004
249,-294.00000000000045
250,-386.0000000000005
251,-460.0000000000005
252,-498.0000000000007
253,-590.0000000000007
254,-406.0000000000002
255,-442.0000000000005
256,-414.0000000000001
257,-488.0000000000002
258,-394.00000000000057
259,-512.0000000000007
260,-386.0000000000002
261,-478.0000000000004
262,-456.0000000000001
263,-398.0000000000001
264,-620.0000000000005
265,-600.0000000000005
266,-598.0000000000007
267,-408.00000000000034
268,-404.00000000000034
269,-508.00000000000045
270,-392.0000000000007
271,-302.0000000000003
272,-448.0000000000002
273,-640.0000000000005
274,-518.0000000000007
275,-428.0000000000007
276,-576.0000000000007
277,-506.0000000000002
278,-530.0000000000005
279,-426.0000000000004
280,-394.0000000000002
281,-450.00000000000045
282,-590.0000000000005
283,-520.0000000000007
284,-462.0000000000006
285,-470.0000000000005
286,-534.0000000000007
287,-402.0000000000002
288,-492.0000000000007
289,-374.00000000000057
290,-374.0000000000007
291,-510.0000000000006
292,-640.0000000000005
293,-510.00000000000034
294,-718.0000000000005
295,-514.0000000000001
296,-518.0000000000001
297,-486.00000000000074
298,-508.00000000000045
299,-512.000000000001
300,-358.0000000000005
301,231.9999999999999
302,-602.0000000000002
303,-428.0000000000007
304,-534.0000000000002
305,-458.0000000000006
306,-508.00000000000074
307,-560.0000000000005
308,-558.0000000000007
309,-388.0000000000002
310,-378.00000000000045
311,-636.0000000000002
312,-534.0000000000007
313,-550.0000000000002
314,-526.0000000000003
315,-526.0000000000005
316,-566.0000000000007
317,-576.0000000000002
318,-474.0000000000006
319,-498.0000000000001
320,-384.0000000000006
321,-534.0000000000005
322,197.99999999999983
323,-444.0000000000005
324,-524.0000000000007
325,-428.00000000000045
326,-412.00000000000057
327,-438.0000000000007
328,-488.0000000000005
329,-496.0000000000002
330,-402.0
331,-512.0000000000006
332,-458.00000000000045
333,-516.0000000000007
334,-304.0000000000002
335,-512.0000000000005
336,-486.0000000000005
337,-478.0000000000002
338,-486.00000000000045
339,-628.0000000000007
340,-416.0000000000006
341,-416.00000000000074
342,-306.0000000000001
343,-620.0000000000005
344,-432.0000000000005
345,-494.00000000000057
346,-570.0000000000005
347,-434.0000000000006
348,-558.0000000000007
349,-420.0000000000006
350,-406.00000000000074
351,-422.00000000000057
352,-350.0000000000001
353,-546.0000000000007
354,-488.00000000000045
355,-566.0000000000007
356,-470.00000000000074
357,-486.00000000000074
358,-428.00000000000034
359,-488.00000000000057
360,-394.00000000000057
361,-582.0000000000005
362,-384.0000000000002
363,-478.0000000000001
364,-480.00000000000057
365,-360.0000000000005
366,-530.0000000000007
367,-454.00000000000034
368,-588.0000000000005
369,-456.0000000000007
370,-388.0000000000002
371,-472.00000000000074
372,-386.0000000000003
373,-350.00000000000057
374,-518.0000000000007
375,-580.0000000000002
376,-490.0000000000005
377,-398.0000000000001
378,-454.0000000000007
379,-390.00000000000045
380,-396.0000000000007
381,-492.0000000000007
382,-412.0000000000001
383,-432.0000000000003
384,-460.0000000000007
385,452.0
386,-632.0000000000005
387,-538.0000000000003
388,-380.0000000000006
389,-436.0000000000005
390,-364.00000000000057
391,-424.00000000000057
392,-694.0000000000003
393,-478.00000000000074
394,-464.00000000000045
395,311.99999999999994
396,-594.0000000000007
397,-492.00000000000045
398,189.99999999999977
399,-616.0000000000005
400,-400.0000000000001
401,-476.00000000000057
402,-450.00000000000045
403,-506.0000000000007
404,-524.0000000000006
405,-598.0000000000005
406,-586.0000000000002
407,-578.0000000000005
408,-532.0000000000002
409,-300.00000000000045
410,-412.0000000000006
411,-400.00000000000057
412,-376.0000000000003
413,-490.0000000000005
414,-624.0000000000002
415,-458.00000000000074
416,-652.0000000000007
417,-512.0000000000007
418,-476.0000000000006
419,-480.0000000000003
420,-372.0000000000004
421,-520.0000000000005
422,-710.0000000000005
423,-364.0000000000003
424,-484.00000000000057
425,-576.0000000000002
426,522.0
427,-414.00000000000057
428,-542.0000000000002
429,-546.0000000000007
430,-366.00000000000045
431,-458.0000000000004
432,-614.0000000000003
433,-392.0000000000005
434,-456.0000000000002
435,-414.00000000000045
436,-400.0
437,-574.0000000000005
438,-656.0000000000005
439,-478.00000000000057
440,-386.0000000000007
441,-446.0000000000005
442,-498.00000000000045
443,-406.00000000000057
444,-470.0000000000007
445,-400.0000000000006
446,-416.0000000000002
447,-410.0000000000007
448,-482.00000000000057
449,-514.0000000000007
450,-392.00000000000045
451,-506.00000000000074
452,-458.00000000000074
453,-604.0000000000005
454,116.0
455,-316.0000000000002
456,-470.00000000000034
457,-458.00000000000034
458,-470.00000000000045
459,-380.0000000000005
460,-404.00000000000057
461,-408.00000000000045
462,-528.0000000000006
463,-616.0000000000007
464,-420.0000000000004
465,-446.00000000000074
466,-594.0000000000002
467,-482.00000000000074
468,-442.00000000000045
469,-448.0000000000005
470,-366.00000000000034
471,-572.0000000000001
472,-380.0000000000002
473,-586.0000000000007
474,-650.0000000000001
475,-510.0000000000006
476,-548.0000000000005
477,-446.0000000000004
478,-548.0000000000007
479,-422.0000000000007
480,-394.00000000000034
481,-550.0000000000006
482,-504.0000000000007
483,-392.00000000000085
484,-512.0000000000005
485,-468.00000000000057
486,-616.0000000000005
487,-544.0000000000007
488,-664.0000000000006
489,-464.0000000000006
490,-390.0000000000001
491,-582.0000000000005
492,-394.0000000000002
493,-482.0000000000006
494,-568.0000000000005
495,381.9999999999998
496,-588.0000000000005
497,-464.00000000000074
498,-466.0000000000005
499,-528.0000000000001
500,-410.00000000000057
501,-464.0000000000006
502,-448.0000000000002
503,-590.0000000000002
504,-526.0000000000002
505,-494.0000000000005
506,-406.0000000000001
507,-582.0000000000005
508,-606.0000000000013
509,-428.0000000000007
510,-394.0000000000006
511,-556.0000000000005
512,-472.0000000000008
513,-568.0000000000005
514,-458.0000000000005
515,271.9999999999999
516,-460.00000000000057
517,-544.0000000000002
518,-502.00000000000045
519,-536.0000000000007
520,-436.0000000000005
521,-584.0000000000005
522,-496.0000000000007
523,-440.0000000000001
524,-436.0000000000007
525,392.0
526,-510.0000000000003
527,-442.0000000000001
528,-542.0000000000007
529,-526.0000000000005
530,-394.0000000000007
531,-350.00000000000045
532,-442.00000000000045
533,-564.0000000000005
534,-668.0000000000005
535,-546.0000000000002
536,-570.0000000000003
537,-508.0000000000002
538,-398.0000000000002
539,-510.0000000000002
540,-412.0000000000007
