,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,11058.475059865315
12,13174.80138671875
13,14007.131240234376
14,14640.593470052083
15,15145.43896484375
16,16056.7601953125
17,16842.047513020832
18,17573.611917317707
19,18177.44594401042
20,0.0
21,18077.7482421875
22,19015.297141927083
23,19495.801796875
24,19906.39032552083
25,20344.375266927083
26,20892.774993489584
27,21238.025638020834
28,21557.999798177083
29,22047.126751302083
30,0.0
31,21917.875032552085
32,22564.685709635418
33,22597.86358173077
34,22789.397623697918
35,23497.415026041668
36,23991.47723958333
37,24388.474192708334
38,24959.777434895834
39,25601.505618489584
40,0.0
41,26135.941497395834
42,26571.280794270835
43,27234.754778645834
44,27676.947526041666
45,28232.958255208334
46,28452.110240885417
47,28860.75060546875
48,29218.2278125
49,29703.326920572916
50,0.0
51,30076.792545572916
52,30733.25677734375
53,31222.69375
54,31960.75240234375
55,32435.09181640625
56,33049.328984375
57,33540.24685546875
58,33974.199791666666
59,34636.713958333334
60,0.0
61,35178.448502604166
62,35761.409140625
63,36379.598619791665
64,37089.596484375
65,37870.22209635417
66,38643.4605078125
67,39445.85553385417
68,40220.274361979165
69,40939.29223958333
70,0.0
71,41747.08453125
72,42409.9960546875
73,43142.95040364583
74,43727.207890625
75,44229.227864583336
76,44547.96897135417
77,44959.65733072917
78,45398.724622395835
79,45677.35681733631
80,0.0
81,45991.56549479167
82,46575.09782552083
83,47107.463359375
84,47665.662135416664
85,48175.22049479167
86,48693.48709635417
87,49180.33959573413
88,49871.3519921875
89,50403.20434895833
90,0.0
91,50952.94261323736
92,51224.39270833333
93,51849.720130208334
94,52535.714518229164
95,53084.414296875
96,53610.74434895833
97,54425.26014322916
98,55010.59528645833
99,55604.91050170068
100,0.0
101,56272.064778645836
102,56999.789453125
103,57675.225
104,58127.134466145835
105,58647.9953515625
106,59355.4074609375
107,60076.326875
108,60617.6851171875
109,61078.80101351351
110,0.0
111,61580.728255208334
112,62250.33411458333
113,62742.2565234375
114,63515.013125
115,64135.713671875
116,64719.97903645833
117,65397.54606770833
118,66018.05411458333
119,66683.66509114583
120,0.0
121,67123.89591293668
122,67536.627578125
123,68106.55731770833
124,68571.06325520833
125,69130.08871822034
126,69534.91979166666
127,70181.05630208334
128,70802.79203125
129,71408.74794270833
130,0.0
131,72003.665078125
132,72589.67203125
133,73210.33565104166
134,73794.44734375
135,74504.76247395833
136,75087.90828125
137,75709.89768229167
138,76237.55244791666
139,76768.30763020834
140,0.0
141,77396.8405577957
142,77877.54229166667
143,78349.39588541667
144,78899.47049479166
145,79504.051640625
146,80036.319453125
147,80469.94830729166
148,80933.19791666667
149,81277.75924479167
150,0.0
151,81929.85989583333
152,82518.03848958333
153,82807.46693638393
154,83427.39096354166
155,84202.07309895834
156,84670.691484375
157,85264.17434895833
158,85758.70057291667
159,86303.51265625
160,0.0
161,86903.63083333333
162,87401.24669270833
163,87966.48408854166
164,88385.51356770833
165,88986.36192708333
166,89471.70114583333
167,89982.81692708333
168,90451.150390625
169,90803.96041666667
170,0.0
171,91205.66338541667
172,91781.33434895833
173,92255.27794270833
174,92893.936484375
175,93377.16846354166
176,93736.192578125
177,94233.46408854167
178,94811.361953125
179,95500.71622395833
180,0.0
181,95784.47713541667
182,96322.065703125
183,96869.74421875
184,97445.34252604167
185,97943.406875
186,98423.89752604166
187,98969.011875
188,99393.62205729166
189,99949.1709375
190,0.0
191,100265.74739583333
192,100728.68546875
193,101036.24386160714
194,101389.00471354167
195,101750.88427083334
196,102418.490703125
197,102843.37294270833
198,103360.42361979166
199,103877.751875
200,0.0
201,104567.216796875
202,104963.27284192825
203,105204.126015625
204,105633.59713541667
205,105938.556875
206,106495.72197916667
207,106888.81078125
208,107371.06333333334
209,107843.83109375
210,0.0
211,108191.34364983975
212,108429.0256147541
213,108907.47466767723
214,109480.63049479167
215,109986.05424479167
216,110477.03484375
217,111077.72765625
218,111351.61965240641
219,111890.57760416667
220,0.0
221,112302.24432291667
222,112740.80994791667
223,112962.62623922413
224,113312.59768229167
225,113826.74604166667
226,114271.64833333333
227,114803.22182291666
228,115316.72190104167
229,115837.35473958333
230,0.0
231,116277.39825520833
232,116716.29736979166
233,117176.74393229166
234,117673.61247395833
235,118188.90955729167
236,118508.28760416666
237,118989.444921875
238,119365.75122395833
239,119910.0378125
240,0.0
241,120352.88343211207
242,120679.23119791667
243,121181.50950520833
244,121618.13356770833
245,122039.0990625
246,122480.404375
247,122824.71973958334
248,123102.56740702479
249,123193.23809895833
250,0.0
251,123620.69325520833
252,123965.21283854167
253,124542.574375
254,124830.28119791667
255,125160.80627604167
256,125670.77065104166
257,126073.84731770834
258,126368.79760416667
259,126805.68390625
260,0.0
261,127054.95942708333
262,127597.59973958334
263,128164.089375
264,128741.64846354167
265,129082.77859375
266,129541.01265625
267,129637.73092830883
268,129943.56986979167
269,130356.45473958334
270,0.0
271,130603.039453125
272,130982.92247395833
273,131635.29626766784
274,132006.32502604165
275,132424.10286458334
276,132776.44692708334
277,133220.38296875
278,133588.3923993644
279,134031.05348958334
280,0.0
281,134234.05377604166
282,134733.24177083332
283,135150.30979166666
284,135456.86359375
285,135806.45322916665
286,136248.79984375
287,136568.51916666667
288,136962.4140625
289,137421.91967975206
290,0.0
291,137388.81390625
292,137847.53265625
293,138375.10947916665
294,138865.63239583332
295,139239.4475
296,139634.786875
297,139928.64744791668
298,140172.79682291666
299,140646.1340625
300,0.0
301,141194.11677083332
302,141480.5078125
303,141879.88083333333
304,142239.2025
305,142660.0249431818
306,143097.21630208334
307,143300.7010720803
308,143222.6421875
309,143596.06796875
310,0.0
311,144259.68020833333
312,144596.23552083335
313,144908.79942708334
314,145353.84088541666
315,145726.254375
316,146003.51067708334
317,146580.43613355514
318,147057.52567997685
319,147309.63276041666
320,0.0
321,147745.15557291667
322,148128.37123054476
323,148659.25973958333
324,148991.85401041666
325,149349.50458333333
326,149648.19447916668
327,150038.18269698444
328,150535.64459325396
329,150869.26046875
330,0.0
331,151019.69473214285
332,151174.85765625
333,151383.820625
334,151885.66442708333
335,152176.42390625
336,152597.3721104452
337,153400.51208333333
338,153734.66677083334
339,154298.93199510677
340,0.0
341,154182.09567708333
342,154337.5053125
343,155029.975625
344,155431.74390625
345,155733.41333333333
346,156132.0315241228
347,156532.23211348685
348,156872.80661458333
349,157154.7925
350,0.0
351,158014.475625
352,158305.98452310427
353,158171.16166666665
354,158548.62802083333
355,158541.9911177386
356,159029.87484375
357,159474.06523001858
358,159929.52786458333
359,160550.75625
360,0.0
361,161008.79031569965
362,161440.15932291668
363,161775.50265625
364,162024.41546875
365,162285.61520833333
366,162437.40182291667
367,162882.36609375
368,163281.61432926828
369,162769.11947916666
370,0.0
371,162927.00088541667
