,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,3.053864052295685
12,1.9455840627352396
13,1.6070881136258444
14,1.4685482772191365
15,1.376156711379687
16,1.337326213121414
17,1.2852330336968103
18,1.2848892517884571
19,1.2790958392620086
20,0.0
21,1.2747636385758718
22,1.3031764715909957
23,1.3144862769047418
24,1.3469493017594019
25,1.3751110784212748
26,1.4387910068035126
27,1.50002880414327
28,1.524791806936264
29,1.5605323656400045
30,0.0
31,1.5726950498421988
32,1.607808411916097
33,1.6536525533749507
34,2.0026210343837736
35,2.003991498152415
36,2.053406513929367
37,2.0464821942647298
38,2.0406870329380036
39,2.0541559771696725
40,0.0
41,2.0212805954615276
42,1.9871240051587422
43,2.0478288515408836
44,2.0127700094381966
45,2.00868172566096
46,1.9500947185357411
47,1.9246613844235738
48,1.9200461602210999
49,1.8770121053854625
50,0.0
51,1.82125084400177
52,1.8031315763791402
53,1.6937155520915985
54,1.6928001387914022
55,1.6503709681828818
56,1.6020421314239501
57,1.5586897162596385
58,1.5159002840518951
59,1.4655846710999807
60,0.0
61,1.4073242004712423
62,1.3650640958547593
63,1.3433815250794092
64,1.2706146921714148
65,1.2611856331427893
66,1.2143003875017166
67,1.2007822465896607
68,1.1544320303201676
69,1.1089037507772446
70,0.0
71,1.1023365342617035
72,1.0729944801330566
73,1.1225700396299363
74,1.0843521463871002
75,1.0928206127882003
76,1.0594629257917405
77,1.0333022022247313
78,1.0157713743050893
79,1.0258784904366447
80,0.0
81,1.1565073879559835
82,1.1646593111753463
83,1.2025150672594707
84,1.209088291724523
85,1.2017465978860855
86,1.269327371319135
87,1.284095061913369
88,1.4262359607219697
89,1.4729621736208598
90,0.0
91,1.4702019329821125
92,1.6906869651873906
93,1.698556169072787
94,1.7234348825613657
95,1.702358169555664
96,1.683803282181422
97,1.7243296563625337
98,1.7536242194970448
99,1.7298407712761237
100,0.0
101,1.9029464399814606
102,1.7594513368606568
103,1.735349801381429
104,1.749075536330541
105,1.746506199836731
106,1.740459727048874
107,1.795249943335851
108,1.8285080401102702
109,1.7170929863646223
110,0.0
111,1.8857770891984305
112,1.916697468360265
113,1.8391065033276877
114,1.9052429684003194
115,1.823150863647461
116,1.7945343740781148
117,1.8426862668991089
118,1.8032602820793788
119,1.8120601562658947
120,0.0
121,1.7727846633398898
122,1.91116413295269
123,1.9830300748348235
124,1.9112975915273032
125,1.9165009667644393
126,2.0930605127414066
127,1.9984632736444474
128,2.0235975329081217
129,2.0554982284704844
130,0.0
131,2.0888831681013107
132,2.022789284189542
133,1.970518436829249
134,2.0120095886786777
135,2.1064897668361664
136,2.078703771630923
137,2.04255587498347
138,2.0125212983290353
139,2.118651006023089
140,0.0
141,1.99161297082901
142,2.244101130167643
143,2.2112811064720153
144,2.280323590040207
145,2.1834618769089382
146,2.24282508234183
147,2.17460903942585
148,2.184917613154366
149,2.217350284655889
150,0.0
151,2.2534175817171733
152,2.279565230210622
153,2.235411967550005
154,2.403114326993624
155,2.4142147509256997
156,2.4170565889279048
157,2.3634511764844257
158,2.222201091051102
159,2.258612408041954
160,0.0
161,2.0528204679489135
162,2.104272568821907
163,2.187334961891174
164,2.1822934591770173
165,2.0933173819382986
166,2.1780903498331705
167,2.19814284324646
168,2.058868085896527
169,2.1215279412269594
170,0.0
171,2.170841554005941
172,2.07654123544693
173,2.0711734275023144
174,2.072969512542089
175,2.0648933301369348
176,2.153042239546776
177,2.180812497138977
178,2.0924530482292174
179,2.019577463666598
180,0.0
181,1.9845224042733511
182,2.0174589359760287
183,1.9395798321564992
184,1.9578479425112407
185,1.9065723999341329
186,1.9787570557991663
187,1.927572764555613
188,2.020058656533559
189,1.9855183041095734
190,0.0
191,1.8345470110575357
192,1.9852760710318884
193,2.0513587989977426
194,2.0854756665229797
195,2.0809315147002536
196,1.965373974641164
197,1.9614442614714305
198,1.9800905644893647
199,1.976083860596021
200,0.0
201,2.0107948629061383
202,1.983170486084549
203,2.153168044090271
204,2.1729814567168555
205,2.124194846947988
206,2.033314340909322
207,2.159362176259359
208,2.1320511480172475
209,2.099569364388784
210,0.0
211,2.111988815741661
212,2.176945159669782
213,2.2808249697311602
214,2.240439361532529
215,2.3126491490999856
216,2.3112668550014495
217,2.217607982556025
218,2.256504177409697
219,2.381494525273641
220,0.0
221,2.2824898052215574
222,2.2855246178309123
223,2.2477303480279858
224,2.41309436917305
225,2.2520487717787425
226,2.311452081998189
227,2.254844224055608
228,2.2385097527503968
229,2.3115120923519132
230,0.0
231,2.513508128722509
232,2.4652727568149566
233,2.430911275545756
234,2.317681782245636
235,2.436762015422185
236,2.468591497739156
237,2.523949903249741
238,2.3997214988867444
239,2.421269378264745
240,0.0
241,2.203380902060147
242,2.513598343928655
243,2.467659030357997
244,2.440255143245061
245,2.4381609749794007
246,2.4202415680885316
247,2.4601650750637054
248,2.3845516068876282
249,2.643595107793808
250,0.0
251,2.6136026549339295
252,2.6761536729335784
253,2.6033630061149595
254,2.6459564236799875
255,2.645215642054876
256,2.5787230229377744
257,2.566073543628057
258,2.58539438645045
259,2.615143627723058
260,0.0
261,2.658739861647288
262,2.5411614537239076
263,2.4664299782117207
264,2.320976969798406
265,2.2782831128438312
266,2.396899369160334
267,2.2526565229191498
268,2.4472417569160463
269,2.4496045915285745
270,0.0
271,2.412240917682648
272,2.523929872910182
273,2.4198558098857057
274,2.5334158992767333
275,2.5174469216664632
276,2.5047929803530375
277,2.5542392539978027
278,2.49816869598324
279,2.466536608537038
280,0.0
281,2.644083394209544
282,2.5368951972325644
283,2.418368391990662
284,2.4182180547714234
285,2.3265889819463093
286,2.422170885403951
287,2.373915425936381
288,2.406151631275813
289,2.2082434163605873
290,0.0
291,2.33335028330485
292,2.374734329779943
293,2.3467645382881166
294,2.2582811292012535
295,2.3080403447151183
296,2.2610911746819813
297,2.219176582098007
298,2.2963621258735656
299,2.202389485836029
300,0.0
301,2.139042704105377
302,2.2222060724099477
303,2.095320488214493
304,2.0912170577049256
305,2.143694643974304
306,2.088321672677994
307,2.091085616689529
308,2.3242546753088633
309,2.2475797657171883
310,0.0
311,2.185959577560425
312,2.1223965350786846
313,2.0895591191450755
314,2.1522904249032337
315,2.054260286092758
316,2.122826221783956
317,2.0815210963383373
318,1.9533760917407494
319,2.1513024866580963
320,0.0
321,2.1177050006389617
322,2.1393345960847134
323,2.1182286588350934
324,2.142170981168747
325,2.112645648320516
326,2.1018662846088407
327,2.1367370214907577
328,2.1709640664713725
329,2.1965914976596834
330,0.0
331,2.2709772886548723
332,2.282840168873469
333,2.3475384557247163
334,2.297439479033152
335,2.327031591733297
336,2.3187456592305065
337,2.223144380648931
338,2.22852086742719
339,2.198988108872519
340,0.0
341,2.3812449701627094
342,2.3808834556738536
