,reward
0,-316.0
1,-305.0
2,-311.0
3,-316.0
4,-301.0
5,-311.0
6,-312.0
7,-308.0
8,-306.0
9,-321.0
10,-311.0
11,-300.0
12,-300.0
13,-300.0
14,-300.0
15,-300.0
16,-300.0
17,-300.0
18,-300.0
19,-300.0
20,-300.0
21,-300.0
22,-300.0
23,-300.0
24,-300.0
25,-300.0
26,-300.0
27,-300.0
28,-300.0
29,-300.0
30,-300.0
31,-300.0
32,-300.0
33,-300.0
34,-300.0
35,-300.0
36,-300.0
37,-300.0
38,-300.0
39,-300.0
40,-300.0
41,-300.0
42,-300.0
43,-300.0
44,-300.0
45,-300.0
46,-300.0
47,-300.0
48,-300.0
49,-300.0
50,-300.0
51,-300.0
52,-300.0
53,-300.0
54,-300.0
55,-300.0
56,762.0
57,-300.0
58,-300.0
59,-300.0
60,-300.0
61,-300.0
62,-300.0
63,-300.0
64,-300.0
65,-300.0
66,-300.0
67,-300.0
68,-300.0
69,-300.0
70,-300.0
71,-300.0
72,-300.0
73,829.0
74,-300.0
75,-300.0
76,-300.0
77,-300.0
78,-300.0
79,-300.0
80,-300.0
81,-300.0
82,-300.0
83,-300.0
84,-300.0
85,-300.0
86,-300.0
87,-300.0
88,-300.0
89,-300.0
90,-300.0
91,-300.0
92,-300.0
93,-300.0
94,-300.0
95,-300.0
96,-300.0
97,774.0
98,-300.0
99,-300.0
100,-300.0
101,-300.0
102,-300.0
103,-300.0
104,-300.0
105,-300.0
106,-300.0
107,-300.0
108,-300.0
109,-300.0
110,-300.0
111,-300.0
112,-300.0
113,-300.0
114,-300.0
115,-300.0
116,-300.0
117,-300.0
118,-300.0
119,-300.0
120,-300.0
121,-300.0
122,-300.0
123,-300.0
124,-300.0
125,-300.0
126,-300.0
127,-300.0
128,-300.0
129,-300.0
130,-300.0
131,-300.0
132,-300.0
133,-300.0
134,-300.0
135,-300.0
136,-300.0
137,-300.0
138,-300.0
139,-300.0
140,-300.0
141,-300.0
142,-300.0
143,-300.0
144,-300.0
145,-300.0
146,-300.0
147,-300.0
148,-300.0
149,-300.0
150,-300.0
151,-300.0
152,-300.0
153,-300.0
154,-300.0
155,-300.0
156,-300.0
157,-300.0
158,-300.0
159,-300.0
160,-300.0
161,-300.0
162,-300.0
163,-300.0
164,-300.0
165,-300.0
166,-300.0
167,-300.0
168,-300.0
169,-300.0
170,-300.0
171,-300.0
172,-300.0
173,-300.0
174,-300.0
175,-300.0
176,-300.0
177,-300.0
178,-300.0
179,-300.0
180,-300.0
181,-300.0
182,-300.0
183,-300.0
184,-300.0
185,-300.0
186,-300.0
187,-300.0
188,-300.0
189,-300.0
190,-300.0
191,-300.0
192,-300.0
193,-300.0
194,-300.0
195,-300.0
196,-300.0
197,-300.0
198,-300.0
199,-300.0
200,-300.0
201,-300.0
202,-300.0
203,-300.0
204,-300.0
205,-300.0
206,-300.0
207,-300.0
208,-300.0
209,-300.0
210,-300.0
211,-300.0
212,-300.0
213,-300.0
214,-300.0
215,-300.0
216,-300.0
217,-300.0
218,-300.0
219,-300.0
220,-300.0
221,-300.0
222,-300.0
223,-300.0
224,-300.0
225,-300.0
226,-300.0
227,-300.0
228,-300.0
229,-300.0
230,-300.0
231,-300.0
232,-300.0
233,-300.0
234,-300.0
235,-300.0
236,-300.0
237,-300.0
238,-300.0
239,-300.0
240,-300.0
241,-300.0
242,-300.0
243,-300.0
244,-300.0
245,-300.0
246,-300.0
247,-300.0
248,-300.0
249,-300.0
250,-300.0
251,-300.0
252,-300.0
253,-300.0
254,-300.0
255,-300.0
256,-300.0
257,-300.0
258,-300.0
259,-300.0
260,-300.0
261,-300.0
262,-300.0
263,-300.0
264,-300.0
265,-300.0
266,-300.0
267,-300.0
268,-300.0
269,-300.0
270,-300.0
271,-300.0
272,-300.0
273,-300.0
274,-300.0
275,-300.0
276,-300.0
277,-300.0
278,910.0
279,-300.0
280,-300.0
281,-300.0
282,-300.0
283,-300.0
284,-300.0
285,-300.0
286,-300.0
287,-300.0
288,-300.0
289,-300.0
290,-300.0
291,-300.0
292,-300.0
293,-300.0
294,-300.0
295,-300.0
296,-300.0
297,-300.0
298,-300.0
299,-300.0
300,-300.0
301,-300.0
302,-300.0
303,-300.0
304,-300.0
305,862.0
306,-300.0
307,-300.0
308,-300.0
309,-300.0
310,-300.0
311,-300.0
312,-300.0
313,-300.0
314,795.0
315,-300.0
316,-300.0
317,-300.0
318,-300.0
319,-300.0
320,-300.0
321,889.0
322,-300.0
323,-300.0
324,-300.0
325,-300.0
326,-300.0
327,-300.0
328,-300.0
329,-300.0
330,-300.0
331,-300.0
332,-300.0
333,-300.0
334,-300.0
