,reward
0,-241.0
1,-284.0
2,-281.0
3,-284.0
4,-282.0
5,-283.0
6,-300.0
7,-346.0
8,-300.0
9,-286.0
10,-247.0
11,-247.0
12,-300.0
13,-300.0
14,-343.0
15,-300.0
16,-320.0
17,-403.0
18,-296.0
19,-348.0
20,-243.0
21,-250.0
22,969.0
23,-221.0
24,-318.0
25,-276.0
26,941.0
27,-344.0
28,-267.0
29,-300.0
30,-275.0
31,-300.0
32,-300.0
33,-421.0
34,-408.0
35,-300.0
36,-335.0
37,-343.0
38,-417.0
39,-300.0
40,-284.0
41,-444.0
42,812.0
43,-300.0
44,-313.0
45,-295.0
46,-479.0
47,-274.0
48,-318.0
49,-300.0
50,-288.0
51,-300.0
52,-300.0
53,-300.0
54,-290.0
55,-300.0
56,-329.0
57,-300.0
58,-300.0
59,-300.0
60,-265.0
61,-300.0
62,-300.0
63,-281.0
64,-287.0
65,-258.0
66,-335.0
67,-263.0
68,-300.0
69,-378.0
70,-305.0
71,-252.0
72,972.0
73,-264.0
74,-449.0
75,804.0
76,-300.0
77,-300.0
78,-432.0
79,-248.0
80,-300.0
81,-300.0
82,-300.0
83,-300.0
84,-340.0
85,-480.0
86,902.0
87,-218.0
88,-405.0
89,-300.0
90,-390.0
91,903.0
92,-256.0
93,873.0
94,-300.0
95,-300.0
96,-300.0
97,-300.0
98,785.0
99,-300.0
100,-300.0
101,-300.0
102,769.0
103,-300.0
104,-300.0
105,941.0
106,-300.0
107,-300.0
108,-300.0
109,941.0
110,-300.0
111,-300.0
112,849.0
113,-300.0
114,-300.0
115,-300.0
116,-300.0
117,-300.0
118,-300.0
119,811.0
120,-300.0
121,-300.0
122,-300.0
123,-300.0
124,-300.0
125,-300.0
126,-300.0
127,924.0
128,-300.0
129,920.0
130,958.0
131,-300.0
132,-300.0
133,-300.0
134,-300.0
135,-300.0
136,936.0
137,846.0
138,-300.0
139,-300.0
140,-300.0
141,-300.0
142,-300.0
143,-300.0
144,-300.0
145,-300.0
146,-300.0
147,-300.0
148,-300.0
149,-300.0
150,-300.0
151,-300.0
152,-300.0
153,-300.0
154,-300.0
155,-300.0
156,-300.0
157,-300.0
158,-300.0
159,-300.0
160,-300.0
161,-300.0
162,-300.0
163,-300.0
164,-300.0
165,-300.0
166,-300.0
167,-300.0
168,934.0
169,-300.0
170,-300.0
171,-300.0
172,-300.0
173,991.0
174,-300.0
175,965.0
176,-300.0
177,-300.0
178,-300.0
179,759.0
180,-300.0
181,992.0
182,-300.0
183,988.0
184,970.0
185,924.0
186,-300.0
187,742.0
188,-300.0
189,-300.0
190,767.0
191,-300.0
192,-300.0
193,-300.0
194,815.0
195,-300.0
196,-300.0
197,718.0
198,731.0
199,-212.0
200,-300.0
201,938.0
202,-300.0
203,810.0
204,742.0
205,-300.0
206,-300.0
207,-300.0
208,714.0
209,-300.0
210,-300.0
211,-300.0
212,-300.0
213,-300.0
214,702.0
215,-260.0
216,976.0
217,-300.0
218,-432.0
219,-300.0
220,-300.0
221,718.0
222,-345.0
223,949.0
224,-300.0
225,-300.0
226,-300.0
227,-300.0
228,945.0
229,899.0
230,-300.0
231,976.0
232,716.0
233,-300.0
234,783.0
235,-300.0
236,973.0
237,-300.0
238,849.0
239,-300.0
240,-253.0
241,-300.0
242,741.0
243,-300.0
244,-300.0
245,-300.0
246,-300.0
247,849.0
248,-300.0
249,811.0
250,-424.0
251,-270.0
252,-300.0
253,941.0
254,-216.0
255,-300.0
256,-477.0
257,-329.0
258,-280.0
259,-362.0
260,-280.0
261,-322.0
262,-311.0
263,-260.0
264,-357.0
265,-280.0
266,-383.0
267,-498.0
268,-367.0
269,-300.0
270,-304.0
271,951.0
272,-214.0
273,-270.0
274,951.0
275,-224.0
276,-241.0
277,-393.0
278,-289.0
279,-279.0
280,-290.0
281,-272.0
282,-308.0
283,933.0
284,-223.0
285,-300.0
286,-262.0
287,-257.0
288,957.0
289,-247.0
290,-256.0
291,-259.0
292,-245.0
293,-244.0
294,-252.0
295,-248.0
296,-246.0
297,-271.0
298,-251.0
299,-244.0
300,-252.0
301,-248.0
302,-300.0
303,932.0
304,-231.0
305,-258.0
306,-247.0
307,-251.0
308,-300.0
309,-249.0
310,-255.0
311,-267.0
312,-253.0
313,-268.0
314,-251.0
315,-274.0
316,-249.0
317,-265.0
318,-252.0
319,-236.0
320,-250.0
321,-300.0
322,-344.0
323,-260.0
324,-236.0
325,-300.0
326,-266.0
327,-252.0
328,-300.0
329,-300.0
330,-257.0
331,-300.0
332,-254.0
333,-247.0
334,-236.0
335,-252.0
336,-246.0
337,-258.0
338,-258.0
339,-253.0
340,-261.0
341,-300.0
342,962.0
343,-235.0
344,-256.0
345,-251.0
346,-263.0
347,-259.0
348,-300.0
349,-244.0
350,-248.0
351,-300.0
352,-250.0
353,-314.0
354,-253.0
355,-253.0
356,-243.0
357,-245.0
358,-250.0
359,-252.0
360,-300.0
361,970.0
362,-230.0
363,-473.0
364,-254.0
365,-260.0
366,-238.0
367,-263.0
368,-242.0
369,-245.0
370,-246.0
371,-260.0
372,-261.0
373,-300.0
374,-253.0
375,-300.0
376,-270.0
377,942.0
378,-245.0
379,-300.0
380,-266.0
381,-325.0
382,-300.0
383,-300.0
384,975.0
385,-226.0
386,-300.0
387,-280.0
388,-277.0
389,-265.0
390,-257.0
391,-254.0
392,-249.0
393,-245.0
394,-292.0
395,-292.0
396,-277.0
397,-289.0
398,-263.0
399,-256.0
400,-255.0
401,-284.0
402,-300.0
403,-258.0
404,-270.0
405,-415.0
406,-293.0
407,-318.0
408,-258.0
409,-387.0
410,-318.0
411,-339.0
412,-273.0
413,-327.0
414,-309.0
415,-305.0
416,-300.0
417,-300.0
418,-283.0
419,-313.0
420,-246.0
421,-359.0
422,-366.0
423,-330.0
424,-333.0
425,-300.0
426,-273.0
427,-307.0
428,-311.0
429,-386.0
430,-294.0
431,-295.0
432,-281.0
433,-274.0
434,-292.0
435,-333.0
436,-318.0
437,944.0
438,-290.0
439,-404.0
440,970.0
441,-244.0
442,-256.0
443,980.0
444,-338.0
445,-444.0
446,-365.0
447,-338.0
448,-281.0
449,-291.0
450,-254.0
451,-273.0
452,-267.0
453,-480.0
454,830.0
455,-263.0
456,-394.0
457,745.0
458,-482.0
459,-284.0
460,-277.0
461,984.0
462,-267.0
463,977.0
464,-290.0
465,-275.0
466,-268.0
467,-318.0
468,-318.0
469,913.0
470,-221.0
471,-334.0
472,-273.0
473,-278.0
474,974.0
475,-272.0
476,-268.0
477,-264.0
478,-277.0
479,-300.0
480,-300.0
481,-329.0
482,-297.0
483,-317.0
484,-301.0
485,979.0
486,-357.0
487,-276.0
488,-284.0
489,-353.0
490,-282.0
491,-265.0
492,-300.0
493,-325.0
494,-301.0
495,-300.0
496,-260.0
497,-300.0
498,-292.0
499,-381.0
500,-300.0
501,917.0
502,-307.0
503,-300.0
504,-261.0
505,-300.0
506,-477.0
507,967.0
508,-344.0
509,-300.0
510,-273.0
511,-274.0
512,-314.0
513,-308.0
