,reward
0,1082.0
1,-960.0
2,-498.0
3,-1160.0
4,-784.0
5,-1398.0
6,-1364.0
7,-210.0000000000001
8,-436.0000000000002
9,-682.0
10,-558.0
11,-718.0000000000002
12,-260.00000000000017
13,-360.0000000000001
14,-676.0000000000001
15,-702.0
16,-1078.0
17,-1866.0
18,-746.0000000000005
19,-718.0
20,-528.0
21,-1820.0000000000002
22,-646.0
23,-696.0
24,-396.0000000000007
25,-730.0000000000006
26,-532.0
27,-844.0000000000005
28,-766.0000000000005
29,-600.0000000000002
30,-1550.0000000000002
31,-728.0
32,-676.0000000000002
33,-596.0000000000006
34,-834.0
35,876.0
36,-498.0
37,-178.00000000000003
38,753.9999999999998
39,-363.9999999999999
40,-884.0
41,-1042.0000000000002
42,-2002.0
43,-1996.0
44,-1490.0
45,-1184.0
46,-1108.0
47,-1760.0
48,-812.0000000000001
49,-1024.0
50,-472.0
51,-216.0
52,-764.0
53,-1248.0000000000002
54,1112.0
55,-488.0
56,-770.0
57,-672.0
58,-1060.0000000000002
59,-2390.0
60,-754.0
61,-798.0000000000002
62,-928.0000000000001
63,-714.0000000000001
64,-730.0000000000002
65,-838.0000000000002
66,-2248.0
67,-838.0
68,1068.0
69,-382.00000000000006
70,-414.0
71,-816.0000000000002
72,-566.0000000000001
73,-782.0
74,1242.0
75,-356.0
76,1236.0
77,-2400.0
78,-374.0
79,-998.0
80,-2114.0
81,-748.0
82,-714.0
83,-1094.0000000000005
84,-460.0000000000003
85,-534.0000000000001
86,-928.0000000000001
87,-1418.0000000000002
88,-1286.0
89,-786.0
90,-642.0
91,-720.0
92,-594.0000000000002
93,-672.0000000000002
94,-470.0
95,1222.0
96,-374.0000000000001
97,-452.00000000000017
98,-532.0000000000003
99,-180.0
100,-582.0000000000001
101,-420.0000000000001
102,1198.0
103,-284.00000000000017
104,-746.0
105,-246.00000000000017
106,-534.0000000000002
107,-308.0000000000002
108,-852.0
109,-538.0000000000001
110,-410.0000000000002
111,1186.0
112,3.9999999999997726
113,-588.0000000000005
114,-236.0000000000001
115,-590.0
116,-246.00000000000006
117,-542.0000000000002
118,-866.0000000000005
119,-732.0
120,-758.0
121,-410.0000000000007
122,-520.0000000000005
123,997.9999999999998
124,-420.0000000000006
125,-1014.0000000000003
126,-542.0
127,-494.00000000000045
128,-606.0000000000005
129,1094.0
130,-666.0000000000005
131,-436.0000000000008
132,937.9999999999997
133,-404.00000000000034
134,-760.0000000000002
135,-616.0000000000006
136,-464.00000000000006
137,-880.0000000000003
138,-740.0000000000003
139,-1074.0
140,-1618.0000000000002
141,-570.0000000000003
142,-686.0000000000002
143,-610.0000000000002
144,-678.0000000000006
145,-608.0000000000002
146,-604.0000000000008
147,-712.0000000000005
148,-672.0000000000005
149,-554.0000000000007
150,-582.0000000000005
151,-668.0000000000005
152,-716.0000000000002
153,-1256.0000000000002
154,-998.0000000000002
155,-738.0000000000002
156,-804.0
157,-908.0000000000002
158,-760.0000000000002
159,-1014.0000000000002
160,-1060.0000000000002
161,430.0
162,-674.0000000000005
163,-730.0000000000002
164,-720.0000000000003
165,593.9999999999999
166,-1036.0000000000002
167,-628.0000000000002
168,-788.0000000000002
169,-782.0000000000001
170,-836.0000000000002
171,-590.0000000000005
172,-746.0000000000002
173,-832.0000000000002
174,-886.0
175,-1028.0000000000002
176,-1002.0
177,-576.0000000000001
178,-652.0000000000002
179,-706.0000000000002
180,-882.0000000000002
181,-834.0000000000003
182,-910.0000000000002
183,-798.0000000000005
184,-842.0000000000005
185,-730.0000000000002
186,-822.0000000000002
187,-856.0000000000002
188,-788.0000000000003
189,-944.0
190,-912.0000000000002
191,-852.0000000000002
192,-814.0000000000002
193,-820.0000000000003
194,-1116.0
195,-1146.0000000000002
196,-1308.0
197,-998.0
198,-1162.0
199,-946.0000000000002
200,1064.0
201,-1216.0000000000002
202,-992.0000000000002
203,-1224.0
204,-848.0000000000002
205,-952.0000000000001
206,-1144.0000000000002
207,-1384.0000000000002
208,-1088.0
209,-1278.0000000000002
210,-1274.0
211,-1502.0
212,-1268.0
213,-1206.0
214,-980.0000000000002
215,-1002.0000000000001
216,-1160.0
217,-904.0000000000001
218,-1340.0000000000002
219,-804.0
220,-1120.0
221,-1370.0000000000002
222,-1050.0000000000002
223,-802.0000000000001
224,-1356.0
225,-1064.0000000000002
226,-934.0000000000002
227,-1148.0
228,-898.0000000000002
229,-688.0000000000003
230,-728.0000000000002
231,-722.0000000000001
232,-796.0000000000002
233,-798.0000000000002
234,-874.0000000000003
235,-652.0000000000001
236,-962.0000000000002
237,-826.0000000000002
238,-1102.0
239,-912.0
240,-984.0000000000001
241,-936.0000000000002
242,-1040.0
243,-780.0000000000001
244,-824.0000000000002
245,-854.0
246,-812.0000000000002
247,-1222.0000000000002
248,-960.0000000000001
249,-1118.0
250,-992.0000000000001
251,-964.0000000000001
252,-1050.0000000000002
253,-1186.0
254,-904.0
255,720.0
256,-848.0000000000002
257,-892.0000000000002
258,-896.0000000000001
259,-1042.0000000000002
260,-1042.0
261,-650.0000000000003
262,-1020.0000000000002
263,280.0
264,-948.0000000000002
265,669.9999999999999
266,-844.0000000000003
267,-938.0000000000003
268,-930.0000000000003
269,-720.0000000000002
270,-652.0000000000002
271,-928.0
272,-646.0000000000002
273,-852.0000000000002
274,-624.0000000000003
275,-838.0000000000002
276,-754.0000000000001
277,-1036.0
278,-1006.0000000000002
279,-702.0000000000002
280,-674.0000000000002
281,-738.0000000000002
282,-728.0000000000002
283,-840.0000000000001
284,-802.0000000000001
285,-608.0000000000002
286,-780.0000000000002
287,-748.0000000000002
288,-782.0000000000003
289,-742.0000000000002
290,-514.0000000000001
291,-1012.0
292,-776.0000000000002
293,-938.0000000000001
294,-742.0000000000005
295,-754.0000000000001
296,906.0
297,-770.0000000000001
298,-770.0000000000001
299,-678.0000000000001
300,1020.0
301,-536.0000000000001
302,-774.0000000000002
303,-694.0000000000002
304,-902.0000000000001
305,-454.0000000000002
306,-458.0000000000005
307,1022.0
308,-596.0000000000002
309,-804.0000000000002
310,1016.0
311,-714.0000000000002
312,-482.0000000000005
313,-524.0000000000005
314,-634.0000000000005
315,-496.0000000000004
316,-576.0000000000002
317,-528.0000000000003
318,932.0
319,-628.0000000000002
320,-374.00000000000057
321,-756.0000000000002
322,-556.0
323,-710.0000000000002
324,-626.0000000000002
325,-588.0000000000005
326,-600.0000000000001
327,-698.0000000000002
328,-512.0000000000002
329,-522.0000000000005
330,-424.00000000000045
331,-482.0000000000002
332,-590.0000000000003
333,-882.0
334,-834.0000000000001
335,-1178.0
336,-1108.0
337,-1370.0000000000002
338,-1104.0
339,-956.0
340,-1376.0
341,-756.0000000000001
342,-872.0
343,-578.0000000000002
344,-588.0000000000002
345,-760.0000000000002
346,-1062.0
347,-752.0
348,-678.0
349,833.9999999999999
350,-508.00000000000034
351,-1052.0
352,-708.0
353,-976.0000000000002
354,-808.0000000000002
355,1010.0
356,-778.0000000000002
357,-802.0000000000001
358,-1286.0
359,-1674.0
360,943.9999999999999
361,-1104.0000000000002
362,1072.0
363,-126.00000000000009
364,594.0
365,-968.0
366,-966.0
367,761.9999999999999
368,-478.00000000000017
369,-698.0000000000002
370,1016.0
371,-1120.0000000000002
372,-1062.0
373,-1436.0
374,573.9999999999998
375,-368.0
376,-688.0000000000001
377,570.0
378,-426.00000000000034
379,-640.0
380,-300.00000000000034
381,-618.0000000000001
382,-506.00000000000034
383,945.9999999999998
384,955.9999999999999
385,-470.0
386,-644.0
387,-564.0000000000001
388,637.9999999999997
389,-646.0000000000001
390,831.9999999999998
391,1231.9999999999998
392,733.9999999999998
393,-922.0000000000003
394,717.9999999999999
395,-1114.0000000000002
396,-906.0000000000001
397,-400.0000000000002
398,-1112.0
