,reward
0,979.0
1,-258.0
2,-285.0
3,-280.0
4,-281.0
5,-281.0
6,-300.0
7,-370.0
8,-300.0
9,-254.0
10,-300.0
11,-300.0
12,-322.0
13,-253.0
14,-242.0
15,-300.0
16,-277.0
17,-300.0
18,-279.0
19,-295.0
20,-260.0
21,-300.0
22,-303.0
23,-300.0
24,-383.0
25,-287.0
26,-316.0
27,-316.0
28,-285.0
29,-315.0
30,-300.0
31,-312.0
32,-308.0
33,-338.0
34,-291.0
35,-392.0
36,-300.0
37,-300.0
38,-272.0
39,-363.0
40,-298.0
41,-267.0
42,-279.0
43,-337.0
44,-336.0
45,-250.0
46,-244.0
47,-270.0
48,-267.0
49,-309.0
50,-299.0
51,-326.0
52,-274.0
53,-249.0
54,-291.0
55,-300.0
56,-268.0
57,-263.0
58,-393.0
59,-268.0
60,-441.0
61,-326.0
62,-315.0
63,-433.0
64,853.0
65,-247.0
66,-262.0
67,-433.0
68,-300.0
69,-300.0
70,-314.0
71,-307.0
72,-264.0
73,-303.0
74,-325.0
75,-301.0
76,-290.0
77,-341.0
78,-400.0
79,-286.0
80,-436.0
81,-262.0
82,-412.0
83,-456.0
84,-300.0
85,-439.0
86,-300.0
87,-300.0
88,819.0
89,-300.0
90,-300.0
91,-300.0
92,-300.0
93,-300.0
94,-300.0
95,-445.0
96,-327.0
97,-355.0
98,-386.0
99,-391.0
100,-289.0
101,-319.0
102,-306.0
103,-265.0
104,-395.0
105,-351.0
106,-277.0
107,-279.0
108,-282.0
109,-274.0
110,-268.0
111,-338.0
112,-330.0
113,-290.0
114,966.0
115,-224.0
116,-268.0
117,956.0
118,-304.0
119,-275.0
120,-250.0
121,-267.0
122,-270.0
123,-277.0
124,962.0
125,-223.0
126,-280.0
127,-282.0
128,-273.0
129,-274.0
130,-280.0
131,-291.0
132,-301.0
133,-289.0
134,871.0
135,-249.0
136,-277.0
137,-297.0
138,-275.0
139,-268.0
140,-350.0
141,-256.0
142,-274.0
143,-272.0
144,-303.0
145,-271.0
146,-300.0
147,-262.0
148,-289.0
149,-294.0
150,-260.0
151,-269.0
152,-301.0
153,-305.0
154,-283.0
155,954.0
156,-241.0
157,-288.0
158,-279.0
159,-295.0
160,-300.0
161,-270.0
162,951.0
163,-250.0
164,-300.0
165,-302.0
166,-303.0
167,-370.0
168,886.0
169,-257.0
170,-300.0
171,-347.0
172,-347.0
173,-312.0
174,-283.0
175,-316.0
176,-317.0
177,-302.0
178,-300.0
179,-490.0
180,-337.0
181,-344.0
182,-357.0
183,963.0
184,-283.0
185,-325.0
186,-460.0
187,-357.0
188,-326.0
189,-358.0
190,-405.0
191,-434.0
192,-339.0
193,-326.0
194,-446.0
195,-309.0
196,-300.0
197,-268.0
198,-326.0
199,-300.0
200,-300.0
201,-360.0
202,-258.0
203,-371.0
204,-454.0
205,945.0
206,-332.0
207,752.0
208,-238.0
209,726.0
210,-300.0
211,818.0
212,-244.0
213,-300.0
214,-300.0
215,-300.0
216,917.0
217,726.0
218,-255.0
219,-300.0
220,991.0
221,-300.0
222,986.0
223,-300.0
224,-415.0
225,843.0
226,-300.0
227,-300.0
228,919.0
229,-229.0
230,-300.0
231,-329.0
232,-422.0
233,960.0
234,-300.0
235,-300.0
236,-300.0
237,-300.0
238,-300.0
239,736.0
240,-300.0
241,-300.0
242,-300.0
243,-300.0
244,973.0
245,-300.0
246,-300.0
247,-300.0
248,-300.0
249,-300.0
250,-300.0
251,-300.0
252,-300.0
253,-300.0
254,-300.0
255,-300.0
256,-300.0
257,-300.0
258,-300.0
259,-300.0
260,-300.0
261,-300.0
262,-300.0
263,-300.0
264,-300.0
265,924.0
266,-300.0
267,879.0
268,728.0
269,-300.0
270,921.0
271,-300.0
272,-300.0
273,-300.0
274,870.0
275,-300.0
276,-300.0
277,981.0
278,-300.0
279,-300.0
280,988.0
281,-300.0
282,957.0
283,-300.0
284,-300.0
285,-300.0
286,987.0
287,-300.0
288,-300.0
289,-300.0
290,800.0
291,-300.0
292,-300.0
293,-300.0
294,-300.0
295,-300.0
296,787.0
297,913.0
298,-300.0
299,-300.0
300,857.0
301,931.0
302,849.0
303,917.0
304,-300.0
305,915.0
306,-300.0
307,785.0
308,-300.0
309,-300.0
310,-300.0
311,868.0
312,804.0
313,-300.0
314,-300.0
315,936.0
316,-300.0
317,977.0
318,-300.0
319,-300.0
320,-300.0
321,-300.0
322,-300.0
323,-300.0
324,-300.0
325,936.0
326,945.0
327,849.0
328,935.0
329,760.0
330,-300.0
331,-300.0
332,-300.0
333,885.0
334,731.0
335,826.0
336,-300.0
337,-300.0
338,-300.0
339,980.0
340,906.0
341,-300.0
342,942.0
343,-300.0
344,877.0
345,-300.0
346,973.0
347,-300.0
348,947.0
349,-227.0
350,972.0
351,921.0
352,-414.0
353,-300.0
354,984.0
355,932.0
356,-241.0
357,-300.0
358,942.0
359,-233.0
360,-257.0
361,702.0
362,-298.0
363,981.0
364,844.0
365,-332.0
366,968.0
367,-222.0
368,-452.0
369,849.0
370,961.0
371,-347.0
372,948.0
373,-235.0
374,-251.0
375,933.0
376,850.0
377,-226.0
378,736.0
379,-223.0
380,-295.0
381,-350.0
382,952.0
383,-363.0
384,948.0
385,-347.0
386,-302.0
387,970.0
388,-222.0
389,976.0
390,-227.0
391,-300.0
392,964.0
393,884.0
394,891.0
395,-354.0
396,786.0
397,-309.0
398,836.0
399,-287.0
400,-300.0
401,912.0
402,-300.0
403,-259.0
404,-291.0
405,-417.0
406,-254.0
407,-262.0
408,-353.0
409,-249.0
410,-356.0
411,-249.0
412,-268.0
413,-253.0
414,-441.0
415,-264.0
416,957.0
417,-227.0
418,-337.0
419,-267.0
420,-300.0
421,-300.0
