,reward
2000,-300
2001,-300
2002,-300
2003,-300
2004,-300
2005,-300
2006,-300
2007,-300
2008,-300
2009,-300
2010,-300
2011,-300
2012,-300
2013,-300
2014,-300
2015,-300
2016,-300
2017,-300
2018,-300
2019,-300
2020,-300
2021,-300
2022,-300
2023,-300
2024,-300
2025,-300
2026,-300
2027,-300
2028,-300
2029,-300
2030,-300
2031,-300
2032,-300
2033,-300
2034,-300
2035,-300
2036,-300
2037,-300
2038,-300
2039,-300
2040,-300
2041,-300
2042,-300
2043,-300
2044,-300
2045,-300
2046,-300
2047,-300
2048,-300
2049,-300
2050,-300
2051,-300
2052,-300
2053,-300
2054,-300
2055,-300
2056,-300
2057,-300
2058,705
2059,-300
2060,-300
2061,-300
2062,-300
2063,-300
2064,-300
2065,-300
2066,-300
2067,953
2068,-300
2069,-300
2070,-300
2071,-300
2072,-300
2073,-300
2074,-300
2075,-300
2076,-300
2077,-300
2078,-300
2079,-300
2080,-300
2081,-300
2082,-300
2083,-300
2084,-300
2085,-300
2086,-300
2087,-300
2088,-300
2089,-300
2090,-300
2091,-300
2092,-300
2093,-300
2094,-300
2095,-300
2096,-300
2097,-300
2098,-300
2099,-300
2100,-300
2101,-300
2102,-300
2103,-300
2104,-300
2105,-300
2106,-300
2107,-300
2108,-300
2109,-300
2110,-300
2111,-300
2112,-300
2113,-300
2114,-300
2115,-300
2116,953
2117,-300
2118,-300
2119,-300
2120,-300
2121,-300
2122,-300
2123,-300
2124,-300
2125,-300
2126,-300
2127,-300
2128,-300
2129,-300
2130,-300
2131,-300
2132,-300
2133,705
2134,-300
2135,-300
2136,-300
2137,-300
2138,-300
2139,-300
2140,-300
2141,-300
2142,-300
2143,-300
2144,-300
2145,-300
2146,-300
2147,-300
2148,-300
2149,-300
2150,813
2151,-300
2152,-300
2153,-300
2154,-300
2155,-300
2156,-300
2157,-300
2158,-300
2159,915
2160,-300
2161,-300
2162,-300
2163,907
2164,-300
2165,-300
2166,-300
2167,-300
2168,-300
2169,-300
2170,-300
2171,-300
