,reward
0,580.0
1,-1318.0
2,590.0
3,-1302.0
4,-1494.0
5,712.0
6,-1038.0
7,-1494.0
8,-664.0000000000001
9,-1402.0
10,-1524.0
11,-1594.0
12,-506.0000000000003
13,-290.0000000000001
14,-384.0000000000002
15,437.99999999999943
16,-390.0000000000001
17,-402.0000000000001
18,-498.00000000000017
19,-530.0
20,204.0
21,389.9999999999988
22,-546.0
23,-238.00000000000028
24,-356.00000000000017
25,694.0
26,-370.0000000000001
27,-503.99999999999994
28,-424.0000000000002
29,357.99999999999994
30,-264.00000000000017
31,728.0
32,-828.0
33,-551.9999999999999
34,-294.0000000000001
35,367.99999999999915
36,-278.00000000000045
37,-204.00000000000023
38,-577.9999999999998
39,-344.00000000000006
40,816.0
41,-310.0000000000004
42,-500.0
43,-300.00000000000006
44,-620.0
45,431.99999999999915
46,-584.0000000000001
47,441.99999999999983
48,-400.0
49,-324.0000000000001
50,-492.0
51,-578.0
52,411.99999999999955
53,395.9999999999995
54,411.9999999999993
55,-280.00000000000045
56,295.9999999999994
57,-284.0000000000005
58,-274.00000000000006
59,-246.0000000000008
60,-292.0000000000001
61,-445.9999999999999
62,367.99999999999915
63,-200.00000000000085
64,-410.00000000000006
65,-528.0000000000001
66,-468.0
67,341.99999999999955
68,349.99999999999915
69,343.9999999999998
70,385.99999999999915
71,-312.00000000000017
72,341.99999999999926
73,309.99999999999943
74,-451.9999999999999
75,-538.0000000000002
76,-206.0
77,313.99999999999994
78,-558.0
79,319.9999999999997
80,-124.00000000000011
81,-400.0000000000001
82,-654.0000000000001
83,421.99999999999926
84,351.99999999999903
85,-550.0000000000002
86,-580.0
87,463.99999999999994
88,827.9999999999998
89,-379.99999999999983
90,-614.0
91,-596.0
92,-280.00000000000057
93,-338.00000000000017
94,-516.0
95,-372.0
96,-408.0000000000002
97,-252.00000000000017
98,-484.0000000000004
99,-286.00000000000006
100,-201.99999999999983
101,-358.0000000000001
102,-416.0000000000003
103,-194.00000000000017
104,-364.0000000000001
105,-232.0000000000001
106,884.0
107,182.00000000000043
108,-526.0000000000001
109,312.0
110,-504.0
111,431.99999999999926
112,287.9999999999999
113,-292.0000000000004
114,419.9999999999991
115,417.99999999999955
116,467.9999999999992
117,-372.00000000000006
118,-521.9999999999999
119,351.99999999999994
120,-624.0000000000002
121,-172.0000000000004
122,373.99999999999955
123,227.9999999999996
124,-493.99999999999994
125,-554.0
126,-218.00000000000034
127,-210.00000000000023
128,-576.0
129,337.99999999999943
130,-308.0000000000003
131,-552.0
132,-400.00000000000006
133,-636.0
134,-392.0000000000002
135,-406.0000000000002
136,-466.00000000000006
137,-324.0000000000001
138,762.0
139,-398.0000000000002
140,280.0
141,-394.00000000000006
142,-442.00000000000006
143,-380.0000000000001
144,-632.0
145,-280.0000000000001
146,668.0
147,-484.0
148,-370.0
149,-403.9999999999999
150,-350.0000000000001
151,-558.0
152,-354.0000000000001
153,219.99999999999983
154,-392.0
155,-470.0000000000001
156,351.9999999999999
157,-306.0000000000003
158,383.99999999999943
159,401.99999999999943
160,371.99999999999966
161,-508.0000000000001
162,-326.0000000000002
163,-602.0
164,323.9999999999995
165,688.0
166,-574.0
167,363.9999999999999
168,-234.00000000000068
169,-568.0
170,407.99999999999955
171,-472.0
172,399.9999999999993
173,-419.99999999999994
174,353.9999999999998
175,-301.99999999999994
176,351.9999999999993
177,-582.0
178,331.9999999999996
179,445.99999999999994
180,-512.0000000000001
181,347.9999999999995
182,-576.0
183,-400.0000000000001
184,323.9999999999996
185,-358.0000000000002
186,-441.99999999999994
187,321.99999999999943
188,-526.0
189,-638.0
190,373.99999999999943
191,-566.0
192,-668.0000000000001
193,307.9999999999993
194,-100.00000000000057
195,427.9999999999993
196,479.99999999999955
197,489.9999999999992
198,-364.00000000000006
199,302.0
200,-174.00000000000085
201,-400.0
202,-560.0
203,-434.0
204,-174.00000000000028
205,387.9999999999998
206,-460.00000000000006
207,-364.0000000000001
208,359.99999999999983
209,-432.00000000000006
210,363.9999999999995
211,353.99999999999943
212,-394.00000000000006
213,670.0
214,319.9999999999992
215,-430.0
216,-496.0
217,339.99999999999955
218,-418.0
219,590.0
220,-432.0
221,-374.0
222,-324.0000000000001
223,-272.00000000000017
224,1038.0
225,-416.0
226,-430.0
227,-178.00000000000028
228,-498.0
229,-396.0
230,347.99999999999955
231,429.9999999999999
232,-528.0
233,343.99999999999943
234,-406.0000000000001
235,-384.0
236,592.0
237,-499.9999999999999
238,-448.00000000000006
239,-570.0
240,376.0
241,-376.00000000000006
242,-450.0
243,-676.0000000000001
244,-772.0
245,-582.0
246,-633.9999999999999
247,451.9999999999994
248,355.9999999999993
249,-732.0
250,517.9999999999999
251,339.99999999999983
252,213.99999999999974
253,-570.0
254,-598.0
255,-506.0
256,399.9999999999992
257,-300.00000000000034
258,337.9999999999992
259,-348.0
260,383.99999999999994
261,-494.0
262,-456.0
263,463.99999999999943
264,698.0
265,363.99999999999926
266,-676.0
267,381.99999999999955
268,497.99999999999994
269,359.99999999999926
270,-468.0000000000001
271,-366.00000000000006
272,-440.0
273,-483.9999999999999
274,-284.00000000000006
275,-368.0000000000002
276,-286.0
277,399.9999999999993
278,-442.0
279,-468.0
280,-422.00000000000006
281,-636.0
282,-456.0000000000001
283,-464.0
284,-460.00000000000006
285,-158.00000000000023
286,433.9999999999999
287,-344.0000000000001
288,-270.0000000000002
289,-426.0
290,-400.0000000000001
291,-486.0
292,421.99999999999983
293,-462.0000000000002
294,393.99999999999955
295,-224.0000000000001
296,-300.00000000000045
297,-522.0
298,337.9999999999995
299,-302.00000000000006
300,395.9999999999996
301,407.9999999999999
302,389.99999999999943
303,243.99999999999983
304,-434.0
305,347.9999999999995
306,-536.0
307,385.9999999999993
308,-338.0000000000004
309,-438.0
310,-608.0
311,664.0
312,-406.0
313,-384.00000000000006
314,-424.0
315,417.99999999999943
316,-408.00000000000034
317,441.99999999999966
318,742.0
