,loss
0,-112.11924743652344
1,-217.27337646484375
2,-358.9130554199219
3,-546.9873657226562
4,-788.5032348632812
5,-1090.086669921875
6,-1459.394775390625
7,-1905.266845703125
8,-2437.271484375
9,-3066.18701171875
10,-3803.109130859375
11,-4653.1259765625
12,-5410.5546875
13,-5687.6875
14,-5588.14794921875
15,-5273.912109375
16,-4859.04833984375
17,-4432.498046875
18,-4063.71044921875
19,-3796.667236328125
20,-3642.131103515625
21,-3589.769287109375
22,-3625.366455078125
23,-3736.77001953125
24,-3910.72021484375
25,-4129.4873046875
26,-4365.24658203125
27,-4583.474609375
28,-4745.60888671875
29,-4821.671875
30,-4802.7529296875
31,-4697.54833984375
32,-4531.29150390625
33,-4336.06982421875
34,-4146.14501953125
35,-3988.74560546875
36,-3884.29296875
37,-3840.5302734375
38,-3856.878662109375
39,-3920.89013671875
40,-4017.1015625
41,-4126.93701171875
42,-4225.3330078125
43,-4290.06689453125
44,-4305.49609375
45,-4269.03515625
46,-4186.421875
47,-4076.648193359375
48,-3961.999267578125
49,-3865.68896484375
50,-3808.34033203125
51,-3796.568115234375
52,-3825.548828125
53,-3881.68701171875
54,-3943.686767578125
55,-3988.8623046875
56,-3999.623779296875
57,-3968.989501953125
58,-3902.9267578125
59,-3815.51953125
60,-3729.39404296875
61,-3666.923095703125
62,-3641.139892578125
63,-3651.0625
64,-3679.3466796875
65,-3701.403564453125
66,-3695.088134765625
67,-3649.167236328125
68,-3569.396484375
69,-3478.46630859375
70,-3401.272216796875
71,-3356.343017578125
72,-3344.053955078125
73,-3346.768310546875
74,-3333.385986328125
75,-3282.576416015625
76,-3194.438232421875
77,-3091.782470703125
78,-3007.358642578125
79,-2956.872802734375
80,-2928.428466796875
81,-2891.4296875
82,-2816.8720703125
83,-2704.478271484375
84,-2584.071533203125
85,-2487.751708984375
86,-2427.27880859375
87,-2384.570556640625
88,-2346.2958984375
89,-2286.346923828125
90,-2238.9482421875
91,-2225.902587890625
92,-2237.90234375
93,-2255.721435546875
94,-2266.655517578125
95,-2281.853515625
96,-2308.419677734375
97,-2333.2470703125
98,-2341.7900390625
99,-2338.868408203125
100,-2331.750244140625
101,-2324.661376953125
102,-2310.70947265625
103,-2280.9189453125
104,-2237.5498046875
105,-2193.39306640625
106,-2153.668212890625
107,-2115.701171875
108,-2072.753173828125
109,-2076.3896484375
110,-2383.37890625
111,-3045.99951171875
112,-3048.578125
113,-3033.72412109375
114,-3021.375
115,-4188.5849609375
116,-4013.103759765625
117,-4045.671875
118,-4095.501708984375
119,-4064.569091796875
120,-4031.7001953125
121,-4106.51220703125
122,-4313.37939453125
123,-4481.59765625
124,-4445.513671875
125,-4286.82373046875
126,-4191.82421875
127,-4218.5390625
128,-4250.044921875
129,-4185.8515625
130,-4100.005859375
131,-4123.7412109375
132,-4241.1796875
133,-4298.5078125
134,-4214.505859375
135,-4093.48291015625
136,-4051.303955078125
137,-4063.6748046875
138,-4023.96533203125
139,-3944.73486328125
140,-3934.80810546875
141,-3986.5263671875
142,-3963.62255859375
143,-3812.789306640625
144,-3689.927001953125
145,-3692.044189453125
146,-3678.22705078125
147,-3598.758544921875
148,-3561.800048828125
149,-3573.624267578125
150,-3490.976318359375
151,-3364.77392578125
152,-3341.55322265625
153,-3312.42529296875
154,-3209.302734375
155,-3143.344482421875
156,-3097.3662109375
157,-2972.4404296875
158,-2898.4609375
159,-2872.8046875
160,-2774.6982421875
161,-2691.2109375
162,-2640.2646484375
163,-2520.928955078125
164,-2452.7822265625
165,-2417.830810546875
166,-2309.581787109375
167,-2251.253662109375
168,-2198.20166015625
169,-2099.780517578125
170,-2091.58447265625
171,-1969.47265625
172,-1950.006591796875
173,-1841.117431640625
174,-1795.29833984375
175,-1693.98486328125
176,-1638.2615966796875
177,-1513.0869140625
178,-1472.50732421875
179,-1259.4263916015625
180,-1382.9700927734375
181,-823.63134765625
182,-1336.956787109375
183,-590.4813232421875
184,-698.9566650390625
185,-810.6513671875
186,-124.49370574951172
187,-286.9447021484375
188,-252.16854858398438
189,357.2320556640625
190,213.24208068847656
191,301.6141662597656
192,846.5193481445312
193,719.74267578125
194,845.9927978515625
195,1321.503662109375
196,1185.9715576171875
197,1379.111083984375
198,1778.203857421875
199,1623.661865234375
200,1925.09716796875
201,2191.805419921875
202,2053.0009765625
203,2435.320068359375
204,2500.531982421875
205,2466.229248046875
206,2835.091552734375
207,2703.546875
208,2892.4189453125
209,3024.006103515625
210,2905.997314453125
211,3208.49853515625
212,2971.30615234375
213,3171.583984375
214,3050.468505859375
215,2975.32763671875
216,2973.77392578125
217,2429.326904296875
218,1405.7724609375
219,2288.94287109375
220,2772.7216796875
221,2034.60302734375
222,1901.195068359375
223,101.30564880371094
224,1203.6502685546875
225,1122.464111328125
226,873.5906372070312
227,129.2893829345703
228,-2463.65087890625
229,-1215.9281005859375
230,-2491.833740234375
231,-3532.796142578125
232,-3194.01513671875
233,-2702.39404296875
234,-3430.26953125
235,-4082.35595703125
236,-3652.00146484375
237,-4059.676513671875
238,-4189.591796875
239,-4464.376953125
240,-3959.85302734375
241,-4334.58984375
242,-4269.31494140625
243,-4356.681640625
244,-4780.4833984375
245,-4450.7802734375
246,-4814.09326171875
247,-4391.57177734375
248,-4867.90576171875
249,-4639.89111328125
250,-4798.88720703125
251,-4792.96923828125
252,-4681.9638671875
253,-4900.69091796875
254,-4626.6650390625
255,-5010.26220703125
256,-4443.50634765625
257,-5140.34912109375
258,-4391.1591796875
259,-5071.64501953125
260,-4660.27197265625
261,-4709.0302734375
262,-4980.701171875
263,-4473.38330078125
264,-5079.18017578125
265,-4606.2373046875
266,-4848.3798828125
267,-4903.5751953125
268,-4588.5810546875
269,-5045.970703125
270,-4592.4794921875
271,-4898.71044921875
272,-4807.1875
273,-4658.80224609375
274,-4948.44189453125
275,-4554.25390625
276,-4929.34375
277,-4623.43212890625
278,-4780.1572265625
279,-4761.97802734375
280,-4611.67626953125
281,-4861.59716796875
282,-4503.18115234375
283,-4916.83447265625
284,-4434.2705078125
285,-4920.3662109375
286,-4439.21875
287,-4840.93359375
288,-4523.55029296875
289,-4712.6845703125
290,-4625.6328125
291,-4593.48779296875
292,-4715.31640625
293,-4481.64501953125
294,-4803.86767578125
295,-4332.048828125
296,-4942.7880859375
297,-4132.455078125
