,reward
0,479.0
1,-613.0
2,-637.0
3,-637.0
4,-637.0
5,-637.0
6,-664.0
7,-795.0
8,-727.0
9,-620.0
10,-599.0
11,-784.0
12,-603.0
13,336.0
14,-601.0
15,-578.0
16,-686.0
17,-568.0
18,-628.0
19,412.0
20,-581.0
21,-567.0
22,-657.0
23,-581.0
24,-606.0
25,-601.0
26,-619.0
27,397.0
28,321.0
29,-600.0
30,-645.0
31,-594.0
32,-590.0
33,-665.0
34,-798.0
35,-598.0
36,-572.0
37,-568.0
38,483.0
39,-652.0
40,-592.0
41,-595.0
42,-567.0
43,-579.0
44,-582.0
45,-575.0
46,423.0
47,219.0
48,-599.0
49,428.0
50,-668.0
51,-579.0
52,-573.0
53,-646.0
54,-596.0
55,-612.0
56,-608.0
57,-568.0
58,-568.0
59,-624.0
60,-577.0
61,434.0
62,-563.0
63,-569.0
64,-599.0
65,481.0
66,-585.0
67,474.0
68,-575.0
69,419.0
70,-564.0
71,389.0
72,-577.0
73,467.0
74,-583.0
75,-569.0
76,470.0
77,424.0
78,-576.0
79,452.0
80,-568.0
81,451.0
82,453.0
83,468.0
84,-573.0
85,474.0
86,-568.0
87,465.0
88,429.0
89,-566.0
90,475.0
91,-562.0
92,482.0
93,-591.0
94,-567.0
95,470.0
96,449.0
97,-581.0
98,-580.0
99,480.0
100,-558.0
101,-571.0
102,471.0
103,455.0
104,459.0
105,-601.0
106,-578.0
107,-574.0
108,465.0
109,436.0
110,458.0
111,-570.0
112,453.0
113,414.0
114,447.0
115,457.0
116,453.0
117,-565.0
118,-581.0
119,482.0
120,-576.0
121,486.0
122,445.0
123,-571.0
124,471.0
125,460.0
126,-570.0
127,463.0
128,442.0
129,-615.0
130,481.0
131,467.0
132,-564.0
133,456.0
134,-573.0
135,478.0
136,-568.0
137,-576.0
138,472.0
139,-557.0
140,461.0
141,-562.0
142,487.0
143,448.0
144,461.0
145,-571.0
146,-569.0
147,-570.0
148,-575.0
149,-571.0
150,482.0
151,-566.0
152,459.0
153,432.0
154,439.0
155,-570.0
156,472.0
157,432.0
158,-573.0
159,454.0
160,-559.0
161,482.0
162,-588.0
163,-575.0
164,470.0
165,-566.0
166,479.0
167,-585.0
168,-573.0
169,-575.0
170,-568.0
171,471.0
172,-597.0
173,473.0
174,-569.0
175,479.0
176,-562.0
177,467.0
178,-567.0
179,472.0
180,-599.0
181,-573.0
182,-574.0
183,459.0
184,450.0
185,462.0
186,451.0
187,464.0
188,-589.0
189,460.0
190,-579.0
191,-579.0
192,-568.0
193,479.0
194,-562.0
195,-567.0
196,472.0
197,-559.0
198,468.0
199,435.0
200,-595.0
201,473.0
202,-565.0
203,480.0
204,-570.0
205,-568.0
206,-591.0
207,469.0
208,-573.0
209,479.0
210,475.0
211,446.0
212,-564.0
213,-566.0
214,462.0
215,-596.0
216,478.0
217,-573.0
218,-573.0
219,-570.0
220,480.0
221,-585.0
222,484.0
223,-571.0
224,477.0
225,448.0
226,-573.0
227,-568.0
228,472.0
229,-570.0
230,458.0
231,-566.0
232,-577.0
233,473.0
234,-567.0
235,490.0
236,461.0
237,-563.0
238,468.0
239,-574.0
240,471.0
241,-568.0
242,-567.0
243,460.0
244,466.0
245,449.0
246,-568.0
247,-573.0
248,466.0
249,-570.0
250,479.0
251,-563.0
252,-572.0
253,465.0
254,-592.0
255,-574.0
256,-568.0
257,-579.0
258,470.0
259,-564.0
260,487.0
261,-557.0
262,-567.0
263,465.0
264,463.0
265,-567.0
266,-574.0
267,474.0
268,442.0
269,466.0
270,-573.0
271,-573.0
272,466.0
273,-598.0
274,-573.0
275,-568.0
276,-576.0
277,467.0
278,-573.0
279,469.0
280,-559.0
281,470.0
282,-588.0
283,484.0
284,-557.0
285,484.0
286,-562.0
287,-571.0
288,471.0
289,-610.0
290,475.0
291,-591.0
292,-575.0
293,473.0
294,451.0
295,-564.0
296,-568.0
297,-581.0
298,473.0
299,-567.0
300,465.0
301,-570.0
302,-568.0
303,469.0
304,463.0
305,460.0
306,436.0
307,-564.0
308,474.0
309,-598.0
310,467.0
311,-576.0
312,-573.0
313,-567.0
314,464.0
315,-580.0
316,475.0
317,-560.0
318,469.0
319,-590.0
320,466.0
321,-572.0
322,469.0
323,-565.0
324,478.0
325,-566.0
326,466.0
327,-566.0
328,467.0
329,-558.0
330,450.0
331,-577.0
332,466.0
333,-573.0
334,468.0
335,-563.0
336,462.0
337,-566.0
338,-574.0
339,486.0
340,450.0
341,427.0
342,451.0
343,-572.0
344,485.0
345,-561.0
346,-571.0
347,462.0
348,450.0
349,-577.0
350,480.0
351,-571.0
352,471.0
353,463.0
354,-585.0
355,468.0
356,469.0
357,-569.0
358,472.0
359,-572.0
360,-571.0
361,-577.0
362,460.0
363,-602.0
364,463.0
365,-606.0
366,461.0
367,-560.0
368,-574.0
369,-581.0
370,463.0
371,-563.0
372,481.0
373,448.0
374,-562.0
375,470.0
376,450.0
377,-564.0
378,472.0
379,-598.0
380,474.0
381,-566.0
382,468.0
383,-587.0
384,475.0
385,446.0
386,-591.0
387,463.0
388,466.0
389,-609.0
390,470.0
391,423.0
392,451.0
393,-571.0
394,467.0
395,-560.0
396,469.0
397,-567.0
398,473.0
399,-569.0
400,-572.0
401,447.0
402,-594.0
403,472.0
404,-586.0
405,468.0
406,-585.0
407,462.0
408,-565.0
409,453.0
410,466.0
411,-583.0
412,463.0
413,444.0
414,462.0
415,-598.0
416,441.0
417,-587.0
418,-581.0
419,486.0
420,-569.0
421,486.0
422,-585.0
423,475.0
424,-566.0
425,476.0
426,443.0
427,-576.0
428,477.0
429,-563.0
430,-573.0
431,451.0
432,460.0
433,438.0
434,-602.0
435,479.0
436,449.0
437,449.0
438,439.0
439,-573.0
440,464.0
441,-586.0
442,465.0
443,458.0
444,474.0
445,475.0
446,458.0
447,-585.0
448,484.0
449,-568.0
450,473.0
451,452.0
452,-571.0
453,467.0
454,435.0
455,431.0
456,418.0
457,-580.0
458,481.0
459,-572.0
460,470.0
461,-578.0
462,476.0
463,-567.0
464,-594.0
465,460.0
466,-564.0
467,481.0
468,455.0
469,-585.0
470,-574.0
471,483.0
472,447.0
473,-564.0
474,-569.0
475,475.0
476,468.0
477,-562.0
478,-577.0
479,-569.0
480,-573.0
481,489.0
482,-571.0
483,461.0
484,-596.0
485,-580.0
486,-575.0
487,-575.0
488,475.0
489,454.0
490,445.0
491,-578.0
492,-573.0
493,472.0
494,455.0
495,425.0
496,-557.0
497,-575.0
498,472.0
499,-563.0
500,-577.0
501,466.0
502,453.0
503,430.0
504,-575.0
505,-577.0
506,469.0
507,-592.0
508,479.0
509,464.0
510,434.0
511,442.0
512,468.0
513,-566.0
514,467.0
515,432.0
516,446.0
517,-598.0
518,478.0
519,-593.0
520,484.0
521,434.0
522,438.0
523,430.0
524,420.0
525,471.0
526,-576.0
527,469.0
528,-582.0
529,464.0
530,437.0
531,440.0
532,441.0
533,-573.0
534,-571.0
535,476.0
536,440.0
537,430.0
538,-564.0
539,464.0
540,468.0
541,-570.0
542,480.0
543,-586.0
544,484.0
545,-562.0
546,471.0
547,-564.0
548,486.0
549,-561.0
550,472.0
551,436.0
552,443.0
553,-586.0
554,475.0
555,458.0
556,458.0
557,463.0
558,-582.0
559,480.0
560,-562.0
561,462.0
562,438.0
563,441.0
564,473.0
565,-573.0
566,-575.0
567,454.0
568,-573.0
569,451.0
570,448.0
571,470.0
572,-565.0
573,475.0
574,-575.0
575,474.0
576,463.0
577,-584.0
578,477.0
579,456.0
580,453.0
581,-566.0
582,-577.0
583,467.0
584,-582.0
585,-575.0
586,474.0
587,425.0
588,454.0
589,477.0
590,466.0
591,451.0
592,-590.0
593,462.0
594,475.0
595,464.0
596,471.0
597,-555.0
598,463.0
599,-566.0
600,469.0
601,-573.0
602,467.0
603,464.0
604,-563.0
605,-566.0
606,483.0
607,462.0
608,-571.0
609,-566.0
610,-576.0
611,-576.0
612,465.0
613,434.0
614,-574.0
615,468.0
616,443.0
617,443.0
618,447.0
619,-566.0
620,466.0
621,-592.0
622,-571.0
623,452.0
624,460.0
625,-595.0
626,-569.0
627,-568.0
628,-579.0
629,461.0
630,444.0
631,-566.0
632,462.0
633,-569.0
634,475.0
635,-569.0
636,-578.0
637,482.0
638,-563.0
639,462.0
640,479.0
641,-563.0
642,461.0
643,455.0
644,478.0
645,-572.0
646,470.0
647,460.0
648,456.0
649,-568.0
650,461.0
651,432.0
652,453.0
653,-577.0
654,-583.0
655,477.0
656,445.0
657,-570.0
658,463.0
659,-589.0
660,459.0
661,-601.0
662,472.0
663,-570.0
664,473.0
665,428.0
666,-561.0
667,-573.0
668,472.0
669,452.0
670,-564.0
671,464.0
672,440.0
673,-560.0
674,463.0
675,453.0
676,464.0
677,457.0
