,reward
0,578.0
1,-1006.0
2,-1190.0
3,-1190.0
4,-1160.0
5,620.0
6,-950.0
7,-1028.0
8,-876.0000000000001
9,-416.0000000000001
10,-374.0000000000003
11,-376.0000000000002
12,-778.0000000000001
13,-954.0000000000002
14,-786.0
15,-274.00000000000034
16,-764.0000000000002
17,-278.00000000000045
18,-738.0000000000002
19,-518.0000000000005
20,-426.00000000000074
21,-514.0000000000007
22,-648.0000000000001
23,-680.0
24,-270.0000000000003
25,-248.00000000000037
26,-454.00000000000045
27,-820.0000000000002
28,-536.0000000000007
29,322.0
30,-638.0
31,-1078.0000000000002
32,-528.0000000000005
33,-984.0000000000003
34,-904.0
35,-626.0
36,-508.00000000000045
37,-820.0000000000001
38,-420.0000000000007
39,-840.0000000000001
40,-988.0000000000003
41,-436.0000000000007
42,-422.0000000000006
43,-406.0000000000002
44,-396.0000000000006
45,-852.0000000000005
46,-480.0000000000006
47,-468.0000000000005
48,-500.0000000000008
49,-420.0000000000002
50,-484.00000000000045
51,-458.00000000000045
52,-540.0000000000005
53,-430.0000000000007
54,-494.00000000000074
55,-922.0000000000005
56,-1018.0000000000005
57,-422.0000000000003
58,-564.0000000000005
59,-650.0
60,-510.0000000000002
61,-878.0000000000005
62,-580.0000000000006
63,-416.0000000000005
64,-492.0000000000005
65,-546.0000000000005
66,-874.0000000000002
67,-360.0000000000007
68,-448.00000000000057
69,-520.0000000000005
70,-474.0000000000008
71,-868.0000000000002
72,-516.0000000000007
73,-412.0000000000004
74,-808.0000000000001
75,-474.00000000000034
76,-772.0000000000002
77,-518.0000000000007
78,-1032.0000000000002
79,-682.0000000000001
80,293.9999999999997
81,-828.0000000000002
82,-448.00000000000074
83,-600.0000000000007
84,-524.0000000000009
85,-330.00000000000045
86,-400.0000000000006
87,-472.0000000000002
88,-764.0
89,-962.0000000000005
90,-550.0000000000002
91,-476.0000000000006
92,-494.00000000000045
93,-514.0000000000005
94,-764.0000000000002
95,-514.0
96,-444.00000000000057
97,-678.0
98,-514.0000000000007
99,-512.0000000000007
100,-412.0000000000006
101,-678.0000000000001
102,-470.0000000000005
103,-444.0000000000006
104,530.0
105,-454.0000000000004
106,-474.00000000000057
107,-554.0000000000009
108,-492.0000000000005
109,-532.0000000000005
