,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,-2731.0228576660156
8,-874.9687902530035
9,-1984.7450971211472
10,-2156.8075959578805
11,-2248.5341350276294
12,-2132.2310624556108
13,-2014.9664963942307
14,-1983.4216444227432
15,-1939.702129657452
16,-2182.686383675838
17,-2755.1146562178055
18,-2955.834720692736
19,-2723.080978990267
20,-2658.9512419524017
21,-2312.510246155754
22,-2388.748384363511
23,-2493.5523681640625
24,-2578.3184647993608
25,-2616.199468703497
26,-2775.0610668041086
27,-2739.863825871394
28,-2785.3571166992188
29,-2587.0514336042506
30,-2546.786478061869
31,-3441.0944586032774
32,-3519.8670191271553
33,-4016.3338753562302
34,-5008.754327947443
35,-5149.942531040737
36,-5427.9681840376425
37,-5841.7388102213545
38,-5856.411090959821
39,-5945.575671684452
40,-6130.142131526296
41,-6295.990402747845
42,-6543.972488631063
43,-6907.568324497768
44,-7133.770970394737
45,-7187.4184765625
46,-7320.051513671875
47,-7450.149027506511
48,-7943.102783203125
49,-7680.499069213867
50,-7914.9628673735115
51,-8324.48187546503
52,-8766.983656939337
53,-9153.66788999496
54,-9516.206429036458
55,-9831.7984375
56,-10211.914783296132
57,-10113.652493990385
58,-10338.15584788603
59,-10598.423930921053
60,-10834.50916015625
61,-10969.741555606617
62,-11322.291285021553
63,-11458.56220703125
64,-11599.97013774671
65,-11940.0134765625
66,-12139.122854817708
67,-12422.41796875
68,-12441.788618607954
69,-12993.066510881696
70,-13289.210437309452
71,-14333.824762369792
72,-15277.957244873047
73,-15871.587890625
74,-15961.349975585938
75,-17362.088580729167
76,-18800.379801432293
77,-19043.992280505954
78,-19323.84109375
79,-19420.506696428572
80,-19705.901322798294
81,-20274.58426339286
82,-20596.747721354168
83,-20628.674455915178
84,-20948.611922554348
85,-21241.084867931546
86,-22061.261742568597
87,-22734.950148809523
88,-22767.499069940477
89,-23028.033203125
90,-23597.06168094758
91,-24118.085611979168
92,-25210.11337890625
93,-25732.72251302083
94,-26205.336241319445
95,-26855.04890182783
96,-27300.849690755207
97,-27651.640912224266
98,-28573.41226128472
99,-29502.195824032737
100,-30070.31586119186
101,-30013.08962673611
102,-31067.36488970588
103,-31574.976671006945
104,-31579.655570652172
105,-31525.29246238426
106,-31810.304855872844
107,-32586.410546875
108,-33089.76410590278
109,-34807.7151953125
110,-36432.31276393581
111,-37300.20829814189
112,-37883.662286931816
113,-38429.66037326389
114,-38516.218470982145
115,-39012.82938802084
116,-39398.883510044645
117,-40075.605179398146
118,-39309.06796875
119,-39795.53695913462
120,-40886.36126077586
121,-41463.72
122,-41390.819140625
123,-41947.36926269531
124,-42712.66616586538
125,-42525.827799479164
126,-42662.19235641892
127,-43206.73325892857
128,-43705.05003720238
129,-43542.68158783784
130,-44366.57723721591
131,-44775.67358072917
132,-44727.67853009259
133,-45808.15658967391
134,-46185.92221467391
135,-45730.34110677084
136,-45306.77190290178
137,-45403.74693080357
138,-46698.256994912794
139,-46989.310655381945
140,-47419.496826171875
141,-47599.90325218023
142,-49125.57078125
143,-49101.409071180555
144,-49501.208370535714
145,-49747.911490091465
146,-50404.83537946428
147,-51183.887955729166
148,-52163.70918996711
149,-52283.615327380954
150,-54133.170789930555
151,-54587.14938038793
152,-54068.422526041664
153,-54834.26382211538
154,-55297.68497242647
155,-55526.01657516892
156,-56675.59730747768
157,-56866.29369212963
158,-57066.7326108871
159,-58005.779768318964
160,-58108.142578125
161,-58378.080859375
162,-58614.291341145836
163,-59009.275390625
164,-59582.78285845588
165,-59253.98125
166,-59694.083451704544
167,-60945.6087890625
168,-61170.269921875
169,-60914.28497023809
170,-61628.30560661765
171,-61053.372953869046
172,-62045.27364309211
173,-62531.13651315789
174,-63121.835703125
175,-64455.34216308594
176,-63445.918229166666
177,-64408.328425480766
178,-65229.47301136364
179,-64287.45472301136
180,-66359.96861979166
181,-66903.8173828125
182,-66602.19310461957
183,-66721.2777660473
184,-68302.69714506173
185,-68913.68255615234
186,-69389.73845880682
187,-70035.29196714744
188,-70468.73828125
189,-71345.45845734127
190,-72294.94318181818
191,-72267.40353260869
192,-72220.70550271739
193,-73022.04533066861
194,-74207.8203125
195,-74584.968359375
196,-74924.88433159722
197,-75583.12850215517
198,-75312.14152644231
199,-75543.92127403847
200,-76673.67427884616
201,-76302.54915364583
202,-76745.76236979167
203,-77677.04453125
204,-77944.02262369792
205,-77398.66579861111
206,-80045.17469618056
207,-79793.35191761363
208,-79908.84224759616
209,-80368.93103966347
210,-80665.52097039473
211,-81302.89888020833
212,-81359.16107536765
213,-82435.47879464286
214,-82090.22585227272
215,-82948.46009615385
216,-83431.2140625
217,-84240.25086805556
218,-85011.78619260204
219,-85101.0779296875
220,-84960.10336538461
221,-85651.67513020833
222,-86724.70703125
223,-86821.473125
224,-87405.12907608696
225,-87467.53791360294
226,-87576.21019345238
227,-87411.04134114583
228,-88922.677109375
229,-89315.40307617188
230,-89522.06173406863
231,-90365.95905172414
232,-91468.5
233,-91094.9765625
234,-91684.78716216216
235,-91435.62943412163
236,-92769.40138888889
237,-92940.65785845589
238,-93690.16462053571
239,-94230.95596590909
240,-94432.5859375
241,-95110.79324776786
242,-96597.8125
243,-95659.8244243421
244,-96022.046875
245,-96708.60186298077
246,-97270.43382352941
247,-96862.21735491071
248,-98083.65
249,-98060.381640625
250,-98663.94285714286
251,-99247.97112771739
252,-99852.42934782608
253,-100440.95471014493
254,-101210.33367598684
255,-102093.63611111112
256,-101934.52260638298
257,-102615.81657608696
258,-102843.54399671052
259,-104025.04335387323
260,-105410.26388888889
261,-105717.94308035714
262,-105957.15464154411
263,-106964.353125
264,-108106.07137784091
265,-107536.29278273809
266,-107936.71896114865
267,-108076.8429939516
268,-108730.89508928571
269,-108905.43971354167
270,-109855.73257211539
271,-108808.7609375
272,-109905.29760174418
273,-109756.19407894737
274,-110214.81662326389
275,-112143.36478365384
276,-111808.13671875
277,-110897.76128472222
278,-111932.35729166666
279,-112631.08735795454
280,-112768.45005580357
281,-112798.95686141304
282,-113482.5951388889
283,-113175.87980769231
284,-114391.34752155172
285,-114180.935546875
286,-115403.521875
287,-115176.8715625
288,-115550.91104403409
289,-116977.69354166667
290,-117286.91741071429
291,-118244.27766927083
292,-117351.39978448275
293,-118160.4353125
294,-119863.637890625
295,-119839.75424592392
296,-119267.38541666667
297,-121305.91300675676
298,-121971.55048076923
299,-122510.11016949153
300,-121526.68526785714
301,-122526.79369212964
302,-124460.69248188406
303,-124926.75223214286
304,-124393.9345703125
305,-125799.041015625
306,-125394.06929347826
307,-124907.65583881579
308,-126523.95880681818
309,-125396.6934742647
310,-127224.33547794117
311,-127787.68647203948
312,-127913.81850961539
313,-128343.35130208333
314,-129110.08170021187
315,-130877.06787109375
316,-130438.9542824074
317,-130250.96944444445
