,reward
0,478.0
1,-618.0
2,482.0
3,-624.0
4,-642.0
5,-643.0
6,-644.0
7,-644.0
8,-625.0
9,-300.0
10,-300.0
11,-300.0
12,-300.0
13,-300.0
14,-812.0
15,-792.0
16,-300.0
17,-300.0
18,-300.0
19,-300.0
20,-300.0
21,-300.0
22,-765.0
23,-300.0
24,-712.0
25,-300.0
26,-718.0
27,-786.0
28,-300.0
29,-300.0
30,-841.0
31,-300.0
32,-751.0
33,-713.0
34,-665.0
35,-796.0
36,-759.0
37,-689.0
38,-300.0
39,-300.0
40,-300.0
41,-300.0
42,-300.0
43,-300.0
44,-847.0
45,-751.0
46,-300.0
47,-300.0
48,-300.0
49,-300.0
50,-300.0
51,-300.0
52,-300.0
53,-300.0
54,-665.0
55,-834.0
56,-714.0
57,-699.0
58,-635.0
59,-586.0
60,-566.0
61,-300.0
62,-707.0
63,-300.0
64,486.0
65,-300.0
66,-300.0
67,-654.0
68,-300.0
69,-300.0
70,-300.0
71,-300.0
72,-589.0
73,-744.0
74,-764.0
75,-567.0
76,-300.0
77,-615.0
78,-300.0
79,-788.0
80,-300.0
81,-300.0
82,-300.0
83,-300.0
84,-300.0
85,-300.0
86,-300.0
87,-717.0
88,-300.0
89,-300.0
90,-300.0
91,-300.0
92,-842.0
93,-300.0
94,-300.0
95,-810.0
96,-300.0
97,-300.0
98,-300.0
99,-300.0
100,-300.0
101,-300.0
102,-300.0
103,-300.0
104,-300.0
105,-783.0
106,-300.0
107,-746.0
108,-300.0
109,-300.0
110,-846.0
111,-300.0
112,-300.0
113,-656.0
114,-300.0
115,-300.0
116,-300.0
117,-722.0
118,-300.0
119,-300.0
120,-579.0
121,-586.0
122,-597.0
123,-723.0
124,-825.0
125,-300.0
126,-300.0
127,-651.0
128,-300.0
129,-300.0
130,-300.0
131,-300.0
132,-300.0
133,-844.0
134,-300.0
135,-704.0
136,214.0
137,-594.0
138,-300.0
139,-828.0
140,-300.0
141,-300.0
142,-722.0
143,-300.0
144,-300.0
145,-300.0
146,-300.0
147,-300.0
148,-300.0
149,-300.0
150,-724.0
151,-732.0
152,-300.0
153,-300.0
154,-300.0
155,-300.0
156,-300.0
157,-838.0
158,-300.0
159,-823.0
160,-300.0
161,-300.0
162,-300.0
163,-777.0
164,-300.0
165,-300.0
166,-696.0
167,-566.0
168,-300.0
169,-300.0
170,-300.0
171,-300.0
172,-780.0
173,-706.0
174,-300.0
175,-300.0
176,-300.0
177,-300.0
178,-300.0
179,-300.0
180,-300.0
181,-300.0
182,-300.0
183,-300.0
184,-300.0
185,-626.0
186,-300.0
187,-794.0
188,-638.0
189,-300.0
190,-300.0
191,-797.0
192,-300.0
193,-300.0
194,-300.0
195,-300.0
196,-300.0
197,-300.0
198,-759.0
199,-826.0
200,-667.0
201,-656.0
202,-832.0
203,-300.0
204,-711.0
205,-300.0
206,-300.0
207,-300.0
208,-300.0
209,-300.0
210,-300.0
211,-300.0
212,-300.0
213,-745.0
214,-300.0
215,-300.0
216,-300.0
217,-300.0
218,-651.0
219,-835.0
220,-849.0
221,-300.0
222,-300.0
223,-706.0
224,-685.0
225,-300.0
226,-300.0
227,-629.0
228,-300.0
229,-300.0
