,reward
0,582.0
1,-1062.0
2,-1246.0
3,-1226.0
4,-742.0
5,-1238.0
6,-1238.0
7,-560.0000000000001
8,-1498.0
9,-678.0
10,-486.0
11,-746.0
12,-770.0
13,-648.0
14,-670.0
15,-618.0
16,-516.0
17,-870.0
18,-774.0000000000002
19,-34.0
20,-1158.0
21,-752.0000000000001
22,-452.00000000000006
23,-518.0
24,-524.0
25,-470.00000000000006
26,-518.0
27,-620.0
28,-636.0
29,356.0
30,-426.0000000000001
31,-498.0
32,455.9999999999999
33,-480.0000000000002
34,-548.0
35,-538.0
36,594.0
37,-492.00000000000006
38,-476.0
39,-598.0
40,-562.0
41,-472.00000000000006
42,604.0
43,-476.0
44,-440.0
45,684.0
46,-520.0
47,-602.0
48,-446.0
49,-572.0
50,564.0
51,-314.0000000000001
52,604.0
53,690.0
54,650.0
55,-486.0
56,-460.00000000000006
57,636.0
58,-448.00000000000006
59,-450.0
60,-454.0
61,-452.0
62,-482.0
63,-560.0
64,-450.0
65,498.0
66,-2208.0
67,456.0
68,-506.0
69,660.0
70,724.0
71,-2196.0
72,-436.0
73,674.0
74,-490.0
75,-2068.0
76,658.0
77,-536.0
78,-474.0
79,-440.0
80,652.0
81,-520.0
82,-466.0
83,648.0
84,-500.0
85,644.0
86,813.9999999999998
87,-528.0
88,-538.0
89,-430.00000000000006
90,660.0
91,586.0
92,-1256.0000000000002
93,-2008.0
94,622.0
95,825.9999999999999
96,-474.0
97,718.0
98,773.9999999999998
99,-276.00000000000006
100,654.0
101,-450.0
102,558.0
103,-526.0
104,-498.00000000000006
105,-456.0
106,630.0
107,-974.0
108,-466.0
109,-2108.0
110,684.0
111,-512.0
112,658.0
113,-524.0
114,542.0
115,-2196.0
116,-382.00000000000006
117,-466.0
118,548.0
119,-492.0
120,-444.0
121,-464.0
122,702.0
123,646.0
124,-514.0
125,-460.0
126,666.0
127,-584.0
128,-444.0
129,526.0
130,-456.0
131,-2064.0
132,646.0
133,-476.0
134,-464.0
135,-2108.0
136,548.0
137,-556.0
138,779.9999999999999
139,825.9999999999998
140,-538.0
141,706.0
142,777.9999999999998
143,-532.0
144,712.0
145,-380.00000000000006
146,566.0
147,762.0
148,692.0
149,-302.0000000000001
150,-464.0
151,682.0
152,-488.00000000000006
153,558.0
154,-544.0
155,624.0
156,-322.0000000000001
157,686.0
158,-450.0
159,642.0
160,-518.0
161,-470.0
162,-430.0
163,598.0
164,-538.0
165,668.0
166,-484.0
167,-444.0
168,-446.0
169,518.0
170,-552.0
171,-422.0
172,578.0
173,800.0
174,-2112.0
175,654.0
176,-544.0
177,442.0
178,740.0
179,-480.0
180,592.0
181,-514.0
182,-446.0
183,678.0
184,875.9999999999999
185,843.9999999999998
186,-472.0
187,674.0
188,718.0
189,815.9999999999998
190,-552.0
191,-474.0
192,-422.0
193,618.0
194,897.9999999999999
195,-2116.0
196,548.0
197,-428.0
198,558.0
199,-540.0
200,-414.0
201,-482.0
202,692.0
203,736.0
204,738.0
205,-516.0
206,690.0
207,-448.0
208,660.0
209,-324.0000000000001
210,-430.0
211,-2064.0
212,676.0
213,742.0
214,694.0
215,801.9999999999999
216,-470.0
217,616.0
218,-302.0000000000001
219,628.0
220,-538.0
221,574.0
222,-508.0
223,-454.0
224,596.0
225,702.0
226,-234.0000000000001
227,-416.0
228,-2082.0
229,682.0
230,-284.00000000000006
231,-464.0
232,-436.0
233,560.0
234,-420.0
235,694.0
236,714.0
237,-482.0
238,696.0
239,807.9999999999999
240,-496.0
241,678.0
242,-522.0
243,-452.0
244,560.0
245,749.9999999999999
246,-426.0
247,696.0
248,692.0
249,-514.0
250,608.0
251,-424.0
252,666.0
253,867.9999999999999
254,-390.00000000000006
255,666.0
256,-274.00000000000006
257,620.0
258,841.9999999999999
259,884.0
260,-498.0
261,694.0
262,-448.0
263,584.0
264,-514.0
265,524.0
266,-398.0000000000001
267,620.0
268,-536.0
269,-2068.0
270,576.0
271,-482.0
272,666.0
273,-496.0
274,658.0
275,-488.0
276,-502.0
277,594.0
278,-460.0
279,-434.0
280,704.0
281,-506.0
282,662.0
283,-503.99999999999994
284,690.0
285,-526.0
286,692.0
287,-536.0
288,708.0
289,903.9999999999998
290,-354.0000000000001
291,-438.0
292,658.0
293,-316.0000000000001
294,548.0
295,-340.0
296,528.0
297,680.0
298,748.0
299,841.9999999999998
300,-497.99999999999994
301,616.0
302,847.9999999999999
303,-516.0
304,-424.0
305,-422.0
306,616.0
307,-458.0
308,582.0
309,-568.0
310,-446.0
311,612.0
312,-440.0
313,658.0
314,821.9999999999998
315,-500.0
316,-430.0
317,710.0
318,744.0
319,-496.0
320,700.0
321,-246.00000000000006
322,-396.0
323,684.0
324,-526.0
325,682.0
326,726.0
327,-471.99999999999994
328,608.0
329,795.9999999999999
330,-582.0
331,724.0
332,-508.0
333,560.0
334,794.0
335,-392.0
336,702.0
337,-495.99999999999994
338,-390.00000000000006
339,552.0
340,-500.0
341,680.0
342,-494.0
343,690.0
344,-544.0
345,-442.0
346,546.0
347,-480.0
348,-446.0
349,-524.0
350,-446.0
351,-444.0
352,692.0
353,-524.0
354,-484.0
355,584.0
356,-520.0
357,664.0
358,-530.0
359,700.0
360,-530.0
361,722.0
362,-554.0
363,712.0
364,658.0
365,-190.0000000000001
366,704.0
367,-636.0
368,562.0
369,-384.0
370,666.0
371,-310.0000000000001
372,-476.0
373,-454.0
374,714.0
375,-420.0
376,668.0
377,823.9999999999999
378,-566.0
379,694.0
380,675.9999999999999
381,959.9999999999998
382,829.9999999999998
383,-488.00000000000006
384,728.0
385,-354.0000000000001
386,724.0
387,-514.0
388,-448.00000000000006
389,-460.0
390,640.0
391,714.0
392,-358.0000000000001
393,700.0
394,648.0
395,-466.0
396,652.0
397,-392.00000000000006
398,638.0
399,650.0
400,-492.0
401,638.0
402,-510.0
403,558.0
404,694.0
405,734.0
406,710.0
407,700.0
408,-524.0000000000001
409,-414.0
410,-450.0
411,-486.0
412,670.0
413,-250.0000000000001
414,-448.0
415,592.0
416,648.0
417,756.0
418,-480.0
419,-444.0
420,620.0
421,-508.0
422,612.0
423,658.0
424,-552.0
425,-470.0
426,690.0
427,-468.0
428,682.0
429,-484.0
430,-436.0
431,767.9999999999999
432,-334.00000000000006
433,588.0
434,-464.0
435,720.0
