,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-1965.2470922470093
7,-2709.6089724978883
8,-3229.4200354003906
9,-2743.530522273137
10,-3328.4620361328125
11,-3455.7476946721313
12,-3906.110724954044
13,-4150.793404715402
14,-4716.5800226384945
15,-4615.83896336411
16,-5020.19970703125
17,-5393.487815679506
18,-5666.4381103515625
19,-5625.121018377727
20,-6015.004509420956
21,-6496.6516708746185
22,-6685.028149414063
23,-6994.077769886364
24,-7490.806876346983
25,-7985.9567228618425
26,-8130.505953881048
27,-8475.764493075285
28,-8995.672631835938
29,-8866.297509036847
30,-9540.46650803257
31,-10134.0693359375
32,-10730.41787544785
33,-10964.621498666158
34,-11618.335183445412
35,-12428.302785773027
36,-12277.25178079044
37,-12426.496616417253
38,-12811.507421875
39,-13283.267195991848
40,-13481.128138950893
41,-13523.226413532839
42,-13866.422185724432
43,-14426.866117931548
44,-14856.698796452703
45,-14857.325439453125
46,-14961.100625
47,-15032.488053385418
48,-15303.518116918103
49,-15473.287109375
50,-15761.465450802365
51,-16068.915262858072
52,-16493.39099702381
53,-16820.57049560547
54,-16742.46105742873
55,-17270.154736328124
56,-17210.740252800708
57,-17786.689192708334
58,-17852.942743716034
59,-18250.594477634804
60,-18872.842239379883
61,-19378.31020220588
62,-20036.95357369088
63,-20747.573299632353
64,-20474.7607421875
65,-21461.5661986715
66,-22777.560191761364
67,-22723.879520089286
68,-23635.72182329963
69,-23964.663895089285
70,-24347.54781539352
71,-24787.820545441515
72,-25269.17660696138
73,-25771.787760416668
74,-25972.593229166665
75,-26683.995239257812
76,-26556.317057291668
77,-27138.721235795456
78,-27538.037715517243
79,-27815.53876953125
80,-28045.076968544407
81,-28603.92540922619
82,-28870.308076746325
83,-29569.38705549569
84,-29991.922309027777
85,-30764.269765625
86,-30657.778125
87,-31496.742745535714
88,-32462.162202380954
89,-32396.612926136364
90,-33185.800088205644
91,-33429.89247796474
92,-34608.71580116422
93,-35073.79104738313
94,-36362.927201704544
95,-36319.03963694853
96,-36580.0349609375
97,-37349.756138392855
98,-37336.286558493586
99,-37990.91747007979
100,-37980.535274621216
101,-38604.06465517241
102,-39157.849473110466
103,-39813.1328125
104,-40541.73624320652
105,-41309.4396772541
106,-41826.611443014706
107,-41567.47456395349
108,-42733.204427083336
109,-43075.097330729164
110,-43193.22052001953
111,-44012.04517663043
112,-44521.29924665178
113,-45233.354654947914
114,-45626.40281723485
115,-46192.409912109375
116,-46018.95770474138
117,-47017.58558238636
118,-47346.592225609755
119,-47533.723307291664
120,-48101.863020833334
121,-49135.94811021959
122,-49828.265869140625
123,-50510.33662683824
124,-51123.0125
125,-50958.973188920456
126,-51725.31349571078
127,-52458.393359375
128,-53099.59085648148
129,-53544.32436342593
130,-53786.19052933674
131,-54281.144958496094
132,-55289.700067934784
133,-55835.32047193877
134,-55986.660807291664
135,-56607.682338169645
136,-56926.52455357143
137,-56481.994318181816
138,-56708.354600694445
139,-57994.244255514706
140,-57911.028683035714
141,-58438.39467592593
142,-59304.10234375
143,-59530.321320564515
144,-59600.17164522059
145,-60578.747953869046
146,-60074.776088169645
147,-60994.5697337963
148,-61119.34021577381
149,-61156.89351851852
150,-61551.47292564655
151,-62149.135569852944
152,-62514.42105263158
153,-63388.39536830357
154,-63621.02845982143
155,-64339.19931891026
156,-64675.41149902344
157,-64844.4314453125
158,-65317.061848958336
159,-65692.16041666667
160,-66026.75747282608
161,-66488.62250434028
162,-67056.41247558594
163,-67730.17007211539
164,-67539.8306640625
165,-67953.88100961539
166,-69246.14367897727
167,-69474.40521599265
168,-70141.02135416666
169,-70570.39035866478
170,-71394.2277199074
171,-71676.2796875
172,-72710.81686046511
173,-73297.3466796875
174,-73887.33082932692
175,-74226.85105298914
176,-75042.29066506411
177,-74859.74579326923
178,-75103.17548076923
179,-76434.75923295454
180,-76399.30434782608
181,-77486.52061170213
182,-78102.23464439655
183,-78561.91766826923
184,-79086.46396169355
185,-80197.80989583333
186,-80841.20256696429
187,-81081.22631835938
188,-82378.85373263889
189,-82438.32892400568
190,-82800.04899088542
191,-84126.00459558824
192,-84714.91145833333
193,-85249.91048177083
194,-86211.61197916667
195,-85934.934375
196,-85940.6875
197,-86411.79036458333
198,-86915.7111037234
199,-87913.78292410714
200,-88462.83472521552
201,-90055.42560369318
202,-90871.13144841269
203,-91730.62841796875
204,-91530.46484375
205,-92458.85464638157
206,-92413.72043918919
207,-93512.59609375
208,-93552.56857638889
209,-93529.24791666666
210,-93475.48883928571
211,-93737.49674479167
212,-94572.56158088235
213,-95228.90848214286
214,-95320.745
215,-96194.72975352113
216,-97197.13576858108
217,-97465.20061383929
218,-98147.10003810975
219,-98484.95457175926
220,-99153.27573529411
221,-99968.90835336539
222,-100654.9981617647
223,-100813.37181712964
224,-101508.99632352941
225,-101762.27241847826
226,-102053.41325431035
227,-102427.60983455883
228,-103725.00260416667
229,-103805.74876644737
230,-104563.698828125
231,-104753.74392361111
232,-105469.11317845395
233,-106248.65891768293
234,-107322.69861778847
235,-107761.45572916667
236,-108097.96519886363
237,-108156.05546875
238,-108441.36588541667
239,-109137.275
240,-109757.37600806452
241,-111064.51440429688
242,-110694.77074353448
243,-111869.64976415095
244,-111879.55640889831
245,-113402.4140625
246,-114272.83965773809
247,-114996.07848837209
248,-115070.86079545454
249,-115587.89958079268
250,-116791.98626077586
251,-117611.16084558824
252,-118098.64
253,-118898.93996710527
254,-119286.983984375
255,-119982.63096217105
256,-120338.87336189517
257,-121531.17116477272
258,-122575.55882352941
259,-121959.244140625
260,-122821.84742647059
261,-123316.79296875
262,-124080.55921052632
263,-124208.22945601853
264,-125112.74931066176
265,-125183.51598011363
266,-125666.60725911458
267,-126379.28787878787
268,-127479.33517156863
269,-128600.4140625
270,-128782.35445601853
271,-128274.650390625
272,-129058.80536099138
273,-130852.07994791666
274,-130995.53942587209
275,-131976.61834490742
276,-133151.6629971591
277,-133513.32935855264
278,-133607.45789930556
279,-134498.52265625
280,-135320.50376157407
281,-135289.09288194444
282,-135907.85402960525
283,-136860.2752757353
284,-138160.6015625
285,-138344.26475694444
286,-138247.7013392857
287,-139165.44836956522
288,-140272.88612689395
289,-141436.05078125
290,-141729.9245535714
291,-142594.12160326086
292,-142758.58705357142
293,-144072.31676136365
294,-144976.94625
295,-145696.81944444444
296,-145459.75766509434
297,-146041.20641447368
298,-147094.34849330358
299,-148206.82211538462
300,-148351.5078125
301,-148760.64914772726
302,-150142.3828125
303,-150286.609375
304,-150811.015625
305,-151704.23697916666
306,-153261.91452205883
307,-153377.64697265625
308,-154613.71953125
309,-154440.39638157896
310,-154583.77584134616
311,-155154.8984375
312,-155481.76649305556
313,-155908.51785714287
314,-156641.45913461538
315,-157796.859375
316,-157870.04345703125
317,-159109.14572704083
