,reward
0,477.0
1,-622.0
2,-644.0
3,-645.0
4,-646.0
5,-645.0
6,-704.0
7,-623.0
8,-300.0
9,-601.0
10,-573.0
11,-610.0
12,-719.0
13,-605.0
14,-571.0
15,-582.0
16,-589.0
17,-592.0
18,-573.0
19,-698.0
20,-583.0
21,419.0
22,-589.0
23,-593.0
24,-578.0
25,-568.0
26,-611.0
27,-571.0
28,-569.0
29,-616.0
30,-620.0
31,-592.0
32,-706.0
33,-631.0
34,-628.0
35,-568.0
36,-566.0
37,359.0
38,-594.0
39,478.0
40,-563.0
41,-608.0
42,-571.0
43,459.0
44,464.0
45,-561.0
46,-599.0
47,471.0
48,-578.0
49,460.0
50,-586.0
51,357.0
52,459.0
53,-565.0
54,444.0
55,-569.0
56,-602.0
57,471.0
58,409.0
59,-600.0
60,-613.0
61,450.0
62,427.0
63,-566.0
64,473.0
65,294.0
66,457.0
67,-584.0
68,433.0
69,-584.0
70,474.0
71,-658.0
72,378.0
73,-558.0
74,471.0
75,-597.0
76,-567.0
77,-582.0
78,472.0
79,-569.0
80,-625.0
81,-570.0
82,-583.0
83,-578.0
84,-666.0
85,476.0
86,446.0
87,-591.0
88,438.0
89,-571.0
90,-580.0
91,-627.0
92,450.0
93,378.0
94,-560.0
95,-583.0
96,471.0
97,-563.0
98,-588.0
99,-596.0
100,-582.0
101,472.0
102,458.0
103,-607.0
104,-618.0
105,440.0
106,-566.0
107,-592.0
108,468.0
109,-561.0
110,437.0
111,-595.0
112,445.0
113,-597.0
114,468.0
115,-565.0
116,-578.0
117,-571.0
118,-590.0
119,489.0
120,456.0
121,-623.0
122,-597.0
123,450.0
124,-564.0
125,457.0
126,-600.0
127,-579.0
128,-576.0
129,-576.0
130,452.0
131,-613.0
132,478.0
133,452.0
134,-561.0
135,473.0
136,-570.0
137,-571.0
138,-567.0
139,450.0
140,-584.0
141,-576.0
142,481.0
143,470.0
144,-566.0
145,-570.0
146,-577.0
147,474.0
148,-570.0
149,-576.0
150,-578.0
151,467.0
152,-568.0
153,-577.0
154,480.0
155,-588.0
156,-581.0
157,-569.0
158,483.0
159,-564.0
160,-572.0
161,465.0
162,-581.0
163,462.0
164,-569.0
165,475.0
166,-604.0
167,467.0
168,-564.0
169,-593.0
170,-576.0
171,466.0
172,458.0
173,-581.0
174,-575.0
175,455.0
176,-588.0
177,-575.0
178,-575.0
179,490.0
180,432.0
181,-596.0
182,-578.0
183,436.0
184,470.0
185,465.0
186,-577.0
187,-581.0
188,483.0
189,413.0
190,-597.0
191,-583.0
192,-606.0
193,477.0
194,-564.0
195,471.0
196,-569.0
197,-573.0
198,454.0
199,445.0
200,-607.0
201,457.0
202,438.0
203,-565.0
204,-579.0
205,463.0
206,-586.0
207,-569.0
208,-567.0
209,486.0
210,-563.0
211,489.0
212,450.0
213,-563.0
214,476.0
215,430.0
216,-586.0
217,473.0
218,-590.0
219,-576.0
220,467.0
221,-575.0
222,-566.0
223,-576.0
224,-600.0
225,478.0
226,443.0
227,-566.0
228,-582.0
229,-568.0
230,-569.0
231,465.0
232,425.0
233,460.0
234,-575.0
235,465.0
236,468.0
237,-559.0
238,489.0
239,-589.0
240,470.0
241,-581.0
242,472.0
243,448.0
244,442.0
245,432.0
246,-570.0
247,458.0
248,-571.0
249,460.0
250,-607.0
251,467.0
252,-574.0
253,482.0
254,-569.0
255,463.0
256,439.0
257,424.0
258,-566.0
259,465.0
260,-566.0
261,477.0
262,-568.0
263,-576.0
264,-583.0
265,479.0
266,453.0
267,468.0
268,450.0
269,-568.0
270,-576.0
271,469.0
