,reward
0,582.0
1,-1078.0
2,-534.0000000000001
3,-1270.0
4,-1262.0
5,-742.0
6,-1254.0
7,-590.0000000000001
8,-734.0000000000002
9,-986.0000000000006
10,-580.0000000000001
11,-892.0000000000007
12,-2370.0
13,-960.0
14,-568.0
15,-562.0
16,680.0
17,-608.0000000000001
18,692.0
19,-736.0
20,-494.0
21,-676.0
22,-514.0
23,654.0
24,-386.0
25,528.0
26,588.0
27,728.0
28,-466.0
29,-490.0
30,-520.0
31,-524.0
32,516.0
33,-470.0
34,488.0
35,-326.0
36,622.0
37,614.0
38,-459.99999999999994
39,-430.0
40,578.0
41,-1328.0
42,596.0
43,-454.0
44,678.0
45,674.0
46,-224.0000000000001
47,540.0
48,780.0
49,-360.0
50,-430.0
51,542.0
52,-334.00000000000006
53,656.0
54,-292.0000000000001
55,560.0
56,-606.0
57,-452.0
58,674.0
59,-496.0
60,-446.0
61,-422.0
62,-438.0
63,-442.0
64,700.0
65,-210.0000000000001
66,524.0
67,660.0
68,857.9999999999999
69,-184.0000000000001
70,528.0
71,-480.0
72,728.0
73,-312.0000000000001
74,-464.0
75,590.0
76,805.9999999999998
77,-468.00000000000006
78,682.0
79,-520.0
80,560.0
81,761.9999999999999
82,-492.0
83,-702.0
84,684.0
85,-166.0000000000001
86,-448.0
87,600.0
88,-524.0
89,-448.0
90,662.0
91,877.9999999999998
92,-574.0
93,692.0
94,-486.0
95,-702.0
96,-424.00000000000006
97,-480.0
98,636.0
99,997.9999999999999
100,664.0
101,807.9999999999998
102,-314.00000000000017
103,610.0
104,-538.0
105,568.0
106,-366.00000000000006
107,554.0
108,706.0
109,-584.0
110,-460.0
111,568.0
112,-506.0
113,618.0
114,-622.0
115,674.0
116,684.0
117,749.9999999999999
118,926.0
119,694.0
120,-558.0
121,572.0
122,700.0
123,999.9999999999999
124,-628.0
125,662.0
126,-364.0000000000001
127,574.0
128,-326.0000000000001
129,664.0
130,-512.0
131,676.0
132,690.0
133,718.0
134,-476.00000000000006
135,594.0
136,845.9999999999998
137,-254.0000000000001
138,674.0
139,-288.00000000000017
140,622.0
141,-490.0
142,-414.0
143,684.0
144,813.9999999999999
145,-522.0
146,694.0
147,-1732.0
148,-444.0
149,708.0
150,-544.0
151,-470.0
152,-2070.0
153,612.0
154,-398.0000000000001
155,576.0
156,785.9999999999999
157,726.0
158,912.0
159,825.9999999999999
160,-496.0
161,566.0
162,714.0
163,-494.0000000000001
164,-448.0
165,600.0
166,644.0
167,898.0
168,668.0
169,811.9999999999998
170,726.0
171,-506.0
172,596.0
173,-516.0
174,552.0
175,-2348.0
176,777.9999999999999
177,-264.0000000000001
178,674.0
179,-344.0000000000001
180,536.0
181,-506.0
182,684.0
183,737.9999999999999
184,807.9999999999998
185,894.0
186,-484.0
187,-490.0
188,536.0
189,720.0
190,-570.0
191,-428.0
192,-424.0
193,558.0
194,-494.0
195,638.0
196,-472.0
197,560.0
198,728.0
199,-286.00000000000017
200,-472.0
201,626.0
202,-622.0
203,688.0
204,-264.0000000000001
205,-442.0
206,-468.0
207,-456.00000000000006
