,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,-297.10517031351725
8,-183.97386056590454
9,-767.2788176707733
10,-768.9650848388671
11,-1306.4171359380086
12,-1510.4122238413493
13,-2423.089395751953
14,-1954.4932604471842
15,-2208.8021237862545
16,-2280.863652089437
17,-2212.098940582275
18,-1287.0450622229268
19,-538.5772478485108
20,-142.67438702901205
21,581.0505306315872
22,754.5836823654175
23,695.2594424777561
24,952.6837877400716
25,913.6564698652787
26,981.6003608703613
27,720.2796853383383
28,959.1689626820882
29,1245.5670318603516
30,1236.9942493374501
31,888.0816193135579
32,1395.4193717447918
33,1618.5615831629436
34,1585.5821496469002
35,2437.122490793864
36,2628.2579044569407
37,3763.1112330627443
38,4217.261309712728
39,3402.2506277901784
40,3362.0467445882164
41,3013.6351965183167
42,2890.7544449869793
43,3569.2918262227377
44,2550.814827372233
45,3102.147081418145
46,2731.8677370185096
47,3127.7804827690125
48,3037.4987995402016
49,3350.516497802734
50,3857.438918768191
51,3929.533583170573
52,3779.223812261485
53,2441.6003384399414
54,2851.3572017415363
55,2211.8690403238934
56,1414.9898302205404
57,751.024319559733
58,-1068.7839145914713
59,-1467.5866313171387
60,-2597.3816662597656
61,-4013.681738688151
62,-6175.750592753093
63,-8429.498251118186
64,-9316.998261922201
65,-8638.586313738142
66,-8719.251369525016
67,-6724.701117553711
68,-8727.254611816406
69,-11887.702101033528
70,-14023.979487101236
71,-16655.493682454427
72,-20548.762497355143
73,-23186.895766601563
74,-27888.684767252606
75,-32824.2855061849
76,-38966.34722222222
77,-34342.93688964844
78,-40080.687231445314
79,-42903.10719445634
80,-47786.14815298966
81,-44357.228240559896
82,-47644.784967447915
83,-48744.1251875
84,-55476.85927083333
85,-59632.16076171875
86,-64325.119594194315
87,-68457.237890625
88,-72156.94239583334
89,-72204.20607910157
90,-73906.54833984375
91,-76383.53033854166
92,-85886.67841145833
93,-90369.1620703125
94,-97331.6887890625
95,-98321.16971842448
96,-101577.03738932291
97,-109407.08404947916
98,-107982.35627604167
99,-107561.96015625
100,-108698.644765625
101,-108563.16526041667
102,-112516.74287760416
103,-108737.09736979166
104,-101693.6483203125
105,-106884.94787735849
106,-116261.76072803442
107,-119079.5789453125
108,-127515.57559218036
109,-138867.42459635416
110,-146410.58060874278
111,-143764.39078125
112,-147107.13053385416
113,-155050.16691810344
114,-159197.73395833332
115,-155268.41895833332
116,-165448.548046875
117,-175330.56586068435
118,-182270.71361979167
119,-177334.5607002618
120,-173285.687578125
121,-166854.08291330645
122,-172230.320234375
123,-168998.1089527027
124,-158951.08541666667
125,-161922.93328651684
126,-164464.06635680379
127,-180201.04272460938
128,-192583.439609375
129,-200738.4521639385
130,-209390.79942708334
131,-215631.39372395835
132,-213653.687890625
133,-220069.86770833333
134,-223294.73861979166
135,-233285.99981770833
136,-230890.70229166668
137,-223313.80697916666
138,-222815.63690104167
139,-224005.92518229166
140,-228306.125
141,-222920.95768229166
142,-244363.861171875
143,-254100.4156504065
144,-250066.79296875
145,-256000.9618015553
146,-253891.9002232143
147,-255911.11052083335
148,-305319.6701388889
149,-308938.9688541667
150,-313818.6159375
151,-314140.015
152,-357165.47973958333
153,-357521.4125
154,-368227.37900995574
155,-398573.63166666665
156,-409048.64032451925
157,-405404.406875
158,-422722.49026041664
159,-389571.16727941175
160,-406496.38067708333
161,-413704.26458333334
162,-389107.17546452704
163,-391995.51140625
164,-391799.65291666664
165,-378974.6451171875
166,-363320.9453125
167,-389953.23604166665
168,-379017.2384375
169,-393217.42026479007
170,-425437.30041666667
171,-428320.5926658163
172,-442582.55411458336
173,-429748.12192708335
174,-485199.01609848486
175,-485515.1755729167
176,-495787.511875
177,-479605.06602112675
178,-484841.0933333333
179,-471329.74822916667
180,-493350.1177551903
181,-510038.055625
182,-560428.6661458333
183,-562807.3201041666
184,-570857.5830208333
185,-587668.4153311966
186,-644967.9014030612
187,-659613.2897916667
188,-686750.7365625
189,-682902.7967708333
190,-684110.4557186235
191,-704244.0759375
192,-690424.9319791667
193,-730179.2586458334
194,-743077.3411458334
195,-752154.9385190217
196,-824691.8715625
197,-849400.4748222749
198,-850771.4018831878
199,-813226.1352941176
200,-846859.3820833333
201,-861267.4226041667
202,-862706.8385416666
203,-865687.9184375
204,-827700.2847916667
205,-895424.26484375
206,-955950.5566964286
207,-984054.4814814815
208,-998422.741875
209,-1035940.953125
210,-988092.474375
211,-1011038.4689583334
212,-1068469.6779166667
213,-1104095.5773411372
214,-1083417.4941666666
215,-1106933.5032291666
216,-1125487.0779166666
217,-1198011.266875
218,-1278336.4579166668
219,-1400633.3560416666
220,-1491804.7454166666
221,-1460397.5208333333
222,-1591318.9247916667
223,-1613410.4220833334
224,-1669668.36375
225,-1682029.1183333334
226,-1684161.1842105263
227,-1740197.3423611112
228,-1744012.6067708333
229,-1788687.4464285714
230,-1789306.05875
231,-1727859.2196132597
232,-1751515.9954166666
233,-1839698.2329545454
234,-1887259.5113636365
235,-1886494.9502083333
236,-1891206.02
237,-1912483.3443396227
238,-2001891.53125
239,-2055810.7995833333
240,-2162923.161764706
241,-2055923.01625
242,-2157661.327631579
243,-2248303.4516666667
244,-2241807.0366666666
245,-2256180.762605042
246,-2377167.469642857
247,-2408448.5030241935
248,-2465911.1575
249,-2537254.2391666668
250,-2669657.390416667
251,-2797720.450833333
252,-2842204.7550675673
253,-2920623.28875
254,-2946609.424792531
255,-3000775.91625
256,-3076219.9066666667
257,-3027605.735
258,-3047860.3608657243
259,-3092664.2920506913
260,-3223218.5283333333
261,-3240610.4225
262,-3100217.507352941
263,-3463400.6758333333
264,-3520125.2041284405
265,-3167703.2445833334
266,-3132137.895604396
267,-3270804.4470833335
268,-3362440.990833333
269,-3445258.2847826085
270,-3561254.8275
271,-3528359.071666667
272,-3628367.0575
273,-3663762.43061674
274,-3755835.7695783135
275,-3617004.34125
276,-3550348.1625
277,-3479506.5
278,-3503161.7625
279,-3590112.4890510947
280,-3641971.3688212926
281,-3654040.4296577945
282,-3676391.7992957747
283,-3868131.440340909
284,-3972088.6991666667
285,-3986138.6016666666
286,-4118687.7016666667
287,-3987259.2125
288,-3978051.3358333334
289,-3667075.097368421
290,-3540699.8481308413
291,-3661677.6548295454
292,-4006043.722972973
293,-3975236.0283333333
294,-3999617.2975
295,-4023238.6344827586
296,-4009744.260233918
297,-4124174.8041666667
298,-4093875.345833333
299,-4214120.68
300,-4264344.2525
301,-4097834.2291666665
302,-4191609.0933333333
303,-4126028.6216666666
304,-4222167.843333334
305,-4149440.4583333335
306,-4224176.7875
307,-4227242.236666666
308,-4169150.8358050846
309,-4397370.842307692
310,-4521535.641666667
311,-4411196.873333333
312,-4518026.955833334
313,-4727802.788333333
314,-4749346.259166666
315,-4760512.484732824
316,-4309980.2975
