,reward
0,477.0
1,-643.0
2,-667.0
3,-667.0
4,-667.0
5,-677.0
6,-587.0
7,-628.0
8,-623.0
9,-630.0
10,-567.0
11,-570.0
12,-602.0
13,-626.0
14,-576.0
15,-572.0
16,-586.0
17,451.0
18,-573.0
19,-610.0
20,-595.0
21,-566.0
22,-573.0
23,-580.0
24,-587.0
25,-571.0
26,-589.0
27,-656.0
28,-592.0
29,-661.0
30,-624.0
31,-678.0
32,-596.0
33,-670.0
34,-606.0
35,-571.0
36,470.0
37,-578.0
38,-583.0
39,-582.0
40,-696.0
41,-571.0
42,-568.0
43,-654.0
44,-596.0
45,-569.0
46,-660.0
47,-569.0
48,-590.0
49,-745.0
50,454.0
51,-560.0
52,-581.0
53,474.0
54,462.0
55,-602.0
56,458.0
57,-576.0
58,454.0
59,-576.0
60,456.0
61,455.0
62,452.0
63,-558.0
64,460.0
65,444.0
66,459.0
67,421.0
68,-580.0
69,-571.0
70,-568.0
71,-585.0
72,453.0
73,-625.0
74,464.0
75,437.0
76,-595.0
77,488.0
78,467.0
79,-563.0
80,-567.0
81,-567.0
82,460.0
83,-571.0
84,-579.0
85,463.0
86,435.0
87,-609.0
88,467.0
89,-586.0
90,-567.0
91,481.0
92,-568.0
93,467.0
94,-562.0
95,-579.0
96,468.0
97,453.0
98,-605.0
99,463.0
100,-589.0
101,-580.0
102,-566.0
103,475.0
104,-575.0
105,464.0
106,462.0
107,462.0
108,-568.0
109,-570.0
110,466.0
111,470.0
112,-570.0
113,470.0
114,-567.0
115,-568.0
116,472.0
117,462.0
118,-588.0
119,483.0
120,468.0
121,-576.0
122,470.0
123,430.0
124,425.0
125,-568.0
126,471.0
127,-605.0
128,-580.0
129,-567.0
130,471.0
131,-590.0
132,481.0
133,469.0
134,-572.0
135,-569.0
136,-581.0
137,476.0
138,468.0
139,458.0
140,-563.0
141,-572.0
142,471.0
143,-569.0
144,470.0
145,471.0
146,-563.0
147,-568.0
148,463.0
149,-570.0
150,-578.0
151,477.0
152,-572.0
153,470.0
154,-572.0
155,-581.0
156,-589.0
157,-571.0
158,458.0
159,-564.0
160,469.0
161,-561.0
162,-574.0
163,467.0
164,434.0
165,-564.0
166,463.0
167,-559.0
168,479.0
169,435.0
170,454.0
171,-587.0
172,-567.0
173,-571.0
174,459.0
175,-589.0
176,467.0
177,-602.0
178,467.0
179,-562.0
180,472.0
181,-593.0
182,456.0
183,-564.0
184,-578.0
