,reward
0,582.0
1,-1126.0
2,-624.0000000000001
3,-1060.0
4,-1318.0
5,-908.0
6,-1630.0
7,-1006.0
8,-1128.0
9,-894.0
10,-734.0
11,-798.0000000000001
12,-1082.0000000000002
13,-554.0
14,-698.0
15,-786.0
16,-842.0
17,-556.0
18,-578.0
19,-1204.0000000000002
20,-402.0
21,658.0
22,-564.0
23,-844.0
24,-602.0
25,-694.0
26,-438.0
27,-558.0
28,-614.0
29,-1068.0
30,-790.0
31,-664.0
32,-972.0000000000002
33,-590.0
34,-638.0000000000001
35,-694.0
36,-500.0
37,425.9999999999997
38,-470.0
39,660.0
40,-654.0
41,-728.0
42,-612.0
43,658.0
44,682.0
45,-638.0
46,-802.0
47,636.0
48,-544.0
49,732.0
50,-558.0
51,451.99999999999983
52,652.0
53,-504.0
54,749.9999999999999
55,-546.0
56,-726.0
57,640.0
58,461.99999999999983
59,-600.0000000000001
60,-536.0
61,632.0
62,857.9999999999999
63,-522.0
64,598.0
65,467.9999999999997
66,704.0
67,-634.0
68,462.0
69,-640.0
70,578.0
71,-490.00000000000017
72,469.99999999999994
73,-546.0
74,680.0
75,-338.0000000000001
76,-460.0
77,-474.0
78,564.0
79,-606.0
80,-564.0
81,-436.0
82,-474.0
83,-512.0
84,-604.0
85,498.0
86,582.0
87,-340.0000000000001
88,639.9999999999999
89,-460.0
90,-620.0
91,-558.0
92,642.0
93,765.9999999999999
94,-566.0
95,-510.0
96,662.0
97,-520.0
98,-480.0
99,-562.0
100,-468.0
101,578.0
102,708.0
103,-288.00000000000017
104,-738.0000000000001
105,668.0
106,-486.0
107,-694.0
108,670.0
109,-512.0
110,688.0
111,-662.0
112,680.0
113,-430.00000000000006
114,658.0
115,-492.0
116,-466.0
117,-430.0
118,-566.0
119,570.0
120,692.0
121,-370.00000000000017
122,-638.0
123,626.0
124,-470.0
125,672.0
126,-568.0
127,-506.0
128,-470.0
129,-450.0
130,662.0
131,-254.0000000000001
132,504.0
133,650.0
134,-604.0
135,674.0
136,-536.0
137,-434.0
138,-452.0
139,728.0
140,-678.0
141,-484.0
142,538.0
143,622.0
144,-548.0
145,-434.00000000000006
146,-472.0
147,626.0
148,-526.0
149,-716.0
150,-460.00000000000006
151,662.0
152,-476.0
153,-468.0
154,588.0
155,-544.0
156,-464.0
157,-426.0
158,526.0
159,-514.0
160,-480.0
161,696.0
162,-388.0
163,716.0
164,-562.0
165,636.0
166,-274.0000000000001
167,616.0
168,-494.0
169,-560.0
170,-462.0
171,702.0
172,771.9999999999999
173,-350.00000000000006
174,-448.0
175,674.0
176,-462.00000000000006
177,-476.0
178,-474.0
179,562.0
180,738.0
181,-304.0000000000001
182,-474.0
183,622.0
184,686.0
185,642.0
186,-418.0
187,-492.0
188,620.0
189,772.0
190,-356.0000000000001
191,-458.0
192,-618.0
193,620.0
194,-498.0
195,702.0
196,-490.0
197,-470.0
198,636.0
199,867.9999999999999
200,-254.00000000000006
201,642.0
202,955.9999999999999
203,-566.0
204,-436.00000000000006
205,666.0
206,-484.0
207,-444.0
208,-448.0
209,542.0
210,-492.0
211,562.0
212,754.0
213,-528.0
214,660.0
215,841.9999999999999
216,-414.0
217,522.0
218,-650.0
219,-508.0
220,702.0
221,-402.00000000000006
222,-450.0
223,-458.0
224,-692.0
225,640.0
226,827.9999999999998
227,-546.0
228,-438.0
229,-470.0
230,-436.0
231,684.0
232,915.9999999999999
233,722.0
234,-490.0
235,694.0
236,672.0
237,-536.0
238,558.0
239,-352.0000000000001
240,668.0
241,-676.0
242,514.0
243,861.9999999999999
244,811.9999999999999
245,741.9999999999998
246,-418.00000000000006
247,712.0
248,-578.0
249,686.0
250,-226.00000000000006
251,688.0
252,-466.0
253,600.0
254,-492.0
255,680.0
256,868.0
257,883.9999999999999
258,-464.0
259,646.0
260,-528.0000000000001
261,550.0
262,-560.0
263,-454.0
264,-510.00000000000006
265,546.0
266,787.9999999999999
267,658.0
268,811.9999999999999
269,-556.0
270,-494.0
271,710.0
272,-180.0000000000001
273,-436.0
274,650.0
275,-286.0
276,-456.0
277,558.0
278,-378.00000000000006
279,-594.0
280,622.0
281,-530.0
282,670.0
283,-444.0
284,-450.0
285,-446.0
286,658.0
287,884.0
288,847.9999999999999
289,-554.0
290,690.0
291,-506.0
292,-414.00000000000006
293,-420.0
294,624.0
295,-502.0
296,-614.0
297,562.0
298,771.9999999999999
299,-562.0
300,642.0
301,831.9999999999999
302,-414.00000000000006
303,-460.0
304,-434.0
305,688.0
306,-504.00000000000006
307,749.9999999999999
308,-702.0
309,-434.0
310,522.0
311,-458.0
312,-446.0
313,-458.0
314,-472.0
315,690.0
316,688.0
317,-352.0000000000001
318,-414.0
319,684.0
320,714.0
321,-574.0
322,606.0
323,865.9999999999998
324,712.0
325,-534.0
326,616.0
327,-428.0
328,618.0
329,-554.0
330,-440.0
331,686.0
332,-556.0
333,-562.0
334,646.0
335,664.0
336,-501.99999999999994
337,-460.0
338,-438.0
339,-446.0
340,682.0
341,-526.0
342,-454.0
343,562.0
344,-688.0
345,680.0
346,-466.0
347,-436.0
348,566.0
349,-420.0
350,-454.0
351,-436.0
352,586.0
353,718.0
354,823.9999999999998
355,674.0
356,-510.0
357,720.0
358,-590.0
359,650.0
360,-494.0
361,-450.0
362,660.0
363,-464.0
364,698.0
365,825.9999999999999
366,-510.0
367,-418.0
368,624.0
369,-458.0
370,-464.0
371,638.0
372,688.0
373,877.9999999999998
374,-570.0
375,674.0
376,-502.0
377,-590.0
378,650.0
379,-514.0
380,-456.0
381,-462.0
382,686.0
383,-448.0
384,-436.0
385,702.0
386,759.9999999999999
387,-540.0
388,674.0
389,-566.0
390,-452.0
391,654.0
392,-418.0
393,676.0
394,-568.0
395,662.0
396,694.0
397,728.0
398,706.0
399,-288.0000000000001
400,656.0
401,660.0
402,-530.0
403,-496.0
404,636.0
405,795.9999999999999
406,700.0
407,-494.0
408,-480.0
409,684.0
410,-264.0000000000001
411,676.0
412,-522.0
413,-432.0
414,-466.0
415,680.0
416,662.0
417,-278.00000000000017
418,532.0
419,748.0
420,937.9999999999999
421,-312.0000000000001
422,-462.0
423,660.0
424,-460.0
425,512.0
426,638.0
427,947.9999999999999
428,644.0
429,-126.00000000000017
430,-454.0
431,-414.0
432,702.0
433,-410.0
434,660.0
435,-432.0
436,-480.0
437,698.0
438,-550.0
439,768.0
440,-528.0
441,-438.0
442,688.0
443,825.9999999999998
444,690.0
445,847.9999999999999
446,963.9999999999998
447,-414.0
448,628.0
449,654.0
450,654.0
451,743.9999999999999
452,650.0
453,-491.99999999999994
454,-432.0
455,-478.0
456,-442.0
457,562.0
458,-558.0
459,638.0
460,-492.0
461,678.0
462,-526.0
463,-586.0
464,763.9999999999999
465,-464.0
466,-500.0
467,-438.0
468,-444.0
469,666.0
470,-598.0
471,702.0
472,-432.0
473,-446.0
474,564.0
475,708.0
476,-382.0
477,610.0
478,903.9999999999999
479,688.0
480,784.0
481,890.0
482,-508.0
483,596.0
484,662.0
485,-330.0000000000001
486,650.0
487,-497.99999999999994
488,692.0
489,682.0
490,-324.0000000000001
491,620.0
492,-498.0
493,-484.0
494,-470.0
495,630.0
496,-492.0
497,566.0
498,698.0
499,830.0
500,-472.0
501,654.0
502,-266.0000000000001
503,662.0
504,732.0
505,682.0
506,-530.0
507,716.0
508,-546.0
509,-472.0
510,724.0
511,734.0
512,736.0
513,682.0
514,-476.0
515,-458.0
516,734.0
517,-288.00000000000017
518,572.0
519,845.9999999999999
520,-470.0
521,-698.0
522,668.0
523,890.0
524,-396.00000000000006
525,710.0
526,-522.0
527,682.0
528,656.0
529,-412.0
530,632.0
531,-502.00000000000006
532,-606.0
533,556.0
534,-608.0
535,584.0
536,644.0
537,706.0
538,603.9999999999999
539,845.9999999999998
540,-522.0
541,686.0
542,-544.0
543,564.0
544,718.0
