,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,-3783.2970948997117
6,-4996.457092285156
7,-3890.4056722005207
8,5776.553849131266
9,13788.914262820514
10,14256.431725260416
11,15186.44595703125
12,16218.679942572295
13,17401.520950520833
14,18757.282916666667
15,20182.534947916665
16,21667.732643229167
17,23216.082630208333
18,24803.99302083333
19,26416.575143229165
20,28061.359635416666
21,29236.899013831968
22,30412.883541666666
23,32087.502356770834
24,33843.928411458335
25,35573.22895833333
26,37296.27875
27,39082.40346354167
28,40851.557421875
29,42636.094114583335
30,44412.594713541665
31,46242.57083333333
32,48032.791015625
33,49748.48305376838
34,51475.64825520833
35,53303.36924479167
36,55156.23455729167
37,56676.316655585106
38,58151.11317708333
39,59962.5778125
40,61828.729088541666
41,63717.2509375
42,65060.2859375
43,66088.77868589743
44,67643.568125
45,68855.3140625
46,69685.82931673729
47,71163.33442708333
48,73027.15864583333
49,74904.48614583333
50,76791.45203125
51,78668.83213541667
52,80529.45729166667
53,82434.86640625
54,84342.34041666667
55,86216.91203125
56,87974.62305484693
57,89722.73864583333
58,91566.39302083333
59,93360.99515625
60,95232.49286458333
61,97134.39869791667
62,98948.43885416667
63,100320.52834535256
64,101793.78645833333
65,103620.43401528777
66,105445.12697916667
67,107306.21098958333
68,109185.79203125
69,110600.96154853352
70,111499.72120786516
71,112691.23635416667
72,114560.18958333334
73,115992.62354166666
74,117019.70210040984
75,118427.29385416667
76,120339.00052083333
77,122198.71348958333
78,124061.29791666666
79,125920.62010416666
80,127807.89776041667
81,129598.05088541667
82,130722.65690104167
83,131768.79828125
84,133607.298125
85,135446.41270833334
86,137334.896875
87,139029.81214217556
88,140690.5396875
89,142616.97583333333
90,143760.92527173914
91,144851.7296875
92,146750.25697916668
93,148552.97197916667
94,150429.6175
95,151756.7712602459
96,152897.8146909594
97,154465.17108050847
98,156111.65479166666
99,157957.77197916666
100,159397.58104395604
101,160809.76644123133
102,162525.715
103,164301.17294520547
104,166085.8309375
105,167835.7759375
106,169795.94697916668
107,171414.08176455824
108,172368.8664314516
109,172669.39285714287
110,173624.34416666668
111,175374.24421751968
112,176605.843125
113,177949.48864583333
114,179585.80407608696
115,181180.94489583332
116,182927.12135416668
117,184212.77083333334
118,185479.22541666665
119,187278.28822916668
120,189153.35083333333
121,190942.57708333334
122,192715.10427083334
123,194114.96174568965
124,195340.70653409092
125,197067.3584375
126,198316.4238457207
127,199422.11077425373
128,201107.57229166667
129,202793.29141260163
130,203931.22588582677
131,204922.74659090908
132,206388.64791666667
133,208237.63333333333
134,210032.654375
135,211763.98666666666
136,213562.38885416667
137,215277.35354166667
138,216990.12919776118
139,218732.93333333332
140,220445.23020833332
141,222224.41885416667
142,223520.66048387098
143,224919.01447916665
144,226549.155625
145,228374.54697916665
146,230142.94770833335
147,231679.1671875
148,233429.8262195122
149,235195.74541666667
150,236864.22098214287
151,238546.25125
152,240340.7009375
153,242062.321875
154,243546.31339285715
155,243581.40625
156,245096.20083333334
157,246854.8865625
158,248116.50534018988
159,249359.64635416667
160,251176.23114583333
161,253040.52427083332
162,254808.75958333333
163,256578.67302083335
164,258370.97020833334
165,260147.05958333332
166,261885.96708333332
167,263663.3154166667
168,265460.603125
169,267255.12645833334
170,269046.82208333333
171,270832.10020833334
172,272623.79270833335
173,274406.5316666667
174,276192.9839583333
175,277998.4575
176,279798.5464583333
177,281584.5677083333
178,283390.9195833333
179,285187.43354166666
180,286997.0360416667
181,288788.1433333333
182,290596.7189583333
183,292397.6820833333
184,294201.084375
185,296030.36791666667
186,297844.1227083333
187,299657.261875
188,301470.2760416667
189,303281.43416666664
190,305082.48041666666
191,306892.4266666667
192,308705.9825
193,310516.0860416667
194,312338.2108333333
195,314139.518125
196,315961.81958333333
197,317777.321875
198,319586.5958333333
199,321392.80375
200,323213.640625
201,325019.0575
202,326853.68333333335
203,328656.57645833335
204,330468.11666666664
205,332281.6870833333
206,334087.3145833333
207,335902.5679166667
208,337723.31166666665
209,339527.853125
210,341333.833125
211,343159.2135416667
212,344977.06833333336
213,346788.473125
214,348597.46708333335
215,350401.66458333336
216,352218.849375
217,354033.6222916667
218,355845.81916666665
219,357661.025
220,359460.915
221,361247.9452083333
222,363031.21541666664
223,364824.15520833334
224,366613.49666666664
225,368388.55625
226,370176.595625
227,371943.5108333333
228,373720.31083333335
229,375488.36854166666
230,377269.4739583333
231,379031.9058333333
232,380799.05104166665
233,382554.3441666667
234,384320.2789583333
235,386081.0110416667
236,387833.331875
237,389582.20875
238,391343.7470833333
239,393077.3172916667
240,394826.56395833334
241,396574.809375
242,398307.83229166665
243,400057.085
244,401788.09041666664
245,403521.48104166664
246,405244.56333333335
247,406961.694375
248,408698.87166666664
249,410418.7925
250,412140.2789583333
251,413852.7083333333
252,415555.634375
253,417278.8204166667
254,418994.28791666665
255,420700.01375
256,422407.175625
257,424103.36875
258,425793.35270833335
259,427504.0185416667
260,429192.9216666667
261,430891.2191666667
262,432580.76645833335
263,434274.14479166665
264,435965.64625
265,437642.81354166666
266,439328.494375
267,440995.41375
268,442682.7789583333
269,444342.689375
270,446019.5416666667
271,447692.16875
272,449343.35104166664
273,451020.0422916667
274,452686.04604166665
275,454344.3595833333
276,456003.08875
277,457656.42583333334
278,459312.8647916667
279,460973.1925
280,462622.193125
281,464272.57979166665
282,465915.05875
283,467557.73625
284,469191.55020833336
285,470833.7660416667
286,472466.486875
287,474098.35229166667
288,475725.12625
289,477357.7264583333
290,478993.08229166665
291,480614.055
292,482245.08729166666
293,483860.95145833335
294,485461.864375
295,487086.26666666666
296,488696.9320833333
297,490311.6452083333
298,491907.5804166667
299,493517.51645833335
300,495116.21125
301,496717.33729166666
302,498320.3439583333
303,499906.08645833336
304,501490.5989583333
305,503090.4110416667
306,504666.9977083333
307,506259.733125
308,507850.93083333335
309,509438.04604166665
310,511016.7577083333
311,512590.62875
312,514154.3152083333
313,515736.84520833334
314,517313.0525
315,518863.0760416667
316,520414.91604166664
317,522011.8014583333
318,523555.025625
319,525106.6577083333
320,526644.825
321,528219.7195833334
322,529763.5854166667
323,531306.7808333334
324,532864.1841666667
325,534395.23875
326,535943.5566666666
327,537488.66375
328,539011.7441666666
329,540566.75875
330,542092.9125
331,543626.6220833333
332,545147.3720833333
333,546672.4529166666
334,548196.7225
335,549715.43625
336,551241.5270833333
337,552763.815
338,554271.33625
339,555772.3858333334
340,557284.19875
341,558804.8304166667
342,560312.7816666666
343,561809.61375
344,563319.0383333333
345,564817.5275
346,566309.6033333334
347,567807.4754166667
348,569289.0766666667
349,570785.2545833334
350,572282.2020833333
351,573765.0033333333
352,575268.95625
353,576730.0179166667
354,578222.80125
355,579704.225
356,581174.7120833333
357,582647.0520833334
358,584128.5841666666
359,585593.14
360,587048.6395833333
361,588510.8608333333
362,589998.2975
