,reward
0,477.0
1,-644.0
2,-665.0
3,-666.0
4,-666.0
5,-703.0
6,-782.0
7,-300.0
8,-300.0
9,-657.0
10,-300.0
11,-300.0
12,-738.0
13,-681.0
14,-606.0
15,-807.0
16,-300.0
17,-726.0
18,-753.0
19,233.0
20,-300.0
21,-648.0
22,-300.0
23,-662.0
24,-300.0
25,-300.0
26,-300.0
27,-300.0
28,-300.0
29,-300.0
30,-300.0
31,-300.0
32,-300.0
33,-300.0
34,-300.0
35,-300.0
36,-300.0
37,-300.0
38,-300.0
39,-300.0
40,-300.0
41,-300.0
42,-300.0
43,-300.0
44,-300.0
45,-300.0
46,-300.0
47,-300.0
48,-300.0
49,-300.0
50,-300.0
51,-300.0
52,-300.0
53,-619.0
54,-300.0
55,-300.0
56,-300.0
57,-300.0
58,-300.0
59,-300.0
60,-300.0
61,-651.0
62,-826.0
63,-300.0
64,-300.0
65,-300.0
66,-300.0
67,-300.0
68,-819.0
69,-300.0
70,-656.0
71,-300.0
72,-300.0
73,-628.0
74,-300.0
75,-701.0
76,-300.0
77,-300.0
78,-719.0
79,-300.0
80,-300.0
81,-714.0
82,-300.0
83,-300.0
84,-790.0
85,-591.0
86,-798.0
87,-300.0
88,-300.0
89,-300.0
90,-300.0
91,-300.0
92,-775.0
93,-300.0
94,-689.0
95,-699.0
96,-300.0
97,-300.0
98,-300.0
99,-300.0
100,-688.0
101,-830.0
102,-766.0
103,-300.0
104,-812.0
105,256.0
106,-300.0
107,-300.0
108,-300.0
109,-300.0
110,-300.0
111,-300.0
112,-300.0
113,-300.0
114,-673.0
115,-300.0
116,-300.0
117,-300.0
118,-300.0
119,-631.0
120,-300.0
121,-300.0
122,-300.0
123,-300.0
124,-300.0
125,-755.0
126,-300.0
127,-300.0
128,-658.0
129,-762.0
130,-612.0
131,-790.0
132,-669.0
133,-635.0
134,-836.0
135,-300.0
136,-300.0
137,354.0
138,-708.0
139,-771.0
140,-300.0
141,-300.0
142,-623.0
143,-300.0
144,-300.0
145,-300.0
146,-300.0
147,-300.0
148,-300.0
149,-300.0
150,-710.0
151,-300.0
152,-566.0
153,-834.0
154,-300.0
155,-788.0
156,-300.0
157,-300.0
158,-696.0
159,-786.0
160,-569.0
161,-300.0
162,-300.0
163,-300.0
164,-300.0
165,-300.0
166,-733.0
167,-590.0
168,-300.0
169,-300.0
170,-300.0
171,-300.0
172,-300.0
173,-300.0
174,-833.0
175,-300.0
176,-300.0
177,-300.0
178,-300.0
179,-300.0
180,-300.0
181,-758.0
182,-696.0
183,-300.0
184,-300.0
185,-300.0
186,-300.0
187,-300.0
188,-300.0
189,-300.0
190,-300.0
191,-645.0
192,-300.0
193,-802.0
194,-576.0
195,-300.0
196,-300.0
197,-300.0
198,-300.0
199,-639.0
200,-600.0
201,-300.0
202,-300.0
203,-300.0
204,-760.0
205,-300.0
206,-723.0
207,-300.0
208,-300.0
209,-300.0
210,-300.0
211,-300.0
212,-300.0
213,-300.0
214,-300.0
