,reward
0,580.0
1,-1358.0
2,-1472.0
3,-1534.0
4,-1542.0
5,-942.0000000000003
6,-1028.0
7,-1818.0
8,-1410.0
9,-632.0
10,-568.0000000000005
11,-674.0000000000005
12,-1224.0000000000005
13,-612.0000000000005
14,-662.0000000000002
15,-628.0000000000001
16,-614.0000000000002
17,-628.0000000000003
18,-566.0000000000002
19,-658.0000000000003
20,-660.0000000000002
21,-758.0000000000001
22,-526.0000000000005
23,-554.0000000000007
24,-622.0000000000003
25,-652.0000000000001
26,-622.0000000000005
27,-556.0000000000002
28,-570.0000000000001
29,-612.0000000000007
30,-710.0000000000007
31,-584.0000000000005
32,-554.0000000000007
33,-940.0000000000006
34,-594.0000000000002
35,-702.0000000000001
36,-588.0000000000005
37,-790.0000000000003
38,-566.0000000000001
39,-690.0000000000006
40,-574.0000000000005
41,-666.0000000000003
42,-858.0000000000002
43,-970.0000000000005
44,-734.0000000000002
45,-570.0
46,-902.0
47,-792.0000000000005
48,-538.0000000000003
49,-604.0000000000005
50,-576.0000000000002
51,-658.0000000000001
52,-546.0000000000003
53,-494.00000000000045
54,-614.0000000000001
55,-566.0000000000005
56,-1012.0
57,-622.0000000000005
58,-534.0000000000006
59,-674.0000000000002
60,-620.0000000000007
61,-580.0000000000001
62,-624.0000000000001
63,-854.0000000000002
64,-646.0000000000005
65,-1238.0000000000005
66,-756.0000000000005
67,-600.0000000000002
68,-656.0000000000005
69,-872.0000000000003
70,-712.0
71,-514.0000000000006
72,-604.0000000000002
73,-792.0000000000002
74,-818.0000000000002
75,-596.0000000000005
76,-560.0
77,-700.0000000000005
78,-556.0000000000001
79,-694.0000000000002
80,-716.0000000000005
81,-570.0000000000002
82,484.0
83,-674.0000000000006
84,-544.0000000000001
85,-596.0000000000002
86,-570.0000000000005
87,-1000.0000000000005
88,-622.0000000000003
89,-1736.0
90,-586.0
91,-600.0000000000002
92,-752.0000000000007
93,-708.0000000000005
94,-638.0000000000002
95,-896.0000000000001
96,-1166.0000000000005
97,-1106.0000000000005
98,-518.0000000000007
99,-732.0000000000003
100,-954.0000000000001
101,-1192.0000000000005
102,-686.0000000000007
103,-1152.0000000000007
104,-608.0000000000002
105,-672.0000000000005
106,-688.0000000000002
107,-1186.0000000000005
108,-690.0000000000001
109,-774.0
110,-660.0000000000001
111,67.99999999999989
112,-910.0000000000002
113,-522.0000000000007
114,-1180.0000000000002
115,-658.0000000000001
116,-730.0000000000002
117,-896.0
118,-594.0000000000007
119,-722.0000000000002
120,-606.0000000000006
121,-628.0000000000006
122,-552.0000000000005
123,-1038.0000000000002
124,-1186.0000000000002
125,-736.0000000000003
126,-758.0000000000002
127,-1114.0000000000005
128,-626.0000000000003
129,-934.0000000000002
130,-854.0000000000001
131,-1140.0000000000002
132,-638.0000000000003
133,-584.0000000000002
134,-540.0000000000008
135,-522.0000000000005
136,-582.0000000000001
137,-626.0000000000005
138,-1186.0000000000005
139,-574.0000000000005
140,-634.0000000000005
141,-612.0000000000005
142,-858.0
143,-628.0000000000005
144,-502.0000000000001
145,-650.0000000000002
146,-682.0000000000005
147,-738.0000000000005
148,-1038.0000000000007
149,-608.0000000000005
150,-1250.0000000000005
151,-690.0000000000002
152,-622.0000000000005
153,-686.0000000000002
154,-942.0000000000005
155,-446.0
156,-718.0000000000005
157,-712.0000000000005
158,-846.0000000000002
159,-1476.0
160,-2084.0
161,-1948.0
162,-2060.0
163,-2160.0
164,-2008.0
165,-2200.0
166,-2000.0
167,-2070.0
168,-2100.0
169,-2180.0
170,-2030.0
171,-2130.0
172,-2020.0
173,-1974.0
174,-2086.0
175,-2128.0
176,-1956.0
177,-2038.0
178,-2140.0
179,-1976.0
180,-2040.0
181,-2070.0
182,-2078.0
183,-1950.0
184,-2130.0
185,-2098.0
186,-2110.0
187,-2060.0
188,-2040.0
189,-2120.0
190,-1978.0
191,-2056.0
192,-2190.0
193,-2158.0
194,-2066.0
195,-2090.0
196,-2060.0
197,-2056.0
198,-2070.0
199,-2058.0
200,-2220.0
201,-2050.0
202,-2090.0
203,-1922.0000000000002
204,-2088.0
205,-2040.0
206,-2008.0
207,-1956.0
208,-2002.0
209,-2068.0
210,-2100.0
211,-2088.0
212,-2070.0
213,-1940.0
214,-2150.0
215,-1946.0
216,-2100.0
217,-2108.0
218,-2080.0
219,-1902.0
220,-2040.0
221,-1810.0
222,-2078.0
223,-2130.0
224,-1974.0
225,-2070.0
226,-2042.0
227,-2160.0
228,-1966.0
229,-2190.0
230,-2250.0
231,-2086.0
232,-2110.0
233,-2048.0
234,-2066.0
235,-2198.0
236,-2056.0
237,-1936.0
238,-2118.0
239,-1996.0
240,-2160.0
241,-2008.0
242,-1940.0
243,-2100.0
244,-2090.0
245,-2106.0
246,-2138.0
247,-2180.0
248,-1852.0
249,-2118.0
250,-2090.0
251,-2170.0
252,-2100.0
253,-2168.0
254,-2078.0
255,-2016.0
256,-2020.0
257,-2048.0
258,-2108.0
259,-2030.0
260,-1934.0
261,-2190.0
262,-1960.0
263,-2100.0
264,-1916.0000000000002
265,-2040.0
266,-2130.0
267,-2120.0
268,-2088.0
269,-2030.0
270,-2038.0
271,-2150.0
272,-2080.0
273,-1958.0
274,-2140.0
275,-2108.0
276,-1968.0
277,-2130.0
278,-2140.0
279,-2078.0
280,-2008.0
281,-2026.0
282,-2118.0
283,-2080.0
284,-2080.0
285,-2020.0
286,-2040.0
287,-2090.0
288,-2110.0
289,-2150.0
290,-2096.0
291,-2032.0
292,-2048.0
293,-2032.0
294,-1962.0
295,-2118.0
296,-2140.0
297,-1938.0
298,-2030.0
299,-2070.0
300,-1974.0
301,-2140.0
302,-2166.0
303,-2020.0
304,-2030.0
305,-2150.0
306,-2120.0
307,-2128.0
308,-2014.0
309,-2046.0
310,-2060.0
311,-2140.0
312,-2138.0
313,-2018.0
314,-2016.0
315,-1978.0
316,-2136.0
317,-2180.0
318,-1956.0
319,-2060.0
320,-1910.0
321,-2042.0
322,-2004.0
323,-2050.0
324,-1934.0
325,-2054.0
326,-2078.0
327,-2060.0
328,-2050.0
329,-2070.0
330,-2090.0
331,-2130.0
332,-2170.0
333,-2090.0
334,-1968.0
335,-2160.0
336,-2058.0
337,-1980.0
338,-2000.0
339,-1978.0
340,-2148.0
341,-2190.0
342,-2100.0
343,-1974.0
344,-2130.0
345,-2080.0
346,-2100.0
347,-2070.0
348,-1980.0
349,-2122.0
350,-2170.0
351,-2080.0
352,-1964.0
353,-2210.0
354,-2100.0
355,-2110.0
356,-1938.0
357,-2148.0
358,-2140.0
359,-2060.0
360,-2180.0
361,-2050.0
362,-2022.0
363,-2136.0
364,-2128.0
365,-2060.0
366,-2130.0
367,-2098.0
368,-2076.0
369,-2128.0
370,-1908.0
371,-2028.0
372,-2008.0
373,-2106.0
374,-2100.0
375,-2160.0
376,-2028.0
377,-2138.0
378,-1936.0
379,-2068.0
380,-2180.0
381,-2180.0
382,-2100.0
383,-2068.0
384,-1878.0
385,-2086.0
386,-2070.0
387,-2110.0
388,-2116.0
389,-2038.0
390,-2028.0
391,-2160.0
392,-2100.0
393,-1964.0
394,-2032.0
395,-2080.0
396,-2100.0
397,-2006.0
398,-2070.0
399,-2098.0
400,-2140.0
401,-2110.0
402,-2120.0
403,-1992.0
404,-2168.0
405,-2130.0
406,-2000.0
407,-2090.0
408,-2118.0
409,-2070.0
410,-2050.0
411,-2088.0
412,-2078.0
413,-2090.0
414,-2130.0
415,-2090.0
416,-2064.0
417,-2050.0
418,-2008.0
419,-2038.0
420,-2160.0
421,-2046.0
422,-2030.0
423,-1884.0
424,-2110.0
425,-2118.0
426,-2002.0
427,-2048.0
428,-2140.0
429,-2110.0
430,-2080.0
431,-2150.0
432,-2070.0
433,-2030.0
434,-2014.0
435,-2150.0
436,-2120.0
437,-1988.0
438,-2110.0
439,-2050.0
440,-2118.0
441,-2140.0
442,-1986.0
443,-2016.0
444,-2138.0
445,-2086.0
446,-2070.0
447,-2028.0
448,-2046.0
449,-2072.0
450,-2110.0
451,-1998.0
452,-1958.0
453,-2008.0
454,-2074.0
455,-2160.0
456,-2190.0
457,-2140.0
458,-2100.0
459,-2070.0
460,-2090.0
461,-2060.0
462,-2060.0
463,-1916.0
464,-2090.0
465,-2028.0
466,-2130.0
467,-2048.0
468,-2080.0
469,-2010.0
470,-2040.0
471,-2108.0
472,-1954.0
473,-2188.0
474,-2090.0
475,-2230.0
476,-2120.0
477,-2068.0
478,-2040.0
479,-1954.0
480,-1956.0
481,-2110.0
482,-1970.0
483,-2130.0
484,-2076.0
485,-1936.0
486,-2046.0
487,-1980.0
488,-2180.0
489,-2046.0
490,-2034.0
491,-2098.0
492,-2138.0
493,-2010.0
494,-2080.0
495,-2050.0
496,-1974.0
497,-2160.0
498,-2130.0
499,-2028.0
500,-2086.0
501,-2078.0
502,-2038.0
503,-2056.0
504,-2050.0
505,-1974.0
506,-2036.0
507,-2020.0
508,-2130.0
509,-2108.0
510,-2048.0
511,-1926.0
512,-2100.0
513,-2120.0
514,-2118.0
515,-1988.0
516,-2030.0
517,-2034.0000000000002
518,-2080.0
519,-2200.0
520,-2170.0
521,-2070.0
522,-2118.0
523,-2076.0
524,-2120.0
525,-2050.0
526,-1990.0
527,-2060.0
528,-2020.0
529,-2120.0
530,-2130.0
531,-2170.0
532,-2098.0
533,-2078.0
534,-2010.0
535,-2110.0
536,-2170.0
537,-2080.0
538,-2108.0
539,-2086.0
540,-2088.0
541,-2140.0
542,-2018.0
543,-1918.0
544,-2150.0
545,-2086.0
546,-2168.0
547,-2120.0
548,-1990.0
549,-2048.0
550,-2086.0
551,-1904.0
552,-2060.0
553,-2046.0
554,-1912.0
555,-2210.0
556,-2026.0
557,-2080.0
558,-2108.0
559,-2030.0
560,-2096.0
561,-2090.0
562,-2018.0000000000002
563,-2030.0
564,-1986.0
565,-2058.0
566,-2050.0
567,-2036.0
568,-2040.0
569,-2028.0
570,-1964.0
