,loss
0,47.74748229980469
1,140.9334259033203
2,265.54425048828125
3,429.3517761230469
4,637.7886962890625
5,896.4528198242188
6,1211.1494140625
7,1588.03125
8,2034.509033203125
9,2559.93701171875
10,3173.821044921875
11,3888.318359375
12,4712.79052734375
13,5659.3701171875
14,6740.78173828125
15,7970.17431640625
16,9329.2763671875
17,10455.814453125
18,11065.400390625
19,11145.166015625
20,10845.6787109375
21,10308.2177734375
22,9651.3017578125
23,8971.087890625
24,8365.6474609375
25,7916.544921875
26,7648.5205078125
27,7553.48974609375
28,7612.6591796875
29,7805.27490234375
30,8111.0615234375
31,8502.8779296875
32,8935.494140625
33,9334.1337890625
34,9608.240234375
35,9699.78125
36,9608.1044921875
37,9377.63671875
38,9078.0771484375
39,8783.0048828125
40,8551.810546875
41,8419.98046875
42,8400.40625
43,8487.5556640625
44,8661.2900390625
45,8888.724609375
46,9126.0869140625
47,9324.9375
48,9444.224609375
49,9464.14453125
50,9392.9716796875
51,9261.375
52,9111.0869140625
53,8982.26953125
54,8906.3173828125
55,8898.158203125
56,8956.0009765625
57,9067.1796875
58,9209.275390625
59,9353.65625
60,9469.490234375
61,9534.595703125
62,9541.5703125
63,9498.2822265625
64,9424.3330078125
65,9344.4970703125
66,9281.71875
67,9253.228515625
68,9266.27734375
69,9316.767578125
70,9392.830078125
71,9476.6162109375
72,9548.708984375
73,9593.5234375
74,9603.7861328125
75,9582.80859375
76,9541.07421875
77,9493.521484375
78,9455.6162109375
79,9437.1796875
80,9443.38671875
81,9470.8759765625
82,9511.15234375
83,9553.3798828125
84,9587.1982421875
85,9605.09765625
86,9604.3251953125
87,9588.509765625
88,9565.876953125
89,9545.556640625
90,9535.3134765625
91,9540.4345703125
92,9561.177734375
93,9592.283203125
94,9627.7314453125
95,9662.1240234375
96,9687.8984375
97,9705.916015625
98,9716.5390625
99,9720.8671875
100,9724.279296875
101,9732.8212890625
102,9748.5830078125
103,9770.0537109375
104,9794.2216796875
105,9816.869140625
106,9834.5244140625
107,9845.6142578125
108,9850.0615234375
109,9851.6171875
110,9854.6123046875
111,9863.2734375
112,9878.2099609375
113,9897.609375
114,9915.505859375
115,9927.01171875
116,9932.9833984375
117,9937.15234375
118,9943.9609375
119,9954.56640625
120,9967.3291015625
121,9981.0810546875
122,9993.994140625
123,10007.9423828125
124,10021.447265625
125,10027.951171875
126,10028.052734375
127,10028.8603515625
128,10033.4482421875
129,10035.9365234375
130,10036.9033203125
131,10037.701171875
132,10042.662109375
133,10049.46484375
134,10051.0859375
135,10049.962890625
136,10053.9560546875
137,10065.44921875
138,10077.0859375
139,10085.337890625
140,10093.58984375
141,10108.787109375
142,10124.50390625
143,10135.6376953125
144,10142.548828125
145,10157.123046875
146,10175.392578125
147,10186.8994140625
148,10195.0751953125
149,10208.03125
150,10219.92578125
151,10229.115234375
152,10242.3779296875
153,10258.7783203125
154,10269.64453125
155,10276.208984375
156,10285.9853515625
157,10295.755859375
158,10299.921875
159,10301.546875
160,10308.841796875
161,10313.03125
162,10312.818359375
163,10316.822265625
164,10318.826171875
165,10319.6611328125
166,10322.751953125
167,10326.431640625
168,10328.369140625
169,10325.46484375
170,10325.552734375
171,10325.416015625
172,10328.3984375
173,10327.61328125
174,10322.4833984375
175,10329.83203125
176,10322.2568359375
177,10324.84375
178,10326.6708984375
179,10315.80859375
180,10326.1552734375
181,10312.201171875
182,10312.740234375
183,10319.791015625
184,10306.169921875
185,10310.05078125
186,10301.05859375
187,10289.267578125
188,10286.705078125
189,10282.9375
190,10278.619140625
191,10271.552734375
192,10264.0380859375
193,10255.1982421875
194,10261.904296875
195,10252.896484375
196,10249.39453125
197,10241.1083984375
198,10245.931640625
199,10236.9443359375
200,10233.0400390625
201,10229.361328125
202,10221.3203125
203,10226.705078125
204,10201.1708984375
205,10219.521484375
206,10202.1376953125
207,10206.6142578125
208,10205.4130859375
209,10186.5859375
210,10196.2734375
211,10162.015625
212,10184.052734375
213,10154.580078125
214,10165.9716796875
215,10139.9990234375
216,10132.234375
217,10126.8369140625
218,10120.142578125
219,10122.0302734375
220,10094.8291015625
221,10111.8193359375
222,10084.5859375
223,10102.3896484375
224,10062.0625
225,10085.572265625
226,10036.1015625
227,10079.861328125
228,10020.3212890625
229,10054.1826171875
230,10017.8232421875
231,10029.677734375
232,10002.08984375
233,10008.8310546875
234,9993.486328125
235,9991.505859375
236,9980.68359375
237,9961.607421875
238,9972.31640625
239,9920.91015625
240,9982.0234375
241,9877.51953125
242,9993.62890625
243,9880.486328125
244,9942.912109375
245,9959.806640625
246,9883.99609375
247,9995.43359375
248,9910.56640625
249,9956.83203125
250,9981.8896484375
251,9925.2685546875
252,10024.7392578125
253,9951.919921875
254,10008.123046875
255,10015.9833984375
256,9996.435546875
257,10084.998046875
258,10004.9970703125
259,10123.6337890625
260,10056.4873046875
261,10147.4423828125
262,10126.0791015625
263,10153.2451171875
264,10201.642578125
265,10182.359375
266,10290.779296875
267,10203.908203125
268,10381.4140625
269,10211.7060546875
270,10472.5859375
271,10278.5146484375
272,10465.763671875
273,10437.1142578125
274,10398.94140625
275,10563.30859375
276,10393.994140625
277,10591.482421875
278,10519.9140625
279,10512.7841796875
280,10658.544921875
281,10507.650390625
282,10712.216796875
283,10617.314453125
284,10694.2685546875
285,10758.939453125
286,10675.66796875
287,10848.3154296875
288,10701.169921875
289,10899.5595703125
290,10766.0908203125
291,10896.6396484375
292,10851.6865234375
293,10883.625
294,10913.015625
295,10891.052734375
296,11004.521484375
297,10868.9716796875
298,11133.1416015625
299,10781.267578125
300,11285.72265625
301,10788.185546875
302,11144.384765625
303,11155.890625
304,10870.9013671875
305,11292.8466796875
306,11027.8203125
307,11029.134765625
308,11300.421875
309,10966.802734375
310,11182.5927734375
311,11250.1611328125
312,11011.326171875
313,11304.787109375
314,11180.6357421875
315,11119.83203125
316,11341.9619140625
317,11117.7705078125
318,11254.5322265625
319,11284.5771484375
320,11117.8974609375
321,11343.4140625
322,11168.0888671875
323,11241.103515625
324,11305.322265625
325,11157.2607421875
326,11352.775390625
327,11175.953125
328,11288.1396484375
329,11283.6533203125
330,11212.9775390625
331,11360.01171875
332,11186.2109375
333,11393.0146484375
334,11205.6279296875
335,11376.6552734375
336,11237.8701171875
337,11340.5517578125
338,11274.78515625
339,11304.701171875
340,11321.314453125
341,11285.0
342,11361.1572265625
343,11261.728515625
344,11422.53125
345,11179.5283203125
346,11562.5390625
347,11014.4638671875
348,11747.5390625
349,10983.908203125
350,11578.052734375
351,11434.197265625
352,11154.3974609375
353,11723.7734375
354,11223.6318359375
355,11421.568359375
356,11636.451171875
357,11176.26171875
358,11595.767578125
359,11484.5283203125
360,11270.091796875
361,11673.826171875
362,11370.810546875
363,11435.435546875
364,11659.8291015625
365,11329.18359375
366,11613.724609375
367,11569.9384765625
368,11416.5859375
369,11713.4443359375
370,11478.84765625
371,11591.9833984375
372,11688.5146484375
373,11467.701171875
374,11737.251953125
375,11555.90234375
376,11594.5263671875
377,11724.4140625
378,11516.830078125
379,11753.7666015625
380,11603.037109375
381,11653.25
382,11737.7255859375
383,11583.7587890625
384,11787.0703125
385,11629.232421875
386,11739.61328125
387,11733.130859375
388,11680.3076171875
389,11799.8994140625
390,11659.4208984375
391,11812.03125
392,11706.162109375
393,11780.8037109375
394,11788.6357421875
395,11745.76953125
396,11852.7900390625
397,11737.1826171875
398,11879.166015625
399,11759.02734375
400,11886.9462890625
401,11794.5341796875
402,11881.02734375
403,11836.3173828125
404,11884.029296875
405,11879.0087890625
406,11875.0390625
407,11911.5556640625
408,11860.6953125
409,11941.5302734375
410,11848.57421875
411,11987.9580078125
412,11829.7255859375
413,12051.2431640625
414,11792.9189453125
415,12144.8525390625
416,11725.0107421875
417,12266.1474609375
418,11659.27734375
419,12316.8603515625
420,11732.3349609375
421,12175.896484375
422,11992.701171875
423,11930.35546875
424,12229.126953125
425,11803.2587890625
426,12239.345703125
427,11909.8720703125
428,12049.6259765625
429,12146.294921875
430,11897.2626953125
431,12259.025390625
432,11943.3623046875
433,12167.52734375
434,12125.072265625
435,12022.33203125
436,12261.0546875
437,11994.001953125
438,12253.384765625
439,12112.228515625
440,12150.568359375
441,12257.4453125
442,12075.8056640625
443,12302.72265625
444,12098.0576171875
445,12248.06640625
