,reward
0,478.0
1,-625.0
2,-649.0
3,-647.0
4,-647.0
5,-647.0
6,-644.0
7,-644.0
8,-647.0
9,-650.0
10,-649.0
11,-644.0
12,-650.0
13,-300.0
14,-694.0
15,-590.0
16,-571.0
17,-669.0
18,208.0
19,-300.0
20,308.0
21,-609.0
22,301.0
23,-757.0
24,353.0
25,-753.0
26,-642.0
27,-637.0
28,-617.0
29,-690.0
30,-618.0
31,376.0
32,-581.0
33,-615.0
34,410.0
35,-614.0
36,-706.0
37,-639.0
38,385.0
39,356.0
40,-594.0
41,-652.0
42,-612.0
43,-642.0
44,-596.0
45,401.0
46,-583.0
47,304.0
48,-632.0
49,-615.0
50,-613.0
51,455.0
52,-682.0
53,-618.0
54,-624.0
55,-659.0
56,-643.0
57,411.0
58,-565.0
59,433.0
60,463.0
61,-630.0
62,472.0
63,448.0
64,-571.0
65,482.0
66,452.0
67,-570.0
68,-572.0
69,453.0
70,432.0
71,-574.0
72,431.0
73,453.0
74,-606.0
75,472.0
76,457.0
77,-560.0
78,-635.0
79,464.0
80,-587.0
81,-566.0
82,473.0
83,-574.0
84,-571.0
85,-576.0
86,461.0
87,-597.0
88,-570.0
89,466.0
90,436.0
91,-609.0
92,-581.0
93,463.0
94,474.0
95,444.0
96,-564.0
97,467.0
98,-588.0
99,448.0
100,-568.0
101,-573.0
102,-572.0
103,-575.0
104,468.0
105,-614.0
106,469.0
107,-560.0
108,452.0
109,466.0
110,439.0
111,-573.0
112,486.0
113,-568.0
114,464.0
115,460.0
116,-559.0
117,467.0
118,-571.0
119,463.0
120,455.0
121,-593.0
122,470.0
123,464.0
124,-580.0
125,-589.0
126,-571.0
127,-567.0
128,-576.0
129,436.0
130,445.0
131,429.0
132,-597.0
133,472.0
134,452.0
135,-573.0
136,440.0
137,-564.0
138,-571.0
139,486.0
140,462.0
141,-573.0
142,475.0
143,467.0
144,-576.0
145,-574.0
146,490.0
147,-562.0
148,456.0
149,-565.0
150,471.0
151,475.0
152,417.0
153,-568.0
154,-595.0
155,455.0
156,-602.0
157,472.0
158,-576.0
159,459.0
160,454.0
161,470.0
162,-560.0
163,444.0
164,-607.0
165,482.0
166,-585.0
167,-569.0
168,476.0
169,-570.0
170,-577.0
171,-578.0
172,-573.0
173,-575.0
174,-573.0
175,477.0
176,463.0
177,-558.0
178,-573.0
179,-573.0
180,-573.0
181,-577.0
182,471.0
183,-576.0
184,-600.0
185,-586.0
186,463.0
187,-574.0
188,462.0
189,420.0
190,-559.0
191,-571.0
192,-572.0
193,-573.0
194,458.0
195,-610.0
196,459.0
197,448.0
198,-558.0
199,-576.0
200,467.0
