,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,1255.7833447353446
11,1549.1562591097247
12,2065.309575152292
13,2570.298562442555
14,2749.2015682071833
15,3761.4994566572473
16,6598.787540690104
17,7439.07797429591
18,8226.118217468262
19,9402.412280273438
20,10084.522129274765
21,11379.555629046316
22,12172.672718942902
23,12673.66945749563
24,13246.582529296875
25,13711.464475911458
26,14412.532291306976
27,14971.682262369792
28,15822.504602864583
29,16620.781943359376
30,17226.481064453124
31,18372.29033854167
32,18878.364995216838
33,20226.201401367187
34,20754.813527960527
35,21635.253375651042
36,22091.611106178978
37,22681.545496757077
38,23303.135188802084
39,24414.87869140625
40,24055.282528703385
41,25296.9653153853
42,26501.764984631147
43,26447.339958639706
44,27639.382059733074
45,32139.571428571428
46,28421.941985677084
47,29117.880611979166
48,31986.518095820782
49,32248.966145833332
50,34157.18647460938
51,36989.300833333335
52,38546.43125640369
53,39799.3544692635
54,40675.173527644234
55,42821.55340494792
56,42164.72415547975
57,44578.44853515625
58,46813.02560221354
59,49150.635850694445
60,47475.86525390625
61,50812.7190882507
62,50887.11009567179
63,54001.67568359375
64,54159.891450264084
65,57158.22443359375
66,59482.3959765625
67,63608.19598297575
68,65381.4770703125
69,67683.7982130984
70,72358.57056640626
71,76652.67340494791
72,79268.07932590794
73,88087.65744579081
74,85968.96118861607
75,90599.51034154647
76,91468.73182975114
77,92577.82547129756
78,94403.16983072917
79,102789.35559244792
80,106480.03030598958
81,108479.59889284393
82,114418.85498564488
83,119516.945625
84,130429.87684714147
85,118328.50224002471
86,129460.62942394578
87,125873.61277613147
88,133552.97824053696
89,138679.24778645832
90,131061.79605394109
91,141365.39766871676
92,135543.3830965909
93,137668.64239130434
94,149818.45138888888
95,143188.03855846773
96,151393.296875
97,147028.60853943852
98,153950.4169679752
99,146907.1768897804
100,156592.91203567217
101,160896.95565580987
102,157279.61317198427
103,168803.73046875
104,141655.85775533537
105,132535.41742527173
106,111463.7766015625
107,85619.79341077303
108,66900.09832589286
109,33109.951087239584
110,30327.177421875
111,29321.34682103207
112,28646.6642444087
113,29670.91723232582
114,28675.141921746927
115,28770.688313802082
116,28941.20645285676
117,28859.246114864865
118,29107.278491709185
119,28794.097858856327
120,29197.1942578125
121,29661.30617624563
122,29351.822494060674
123,29106.527161458333
124,28726.35658094618
125,28880.257202148438
126,30119.16953125
127,28676.67431640625
128,29297.49193431713
129,28359.228749532187
130,28334.441080729168
131,28134.41341796875
132,28029.95386151362
133,26676.089447463768
134,27237.55878580729
135,26942.47965271832
136,26990.912236328124
137,26806.639873798078
138,26661.19703125
139,27638.98240559896
140,27989.288880065247
141,27899.430316347065
142,27792.17723289696
143,28889.16025390625
144,29238.69706477172
145,28955.16492170735
146,29243.05059490945
147,28646.087115675404
148,27535.882347470237
149,28085.573128255208
150,26980.885206653227
151,28015.968964041094
152,27861.026048177082
153,27781.661504670818
154,26566.271528400357
155,26087.37758929913
156,26458.157196044922
157,27026.12828125
158,26001.664313151043
159,26703.226500166224
160,26055.329610812885
161,24202.582939046224
162,23518.6490234375
163,23431.5796875
164,22658.573404947918
165,24155.693995276164
166,24437.712458496095
167,23452.473096847534
168,23060.248096196337
169,22245.7280069987
170,22699.33602035985
171,21769.14825216697
172,22176.681783040363
173,21238.47296870981
174,20161.64855291193
175,10443.4892578125
176,16790.684597583528
177,15933.90405636742
178,16152.59000580153
179,15509.849360843356
180,17113.939480251734
181,15581.027928873698
182,15783.764244984772
183,14995.073583984375
184,14263.289093984198
185,14762.26173441569
186,13981.244200218382
187,15134.033068740577
188,14025.265296349158
189,13348.675969732376
190,14023.948968372206
191,12140.33925760905
192,10880.662671192584
193,11401.184993213717
194,10355.961939150571
195,11848.641321614583
196,11135.75036078559
197,13302.114325561524
198,12653.122045084636
199,14542.87565999349
200,15484.549865722656
201,14563.16540996845
202,13720.514802631578
203,15106.797310791015
204,15752.339904785156
205,17186.17887807993
206,15060.240083240327
207,17493.321294229496
208,20600.45054589844
209,20445.114174194336
210,20102.8692296346
211,23180.83640625
212,19792.080454004874
213,19931.828303204835
214,19584.062731933594
215,20262.835878569505
216,19763.88862874349
217,20102.95569885254
218,18614.32067745248
219,18215.68617052135
220,16884.624385229603
221,18391.650888742493
222,14168.368472450658
223,17759.439931709076
224,18245.64382639239
225,16982.930297648112
226,16796.968852218048
227,17279.32419906124
228,17256.778784010145
229,16950.34215353261
230,15335.564334076229
231,14308.905549636995
232,15616.63151570638
233,14858.429200846354
234,15163.335814869732
235,13606.182503951224
236,13645.063485193734
237,12922.362331442637
238,14693.136769797586
239,11132.046535842483
240,10059.195776208655
241,8474.841053185097
242,10452.63869357639
243,7762.157881673177
244,7224.408903488005
245,6913.3688807575245
246,5455.379747327867
247,8847.551013624812
248,9426.104539184571
249,8536.465060628256
250,11447.660302222192
251,11126.395982055665
252,11272.564337617607
253,11624.564776985013
254,12416.542598063152
255,12857.438491210938
256,15626.633123224432
257,18483.47938121449
258,12939.544342041016
259,13359.776629810602
260,14362.734538167319
261,14674.325336701279
262,14855.975477686468
263,19770.37613647461
264,18886.337602839125
265,18492.05184215199
266,17874.059840611048
267,16047.437827750427
268,16861.166458129883
269,18162.347711046008
270,24552.93712713068
271,21014.254793294273
272,20871.003461891247
273,24630.416376139325
274,26641.30491007487
275,28225.815824788413
276,29483.894189453124
277,32615.427362271013
278,34317.100676680035
279,32078.43525472005
280,32528.023448472613
281,34084.114518599075
282,32649.22426961263
283,33586.791193181816
284,34754.623002485794
285,34008.652662545195
286,35923.22776884191
287,35896.169711959694
288,33242.53953014965
289,33546.28155685565
290,34004.563528645835
291,34585.1330693083
292,34361.84620949074
293,34525.81013302687
294,33319.24075349507
295,33478.423639322915
296,35699.54736490885
297,33846.16052408854
298,35252.764756944445
299,33165.45759440104
300,35315.17244078621
301,34916.35718433277
302,34935.41235751793
303,34510.25835284708
304,35150.43686246679
305,36388.32513264974
306,38140.41834309896
307,37737.034375
308,37797.50290398849
309,39055.29354963631
310,36973.62625651042
311,38078.56619791667
312,39173.40009440104
313,38696.385645859904
314,42157.614886067706
315,44047.33987630208
316,42902.46803059896
317,45044.94676846591
318,46646.00106534091
319,42917.919090221774
320,46192.96373046875
321,45688.10056856094
322,46422.841509885206
323,46938.43821920126
324,47683.575022977944
325,48190.54627710459
326,45664.96551321737
327,46898.539240056816
328,44724.16112783004
329,43435.17007938508
330,45439.06870524088
331,42618.97658592764
332,43571.550700708765
333,42784.175161966465
334,45451.94577903593
335,45434.23886540382
336,45653.598397090514
337,45123.489670973555
338,42338.78306193524
339,44876.74748046875
340,45150.90935664849
341,44215.659523943345
342,43752.82115362683
343,45662.045318851626
344,45280.3119483056
345,46002.550892223015
346,43994.369713541666
347,45298.688177083335
