,reward
0,478.0
1,-617.0
2,-639.0
3,-638.0
4,-638.0
5,-639.0
6,-639.0
7,-639.0
8,-639.0
9,-638.0
10,340.0
11,-750.0
12,-776.0
13,-583.0
14,-626.0
15,-784.0
16,-300.0
17,-630.0
18,-677.0
19,-300.0
20,-814.0
21,-800.0
22,-630.0
23,-692.0
24,-300.0
25,-300.0
26,-730.0
27,-300.0
28,-300.0
29,-749.0
30,-300.0
31,-300.0
32,-696.0
33,-749.0
34,-568.0
35,-300.0
36,-615.0
37,-814.0
38,-300.0
39,-599.0
40,-730.0
41,-725.0
42,-793.0
43,-583.0
44,405.0
45,-556.0
46,-300.0
47,-300.0
48,-632.0
49,-300.0
50,-300.0
51,-300.0
52,-610.0
53,-762.0
54,-718.0
55,-300.0
56,-691.0
57,-300.0
58,-669.0
59,-558.0
60,-300.0
61,-728.0
62,-736.0
63,-300.0
64,-691.0
65,-300.0
66,-300.0
67,-683.0
68,-749.0
69,-784.0
70,-300.0
71,-300.0
72,-845.0
73,-598.0
74,-829.0
75,-705.0
76,-770.0
77,-641.0
78,-300.0
79,-300.0
80,-300.0
81,-718.0
82,-832.0
83,-300.0
84,-678.0
85,-726.0
86,-715.0
87,-607.0
88,-691.0
89,-300.0
90,-706.0
91,-643.0
92,-604.0
93,-779.0
94,-558.0
95,-580.0
96,-679.0
97,-736.0
98,-670.0
99,-623.0
100,-655.0
101,-620.0
102,-692.0
103,-559.0
104,-672.0
105,-664.0
106,-300.0
107,-739.0
108,-759.0
109,-300.0
110,-300.0
111,-701.0
112,-753.0
113,-610.0
114,-793.0
115,-300.0
116,-782.0
117,-734.0
118,-794.0
119,-790.0
120,-300.0
121,-692.0
122,-720.0
123,-300.0
124,285.0
125,-581.0
126,-559.0
127,-561.0
128,-657.0
129,-716.0
130,-645.0
131,-300.0
132,-728.0
133,-618.0
134,-300.0
135,-768.0
136,-300.0
137,-692.0
138,-300.0
139,-300.0
140,-640.0
141,-813.0
142,-697.0
143,381.0
144,-690.0
145,-782.0
146,-832.0
147,-704.0
148,438.0
149,-609.0
150,470.0
151,-622.0
152,-300.0
153,-830.0
154,-793.0
155,-757.0
156,-645.0
157,-649.0
158,-300.0
159,-643.0
160,-712.0
161,-300.0
162,491.0
163,-554.0
164,-564.0
165,-592.0
166,-300.0
167,245.0
168,-648.0
169,477.0
170,-714.0
171,-686.0
172,-645.0
173,-792.0
174,-769.0
175,-558.0
176,-737.0
177,-717.0
178,-836.0
179,-688.0
180,-567.0
181,-849.0
182,-608.0
183,-589.0
184,-770.0
185,-300.0
186,-676.0
187,-777.0
188,-653.0
189,-759.0
190,-686.0
191,-300.0
192,-715.0
193,-844.0
194,-712.0
195,-300.0
196,-684.0
197,-300.0
198,-300.0
199,-300.0
200,-565.0
201,-705.0
202,-568.0
203,-300.0
204,-723.0
205,-744.0
206,-654.0
207,-738.0
208,-799.0
209,-300.0
210,-300.0
211,-574.0
212,-751.0
213,-823.0
214,-300.0
215,-607.0
216,-300.0
217,-749.0
218,-646.0
219,-650.0
220,-770.0
221,-791.0
222,-606.0
223,-763.0
224,-704.0
225,-300.0
226,-838.0
227,-797.0
228,-693.0
229,-664.0
230,-751.0
231,-648.0
232,-300.0
233,-300.0
234,-767.0
235,-701.0
236,-846.0
237,209.0
238,-659.0
239,-734.0
240,-703.0
241,-614.0
242,-639.0
243,-300.0
244,-648.0
245,-712.0
246,-731.0
247,-632.0
248,-300.0
249,-300.0
250,-692.0
251,-749.0
252,-828.0
253,-647.0
254,-300.0
255,-300.0
256,-703.0
257,-571.0
258,-300.0
259,-762.0
260,-300.0
261,-767.0
262,395.0
263,-300.0
264,322.0
265,-604.0
266,-605.0
267,-695.0
268,-581.0
269,-774.0
270,-604.0
271,-300.0
272,-763.0
273,-300.0
274,-300.0
275,-300.0
276,-300.0
277,-839.0
278,-662.0
279,-300.0
280,-727.0
281,-637.0
282,-300.0
283,-615.0
284,-615.0
285,-670.0
286,-617.0
287,-656.0
288,-620.0
289,-658.0
290,-300.0
291,-761.0
292,-576.0
293,-631.0
294,-739.0
295,-300.0
296,-300.0
297,-300.0
298,-558.0
299,-300.0
300,-675.0
301,-771.0
302,-610.0
303,-828.0
304,-796.0
305,-300.0
306,-300.0
307,-300.0
308,-739.0
309,-781.0
310,-300.0
311,-300.0
312,-300.0
313,-843.0
314,-300.0
315,-300.0
316,-300.0
317,-604.0
318,490.0
319,-704.0
320,-300.0
321,-830.0
322,-794.0
323,-826.0
324,-566.0
325,-647.0
326,-708.0
327,-560.0
328,-745.0
329,-611.0
330,-645.0
331,-747.0
332,404.0
333,-672.0
334,-796.0
335,-768.0
336,-636.0
337,-757.0
338,-798.0
339,-300.0
340,-698.0
341,-688.0
342,-686.0
343,-795.0
344,-780.0
345,-637.0
346,-300.0
347,-300.0
348,-300.0
349,-697.0
350,-719.0
351,-300.0
352,-687.0
353,-630.0
354,-620.0
355,-677.0
356,-300.0
357,-300.0
358,-695.0
359,-822.0
360,-839.0
361,467.0
362,-697.0
363,-829.0
364,-720.0
365,-300.0
366,-628.0
367,-656.0
368,-300.0
369,-674.0
370,-787.0
371,-762.0
372,-642.0
373,-300.0
374,-625.0
375,-300.0
376,-749.0
377,-580.0
378,-300.0
379,-779.0
380,-784.0
381,-615.0
382,-576.0
383,-785.0
384,-841.0
385,-748.0
386,-300.0
387,-672.0
388,-634.0
389,-300.0
390,-300.0
391,-614.0
392,-300.0
393,-300.0
394,-612.0
395,-675.0
396,-749.0
397,-300.0
398,-300.0
399,-660.0
400,-816.0
401,-300.0
402,-791.0
403,-300.0
404,-753.0
405,-300.0
406,-300.0
407,-666.0
408,-666.0
409,-300.0
410,-300.0
411,-643.0
412,450.0
413,-588.0
414,-663.0
415,-747.0
416,-300.0
417,-769.0
418,-603.0
419,-300.0
420,-817.0
421,-559.0
422,-300.0
423,-620.0
424,-835.0
425,-300.0
426,-300.0
427,-678.0
428,-664.0
429,-576.0
430,-746.0
431,-719.0
432,-719.0
433,-300.0
434,-676.0
435,-823.0
436,-300.0
437,-747.0
438,-672.0
439,-300.0
440,-583.0
441,-762.0
442,-300.0
443,-678.0
444,-300.0
445,-724.0
446,-300.0
447,-300.0
448,438.0
449,-554.0
450,-734.0
451,-300.0
452,-300.0
453,-619.0
454,-831.0
455,487.0
456,-718.0
457,-589.0
458,-300.0
459,-300.0
460,-765.0
461,-836.0
462,-620.0
463,-721.0
464,-703.0
465,-300.0
466,-300.0
467,-300.0
468,-300.0
469,-612.0
470,-300.0
471,-661.0
472,-300.0
473,-638.0
474,-684.0
475,-656.0
476,-300.0
477,259.0
478,-665.0
479,-693.0
480,-801.0
481,-300.0
482,-679.0
483,-848.0
484,-300.0
485,-611.0
486,-300.0
487,-300.0
488,-824.0
489,-300.0
490,-742.0
491,-300.0
492,-300.0
493,-300.0
494,-628.0
495,-655.0
496,-300.0
497,-798.0
498,-300.0
499,-705.0
500,-655.0
501,-727.0
502,-695.0
503,-645.0
504,-300.0
505,-665.0
506,-795.0
507,-569.0
508,-568.0
509,-300.0
510,-808.0
511,-669.0
512,-300.0
513,-300.0
514,-629.0
515,-559.0
516,-600.0
517,-710.0
518,-630.0
519,-649.0
520,-300.0
521,-765.0
522,484.0
523,-300.0
524,-641.0
525,-558.0
526,-722.0
527,-720.0
528,-300.0
529,-720.0
530,-585.0
531,-300.0
