,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1257.3218877274178
9,1656.6850717905406
10,1760.3542520274286
11,1970.2125142415364
12,2002.6771484375
13,2070.035155332178
14,2349.18773712509
15,2626.762373490767
16,2872.150485649794
17,3891.2267713903743
18,4476.04912109375
19,4872.5941956795305
20,5624.177394701087
21,5741.589509662829
22,5795.764953613281
23,6214.862286931818
24,6648.084005533854
25,7150.796095377605
26,7727.583709309896
27,7900.175022786459
28,7277.212426757813
29,6767.851385904948
30,6455.052443847656
31,6144.913006998698
32,5889.741232910156
33,5618.900571695964
34,5101.770447082519
35,4611.951797078451
36,4139.864854151408
37,2984.8691483561197
38,1780.579158630371
39,1151.6545869954427
40,-1279.409945526123
41,-3307.8219099564985
42,-2855.4285331394362
43,-5195.768454899863
44,-5386.805383752893
45,-6262.197726065652
46,-5880.409863471985
47,-5131.797126368472
48,-5746.4530776977535
49,-7660.996757216126
50,-9042.480759393602
51,-9167.170590608017
52,-8297.782836914062
53,-10908.114777938179
54,-11415.96830531529
55,-10358.939444802025
56,-12405.12999906994
57,-11423.78397899563
58,-14438.359505208333
59,-11993.629937065973
60,-14089.328428071121
61,-13576.505978954081
62,-15980.710393941627
63,-15370.461965460527
64,-16235.723990604794
65,-17447.13657659217
66,-18727.84405307112
67,-18310.9419000799
68,-19131.016716452206
69,-16994.028971354168
70,-18660.26629231771
71,-22026.6313999721
72,-20776.61309603987
73,-21169.2266796875
74,-21771.26387219551
75,-23960.57572929495
76,-23392.0498046875
77,-23780.625434027777
78,-26322.063499098556
79,-26987.645231426886
80,-29745.91403133311
81,-30200.368534482757
82,-30058.377632472828
83,-30523.900824273383
84,-30290.869503348214
85,-30340.912109375
86,-32252.053515625
87,-30676.135444972828
88,-31923.150010850695
89,-32993.98327636719
90,-33161.01430777616
91,-33939.98611111111
92,-36052.5029296875
93,-35294.87308175223
94,-36210.03392986918
95,-36059.22302246094
96,-33415.6748046875
97,-33097.00537109375
98,-36057.68544798259
99,-37810.97145570527
100,-38267.540364583336
101,-43125.557232481064
102,-42556.16394042969
103,-41397.36472800926
104,-42255.75423519737
105,-44354.01915015244
106,-46395.711989182695
107,-47353.776272681454
108,-47383.1494140625
109,-46825.2066806891
110,-46340.341184701494
111,-50430.94323730469
112,-49025.21154513889
113,-49197.3142578125
114,-51547.17901400862
115,-52206.09747023809
116,-51874.29513888889
117,-54419.81945800781
118,-51634.595096221754
119,-54541.6674299569
120,-56671.98153409091
121,-58442.17182148973
122,-60761.434997558594
123,-63033.21903512774
124,-65976.18032882463
125,-67651.53889973958
126,-70531.44311197917
127,-74382.51309070122
128,-79509.93661556604
129,-77869.43616727942
130,-82794.6901255123
131,-88882.14161458334
132,-94569.1839717742
133,-100428.08705357143
134,-97389.85020380435
135,-100010.18106617648
136,-100999.52054073034
137,-104007.5597292878
138,-108301.8067404197
139,-118747.42366976352
140,-123198.409453125
141,-128599.95963541667
142,-133275.05197916666
143,-132125.67168090062
144,-137974.6767025354
145,-140867.01860795455
146,-147279.1238772455
147,-151623.03827408256
148,-155436.36511479592
149,-157508.54454787233
150,-160097.44557119205
151,-170178.50489583332
152,-181359.66130208335
153,-191348.30111882716
154,-199177.99249387256
155,-203116.3046875
156,-208624.89310747664
157,-212231.40878563595
158,-221130.84354166666
159,-226221.02223214286
160,-233627.01395089287
161,-240913.48307291666
162,-239744.20505275973
163,-251853.91464359505
164,-255491.93830128206
165,-258502.20945945947
166,-261695.6425
167,-266008.36614583334
168,-266029.7931547619
169,-273976.9833984375
170,-270303.3799542683
171,-279360.801667542
172,-271645.6355140187
173,-280247.4534073795
174,-283160.7113486842
175,-288502.5675223214
176,-288729.26909722225
177,-292188.36944901315
178,-294994.3753348214
179,-295714.11553030304
180,-303287.9709341398
181,-304403.15625
182,-311306.7818877551
183,-312010.21875
184,-309169.60876937985
185,-310641.96673387097
186,-317190.9307065217
187,-324810.0763888889
188,-333730.6628378378
189,-334144.0761494253
190,-338988.32320804195
191,-341536.1388221154
192,-364792.3336458333
193,-371972.78125
194,-373451.802734375
195,-373857.7428977273
196,-379170.70089285716
197,-378920.42522321426
198,-383627.376953125
199,-391245.4632352941
200,-392471.5987787356
201,-397861.9438858696
202,-402581.15775767545
203,-394610.18119517545
204,-395514.91641260165
205,-399318.73821721313
206,-412352.1110839844
207,-410529.12040441175
208,-415189.4565496575
209,-429248.963362069
210,-429786.8716216216
211,-438442.96805555554
212,-438256.35200892854
213,-433878.4302279874
214,-436605.4445876289
215,-444007.91458333336
216,-448528.59765625
217,-446127.8028017241
218,-447443.5010775862
219,-463762.8891509434
220,-462325.12946428574
221,-474327.0486111111
222,-474957.361328125
223,-486080.59101277374
224,-498195.7468039773
225,-502393.4813541667
226,-499710.5
227,-502631.9992732558
228,-503466.71276595746
229,-507839.0289135514
230,-512016.14864130435
231,-516992.5903051181
232,-525037.0681818182
233,-530426.5
234,-533160.6998106061
235,-543632.0918209876
236,-546086.4328399122
237,-588249.84875
238,-604081.3125
239,-608800.9635416666
240,-618677.9774912588
241,-629225.4250954199
242,-641645.9403409091
243,-679229.1213709677
244,-675638.1097222222
245,-688080.5170138889
246,-698396.336928934
247,-751366.2102272727
248,-726804.2589285715
249,-755366.1194196428
250,-758163.5532670454
251,-778217.7316176471
252,-790208.6761904762
253,-799887.2936746988
254,-805903.5345394737
255,-819265.40625
256,-812670.0737179487
257,-813278.311155914
258,-834317.6082175926
259,-839241.8681640625
260,-858483.8278688524
261,-871314.1686197916
262,-878467.2799295775
263,-879174.4831349206
264,-903145.6118055555
265,-902583.5256696428
266,-949830.5784574468
267,-971760.2098214285
268,-960102.5189606742
269,-976489.5012096774
270,-996010.1112132353
271,-998756.5414772728
272,-1071833.2062952898
273,-1100595.449468085
274,-1101284.7418478262
275,-1106577.2133620689
276,-1117646.8199404762
277,-1107391.1145833333
278,-1144844.5902083332
279,-1194593.0449561405
280,-1218085.188559322
281,-1247123.6984126985
282,-1247226.357142857
283,-1256342.484375
284,-1279110.0752314816
285,-1265577.722826087
286,-1262665.3360091744
287,-1282994.443306011
288,-1300814.1482843137
289,-1329912.775974026
290,-1352668.1579166667
291,-1390263.1921487604
292,-1451985.1527777778
293,-1428755.2141666666
294,-1459135.0931818183
295,-1443350.0217391304
296,-1443273.5289948455
297,-1454198.9467105262
298,-1462204.7571428572
299,-1505093.1015625
300,-1515185.9903846155
301,-1500506.1944444445
302,-1502955.8774509805
303,-1538507.7216666667
304,-1583273.0966386555
305,-1613163.4348958333
306,-1624096.13
307,-1641752.5646551724
308,-1626701.10546875
309,-1681158.4524793387
310,-1711987.1053240742
311,-1735004.8313953488
312,-1756627.1590909092
313,-1742960.074013158
314,-1733492.3270547944
315,-1713078.625
316,-1723771.3198051949
317,-1735482.9404761905
