,reward
0,979.0
1,-259.0
2,-280.0
3,-281.0
4,-281.0
5,-281.0
6,-281.0
7,-300.0
8,-300.0
9,-300.0
10,-300.0
11,-300.0
12,-300.0
13,-300.0
14,-300.0
15,-300.0
16,-300.0
17,-300.0
18,-300.0
19,-300.0
20,-300.0
21,-300.0
22,-300.0
23,-300.0
24,-300.0
25,-300.0
26,-300.0
27,-300.0
28,-300.0
29,-300.0
30,-300.0
31,-300.0
32,-300.0
33,-300.0
34,-300.0
35,-300.0
36,-300.0
37,-300.0
38,-300.0
39,-300.0
40,-300.0
41,-300.0
42,-300.0
43,-300.0
44,-300.0
45,-300.0
46,-300.0
47,-300.0
48,-300.0
49,-300.0
50,-300.0
51,-300.0
52,-300.0
53,-300.0
54,-300.0
55,-300.0
56,-300.0
57,-300.0
58,-300.0
59,-300.0
60,-300.0
61,-300.0
62,-300.0
63,-300.0
64,-300.0
65,-300.0
66,-300.0
67,-300.0
68,-300.0
69,-300.0
70,-300.0
71,-300.0
72,-300.0
73,-300.0
74,-300.0
75,-300.0
76,-300.0
77,-300.0
78,-300.0
79,-300.0
80,-300.0
81,-300.0
82,-300.0
83,-300.0
84,-300.0
85,-300.0
86,-300.0
87,-300.0
88,-300.0
89,-300.0
90,-300.0
91,-300.0
92,-300.0
93,-300.0
94,-300.0
95,-300.0
96,-300.0
97,-300.0
98,-300.0
99,-300.0
100,-300.0
101,-300.0
102,-300.0
103,-300.0
104,-300.0
105,-300.0
106,-300.0
107,-300.0
108,-300.0
109,-300.0
110,-300.0
111,-300.0
112,-300.0
113,-300.0
114,-404.0
115,-300.0
116,-300.0
117,-300.0
118,-300.0
119,-300.0
120,-460.0
121,-371.0
122,-450.0
123,-300.0
124,-244.0
125,-300.0
126,-313.0
127,-437.0
128,-334.0
129,-401.0
130,-210.0
131,-271.0
132,-242.0
133,-309.0
134,-469.0
135,-300.0
136,-448.0
137,-300.0
138,-353.0
139,-300.0
140,-232.0
141,-300.0
142,-308.0
143,-365.0
144,-300.0
145,-300.0
146,-300.0
147,774.0
148,-300.0
149,-300.0
150,-401.0
151,-326.0
152,-300.0
153,-300.0
154,-331.0
155,-340.0
156,-343.0
157,-300.0
158,-489.0
159,-251.0
160,-255.0
161,-371.0
162,-313.0
163,-300.0
164,-484.0
165,-300.0
166,-338.0
167,-300.0
168,-209.0
169,-300.0
170,-300.0
171,-300.0
172,-300.0
173,-300.0
174,-399.0
175,-392.0
176,-300.0
177,-334.0
178,-249.0
179,-211.0
180,-240.0
181,-482.0
182,749.0
183,-340.0
184,-300.0
185,-301.0
186,-401.0
187,-300.0
188,948.0
189,-208.0
190,-433.0
191,-482.0
192,-293.0
193,-293.0
194,-338.0
195,-274.0
196,-310.0
197,-300.0
198,-253.0
199,-373.0
200,-300.0
201,-300.0
202,-488.0
203,-225.0
204,-455.0
205,-228.0
206,-300.0
207,-300.0
208,-386.0
209,-443.0
210,-300.0
211,-300.0
212,-386.0
213,-472.0
214,-253.0
215,-444.0
216,-237.0
217,-300.0
218,-300.0
219,-362.0
220,-300.0
221,-368.0
222,-300.0
223,-436.0
224,-317.0
225,-300.0
226,-438.0
227,-276.0
228,-379.0
229,-300.0
230,-490.0
231,-300.0
232,789.0
233,-300.0
234,-449.0
235,-292.0
236,-300.0
237,-357.0
238,-300.0
239,-300.0
240,-355.0
241,-457.0
242,-497.0
243,-300.0
244,827.0
245,-300.0
246,-300.0
247,-300.0
248,-338.0
249,-300.0
250,-250.0
251,-256.0
252,978.0
253,-375.0
254,-358.0
255,-300.0
256,-233.0
257,-300.0
258,-320.0
259,933.0
260,-300.0
261,-300.0
262,-300.0
263,-270.0
264,-300.0
265,-291.0
266,-310.0
267,-300.0
268,-300.0
269,-300.0
270,-495.0
271,-437.0
272,-324.0
273,-497.0
274,-317.0
275,-412.0
276,-252.0
277,-300.0
278,-300.0
279,-393.0
280,-433.0
281,-300.0
282,-211.0
283,-456.0
284,-467.0
285,-300.0
286,-269.0
287,-326.0
288,-209.0
289,-396.0
290,-427.0
291,-313.0
292,-334.0
293,-300.0
294,-298.0
295,-241.0
296,-386.0
297,-302.0
298,-445.0
299,-301.0
300,-359.0
301,-397.0
302,-349.0
303,-380.0
304,-300.0
305,-365.0
306,-351.0
307,937.0
308,-300.0
309,829.0
310,-412.0
311,-331.0
312,-300.0
313,952.0
314,-294.0
315,-300.0
316,-261.0
317,-313.0
318,-398.0
319,-300.0
320,-300.0
321,-300.0
322,-300.0
323,-300.0
324,-300.0
325,-256.0
326,-300.0
327,-296.0
328,-357.0
329,-300.0
330,-300.0
331,-358.0
332,-437.0
333,-300.0
334,-404.0
335,980.0
336,-271.0
337,-290.0
338,-300.0
339,-294.0
340,-311.0
341,-236.0
342,948.0
343,-214.0
344,-300.0
345,-399.0
346,853.0
347,-203.0
348,-300.0
349,-486.0
350,-233.0
351,-343.0
352,-266.0
353,-490.0
354,-300.0
355,-308.0
356,-406.0
357,-428.0
358,-493.0
359,-462.0
