,reward
0,1090.0
1,-664.0
2,-848.0
3,-848.0
4,-524.0
5,1180.0
6,-496.0
7,-390.00000000000006
8,-848.0
9,-1714.0
10,-1444.0000000000002
11,-1266.0000000000002
12,-1386.0000000000002
13,-1400.0
14,-1510.0
15,-1338.0000000000002
16,-1602.0
17,-1574.0
18,-1506.0
19,-1518.0000000000002
20,-1428.0
21,-1418.0
22,-1484.0
23,-1578.0
24,-1536.0
25,-1610.0
26,-1578.0
27,-1440.0
28,-1478.0000000000002
29,-1476.0
30,-1556.0
31,-1416.0
32,-1394.0
33,-1478.0
34,-1338.0
35,-1412.0
36,-1480.0
37,-1350.0
38,-1666.0
39,-1504.0
40,-1606.0
41,-1608.0
42,-1510.0
43,-1536.0
44,-1374.0
45,-1436.0
46,-1536.0
47,-1390.0000000000002
48,-1546.0000000000005
49,-1512.0000000000005
50,-1448.0
51,-1560.0
52,-1376.0
53,-1536.0
54,-1524.0
55,-1284.0
56,-1426.0000000000005
57,-1528.0
58,-1570.0
59,-1554.0
60,-1552.0
61,-1538.0
62,-1484.0
63,-1624.0
64,-1576.0
65,-1522.0
66,-1496.0000000000005
67,-1500.0000000000002
68,-1320.0
69,-1472.0
70,-1318.0
71,-1414.0000000000005
72,-1424.0
73,-1634.0
74,-1508.0
75,-1430.0
76,-1480.0
77,-1576.0
78,-1710.0000000000002
79,-1488.0
80,-1374.0
81,-1434.0
82,-1416.0
83,-1366.0
84,-1454.0
85,-1584.0
86,-1552.0
87,-1642.0
88,-1610.0
89,-1576.0
90,-1484.0000000000002
91,-1328.0
92,-1518.0
93,-1552.0000000000002
94,-1248.0000000000002
95,-1408.0
96,-1648.0
97,-1514.0
98,-1482.0
99,-1466.0
100,-1530.0000000000002
101,-1416.0000000000002
102,-1534.0
103,-1646.0
104,-1342.0
105,-1372.0
106,-1574.0
107,-1430.0
108,-1492.0
109,-1450.0
110,-1460.0
111,-1514.0
112,-1662.0
113,-1454.0
114,-1520.0000000000005
115,-1470.0
116,-1434.0000000000002
117,-1558.0
118,-1622.0
119,-1546.0
120,-1404.0
121,-1250.0
122,-1418.0
123,-1368.0
124,-1592.0
125,-1352.0000000000005
126,-1430.0000000000002
127,-1438.0
128,-1614.0
129,-1384.0
130,-1520.0
131,-1456.0
132,-1470.0
133,-1358.0000000000002
134,-1484.0
135,-1564.0
136,-1498.0
137,-1738.0
138,-1410.0
