,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,-4470.400052712181
8,-5798.777003088663
9,-6336.421903722427
10,-6355.106363932292
11,-6374.469311523438
12,-6492.9095954517325
13,-6734.486979166667
14,-6711.621069335937
15,-6697.037533967391
16,-6616.136502207881
17,-5760.009632161458
18,-4872.214474561738
19,-4665.780267825072
20,-4991.435313349185
21,-5115.268654847757
22,-5760.947725183823
23,-6147.127679177989
24,-6504.817817583476
25,-6699.589293573944
26,-6759.556800130208
27,-6928.870395037919
28,-7171.150901185242
29,-7334.6358463541665
30,-7424.859015746438
31,-7676.878874747984
32,-7705.6437109375
33,-7939.938893229167
34,-8077.17130859375
35,-8258.46577653556
36,-8398.063414713542
37,-8667.694928385417
38,-8778.334810697115
39,-8886.921565961235
40,-8996.1082421875
41,-9137.607973845108
42,-9359.09642578125
43,-9379.40923828125
44,-9521.76046875
45,-8330.083515625
46,-5452.7495021446075
47,291.83866353352863
48,7080.648421223958
49,9370.399625651042
50,10660.296126302082
51,12993.216067708334
52,14550.540795110886
53,15747.651953125
54,16318.665420160061
55,17635.946783854168
56,19380.03447916667
57,20940.135533854165
58,22367.174648582713
59,23933.523046875
60,25533.6801171875
61,27011.790217573925
62,28363.753502604166
63,29596.256671989053
64,30860.662486979167
65,32636.650859375
66,34341.04625
67,36129.43895833333
68,37882.67895833333
69,39643.78184895834
70,41439.779921875
71,42609.54304534314
72,43624.32247395833
73,45424.676848958334
74,47228.734921875
75,48846.32412860577
76,50483.96853037149
77,51748.63845486111
78,53179.38880208333
79,54464.41095132743
80,55256.73494608918
81,56807.58919500883
82,58654.3384375
83,60136.80117681962
84,60889.243612132355
85,61233.32833059211
86,62219.94046875
87,64117.8503125
88,65761.80733944954
89,67416.38239583334
90,69292.09703125
91,71136.86572916666
92,73009.27520833333
93,74946.15708333334
94,76856.13880208334
95,78739.51322916667
96,79920.42333984375
97,81051.86989583333
98,82957.35166666667
99,84858.70208333334
100,86116.76293682796
101,87366.24729166667
102,89244.81953125
103,91156.98348958333
104,93066.51276041666
105,94972.47651041667
106,96864.30744791667
107,98763.56421875
108,100344.24953817733
109,101953.45864583334
110,103327.135
111,104640.04479166666
112,106211.07851957071
113,107674.92784576995
114,109445.15119791667
115,111344.67072916667
116,112963.49950731982
117,114607.86359375
118,115834.88790379213
119,116765.88296060427
120,118395.23791666667
121,119588.3309832317
122,120772.60171875
123,122648.42989583334
124,124407.0416767996
125,126114.46036458333
126,128027.86109375
127,129653.63687640135
128,130985.98624067164
129,132573.09010416668
130,134192.23018973213
131,135842.19114583332
132,137707.53708333333
133,139391.6668855042
134,141077.29114583333
135,142330.21422313084
136,143618.95458333334
137,145465.43197916666
138,147335.346875
139,149198.49614583334
140,150683.98931850283
141,152120.230625
142,153996.0309375
143,155850.27989583334
144,157658.65880782917
145,159376.3213595361
146,161218.0621875
147,162823.5441133721
148,164401.95197916665
149,165837.355
150,167320.18875
151,169088.13013229927
152,170123.1595982143
153,171168.114375
154,172933.236328125
155,174683.631875
156,176471.2696875
157,178321.34677083333
158,179343.2527173913
159,179585.2908818493
160,180709.2634375
161,182540.12489583335
162,184359.3603125
163,186158.08989583334
164,187801.70553861788
165,189437.86333333334
166,191284.66166666665
167,193081.10177083334
168,194561.46828589108
169,195870.93433370045
170,197440.564375
171,199232.7346875
172,201050.40854166666
173,202311.63372844827
174,203695.72677083334
175,205475.23291666666
176,207235.78135416665
177,209070.490625
178,210858.360625
179,212590.90302083333
180,214431.3840625
181,215502.50613839287
182,216523.8615625
183,218323.69552083334
184,219888.2959361588
185,221133.93480039266
186,222586.26708477509
187,224320.48
188,226101.74479166666
189,227876.44322916667
190,229628.81083333332
191,231368.74989583335
192,233160.00760416666
193,234597.71333539605
194,236085.1203125
195,237887.10989583333
196,239577.85671542553
197,241200.0628277972
198,242922.12385416665
199,244638.58989583334
200,246212.47530241936
201,247788.99052083332
202,249050.53277439025
203,250199.15535394265
204,251864.42145833332
205,253550.89125
206,255351.2365625
207,257073.963125
208,258779.35885416667
209,260483.524375
210,262235.9763541667
211,263934.0989583333
212,265578.19734432234
213,267228.33208333334
214,268733.21571356273
215,270317.81145833334
216,272023.24145833333
217,273725.2339583333
218,275451.5810416667
219,277143.828125
220,278820.333125
221,280539.83645833336
222,282040.5386178862
223,283452.66537017166
224,284946.38979166665
225,286642.06854166667
226,288332.6725
227,290024.5991666667
228,291709.030625
229,293350.56145833334
230,295073.99916666665
231,296713.973125
232,298435.7477083333
233,300106.01916666667
234,301736.167693662
235,303281.7339583333
236,304987.19916666666
237,306627.91479166667
238,308233.35401624546
239,309367.33251953125
240,310512.8022916667
241,312226.983125
242,313331.29186320753
243,314413.41541666666
244,315853.9459876543
245,316859.9820995146
246,317955.26875
247,319591.6297916667
248,321168.753125
249,322750.7139583333
250,323844.6243556701
251,324899.64895833336
252,326534.37145833333
253,327550.5946828358
254,328458.72854166664
255,330070.2789583333
256,331060.76666666666
257,331813.4883474576
258,333242.25625
259,334887.3745833333
260,335986.5361519608
261,336863.60501126124
262,338243.16833333333
263,339164.7486413043
264,339883.18
265,341552.25875
266,342982.8429878049
267,344480.03229166666
268,345991.92270833335
269,346935.16071428574
270,347782.55
271,349368.80041666667
272,350486.93055555556
273,351510.19852941175
274,353143.98020833335
275,354676.0958333333
276,355873.7814781022
277,356767.66875
278,358149.35583333333
279,359352.3336267606
280,360488.369375
281,361949.9347916667
282,363548.54354166664
283,365103.58958333335
284,366486.1278409091
285,367711.2880228137
286,369146.179375
287,370675.08791666664
288,372189.9922916667
289,373521.1829166667
290,374899.2194642857
291,375954.06640625
292,376370.35778061225
293,377125.7761968085
294,378382.5480124521
295,380039.143125
296,381408.9216666667
297,382979.31645833334
298,384272.32221638656
299,385740.17613636365
300,387269.80520833336
301,388674.75333333336
302,390203.16125
303,391728.5445833333
304,393178.7527083333
305,394697.1485416667
306,396188.54354166664
307,397842.81104166666
308,398983.03158068785
309,400309.43833333335
310,401727.95916666667
311,402894.6032838983
312,403741.4667623675
313,405054.8659375
314,406384.58979166666
315,407517.989375
316,408786.86176470586
317,409679.1747916667
318,411110.51729166665
319,412569.8965
320,413528.0655809859
321,414643.4641666667
322,415989.510625
323,417595.3097916667
324,418919.78521825396
325,419713.65872302157
326,420878.2425
327,422365.65235765127
328,423560.690625
329,425206.0858333333
330,426268.72861842107
331,426849.19354166667
332,428504.0777083333
333,430019.7133333333
334,431130.8177406832
335,432189.0475
336,433324.1153074866
337,434476.2841666667
338,435942.1379166667
339,437527.8102083333
340,438953.91833333333
341,440361.6458333333
342,441819.5522916667
343,443354.78770833334
344,444662.7995833333
345,446234.69875
346,447286.9
347,448587.94895833335
348,450047.94645833335
349,451481.4658333333
350,452951.439375
351,454416.04020833335
352,455830.32708333334
