,reward
0,580.0
1,-1014.0
2,-950.0
3,-1190.0
4,-584.0000000000001
5,-1190.0
6,-1190.0
7,-870.0000000000002
8,-610.0
9,-616.0000000000005
10,-402.0000000000002
11,-448.0000000000002
12,-452.00000000000057
13,-998.0000000000003
14,-486.0000000000003
15,-852.0000000000002
16,-504.0000000000002
17,-366.0000000000002
18,-422.00000000000074
19,-1060.0000000000005
20,-484.0000000000007
21,-452.00000000000034
22,-976.0000000000005
23,-450.00000000000034
24,-1736.0
25,-1964.0
26,-2170.0
27,-2140.0
28,-2060.0
29,-2100.0
30,-2110.0
31,-1936.0
32,-2016.0
33,-1922.0
34,-2120.0
35,-2030.0
36,-2050.0
37,-2190.0
38,-2032.0
39,-2038.0
40,-2116.0
41,-2060.0
42,-2110.0
43,-2110.0
44,-2180.0
45,-2098.0
46,-1978.0
47,-2128.0
48,-2050.0
49,-2100.0
50,-2058.0
51,-2130.0
52,-2100.0
53,-1908.0
54,-2006.0
55,-2090.0
56,-2150.0
57,-1990.0
58,-2028.0
59,-2090.0
60,-2130.0
61,-1986.0
62,-2120.0
63,-2040.0
64,-2088.0
65,-2108.0
66,-2030.0
67,-2090.0
68,-2080.0
69,-2070.0
70,-2140.0
71,-2010.0
72,-2030.0
73,-1924.0
74,-2160.0
75,-2056.0
76,-1870.0
77,-2046.0
78,-2140.0
79,-2130.0
80,-2120.0
81,-2082.0
82,-2070.0
83,-2040.0
84,-2146.0
85,-2120.0
86,-2058.0
87,-2020.0
88,-2078.0
89,-1988.0
90,-2078.0
91,-2150.0
92,-2044.0
93,-1984.0
94,-2026.0
95,-2138.0
96,-2120.0
97,-2052.0
98,-1984.0
99,-2066.0
100,-2058.0
101,-2120.0
102,-2108.0
103,-2018.0
104,-2044.0
105,-2078.0
106,-2006.0000000000002
107,-2116.0
108,-2060.0
109,-2100.0
110,-2110.0
111,-2060.0
112,-2138.0
113,-2160.0
114,-2180.0
115,-2130.0
116,-2118.0
117,-2068.0
118,-2078.0
119,-2140.0
120,-2120.0
121,-2078.0
122,-2120.0
123,-2000.0
124,-2010.0
125,-2106.0
126,-1998.0
127,-2150.0
128,-2016.0
129,-1928.0
130,-1962.0
131,-2000.0
132,-2024.0
133,-2014.0
134,-1986.0
135,-2076.0
136,-2078.0
137,-2130.0
138,-2076.0
139,-2000.0
140,-2008.0
141,-2038.0
142,-2098.0
143,-2160.0
144,-2120.0
145,-2080.0
146,-2170.0
147,-2110.0
148,-2150.0
149,-2040.0
150,-2024.0
151,-2090.0
152,-2086.0
153,-2080.0
154,-2100.0
155,-2028.0
156,-2088.0
157,-2080.0
158,-2090.0
159,-2030.0
160,-2180.0
161,-2080.0
162,-2038.0
163,-2120.0
164,-2038.0
165,-2048.0
166,-2120.0
167,-2028.0
168,-2040.0
169,-2068.0
170,-2140.0
171,-2108.0
172,-2096.0
173,-2090.0
174,-2108.0
175,-1926.0
176,-1988.0
177,-2038.0
178,-2018.0000000000002
179,-2220.0
180,-2120.0
181,-2090.0
182,-2058.0
183,-2068.0
184,-2108.0
185,-2130.0
186,-2100.0
187,-2068.0
188,-2040.0
189,-2118.0
190,-2020.0
191,-2040.0000000000002
192,-2090.0
193,-1970.0
194,-2200.0
195,-2178.0
196,-2050.0
197,-2070.0
198,-2060.0
199,-2028.0
200,-2178.0
201,-1958.0
202,-2024.0
203,-1938.0
204,-2090.0
205,-2068.0
206,-2078.0
207,-2068.0
208,-2028.0
209,-2060.0
210,-2090.0
211,-2076.0
212,-1968.0
213,-2100.0
214,-2130.0
215,-2080.0
216,-2170.0
217,-2090.0
218,-1958.0
219,-2080.0
220,-2170.0
221,-1982.0
222,-2008.0
223,-2050.0
224,-1876.0
225,-2110.0
226,-2080.0
227,-2160.0
228,-2110.0
229,-2080.0
230,-2026.0
231,-2140.0
232,-2130.0
233,-2028.0
234,-2114.0
235,-2018.0
236,-2030.0
237,-2078.0
238,-2130.0
239,-1948.0
240,-2036.0
241,-2030.0
242,-2008.0
243,-2050.0
244,-2150.0
245,-2110.0
246,-2150.0
247,-2088.0
248,-2028.0
249,-2018.0
250,-2150.0
251,-2040.0
252,-2070.0
253,-2100.0
254,-2070.0
255,-2016.0
256,-2006.0
257,-2140.0
258,-2080.0
259,-2020.0
260,-2060.0
261,-2098.0
