,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,1275.3191722016356
8,1907.1205688476562
9,2296.2410693359375
10,2474.789431966146
11,2668.1638802083335
12,2871.7036881510417
13,3086.9521647135416
14,3309.1194612630206
15,3536.704332682292
16,3769.1028190104166
17,4004.1214973958336
18,4243.741920572917
19,4481.513974609375
20,4718.183828125
21,4955.989547526042
22,5197.609977213541
23,5436.429231770833
24,5676.868219401042
25,5919.45244140625
26,6161.6892578125
27,6403.6357421875
28,6644.345146484375
29,6889.870618489584
30,7134.912845052083
31,7381.283125
32,7633.283463541667
33,7882.000774739583
34,8134.774508463542
35,8388.289134114584
36,8643.634192708334
37,8899.023268229166
38,9154.699817708333
39,9409.482447916667
40,9665.115078125
41,9922.70748046875
42,10178.57748046875
43,10435.972942708333
44,10693.9034375
45,10952.689153645833
46,11211.433046875
47,11468.89849609375
48,11727.189322916667
49,11987.539986979167
50,12243.628587239584
51,12505.488118489584
52,12764.00236328125
53,13022.245787760417
54,13281.692799479166
55,13541.520227864583
56,13799.488059895833
57,14060.614114583334
58,14321.367688802084
59,14578.785227864584
60,14837.734752604167
61,15097.228391927083
62,15355.71025390625
63,15613.024928385417
64,15872.870794270833
65,16131.693203125
66,16390.748684895832
67,16649.389830729167
68,16906.261848958333
69,17163.832122395834
70,17421.5775390625
71,17678.2140234375
72,17934.6088671875
73,18190.3687109375
74,18447.275338541665
75,18701.627018229166
76,18959.845989583333
77,19215.096158854165
78,19469.6926171875
79,19723.136354166665
80,19976.872591145835
81,20231.777903645834
82,20483.671796875
83,20737.868815104168
84,20991.608580729167
85,21244.234583333335
86,21497.389765625
87,21750.241315104166
88,22003.846484375
89,22252.943359375
90,22504.886588541667
91,22754.764114583333
92,23004.879114583335
93,23258.2637109375
94,23506.56430989583
95,23755.650677083333
96,24007.0275
97,24253.734322916665
98,24503.644661458333
99,24751.568606770834
100,25001.149596354167
101,25248.70875
102,25495.501080729166
103,25744.709713541666
104,25990.236341145832
105,26237.58803385417
106,26485.8651953125
107,26733.964140625
108,26978.49953125
109,27223.6863671875
110,27470.998020833333
111,27715.795989583334
112,27960.6129296875
113,28207.04868489583
114,28451.48467447917
115,28695.152122395833
116,28937.193489583333
117,29181.5928125
118,29423.893619791666
119,29667.6378515625
120,29908.872799479166
121,30151.068424479166
122,30393.00703125
123,30633.411106770833
124,30874.233346354165
125,31117.753684895833
126,31358.432330729167
127,31600.152916666666
128,31840.72734375
129,32080.13875
130,32320.754127604167
131,32557.878841145834
132,32797.32557291666
133,33035.398802083335
134,33276.66231770833
135,33511.679348958336
136,33750.154348958335
137,33987.528307291665
138,34223.820078125
139,34463.03739583334
140,34698.875963541665
141,34934.893567708335
142,35170.98950520833
143,35406.342890625
144,35641.207916666666
145,35875.8446875
146,36108.96609375
147,36343.25606770833
148,36578.40026041667
149,36809.913671875
150,37042.27458333333
151,37276.57111979167
152,37510.00731770833
153,37741.01388020833
154,37972.646432291665
155,38205.767317708334
156,38435.8765625
157,38666.757552083334
158,38897.94453125
159,39128.270520833335
160,39359.349036458334
161,39588.49591145833
162,39818.41098958333
163,40046.41932291666
164,40275.807890625
165,40505.14270833333
166,40731.92669270833
167,40961.975625
168,41189.760625
169,41417.79377604167
170,41641.493046875
171,41871.28083333333
172,42096.0234375
173,42322.20015625
174,42548.700104166666
175,42774.33078125
176,43001.10135416667
177,43221.310546875
178,43449.035807291664
179,43670.26932291667
180,43895.15114583333
181,44118.04596354167
182,44339.985442708334
183,44563.055260416666
184,44785.57125
185,45005.337265625
186,45233.133072916666
187,45450.238125
188,45673.64669270833
189,45892.244765625
190,46110.93658854167
191,46337.307916666665
192,46555.551484375
193,46774.73778645833
194,46994.88372395833
195,47216.33046875
196,47434.741953125
197,47650.80033854167
198,47871.162786458335
199,48086.86356770834
200,48304.432604166665
201,48524.361979166664
202,48739.044921875
203,48956.52716145833
204,49171.76385416667
205,49389.24083333334
206,49602.83609375
207,49819.805989583336
208,50037.776953125
209,50251.083020833335
210,50463.35364583333
211,50682.375
212,50894.06578125
213,51106.732109375
214,51319.987005208335
215,51532.236015625
216,51744.552161458334
217,51956.00018229167
218,52171.50640625
219,52381.013125
220,52594.5684375
221,52801.76984375
222,53013.822421875
223,53226.12559895834
224,53433.31434895833
225,53641.815026041666
226,53857.905703125
227,54067.50078125
228,54272.378932291664
229,54481.835286458336
230,54691.81260416667
231,54897.711796875
232,55106.84744791667
233,55312.67692708333
234,55520.73302083334
235,55727.370625
236,55935.25575520833
237,56139.883697916666
238,56349.816041666665
239,56552.489869791665
240,56761.175208333334
241,56965.16671875
242,57167.1775
243,57372.80481770833
244,57577.28638020833
245,57783.943125
246,57986.26359375
247,58192.32708333333
248,58392.1959375
249,58595.537578125
250,58798.57153645833
251,59000.928515625
252,59201.836588541664
253,59403.66234375
254,59604.452890625
255,59807.032109375
256,60005.65565104166
257,60206.60815104167
258,60402.93276041667
259,60601.048828125
260,60801.338984375
261,61002.489609375
262,61204.065625
263,61401.747083333335
264,61601.68463541667
265,61796.714869791664
266,61998.2015625
267,62196.525416666664
268,62392.96846354166
269,62587.449479166666
270,62784.330416666664
271,62979.481640625
272,63176.053359375
273,63371.08231770834
274,63568.504583333335
275,63759.699244791664
276,63956.35171875
277,64151.564114583336
278,64344.18893229167
279,64537.838828125
280,64734.05098958333
281,64924.472578125
282,65119.31067708333
283,65313.49885416667
284,65502.056276041665
285,65696.20440104167
286,65889.48546875
287,66079.02203125
288,66270.17838541667
289,66463.29171875
290,66654.63348958333
291,66842.39104166666
292,67032.23869791666
293,67223.4515625
294,67416.70369791667
295,67605.50125
296,67794.18833333334
297,67982.93546875
298,68173.53140625
299,68363.40411458333
300,68545.50348958334
301,68732.39572916667
302,68924.345
303,69109.07770833334
304,69297.43057291667
305,69482.5815625
306,69671.52223958333
307,69858.58708333333
308,70041.66416666667
309,70230.69994791667
310,70417.50140625
311,70601.43520833334
312,70785.90927083333
313,70966.04640625
314,71151.53651041667
315,71336.87432291667
316,71522.0596875
317,71707.3040625
318,71888.18864583333
319,72068.2503125
320,72252.50770833333
321,72433.11
322,72618.9375
323,72797.6040625
324,72978.24552083333
325,73157.50380208333
326,73341.77140625
327,73520.33239583333
328,73705.1878125
329,73884.35614583333
330,74063.78989583334
331,74242.62828125
332,74420.81838541667
333,74599.15052083334
334,74776.3490625
335,74958.84572916667
336,75135.035625
337,75316.78916666667
338,75491.49255208333
339,75672.65802083333
340,75850.66895833334
341,76028.52572916666
342,76206.94171875
343,76380.34598958334
344,76559.54213541666
345,76733.49885416667
346,76910.53958333333
347,77087.79119791667
348,77260.02125
349,77437.05828125
350,77609.89354166666
351,77785.24427083334
352,77960.5175
353,78132.21208333333
354,78312.508125
355,78479.56583333333
356,78659.67161458333
357,78833.22713541667
