,reward
0,978.0
1,-262.0
2,-285.0
3,-285.0
4,-285.0
5,-286.0
6,-285.0
7,-300.0
8,-300.0
9,-300.0
10,-300.0
11,-300.0
12,-300.0
13,-300.0
14,-300.0
15,-412.0
16,-308.0
17,-258.0
18,-269.0
19,-252.0
20,-247.0
21,-221.0
22,-234.0
23,-495.0
24,-223.0
25,-290.0
26,-293.0
27,922.0
28,-236.0
29,-247.0
30,-280.0
31,-229.0
32,724.0
33,-406.0
34,-300.0
35,-441.0
36,-256.0
37,-406.0
38,801.0
39,-231.0
40,-259.0
41,-451.0
42,-300.0
43,962.0
44,-232.0
45,-380.0
46,-300.0
47,-300.0
48,-300.0
49,-300.0
50,-300.0
51,-300.0
52,-300.0
53,-300.0
54,-300.0
55,-300.0
56,-300.0
57,-300.0
58,-300.0
59,-300.0
60,-300.0
61,-300.0
62,-300.0
63,-300.0
64,-300.0
65,-300.0
66,-300.0
67,-300.0
68,-300.0
69,-300.0
70,-300.0
71,-300.0
72,-300.0
73,-300.0
74,-300.0
75,-300.0
76,-300.0
77,-300.0
78,-300.0
79,-300.0
80,-300.0
81,-300.0
82,-300.0
83,-300.0
84,-300.0
85,-300.0
86,-300.0
87,-300.0
88,-300.0
89,-300.0
90,-300.0
91,-300.0
92,-300.0
93,-300.0
94,-300.0
95,-300.0
96,-300.0
97,-300.0
98,-300.0
99,-279.0
100,-300.0
101,-423.0
102,-300.0
103,-300.0
104,-300.0
105,-300.0
106,-300.0
107,-300.0
108,-320.0
109,-483.0
110,-345.0
111,-300.0
112,-300.0
113,-300.0
114,-300.0
115,-437.0
116,-300.0
117,-490.0
118,-302.0
119,-300.0
120,-469.0
121,-457.0
122,-300.0
123,-334.0
124,-223.0
125,-288.0
126,-353.0
127,-300.0
128,-300.0
129,-300.0
130,-300.0
131,-361.0
132,-217.0
133,-255.0
134,-397.0
135,-275.0
136,-499.0
137,-300.0
138,-321.0
139,-300.0
140,-333.0
141,-415.0
142,-300.0
143,-376.0
144,-332.0
145,-220.0
146,-396.0
147,-256.0
148,-289.0
149,-345.0
150,-300.0
151,-412.0
152,-300.0
153,-300.0
154,-300.0
155,-300.0
156,-300.0
157,-300.0
158,-300.0
159,-326.0
160,-363.0
161,-300.0
162,-328.0
163,-300.0
164,-432.0
165,-300.0
166,-300.0
167,-300.0
168,-300.0
169,-300.0
170,-300.0
171,-327.0
172,-300.0
173,-343.0
174,-300.0
175,-300.0
176,-300.0
177,-302.0
178,-300.0
179,-300.0
180,-300.0
181,-300.0
182,-300.0
183,-300.0
184,-421.0
185,-300.0
186,-300.0
187,-412.0
188,-449.0
189,-300.0
190,-318.0
191,-300.0
192,-379.0
193,-300.0
194,-382.0
195,-300.0
196,-300.0
197,-300.0
198,-300.0
199,-300.0
200,-300.0
201,-300.0
202,-234.0
203,-300.0
204,-253.0
205,-300.0
206,-377.0
207,-300.0
208,-300.0
209,-300.0
210,-300.0
211,-442.0
212,-380.0
213,-311.0
214,-300.0
215,-346.0
216,-300.0
217,-300.0
218,-233.0
219,987.0
220,-359.0
221,-300.0
222,-304.0
223,-300.0
224,-300.0
225,840.0
226,-254.0
227,-493.0
228,-359.0
229,-300.0
