,reward
0,1078.0
1,-672.0
2,-856.0
3,-856.0
4,-324.0000000000001
5,-846.0
6,-856.0
7,-1588.0
8,-1860.0
9,-1840.0
10,-1920.0
11,-1966.0
12,-1958.0
13,-1766.0
14,-1760.0
15,-1874.0
16,-1888.0
17,-1862.0
18,-1842.0
19,-1788.0
20,-1930.0
21,-1840.0
22,-1938.0
23,-1730.0
24,-1894.0
25,-1832.0
26,-1806.0
27,-1770.0
28,-1802.0
29,-1780.0
30,-1834.0
31,-1858.0
32,-1770.0
33,-1938.0
34,-1724.0
35,-1852.0
36,-1858.0
37,-1860.0
38,-1804.0
39,-1896.0
40,-1746.0
41,-1906.0000000000002
42,-1876.0
43,-1892.0
44,-1888.0
45,-1918.0
46,-1874.0
47,-1740.0
48,-1864.0
49,-1766.0
50,-1772.0
51,-1776.0
52,-1882.0
53,-1940.0
54,-1836.0
55,-1764.0
56,-1936.0
57,-1806.0
58,-1764.0
59,-1794.0
60,-1846.0
61,-1724.0
62,-2000.0
63,-2000.0000000000002
64,-1684.0
65,-1910.0
66,-1902.0
67,-1890.0
68,-1896.0
69,-1854.0
70,-1812.0000000000002
71,-1728.0
72,-1906.0
73,-1946.0
74,-1896.0
75,-1876.0
76,-1854.0
77,-1710.0000000000002
78,-1790.0
79,-1834.0
80,-1732.0
81,-1920.0
82,-1710.0
83,-1844.0
84,-1814.0000000000002
85,-1912.0000000000002
86,-1790.0000000000002
87,-1884.0000000000002
88,-1770.0
89,-1716.0
90,-1828.0
91,-1878.0
92,-2000.0
93,-1790.0000000000002
94,-1924.0
95,-1902.0
96,-1724.0
97,-1866.0
98,-1794.0
99,-1732.0
100,-1688.0
101,-1848.0
102,-1782.0
103,-1792.0000000000002
104,-1776.0000000000002
105,-1778.0
106,-1938.0
107,-1882.0
108,-1820.0
109,-1888.0
110,-1660.0
111,-1928.0
112,-1734.0000000000002
113,-1798.0
114,-1784.0
115,-1874.0
116,-1768.0
117,-1872.0
118,-1758.0
119,-1786.0
120,-1756.0
121,-2008.0
122,-1884.0
123,-1990.0
124,-1932.0
125,-1924.0000000000002
126,-1850.0
127,-1864.0
128,-1810.0
129,-1806.0
130,-1896.0
131,-1838.0
132,-1788.0
133,-1698.0
134,-1838.0
135,-1866.0
136,-1712.0
137,-1794.0
138,-1746.0
139,-1846.0
140,-1840.0
141,-1876.0
142,-1868.0
143,-1654.0
144,-1878.0
145,-1960.0
146,-1762.0
147,-1834.0000000000002
148,-1766.0
149,-1840.0
150,-1916.0
151,-1948.0
152,-1790.0
153,-1888.0
154,-1778.0
155,-1842.0
156,-1762.0000000000002
157,-1878.0
158,-1918.0000000000002
159,-1678.0
160,-1878.0
161,-1780.0000000000002
162,-1784.0
163,-1948.0
164,-1880.0
165,-1878.0
166,-1940.0
167,-1936.0
168,-1828.0
169,-1924.0
170,-1820.0
171,-1794.0
172,-1862.0
173,-1888.0
174,-1924.0
175,-1812.0
176,-1816.0
177,-1964.0
178,-1910.0
179,-1902.0
180,-1938.0
181,-1844.0
182,-1886.0
183,-1720.0
184,-1836.0
185,-1794.0
186,-1918.0
187,-1770.0
188,-1796.0000000000002
189,-1950.0
190,-1910.0000000000002
191,-1896.0
192,-1802.0
193,-1784.0
194,-1898.0
195,-1858.0
196,-1786.0
197,-1782.0
198,-1958.0
199,-1804.0
200,-1732.0
201,-1810.0
202,-1772.0
203,-1834.0
204,-1916.0
205,-1740.0
206,-1896.0
207,-1882.0
208,-1842.0
