,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,1430.4298894735482
14,2075.635215657552
15,2623.7270213160023
16,2824.40824620864
17,3039.398193359375
18,3604.241451687283
19,4193.7301603618425
20,5027.146415751689
21,6107.838629717384
22,6393.166387648809
23,6490.493793402778
24,6500.092979029605
25,6570.527056525735
26,6622.127884615385
27,7010.556873139881
28,7090.378916638962
29,7488.806434345755
30,8035.935819892473
31,8263.3896484375
32,8510.3447265625
33,8712.36132104846
34,8781.438873808263
35,8977.352353050595
36,9120.73277889785
37,9189.712782118055
38,9604.721316315407
39,9694.188839285714
40,10036.177374588815
41,10021.154162176725
42,10251.195443502287
43,10429.684006382042
44,10744.342103247549
45,10890.8294921875
46,11023.777895720108
47,11246.764105902777
48,11237.138093171296
49,11271.385362413195
50,11706.77543308424
51,11651.435502485796
52,11882.668767755682
53,11902.777800529233
54,12121.208651928191
55,12499.187174479166
56,12535.131618923611
57,12560.023111979166
58,13225.276309742647
59,13225.965067879099
60,13603.779829545454
61,13988.891049592392
62,14732.819010416666
63,14843.87472619743
64,15458.717058879573
65,15239.216542119566
66,15780.105895996094
67,15454.698575647866
68,16345.249788172105
69,17880.59861002604
70,19395.823528645833
71,21408.346243489585
72,22958.640182291667
73,24636.680045572917
74,26657.299375
75,29195.441393229168
76,31160.235735677084
77,33532.062024739585
78,35811.277994791664
79,37880.2641796875
80,40217.206666666665
81,43200.5961328125
82,46338.211751302086
83,49150.954264322914
84,51757.723984375
85,54629.351953125
86,56264.01167317708
87,59527.587838541665
88,63526.677473958334
89,67093.47735236672
90,68413.35802083333
91,71159.01932291666
92,73869.5252734375
93,76807.592265625
94,79690.69009114584
95,82680.3472265625
96,86062.34463541667
97,90293.86045572917
98,91041.0095267536
99,93550.8943256579
100,96714.88310185185
101,98682.88666666667
102,102174.06998527487
103,104392.68576822917
104,108378.78345052083
105,105386.67147582117
106,114233.35811441734
107,112830.68893229167
108,119726.80852971312
109,123904.63489583334
110,122568.61151041667
111,129885.272421875
112,136798.26020833335
113,133188.2167578125
114,137005.9125390625
115,149761.4894817073
116,146963.78485576922
117,145444.12210398706
118,145816.98674479168
119,154480.41130514705
120,156242.40209635417
121,154059.05603853383
122,165289.71296875
123,167572.3079296875
124,175132.31536458334
125,178303.21979166666
126,185401.74444010417
127,165415.699453125
128,135992.111484375
129,95963.74846354166
130,64788.286241319445
131,55825.62095052083
132,56787.77350260417
133,57305.21958705357
134,56695.56825520833
135,55559.8768784153
136,58719.29088541667
137,55523.19283854167
138,54667.56987533845
139,55190.76681857639
140,50085.013619791665
141,51011.20058326198
142,50336.687872958544
143,45707.98016197644
144,41029.081217447914
145,40675.8178515625
146,40922.80986512382
147,41203.14578821163
148,41521.79927540554
149,41819.175172738695
150,42103.177745796784
151,42307.39580305233
152,42658.13469207636
153,42918.671543961864
154,43145.32306134259
155,43361.88275390625
156,43613.39108702957
157,43735.10653409091
158,43913.943359375
159,44122.74891183036
160,44371.300497555865
161,44562.08282127809
162,44610.41832386364
163,44738.77736996644
164,44850.93889508928
165,44848.17816840278
166,44915.12818287037
167,45006.665211397056
168,45239.09622579225
169,45402.128388554214
170,45391.35171274038
171,45610.20758928572
172,45643.29848345588
173,45618.87779017857
174,45551.24879807692
175,45901.80682291667
176,46110.04552801724
177,46034.01083096591
178,46210.70556640625
179,46330.882421875
180,46243.0253125
181,46363.19567418982
182,46547.53990818299
183,46658.18837890625
184,46705.04485452586
185,47038.29481183979
186,50244.776041666664
187,50033.020833333336
188,50088.50461647727
189,50967.386835354475
190,49296.91704963235
191,51334.3354296875
192,50993.58472606804
193,50844.59986413043
194,50457.71628289474
195,50496.7996875
196,50894.232825969826
197,52287.33193235759
198,50854.54079861111
199,51735.79677220395
200,51281.79954769737
201,53081.39834222561
202,51012.03025688559
203,50741.26591796875
204,53130.72349330357
205,51206.95497532895
206,50935.572509765625
207,49893.075390625
208,52090.741240530304
209,50859.322265625
210,52049.552734375
211,49403.4677734375
212,51251.85223599138
213,51123.372242647056
214,51611.183515625
215,51583.20955882353
216,52272.5904224537
217,50871.2455078125
218,51633.50457442434
219,50923.57888454861
220,51918.6923042385
221,51641.94680851064
222,52726.891927083336
223,51042.49554550439
224,50972.342447916664
225,51633.411376953125
226,51542.40074573864
227,54125.954026442305
228,51116.96980574324
229,53004.08602834302
230,53297.2040625
231,52555.07678222656
232,54688.99459402902
233,53162.03412224265
234,53621.61290922619
235,53979.99221254006
236,54361.369591346156
237,54430.00081129808
238,55530.147807459674
239,53801.37855113636
240,54079.39818709936
241,53870.47377232143
242,54954.52730724299
243,54161.843385416665
244,53782.15531994047
245,54610.51207386364
246,54701.54509171196
247,55520.18016098485
248,53911.71527777778
249,53956.202105978264
250,55041.13531740471
251,54992.19176136364
252,56324.18645833333
253,56419.952105978264
254,55216.68894886364
255,54976.498209635414
256,57343.32513786765
257,56359.557553300234
258,55837.69709821429
259,55977.9748335041
260,56328.601273148146
261,57326.146814480635
262,58304.19679054054
263,57042.17268573113
264,57094.04015625
265,56810.9068359375
266,56430.48545258621
267,55879.90683065879
268,55197.79044117647
269,57207.983506944445
270,57071.880208333336
271,55460.077223557695
272,55533.025841346156
273,57016.36199951172
274,56780.10107421875
275,58169.62053571428
276,56713.91109375
277,56500.11267738527
278,57492.10632011218
279,56850.83720439189
280,55989.59306867733
281,57167.14890095339
282,56862.67726934524
283,56565.68325407609
284,56548.531655493076
285,57799.413125
286,56815.29999122191
287,56026.12131076389
288,56387.77375
289,57205.664301658166
290,58008.235677083336
291,57003.933834134616
292,57410.206200132976
293,57153.14122596154
294,56725.444365530304
295,57408.271728515625
296,56783.38017494658
297,57496.1181640625
298,57096.822265625
299,57502.93250281532
300,57848.9112109375
301,58016.74789663462
302,58496.30317708333
303,58448.38903524709
304,59145.051145833335
305,59467.389793882976
306,59096.04833984375
307,59699.71495077055
308,59518.69873754529
309,59580.17202524038
310,59693.28
311,59942.759266493056
312,60464.325994318184
313,60332.52466145833
314,60761.28550869361
315,61129.39026988636
316,60874.77696814904
317,61257.482872596156
318,61701.949337121216
319,61606.65609621063
320,61666.73661629098
321,61997.91194010417
322,62178.13067626953
323,62613.432994631905
324,62261.89670758929
325,62761.80113636364
326,62984.43601190476
327,63274.1947265625
328,63455.445134943184
329,63332.65298063859
330,63819.62430862832
331,63898.031881009614
332,63957.391483820924
333,64800.13389008621
334,64777.2856979927
335,65188.32971643518
336,65054.64076967593
337,65153.95959472656
338,65383.0471286526
339,65649.38255208333
340,65634.96475183824
341,67362.00592237903
342,66018.18938210227
343,66362.5000390625
344,66515.277890625
345,67676.8680199795
346,68376.30531754032
347,67290.52992584746
348,67324.4509375
349,66421.85379464286
350,67438.44100674716
