,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,90483.92713511149
6,158675.3153125
7,188060.18677083333
8,224061.42770833333
9,279497.90984375
10,341065.14125
11,409466.38895833335
12,468820.37125
13,524035.3821875
14,582069.435
15,639132.0770833333
16,704005.5339583333
17,761056.43
18,814630.1897916667
19,865542.8858333334
20,948122.9741666666
21,1030705.5735416666
22,1124584.3102083334
23,1214403.1
24,1274809.1033333333
25,1367270.8879166667
26,1453876.9508333334
27,1538102.08
28,1619911.2554166666
29,1704036.5495833333
30,1785688.9391666667
31,1870488.4070833332
32,1949004.1820833334
33,2030270.1170833334
34,2106088.2129166666
35,2184169.3933333335
36,2263115.62
37,2339858.821666667
38,2416382.03
39,2489488.0610687025
40,2557377.9275
41,2639065.0483333333
42,2720462.5258333334
43,2804957.7283333335
44,2888065.1633333336
45,2971791.2558333334
46,3051060.513333333
47,3136413.4941666666
48,3211738.89
49,3290379.9691666667
50,3321212.3716666666
51,3402250.5275
52,3486146.8516666666
53,3564359.6466666665
54,3623307.0516666668
55,3706699.2108333334
56,3789358.0616666665
57,3872967.7108333334
58,3952276.7783333333
59,4030673.1675
60,4111775.0191666665
61,4201671.696666666
62,4324306.441666666
63,4437009.2716666665
64,4553467.275
65,4642303.163333333
66,4725358.066666666
67,4799469.076666667
68,4873814.858333333
69,4947996.5216666665
70,5000188.221666667
71,5066516.626666667
72,5129679.161666667
73,5205523.555
74,5280031.113333333
75,5352268.09
76,5403255.913333333
77,5474518.801666667
78,5556414.326666667
79,5633559.305
80,5721207.851666667
81,5790906.566666666
82,5867457.378333333
83,5923458.403333333
84,5979118.666666667
85,6040357.2283333335
86,6113818.723333334
87,6184443.928333334
88,6254459.0216666665
89,6321713.885
90,6392934.51
91,6458568.986666666
92,6527635.756666667
93,6600480.4
94,6664128.508333334
95,6739121.656666666
96,6800059.555
97,6865644.763333334
98,6935071.476666667
99,6996266.261666667
100,7066622.408333333
101,7131174.6
102,7181988.693333333
103,7246720.998333333
104,7310997.346666667
105,7366661.045
106,7430118.265
107,7500350.516064257
108,7576158.623333333
109,7678149.806666667
110,7751055.76
111,7814645.828333333
112,7882879.546666667
113,7949829.523333333
114,8025393.793333333
115,8091422.673333333
116,8155566.493333333
117,8223704.373333333
118,8292576.576666667
119,8364214.1033333335
120,8434097.178333333
121,8496255.921666667
122,8561518.03
123,8631868.346666666
124,8704277.663333334
125,8772192.833333334
126,8842550.8
127,8904647.67
128,8973614.516666668
129,9025796.613333333
130,9096009.606666667
131,9180685.823333334
132,9228588.07
133,9286065.59
134,9343208.346666666
135,9415346.913333334
136,9501875.683333334
137,9566779.34
138,9632276.856666667
139,9688904.3
140,9743567.856666667
141,9804144.196666667
142,9871998.54
143,9931448.886666667
144,10008420.99
145,10078044.746666666
146,10135419.31
147,10198613.426666666
148,10253779.856666667
149,10300932.263333334
150,10353730.706666667
151,10412187.096666666
152,10468284.496666666
153,10524991.68
154,10583533.086666666
155,10640512.646666666
156,10696397.713333333
157,10757923.796666667
158,10826685.316666666
159,10858518.506666666
160,10902240.17
161,10942451.44
162,11005402.516666668
163,11055770.796666667
164,11113210.026666667
165,11174018.786666667
166,11228128.876666667
167,11284752.643333333
168,11338665.25
169,11386129.586666666
170,11443284.7
171,11499740.96
172,11557096.326666666
173,11617025.943333333
174,11679029.223333333
175,11728456.506666666
176,11784403.64
177,11839003.436666667
178,11887251.94
179,11926900.786666667
180,11981258.78
181,12034429.583333334
182,12086287.793333333
183,12135104.803333333
184,12189167.39
185,12242500.786666667
186,12302166.983333332
187,12353134.026666667
188,12415886.016666668
189,12471928.256666666
190,12528935.48
191,12599006.89
192,12651398.136666667
193,12708324.89
194,12766840.043333333
195,12816835.013333334
196,12866054.64
197,12914872.616666667
198,12966489.956666667
199,13016261.623333333
200,13075414.943333333
201,13128962.996666666
202,13171809.926666666
203,13225571.71
204,13283498.496666666
205,13339548.126666667
206,13392883.163333334
207,13441869.553333333
208,13487944.956666667
209,13538208.076666666
210,13597540.643333333
211,13653681.623333333
212,13701996.396666666
213,13747289.456666667
214,13795901.476666667
215,13848166.113333333
216,13887615.553333333
217,13937904.17
218,13999753.11
219,14059745.746666666
220,14111325.85
221,14165304.653333334
222,14197290.866666667
223,14241228.846666666
224,14284629.956666667
225,14329473.643333333
226,14382466.326666666
227,14435059.53
228,14488953.31
229,14543677.166666666
230,14584649.223333333
231,14632200.92
232,14678843.323333334
233,14699357.92857143
234,14724799.663333334
235,14774491.323333334
236,14823527.79
237,14872954.19
238,14913517.053333333
239,14970012.783333333
240,15019692.42
241,15022857.503333334
242,15065480.656666666
243,15106361.243333334
244,15150253.77
245,15192301.393333333
246,15237467.823333334
247,15278981.35
248,15319534.243333334
249,15363835.253333334
250,15412474.423333334
251,15434606.836666666
252,15481924.103333334
253,15524119.13
254,15561669.433333334
255,15594319.293333333
256,15628888.196666667
257,15674498.483333332
258,15714795.41
259,15762563.806666667
260,15796067.24
261,15843522.263333334
262,15881419.736666666
263,15919827.963333333
264,15968593.94
265,15985786.66
266,16000445.721238937
267,16030615.55
268,16063214.567272726
269,16130634.926666666
270,16184640.5
271,16223615.363333333
272,16246354.26
273,16302216.243333334
274,16326076.31958763
275,16354450.72
276,16377150.802919708
277,16370808.706806283
278,16407249.72
279,16419259.393442623
280,16423467.133333333
281,16431862.222222222
282,16443034.46511628
283,16462418.877551021
284,16446504.1
285,16462193.708333334
286,16457733.934065934
287,16474896.0546875
288,16476969.121212121
289,16506859.062745098
290,16568959.953125
291,16560026.56521739
292,16569904.485148516
293,16584812.944444444
294,16607381.302083334
295,16643292.42857143
296,16670496.36
297,16674918.104347827
298,16649804.38095238
299,16679697.342105264
300,16671138.2
301,16694994.48
302,16706759.311688311
303,16677860.615384616
304,16705816.736842105
305,16680267.53125
306,16721567.123595506
307,16689667.68
308,16701014.363636363
309,16679767.94117647
310,16715247.631578946
311,16717740.92
312,16711433.56060606
313,16719188.714285715
314,16725981.8125
315,16715870.413793104
316,16714247.894736841
317,16743288.180124223
318,16799174.680851065
319,16769065.611111112
320,16771480.292682927
321,16775256.707070706
322,16777495.8
323,16741831.388888888
324,16758096.0
325,16766368.56
326,16771741.5
327,16763906.297297297
328,16773532.720930232
329,16808814.8
330,16753263.642857144
331,16770641.870370371
332,16707688.24137931
333,16742093.15
334,16735322.962962963
335,16718475.1
336,16725243.6
337,16708436.105263159
338,16735843.090909092
339,16735612.775
340,16749813.272727273
341,16722481.76923077
342,16774042.125
343,16720720.64
344,16753603.6
345,16760925.397959184
346,16768785.5
347,16793700.333333332
348,16792654.397260275
349,16754437.575757576
350,16759893.160493826
351,16796936.866666667
352,16813940.0
353,16778833.78181818
354,16788884.675
355,16793809.125
356,16793875.588235293
357,16795022.086956523
358,16815207.5
359,16812885.789473683
360,16842933.208333332
