,reward
0,1082.0
1,-1024.0
2,-1208.0
3,-1208.0
4,-1198.0
5,-1584.0
6,-1494.0
7,-1386.0
8,-1434.0
9,-1478.0
10,-1526.0
11,-1476.0000000000005
12,-1480.0000000000002
13,-1406.0000000000005
14,-1388.0
15,-1340.0
16,-1516.0
17,-1498.0
18,-1502.0
19,-1510.0
20,-1504.0000000000002
21,-1416.0
22,-1500.0
23,-1380.0
24,-1492.0000000000002
25,-1566.0
26,-1572.0
27,-1422.0
28,-1386.0000000000005
29,-1512.0
30,-1334.0000000000002
31,-1316.0000000000002
32,-1436.0
33,-1332.0
34,-1356.0
35,-1304.0000000000005
36,-1472.0
37,-1394.0
38,-1558.0
39,-1262.0
40,-1504.0
41,-1358.0
42,-1500.0
43,-1504.0000000000005
44,-1602.0
45,-1490.0
46,-1578.0
47,-1366.0
48,-1500.0
49,-1452.0
50,-1400.0
51,-1486.0
52,-1482.0
53,-1432.0
54,-1530.0000000000002
55,-1258.0
56,-1514.0
57,-1484.0
58,-1438.0
59,-1608.0
60,-1532.0
61,-1452.0
62,-1682.0
63,-1488.0
64,-1534.0
65,-1276.0
66,-1242.0
67,-1396.0
68,-1532.0000000000002
69,-1464.0
70,-1400.0
71,-1464.0
72,-1496.0
73,-1458.0
74,-1368.0
75,-1518.0
76,-1460.0
77,-1530.0
78,-1462.0
79,-1546.0
80,-1446.0
81,-1578.0
82,-1522.0
83,-1644.0
84,-1548.0
85,-1454.0
86,-1392.0
87,-1572.0
88,-1442.0
89,-1530.0
90,-1566.0
91,-1302.0000000000002
92,-1746.0
93,-1498.0
94,-1526.0
95,-1534.0
96,-1532.0000000000002
97,-1410.0
98,-1486.0000000000002
99,-1568.0
100,-1548.0
101,-1580.0
102,-1518.0
103,-1602.0000000000002
104,-1356.0
105,-1382.0
106,-1598.0000000000005
107,-1448.0
108,-1520.0
109,-1418.0
110,-1426.0000000000002
111,-1646.0
112,-1540.0
113,-1554.0
114,-1364.0
115,-1530.0
116,-1502.0
117,-1468.0000000000005
118,-1566.0
119,-1456.0
120,-1462.0
121,-1378.0
122,-1506.0
123,-1414.0
124,-1478.0
125,-1382.0
126,-1512.0
127,-1620.0
128,-1562.0
129,-1632.0
130,-1304.0
131,-1684.0
132,-1376.0000000000005
133,-1190.0000000000007
134,-1498.0
135,-1446.0
136,-1530.0
137,-1386.0
138,-1382.0
139,-1548.0
140,-1630.0
141,-1634.0
142,-1508.0
143,-1566.0
144,-1446.0
145,-1500.0
146,-1564.0
147,-1538.0
148,-1514.0
149,-1452.0
150,-1480.0
151,-1430.0
152,-1640.0
153,-1416.0
154,-1450.0000000000002
155,-1724.0
156,-1294.0
157,-1462.0
158,-1430.0
159,-1566.0
160,-1344.0
161,-1550.0
162,-1394.0
163,-1454.0
164,-1468.0
165,-1510.0
166,-1484.0
167,-1658.0
168,-1588.0
169,-1546.0000000000005
170,-1238.0000000000002
171,-1304.0
172,-1446.0
173,-1504.0
174,-1556.0
175,-1440.0
176,-1694.0
177,-1436.0
178,-1650.0000000000002
179,-1464.0
180,-1462.0
181,-1468.0
182,-1556.0
183,-1422.0
184,-1454.0
185,-1520.0
186,-1492.0000000000005
187,-1452.0000000000005
188,-1536.0
189,-1462.0
190,-1526.0000000000002
191,-1514.0
192,-1464.0
193,-1398.0000000000002
194,-1532.0
195,-1482.0
196,-1342.0
197,-1610.0
198,-1542.0
199,-1300.0
200,-1490.0
201,-1438.0
202,-1582.0
203,-1532.0
204,-1528.0
205,-1406.0
206,-1550.0
207,-1384.0
208,-1598.0
209,-1530.0
210,-1344.0000000000005
211,-1548.0000000000002
212,-1372.0
213,-1368.0000000000002
214,-1604.0
215,-1436.0000000000002
216,-1480.0
217,-1546.0
218,-1586.0
219,-1372.0
220,-1358.0
221,-1544.0
222,-1490.0000000000005
223,-1584.0
224,-1564.0
225,-1538.0
226,-1454.0
227,-1432.0
228,-1472.0
229,-1346.0000000000002
230,-1460.0
231,-1426.0000000000002
232,-1546.0
233,-396.0
234,-1638.0
235,-1482.0
236,-1416.0
237,-1448.0
238,-1462.0
239,-1444.0
240,-1516.0
241,-1588.0
242,-1628.0
243,-1478.0
244,-1566.0
245,-1600.0
246,-1450.0
247,-1460.0
248,-1458.0
249,-1544.0
250,-1492.0
251,-1600.0
252,-1268.0
253,-1216.0
254,-1380.0
255,-1538.0
256,-1470.0000000000002
257,-1466.0
258,-1550.0
259,-1500.0
260,-1472.0
261,-1602.0
262,-1358.0
263,-1520.0
264,-1654.0
265,-1258.0000000000002
266,-1018.0
267,-1334.0
268,99.99999999999989
269,-1262.0
270,-420.0
271,-1068.0
272,-1384.0
273,-1432.0
