,reward
0,1082.0
1,-976.0
2,1204.0
3,-752.0
4,-924.0
5,-1152.0
6,-862.0
7,1250.0
8,-616.0
9,-962.0
10,-1152.0
11,-296.0000000000001
12,-1144.0
13,-1632.0
14,-1488.0000000000002
15,-212.0000000000001
16,-458.00000000000006
17,-268.0
18,-344.0
19,-330.0
20,-444.00000000000006
21,-478.0
22,-371.99999999999994
23,-374.0
24,-85.99999999999999
25,-540.0
26,-424.0
27,-326.0
28,-410.0
29,-384.0
30,1174.0
31,-317.99999999999994
32,-302.0
33,-344.0
34,1138.0
35,-125.99999999999999
36,-172.0
37,-624.0
38,-670.0
39,-234.00000000000003
40,-598.0
41,-74.0
42,-352.0
43,-288.00000000000006
44,-532.0
45,-334.0
46,-664.0
47,-294.0
48,-776.0
49,-320.00000000000006
50,-598.0
51,-328.0
52,-376.0
53,-654.0
54,-322.0
55,-710.0
56,-604.0
57,-182.0
58,-368.0
59,-620.0
60,-302.0
61,-552.0
62,-238.00000000000006
63,-448.0000000000001
64,-196.0
65,-125.99999999999997
66,-452.0000000000001
67,-398.0
68,1208.0
69,-450.0000000000001
70,1212.0
71,-258.0
72,-362.0
73,-156.0
74,-224.00000000000003
75,-102.00000000000003
76,-288.00000000000006
77,-422.0
78,-182.00000000000003
79,-456.0
80,-396.00000000000006
81,-432.0
82,-208.00000000000003
83,-360.0
84,-652.0
85,-276.0
86,-352.0
87,-226.0
88,-417.99999999999994
89,-340.0
90,-318.0000000000001
91,-102.00000000000003
92,-336.0
93,-368.0
94,-108.0
95,-340.0
96,-108.00000000000001
97,1140.0
98,-262.0
99,-368.0
100,1106.0
101,-258.0
102,-202.00000000000003
103,-104.00000000000004
104,-396.0
105,-204.0
106,-270.0
107,-602.0
108,-376.0
109,-670.0
110,1082.0
111,-145.99999999999994
112,-190.00000000000003
113,-294.0
114,-380.0000000000001
115,-356.00000000000006
116,-574.0
117,-314.0000000000001
118,-416.0
119,-190.0
120,-358.0
121,-270.0000000000001
122,-456.0000000000002
123,1088.0
124,-218.00000000000006
125,1072.0
126,-144.0
127,-588.0000000000001
128,1136.0
129,-412.0000000000001
130,-318.00000000000006
131,-520.0
132,-390.0
133,1122.0
134,-308.0
135,-314.0
136,-96.00000000000001
137,-738.0000000000001
138,1084.0
139,39.99999999999983
140,-190.0
141,-442.0
142,-296.0
143,-314.00000000000006
144,-446.0
145,-358.0
146,-414.0
147,-230.0
148,-408.0
149,-199.99999999999997
150,-560.0000000000002
151,-352.0
152,-274.0
153,-64.00000000000003
154,-222.0
155,1190.0
156,-170.0
157,-28.000000000000085
158,-296.0
159,-342.0000000000001
160,-454.0
161,-506.00000000000006
162,-202.00000000000003
163,1086.0
164,-346.00000000000006
165,-582.0000000000001
166,-226.00000000000003
167,-370.0
168,-450.0
169,1021.9999999999998
170,-224.00000000000006
171,-408.0000000000003
172,-830.0
173,1132.0
174,-426.0
175,-406.0
176,959.9999999999999
177,-228.0
178,-508.0000000000001
179,-522.0000000000002
180,-408.0
181,1028.0
182,-110.00000000000009
183,1190.0
184,-250.00000000000003
185,-374.0
186,-446.00000000000006
187,-776.0
188,-243.99999999999997
189,-460.0
190,-428.00000000000006
191,-273.99999999999994
192,1076.0
193,-264.0
194,-552.0
195,-586.0000000000002
196,-746.0
197,-446.0
198,-132.00000000000006
199,1104.0
200,-176.0
201,-452.0
202,-1174.0000000000002
203,-84.0
204,1050.0
205,-120.0
206,-344.0
207,-474.00000000000017
208,1148.0
209,-214.00000000000003
210,-146.00000000000003
211,-160.0
212,-55.99999999999997
213,-228.0
214,-308.00000000000006
215,-520.0000000000001
216,-444.0
217,-256.00000000000006
218,-626.0
219,936.0
220,31.999999999999943
221,-546.0
222,-294.0
223,-632.0
224,1005.9999999999998
225,-366.0
226,-638.0000000000002
227,-738.0
228,-618.0000000000001
229,1146.0
230,1251.9999999999998
231,-524.0000000000005
232,1116.0
233,-178.0
234,-268.0
235,-310.0000000000001
236,-346.00000000000034
237,-450.0000000000001
238,-160.00000000000003
239,-426.0000000000001
240,-226.00000000000003
241,-468.00000000000006
242,-336.0
243,-108.00000000000003
244,-436.00000000000034
245,-300.00000000000034
246,889.9999999999995
247,-170.0
248,-412.00000000000017
249,-144.0
250,1148.0
251,-320.0
252,-400.0
253,988.0
254,-182.0
255,-454.0000000000001
256,-360.0000000000001
257,-78.00000000000009
258,1080.0
259,-490.0000000000005
260,-490.00000000000006
261,-352.00000000000017
262,1138.0
263,-228.00000000000003
264,-306.0
265,-138.0
266,-370.0000000000002
267,826.0
268,819.9999999999997
269,-686.0000000000005
270,1208.0
271,-138.00000000000003
272,-384.00000000000006
273,-372.0
274,-404.00000000000034
275,-100.0
276,1090.0
277,-280.0000000000001
278,-532.0000000000005
279,-186.00000000000014
280,-348.0
281,-842.0
282,-636.0000000000003
283,-358.0
284,-644.0000000000001
285,999.9999999999998
286,-496.0000000000001
287,-328.00000000000006
288,1164.0
289,-340.00000000000017
290,-402.00000000000006
291,1122.0
292,-220.0000000000003
293,769.9999999999998
294,-266.0000000000001
295,-580.0000000000003
296,-200.0
297,1138.0
298,-464.0000000000002
299,-386.00000000000006
300,-344.00000000000006
301,-716.0000000000005
302,847.9999999999999
303,757.9999999999995
304,1251.9999999999998
305,-290.0
306,-1018.0000000000001
307,-286.00000000000006
308,-374.0000000000001
309,-380.0
310,-266.0
311,-436.0
312,-778.0000000000005
313,1052.0
314,-236.00000000000009
315,-800.0000000000003
316,998.0
317,-616.0000000000002
318,-374.0000000000004
319,-484.0
320,-386.0
321,-396.0
322,-634.0000000000002
323,-686.0000000000005
324,-322.00000000000006
325,-172.0
326,923.9999999999998
327,-312.0
328,-338.0
329,-706.0000000000005
330,-476.00000000000057
331,811.9999999999997
332,-383.9999999999999
333,-470.0
334,-750.0000000000002
335,-600.0000000000002
336,1138.0
337,-500.00000000000034
338,-1294.0
339,-640.0
340,-754.0000000000001
341,807.9999999999999
342,-496.00000000000006
343,673.9999999999997
344,-534.0000000000002
345,-884.0000000000002
346,-534.0000000000002
347,-458.0
348,-680.0000000000005
349,-424.0
350,-892.0000000000005
351,-642.0000000000002
352,-710.0000000000002
353,1100.0
354,-284.00000000000034
355,801.9999999999995
356,1072.0
357,-140.0
358,1176.0
359,-382.0000000000001
360,-786.0000000000002
361,-222.00000000000006
362,-846.0000000000002
363,-398.0000000000002
364,-666.0000000000003
365,-546.0000000000005
366,-290.0
367,529.9999999999998
368,-304.0
369,727.9999999999998
370,821.9999999999995
371,1059.9999999999998
372,-222.0
373,-646.0000000000002
374,1148.0
375,-542.0000000000003
376,-468.0000000000001
377,-264.0000000000001
378,631.9999999999998
379,1219.9999999999998
380,-390.00000000000006
381,-700.0000000000001
382,919.9999999999998
383,1088.0
384,-744.0000000000005
385,-540.0000000000002
386,-714.0000000000003
387,-332.0
388,-336.0000000000001
389,-656.0000000000005
390,877.9999999999998
391,1086.0
392,739.9999999999995
393,1112.0
394,-302.0
395,735.9999999999997
396,-212.0
397,1108.0
398,-346.00000000000006
399,1202.0
400,-614.0000000000002
401,-616.0000000000002
402,-548.0
403,-860.0000000000001
404,-218.00000000000006
405,-764.0000000000003
406,-794.0000000000002
407,-1066.0000000000002
408,-356.00000000000006
409,679.9999999999997
410,-462.0
411,-958.0000000000001
412,-304.0
413,-1022.0000000000002
414,-422.00000000000006
415,-728.0000000000002
416,-988.0000000000001
417,-760.0000000000002
418,-408.00000000000006
419,-594.0000000000005
420,-1140.0
421,1082.0
422,-966.0000000000002
423,-448.0
424,557.9999999999998
425,-346.0000000000001
426,-732.0
427,-670.0000000000001
428,-84.00000000000001
429,-582.0000000000002
430,-600.0000000000002
431,-700.0000000000005
432,-802.0000000000003
433,-936.0000000000001
434,-568.0000000000002
435,-792.0000000000002
436,-844.0000000000002
437,-922.0000000000002
438,447.9999999999999
439,-812.0000000000003
440,619.9999999999999
