,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,2577.8951396208545
30,14777.093245442707
31,19160.26022687961
32,15732.319961547852
33,19221.324000581782
34,26389.243701720505
35,31067.990201271186
36,37293.51717177014
37,48618.88416466346
38,52016.71643518518
39,53862.9875
40,54446.75596992925
41,56225.76605902778
42,55861.08802083333
43,59451.232555650684
44,59204.579071969696
45,60312.78338913691
46,61763.02421875
47,60994.47935675183
48,60697.806547619046
49,63992.006489911415
50,67267.84075520834
51,67426.754609375
52,71560.4960546875
53,75942.53492980072
54,77840.86091145834
55,78982.77589400773
56,83740.89305840163
57,84366.91621706838
58,86473.05458470395
59,87414.66193470529
60,88953.94780143806
61,90149.30806587837
62,91421.01204427083
63,92982.17876838235
64,89596.26439144737
65,88594.769375
66,88283.57438858696
67,92489.34416118421
68,90916.36411830357
69,91298.05756578948
70,91335.12621038733
71,89486.59272203948
72,93745.60580842392
73,93183.27783203125
74,93372.4509375
75,81783.921875
76,92660.06747159091
77,91951.9658917683
78,92752.28692036291
79,93477.01526162791
80,94130.51404494382
81,91321.43444293478
82,95431.78028549382
83,93842.34325132979
84,97527.14887152778
85,96443.9129050926
86,96951.53530092593
87,95669.69856770833
88,95374.84830729167
89,91609.16960685483
90,96285.1923828125
91,95991.29087611607
92,101015.46044921875
93,102010.45720108696
94,108591.484375
95,96694.94977678571
96,96565.13802083333
97,96953.93563988095
98,96829.455078125
99,95844.43315972222
100,101670.20027043269
101,95481.34612771739
102,98712.69384765625
103,96501.43428308824
104,95896.12555803571
105,98095.28716216216
106,101640.98625
107,102632.55016447368
108,101817.745703125
109,99000.3125
110,95241.54947916667
111,102117.73404947917
112,103503.85032894737
113,101830.9578125
114,104681.1265625
115,101748.45278532608
116,104647.15625
117,103742.06290409483
118,106153.02024647887
119,104169.81396484375
120,109317.32992788461
121,108663.32329963235
122,112842.15220905172
123,109025.91136853448
124,102860.55559895834
125,104348.3203125
126,107380.82386363637
127,105292.22122713414
128,112594.87294407895
129,107659.9909375
130,109086.25747282608
131,108563.57998511905
132,109556.6455078125
133,102084.25
134,107541.4630962171
135,104695.84375
136,107814.57352941176
137,112058.87983630953
138,110414.25625
139,110887.27769886363
140,111662.05133928571
141,109963.42534722222
142,109734.96484375
143,108290.91084558824
144,107528.654375
145,110239.49743852459
146,103696.37959558824
147,106029.28498641304
148,108984.87416294643
149,108895.92989864865
150,103999.99045138889
151,116784.83059210527
152,110880.578125
153,105993.546875
154,112496.1605342742
155,108024.63950892857
156,112447.30715460527
157,109600.37618371213
158,117413.80691964286
159,114529.45854166667
160,116913.00295813107
161,112567.09682765152
162,117035.6890625
163,112780.53125
164,127388.654296875
165,117291.00887784091
166,115177.37127976191
167,117145.5546875
168,118327.96501358696
169,115316.12082435345
170,114507.7071875
171,115921.05685763889
172,120484.28155637255
173,121073.05366847826
174,120415.11764705883
175,116976.59782608696
176,120193.655625
177,127045.145625
178,119007.05729166667
179,118477.7218137255
180,109539.9650493421
181,111070.24590773809
182,122843.38020833333
183,121453.28605769231
184,117616.73350694444
185,113706.50950168919
186,120236.37239583333
187,119551.37152777778
188,121988.90591032608
189,120361.47104779411
190,112083.2637867647
191,114601.10491071429
192,118775.3111328125
193,126024.90119485294
194,116482.61498397436
195,115869.73350694444
196,127917.291015625
197,124492.01136363637
198,115351.15885416667
199,119975.45863970589
200,119537.66141183036
201,117255.2275390625
202,122495.19357638889
203,128657.2984913793
204,127410.17075892857
205,123376.83203125
206,120105.3271484375
207,117586.6953125
208,119905.71844951923
209,120834.45256696429
210,117572.9319773707
211,122466.39109375
212,131828.5265625
213,126082.68145161291
214,117550.29399671052
215,118352.19456335617
216,123083.81627604166
217,126657.99248798077
218,124517.47088068182
219,122543.8503125
220,115025.84010416667
221,127609.19441105769
222,120090.12296195653
223,123317.8046875
224,122291.50248579546
225,122193.16203703704
226,120752.00035511363
227,122842.031875
228,131172.13742897726
229,165955.59375
230,129481.76603618421
231,127573.22340029762
232,128109.3430889423
233,126879.0796875
234,128507.26996527778
235,136348.19717261905
236,124365.01264880953
237,130484.2265625
238,125202.9171875
239,136178.81674107144
240,128137.79296875
241,125891.3515625
242,124511.06373355263
243,126963.5078125
244,128792.48414522059
245,119515.06392045454
246,128477.40234375
247,126813.98003472222
248,138247.7582236842
249,127524.38939144737
250,129952.87454044117
251,125499.1328125
252,128953.58441310975
253,135095.90009973405
254,125572.36668346774
255,129394.42221467392
256,127960.25149054277
257,125023.72526041667
258,131696.60373263888
259,124583.97699652778
260,132704.2846875
261,140011.0230263158
262,136869.43146306818
263,126428.18828125
264,137520.89978448275
265,144718.294140625
266,133659.0851953125
267,134480.79931640625
268,139667.34226190476
269,136061.8671875
270,139296.23314144736
271,132855.4845703125
272,134435.609375
273,130259.68587239583
274,135112.297265625
275,142648.0284090909
276,138491.97532894736
277,138235.29993206522
278,140446.6625504032
279,148502.05078125
280,135284.3671875
281,144957.16257440476
282,141132.64
283,136336.56199596773
284,147383.1878633721
285,136603.0229388298
286,144733.93394886365
287,145406.9765625
288,143392.46139705883
289,147250.79761904763
290,150665.04900568182
291,146048.6763392857
292,138399.60402960525
293,139420.74497767858
294,142116.92763157896
295,148704.41579861112
296,153699.09122242648
297,140211.59909539475
298,140377.45247395834
299,144688.75452302632
300,150481.63162878787
301,148444.77492559524
302,152427.16847826086
303,154451.52389705883
304,150059.2798549107
305,147152.84412202382
306,150855.80129076086
307,152163.6221590909
308,147292.71231617648
309,155863.45252403847
310,156819.734375
311,154073.23364825582
312,157346.95775462964
313,166317.94206957548
314,162274.683984375
315,158271.48586309524
316,161926.93576388888
317,161234.72581845237
318,186050.296875
319,162720.53569240196
320,158028.4785487288
321,158052.14391447368
322,158097.34890292553
323,159852.46310763888
324,155282.97779605264
325,157285.26953125
326,152100.59776182432
327,155388.72395833334
328,153214.15705818965
329,153378.39794921875
330,146438.14797794117
331,151570.69765625
332,155335.52083333334
333,149420.23356681035
334,141471.11008522726
335,144108.250625
336,136164.56578947368
337,143863.97792119565
338,147992.74712171053
339,135018.42918346773
340,130147.18292025862
341,136468.3325892857
342,121961.15640625
343,107368.628125
344,121953.5825
345,118864.2465625
346,171179.03125
347,103328.62174479167
348,93223.44243421052
349,104047.63145380435
350,94215.1530517578
351,81677.34495192308
352,85058.88862941576
353,81509.67128596231
354,64827.30236235119
355,69703.38828125
356,68593.11764171511
357,59978.428515625
358,62958.62505425347
359,66641.1484375
360,60494.29141773897
361,57106.52265625
362,63778.69048713235
363,58959.14170435855
364,61604.273517219386
