,reward
0,478
1,-553
2,-575
3,-575
4,-575
5,-575
6,-575
7,-575
8,-575
9,-575
10,-575
11,-575
12,-575
13,-575
14,456
15,-581
16,-575
17,-575
18,-627
19,-574
20,-574
21,-574
22,-627
23,-574
24,-574
25,-574
26,-575
27,-574
28,-574
29,-575
30,-574
31,-574
32,-574
33,-574
34,-575
35,-574
36,-603
37,-576
38,-592
39,-587
40,-606
41,-576
42,-592
43,-576
44,-591
45,-576
46,-596
47,-588
48,-583
49,-598
50,-715
51,-638
52,-616
53,-582
54,-631
55,-300
56,-582
57,-300
58,-585
59,-580
60,-595
61,-667
62,-592
63,-662
64,-583
65,-670
66,-590
67,-657
68,-631
69,441
70,-780
71,-577
72,-586
73,-577
74,-588
75,-678
76,-603
77,-578
78,-659
79,-589
80,-632
81,-651
82,-597
83,-577
84,-601
85,-601
86,-645
87,-576
88,-579
89,-582
90,-580
91,-667
92,-577
93,-696
94,-585
95,-300
96,-633
97,-574
98,-576
99,-587
100,-616
101,-590
102,-582
103,-569
104,-597
105,-569
106,-601
107,-571
108,-580
109,-569
110,-653
111,-575
112,-580
113,-586
114,-628
115,-300
116,-683
117,-300
118,-599
119,-586
120,-585
121,-587
122,-577
123,-300
124,-589
125,-583
126,-589
127,-583
128,479
129,-552
130,-597
131,-300
132,-600
133,-581
134,-600
135,-572
136,-577
137,-574
138,-582
139,-574
140,-582
141,-574
142,-576
143,-675
144,-604
145,-657
146,-616
147,-300
148,295
149,228
150,-620
151,-575
152,-586
153,-571
154,-734
155,-300
156,-584
157,-693
158,-578
159,-300
160,-580
161,-667
162,-690
163,-653
164,-584
165,-672
166,-592
167,-579
168,-666
169,-300
170,-590
171,-685
172,-590
173,-577
174,-608
175,-663
176,-594
177,-686
178,-583
179,-689
180,-596
181,-572
182,-576
183,-572
184,-599
185,-574
186,-644
187,-615
188,-572
189,-300
190,-573
191,-300
192,-587
193,-584
194,-569
195,-576
196,-630
197,-300
198,-578
199,-825
200,428
201,-605
202,-587
203,-574
204,-583
205,-574
206,-580
207,-577
208,-657
209,-733
210,-586
211,-300
212,-650
213,-300
214,-821
215,-580
