,reward
0,577.8653147067809
1,-741.6244331562345
2,-930.666473123314
3,-931.8888287662086
4,-1033.534440914871
5,-903.0484214836325
6,-898.7280482459925
7,-646.4743642407872
8,-930.2350616488305
9,-599.1591685132635
10,-756.4935182512995
11,-916.9652969184988
12,-1009.6196595248005
13,-926.4266099870093
14,-900.5249021846598
15,-629.5024949261665
16,-935.1316596090367
17,-626.4129194237148
18,-868.7494449118597
19,-891.609858589726
20,-902.3974966541637
21,-889.7717715744243
22,-887.5785852783715
23,-909.434651430304
24,-606.3263460709745
25,-899.5371452315493
26,-1065.5626655527126
27,-1371.5319556305535
28,-1357.5829875660984
29,571.9892063089807
30,-886.4314876993309
31,-1321.5010896571707
32,-1388.7312933075839
33,-912.849161985537
34,-1299.568867828359
35,-1134.9453101845575
36,-1334.8913631463781
37,-1033.1174966928513
38,-880.8663180085969
39,-1268.307842720033
40,-689.1913614447317
41,-1403.5220241854304
42,-1237.9386538117021
43,-939.2442114637618
44,-1344.1020491143352
45,-1054.1801212431271
46,-2037.9261892976829
47,-1113.7181718420868
48,-908.4506735660508
49,-990.2469509335505
50,-1673.0578049819187
51,-1412.2328569594786
52,579.9212015363165
53,645.778146005932
54,-1134.7231572605042
55,-793.6379893333224
56,-607.1772402243372
57,-1895.069057685707
58,-1041.663975097116
59,-1587.3476711933215
60,-550.1398140001949
61,-966.1309123227117
62,-729.5394892121299
63,-1179.0251020979993
64,-1086.019620116692
65,-1584.6008884711491
66,-1603.098313233208
67,-1295.4771920549906
68,-725.9902003068388
69,-1917.7845157195243
70,-1731.4448092220257
71,-1262.7542914642218
72,-1161.0089668351325
73,-660.5359297253398
74,-1366.9755001239596
75,-989.4413186643966
76,-994.6191569016343
77,-2285.1323544666
78,-886.3566180142225
79,-1300.6795694677935
80,-974.6696574111663
81,-796.9246140437265
82,229.98878045929604
83,-960.1468814264791
84,-1412.4582646803667
85,-694.7927371800237
86,-696.5537275295998
87,-1073.7387168356997
88,-1568.9712458522517
89,-1091.6844567881817
90,-705.8110400677074
91,-2207.029101616098
92,-2796.351148690399
93,-1288.0974669585637
94,-845.0747972964384
95,-1008.727363687483
96,-998.5394839649143
97,-1015.6742744436752
98,-1341.1259825304755
99,-1103.4332932190898
100,-1076.2602152873549
101,-1263.3722249399539
102,-1196.725263436874
103,-952.6965923465825
104,-1366.543538566756
105,-913.9179484747187
106,-1024.417028260365
107,-1300.5651314455604
108,-1060.7161260941875
109,-824.6377510332763
110,-960.3642072265072
111,-1053.5068881259858
112,-910.8246041529891
113,-957.4345409352289
114,-988.5086863197735
115,-1060.643440323546
116,-906.563484043371
117,-687.7672060565061
118,-716.7989192515615
119,-1418.8098297162976
120,-1000.0142442332185
121,-937.0806719922084
122,-592.9125415200551
123,-1351.938982755929
124,-1574.0135326690283
125,-1015.96364098748
126,-1372.177677947493
127,-957.6792234031202
128,-1132.9137674904027
129,-1101.346310711196
130,-1802.3670145413325
131,-554.3130287139328
132,-811.0680758067974
133,-1102.2311166776287
134,-1209.5966169619671
135,-1215.5829938306501
136,-989.3413035525575
137,-1055.9236207615168
138,-1468.0194313804705
139,-686.2644013673068
140,-700.6438453648932
141,-1338.2360629814982
142,-1546.0586338442276
143,-939.9871910257763
144,-1249.4878454858595
145,-853.2717879310092
146,-831.6837746412257
147,-857.834095149505
148,-940.5239460806168
149,-668.6398471755238
150,-1030.4814643210984
151,-872.4873663429062
152,-1961.7555143968016
153,-848.3381797023519
154,-1219.4075150610663
155,-1346.6274049705808
156,-1256.4716749472645
157,-1257.5532507868354
158,-908.8068585765216
159,-803.3895006131314
160,-596.6222622041249
161,-676.2296843770464
162,-2121.5009834278444
163,-1111.5315193130873
164,-1160.3079014168165
165,-1070.888799064345
166,-818.4181253104305
167,-957.7064789634043
168,-581.7729392905168
169,-779.6421344549932
170,-1313.0906780997504
171,-637.7106259395828
172,-1153.3107155426383
173,-1368.7996072861256
174,-669.9577685278232
175,-699.1983033660455
176,-613.5330148495797
177,-845.4633577012567
178,-834.6629457300533
179,-1338.8060165763545
180,-793.3378577551532
181,-613.8285838938392
182,-700.2005845014544
183,-1377.1646912990711
184,-756.8939911089551
185,-1595.2482307868715
186,-956.5704135033284
187,-711.7851817971231
188,-975.3794245750196
189,-1349.6410383857317
190,-629.6042739371859
191,-818.8260380610368
192,-623.0338358229653
193,-1099.845157305005
194,-963.8804216251449
195,-1152.073031792289
196,-923.3093810829148
197,-750.5110378963868
198,-1005.6831123297025
199,-807.2237099518846
200,-1360.9583102728227
201,-1024.1022185175264
202,-1729.3007716692896
203,-1379.8577482879882
204,-735.6812184560865
205,-772.8917303402067
206,-1119.7159230084592
207,-884.9748664626593
208,-635.1824058351566
209,-742.9241181108154
210,-1263.2463203812904
211,-868.3058781802561
212,579.9702523034048
213,-1007.6413777557191
214,-1158.7704648584318
215,-821.5497645607082
216,223.5331719345666
217,-550.0
218,-1163.6491863948913
219,-711.6909194823165
220,-719.8034399557381
221,446.67268785490336
222,-550.0
223,-804.9147114243578
224,-734.4657555622226
225,-835.4187578455959
226,-1010.4780591555019
227,-723.2394582828256
228,-582.0390241807509
229,-1270.4165565151975
230,-820.779379192913
231,-764.0065013243891
232,-851.6458946820787
233,-750.1971635514474
234,-774.7748792608171
235,-659.4826461178342
236,-899.1117531108345
237,-783.4606888126546
238,-1026.038093564709
239,-908.1969828141437
240,-1181.0607429182776
241,-581.7351194804801
242,-858.851443251494
243,-931.92481510228
244,-1003.8783715083466
245,-786.6758769370131
246,-1218.460235168595
247,-1225.5096457041193
248,-1026.6486306900251
249,-968.2341733799183
250,-393.94800781480916
251,-669.6298944321002
252,-957.4199952306545
253,-1036.49068968011
254,-1749.561688732323
255,-1079.4246432925088
256,-1092.450416426492
257,-1676.0032429445935
258,-738.1422910743354
259,-994.0619320375754
260,-1300.05172578139
261,-895.5334342316205
262,-928.7476103541605
263,-895.4054261456236
264,-611.2139658360613
265,-1757.83080756092
266,-991.4354933093173
267,-1079.2204443090827
268,-1098.2481825870962
269,-1111.8402963960807
270,-2310.1854886411147
271,-825.6644903792117
272,-1028.622818911942
273,-1139.380472812816
274,-1734.5646434087014
275,-1252.0000133629615
276,-1659.1689557187894
277,-1274.3251853425134
278,-1792.046922425401
279,-1255.2500695528915
280,-1123.023388628621
281,-1228.000000406707
282,-1120.1947831798234
283,-1105.2621146558663
284,-917.312490554516
285,-1545.7364127453457
286,-1879.609831004779
287,-1363.3060140492305
288,-952.1128701394325
289,-1535.112842555688
290,-1829.122971644764
291,-1240.000545942923
292,-1004.4703900510394
293,-931.1471758378542
294,-1575.0661122587874
295,-1120.0001228360968
296,-1520.8277161147462
297,-1094.000003571292
298,-1820.9305615005796
299,-1076.0001394371945
300,-1407.3662847084443
301,768.0203549472691
302,-1044.3282235390727
303,-1064.001001599466
304,-1792.9328491336744
305,-1284.5744987289002
306,-938.8714762604131
307,-612.9403148141624
308,-1670.8729338606802
309,-1066.002515911544
310,-1415.8223841833988
311,-994.0002770847959
312,-1272.1901931685636
313,-1012.0000352259362
314,-2356.6447945953832
315,-2159.5427643640933
316,-1239.7486796330168
317,-1076.0000033332997
318,-1172.583222664324
319,-954.1822185940975
320,-953.4975721668818
321,-872.0076068028004
322,-1174.1825538953162
323,-1016.0000059570807
324,-1258.0122606415712
325,-886.0001240542579
326,-1761.6262449301655
327,-1032.0000206607276
328,-1121.3074037908889
329,-747.4679074736194
330,-2125.967632449806
331,-1353.3725113611458
332,-848.2744344216824
333,-1485.929252004566
334,-1030.7825412012496
335,-1018.0000210977026
336,-1706.6866825694697
337,-1061.9244362844643
338,-808.2327209091019
339,-1122.0194964288414
340,-1682.6869891022588
341,-1838.3891464211613
342,-782.2600286793083
343,-806.0002243952943
344,-798.9127090102207
345,-1094.965524805199
346,-1331.9870832328118
347,-1080.0125260582047
348,-1462.6598327017232
349,-890.0001285925421
350,-1291.9943327785684
351,-1498.4839981237828
352,-1108.0240380096327
353,-982.0000040238995
354,-2214.8244239408905
355,-1192.0091733886284
356,-1010.0149218718176
357,-1580.0000010179322
358,-1333.526773825783
359,-1104.0000030154526
360,-1175.5777649779945
361,-1192.0000031582538
362,-1220.0197206467963
363,-1040.0005886921592
364,-1184.019283617982
365,-1236.0000589768388
366,-2014.4836914269074
367,-954.0003328092205
368,-1958.2972750908018
369,-1046.0000005012857
370,-1181.4904043982708
371,-1266.0000036067818
372,-1386.0180706586893
373,-1454.000788835485
374,-1032.5690254008096
375,-2722.994730788734
376,-1333.14223074075
377,-1384.0283651941381
378,-1805.6672241463589
379,-1074.7763925448885
380,-2471.4299714398885
381,-2197.7130136972773
382,-1594.7220468423682
383,-1038.0870699108602
384,-1404.4708614448523
385,-1124.000011899163
386,-1251.1537336507172
387,-1527.0002181612194
388,-1713.7582904595643
389,-781.8003425292242
390,-373.21764678772297
391,525.6334400002879
392,-1039.2179979295986
393,-1220.1902659942357
394,-1713.342711064089
395,-1028.0000354603173
396,-1279.1568278479428
397,-1142.0011856072754
398,-154.01645753038497
399,-1404.0543584447648
400,-2002.4120401822956
401,-767.9464169553785
402,-1016.1746213732113
403,-1326.3295959728775
404,-2098.039967745716
405,-1546.0510810121461
406,-1436.0151324378162
407,-935.4124322781931
408,537.9556206197092
409,-1010.880607658007
410,-1256.037103057291
411,-920.6138706048281
412,-549.5898164933888
413,-898.0062806918436
414,-696.7799578712373
415,-1226.0408710149932
416,-1978.772660790111
417,-1098.0001055916605
418,-777.3941642326841
419,-1570.0001403695978
420,-1214.2697236897093
421,-1186.0000054197292
422,-1243.3975240382708
423,-1235.9920556262018
424,-805.3096640043894
425,-1188.0001841331734
426,-1448.0324070223992
427,-1443.5910376610586
428,-1912.6313469343659
429,-1483.7236883286173
430,-1338.017830586179
431,-1812.3519245825971
432,-1157.7032316139082
433,-1209.0593592954685
434,-2387.8308003824905
435,-1410.0018743974695
436,-1245.7090579614962
437,-860.0371773471823
