,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,-3947.911461452268
6,-1392.5479232658774
7,-1215.7585594423356
8,-1573.2243060302735
9,-1538.8469376997514
10,-1003.8022985204061
11,-776.9396555764334
12,-863.7221560056518
13,-533.5265218861898
14,31.92089122772217
15,595.5833327168166
16,1416.0367944484804
17,1947.295102703479
18,2835.6466628011067
19,3341.142155049642
20,3905.0127006022135
21,5255.503038897562
22,6146.53001953125
23,6373.059336751302
24,6782.527705078125
25,6933.871175130208
26,7030.491212565104
27,7201.612449337293
28,7991.2979243351865
29,8493.353875325522
30,8731.49135044643
31,9164.695905761719
32,9455.901230922966
33,10358.773748372396
34,10933.647142928687
35,10901.068623860678
36,11436.161901907859
37,11901.233735351563
38,12909.037750651041
39,13514.564617406542
40,14456.101256510417
41,15230.089153645833
42,16175.764723307291
43,16989.577561848957
44,17691.77409020249
45,18519.165485885907
46,19259.695815003033
47,19221.158899739585
48,19700.2304296875
49,19981.216510416667
50,20076.300615234373
51,20730.750137544015
52,20617.10891415028
53,20817.03776855469
54,20321.601731846098
55,21962.008930909567
56,24846.015442708333
57,26730.92345513238
58,26578.305584016394
59,27068.426315104167
60,27370.516881510415
61,27680.63648623512
62,27423.641119791668
63,27200.108385416668
64,26253.582447916666
65,25535.410074869793
66,24577.76736886161
67,25672.5888671875
68,23901.319065755208
69,22437.486842447917
70,21018.98907877604
71,19070.821232096354
72,18605.037588443396
73,16413.030391808712
74,14273.991428109102
75,12649.6043363444
76,12030.96755259196
77,9388.368937377929
78,6543.394038391113
79,5394.066093037924
80,2612.4873498004417
81,2078.0240285773025
82,2393.1003960986154
83,2044.0991042073567
84,-339.81462068011047
85,1086.7624932491417
86,-2168.9169025675455
87,-1912.0432257080079
88,-4322.001337483724
89,-5786.507902945879
90,-10659.40727182162
91,-7682.05801930147
92,-11431.66453125
93,-16970.321768757054
94,-21953.64997161865
95,-25495.219259847006
96,-29041.601208496093
97,-32725.092548157525
98,-36877.200833333336
99,-42019.41204704122
100,-45601.24204049059
101,-46637.910242780854
102,-56146.858149775755
103,-55447.14669552365
104,-53260.971071176195
105,-55956.25277196091
106,-52491.11758555537
107,-49666.714628380156
108,-51271.55058190582
109,-48554.06973157051
110,-53210.36133463542
111,-55468.0866796875
112,-64503.15143229167
113,-70036.1380436198
114,-74353.11975260417
115,-73005.81721047794
116,-75162.77947443182
117,-83443.86144205728
118,-89284.0517641129
119,-95767.73828125
120,-101489.93626302083
121,-110697.79970217541
122,-113300.66385416666
123,-122340.7895703125
124,-116785.36438301283
125,-132436.38579963235
126,-123787.00305397727
127,-127135.41041666667
128,-128298.9473828125
129,-140835.11990870786
130,-143164.74044270834
131,-148987.13406450322
132,-157589.73973958334
133,-171162.02526041667
134,-184895.9321322279
135,-186307.56783536586
136,-196951.89606277534
137,-205928.11666666667
138,-212780.365546875
139,-231977.79822916666
140,-239534.06390625
141,-234593.72390625
142,-237091.3096875
143,-246190.11622395832
144,-259982.17708333334
145,-270477.25671875
146,-275316.05041666667
147,-284597.89797453705
148,-286837.87658005615
149,-287742.63776041666
150,-320001.7888541667
151,-318889.07869791664
152,-336234.4984895833
153,-338860.343125
154,-324984.865625
155,-327291.690829918
156,-324245.62354166666
157,-348994.0701041667
158,-335736.3667708333
159,-327234.65427083336
160,-344401.3519021739
161,-361763.0691964286
162,-361352.99385416665
163,-367061.22074142157
164,-358829.46734375
165,-309945.0707720588
166,-354531.27697916667
167,-377115.5460668103
168,-367858.48314144736
169,-390763.93
170,-400457.5467708333
171,-398758.85405759164
172,-415110.7580321285
173,-417580.2932537554
174,-424322.04115853657
175,-404722.9630681818
176,-413714.6536144578
177,-391617.33078125
178,-388610.02708333335
179,-397142.9296875
180,-403330.4854388298
181,-406325.9117708333
182,-390886.09160305344
183,-400954.8843450957
184,-396737.6961633663
185,-367944.2254947917
186,-368659.2114840535
187,-344943.31700520834
188,-350186.9712818287
189,-336624.455
190,-350532.8400821596
191,-351511.00744791667
192,-350546.7917334402
193,-368191.45619791665
194,-400086.71921875
195,-395078.27098958334
196,-382017.92075520835
197,-416104.43286458333
198,-433180.70169270836
199,-445955.6167708333
200,-465372.98885416664
201,-466811.2967447917
202,-518163.10302083334
203,-537999.6143229167
204,-691791.4415104167
205,-726124.2344270833
206,-710296.9107291667
207,-736371.5754915731
208,-758956.23921875
209,-764577.5209588354
210,-792283.4611378205
211,-678126.7123958333
212,-632857.3120833334
213,-648385.886484375
214,-647117.1817708333
215,-665166.025122549
216,-687075.0392708334
217,-698484.3330208333
218,-744969.1234375
219,-753399.2680208334
220,-734589.3313020833
221,-976930.2198464912
222,-966457.59125
223,-962100.1615794573
224,-931673.57375
225,-955625.4971875
226,-955173.495
227,-814954.0498958334
228,-682523.7083946079
229,-672278.8865104166
230,-660381.4283588436
231,-668525.603046875
232,-662983.4615036232
233,-664839.3665104166
234,-707740.1529166667
235,-693466.3541666666
236,-660895.9885670731
237,-595389.4166666666
238,-643757.8374505929
239,-572574.39
240,-545223.4129947916
241,-501506.552890625
242,-472191.9597395833
243,-420107.9903125
244,-369565.8979361979
245,-325946.23296875
246,-320855.7309939601
247,-292107.67580729164
248,-293723.7575
249,-261413.56415119264
250,-243190.3240983073
251,-218021.0050663276
252,-177052.75414713542
253,-164718.143663737
254,-141164.3397841476
255,-125189.31115944602
256,-51023.40645833333
257,-21445.88035294203
258,-5569.021376053221
259,2274.565320537038
260,21320.324876302082
261,33272.37550951087
262,37684.861324055986
263,42828.3074609375
264,44239.455518265844
265,59400.86953932948
266,76156.87041503907
267,76573.38153219063
268,88986.86682291667
269,89290.471484375
270,88220.67572916667
271,91585.45765752377
272,85825.30748697916
273,82370.1689214939
274,81676.00231770833
275,79119.35619791667
276,76239.025234375
277,73244.50904947917
278,77548.26624177632
279,76953.49769176137
280,73547.54350260417
281,72159.20203125
282,73942.54220448369
283,71298.73451171875
284,69784.23264973958
285,65646.06593651108
286,64201.03574544271
287,63303.08150158898
288,63205.8633556366
289,64501.2669124349
290,65806.98806751179
291,56105.419716796874
292,55603.28524251302
293,53206.031686976334
294,50213.45186930338
295,47471.722649989984
296,52578.35376420455
297,45467.655629882815
298,47439.5829305013
299,47853.15690033092
300,47795.71667159231
301,48050.51023763021
302,45527.17538289388
303,41812.25267333984
304,35064.07348127694
305,34859.029444986976
306,28836.14617675781
307,25078.791502685548
308,21587.495622558592
309,23508.37734008188
310,21839.315684000652
311,17538.02988725142
312,18638.636197916665
313,8650.798110499527
314,9327.384783658114
315,10588.994170328777
316,8607.177124430338
317,6767.530051676432
318,2066.3199418768827
319,-4036.898070068359
320,-9149.431967773438
321,-15925.466448567708
322,-20628.273744164442
323,-21923.943245375453
324,-26435.943436259065
325,-34445.74656494141
326,-40080.66223917643
327,-44869.576967366535
328,-50675.458428922786
