,reward
0,476.0
1,-636.0
2,-663.0
3,-661.0
4,-661.0
5,-655.0
6,-608.0
7,-673.0
8,-300.0
9,-747.0
10,-300.0
11,-577.0
12,-696.0
13,-300.0
14,-300.0
15,-648.0
16,-754.0
17,-807.0
18,-300.0
19,-300.0
20,-300.0
21,-848.0
22,-300.0
23,-300.0
24,-300.0
25,-300.0
26,-300.0
27,-722.0
28,-653.0
29,-300.0
30,-640.0
31,-300.0
32,-764.0
33,-300.0
34,306.0
35,-573.0
36,-782.0
37,-300.0
38,-300.0
39,-656.0
40,-300.0
41,-300.0
42,-300.0
43,-300.0
44,-745.0
45,-761.0
46,-652.0
47,-300.0
48,-300.0
49,-300.0
50,-300.0
51,430.0
52,-638.0
53,-709.0
54,-722.0
55,-728.0
56,-300.0
57,-837.0
58,-732.0
59,-300.0
60,-300.0
61,-591.0
62,-300.0
63,-300.0
64,-300.0
65,-300.0
66,-759.0
67,-573.0
68,-300.0
69,-300.0
70,-300.0
71,-300.0
72,-655.0
73,-648.0
74,-721.0
75,-300.0
76,-300.0
77,-300.0
78,-669.0
79,-300.0
80,-618.0
81,-587.0
82,-830.0
83,-300.0
84,-706.0
85,-681.0
86,-300.0
87,-300.0
88,-300.0
89,-742.0
90,-785.0
91,-566.0
92,-300.0
93,-812.0
94,-300.0
95,-300.0
96,-300.0
97,-782.0
98,-300.0
99,-831.0
100,-642.0
101,-628.0
102,-765.0
103,-623.0
104,-748.0
105,-840.0
106,-733.0
107,-846.0
108,-767.0
109,-744.0
110,-300.0
111,-300.0
112,-300.0
113,-300.0
114,-300.0
115,-651.0
116,-571.0
117,-300.0
118,-704.0
119,-657.0
120,-300.0
121,-730.0
122,-300.0
123,-699.0
124,-588.0
125,-736.0
126,-714.0
127,-300.0
128,-300.0
129,-727.0
130,-300.0
131,-783.0
132,-300.0
133,-300.0
134,-696.0
135,-631.0
136,-776.0
137,-300.0
138,-300.0
139,-300.0
140,-300.0
141,-300.0
142,-300.0
143,-300.0
144,-300.0
145,-300.0
146,-300.0
147,-819.0
148,-638.0
149,-300.0
150,-300.0
151,-300.0
152,-300.0
153,-300.0
154,-300.0
155,-671.0
156,-300.0
157,-300.0
158,-300.0
159,-300.0
160,-733.0
161,-570.0
162,-300.0
163,-753.0
164,-300.0
165,-566.0
166,-300.0
167,-839.0
168,-701.0
169,-300.0
170,-300.0
171,-740.0
172,-798.0
173,268.0
174,-590.0
175,-593.0
176,-798.0
177,-300.0
178,-300.0
179,-842.0
180,-784.0
181,-300.0
182,370.0
183,-758.0
184,-751.0
185,-300.0
186,-792.0
187,-300.0
188,-765.0
189,-300.0
190,-762.0
191,-300.0
192,-783.0
193,-300.0
194,-300.0
195,-300.0
196,-300.0
197,-300.0
198,-300.0
199,-300.0
200,-300.0
201,-300.0
202,-300.0
203,-300.0
204,-300.0
205,-300.0
206,-300.0
207,-638.0
208,-300.0
209,-798.0
210,-783.0
211,-300.0
212,-300.0
213,-300.0
214,-654.0
215,-600.0
216,-300.0
217,-300.0
218,-300.0
219,-300.0
220,-300.0
221,-777.0
222,-300.0
223,-678.0
224,-300.0
225,-300.0
226,-574.0
227,-300.0
228,-804.0
229,-300.0
230,-696.0
231,-300.0
232,-618.0
233,-300.0
234,-300.0
235,-300.0
236,-590.0
237,-570.0
238,-802.0
239,-300.0
240,-300.0
241,-300.0
242,-300.0
243,-300.0
244,-300.0
245,-300.0
246,-787.0
247,-300.0
248,-300.0
249,-756.0
250,-300.0
251,-847.0
252,-300.0
253,-300.0
254,-762.0
255,-769.0
256,-300.0
257,-818.0
258,-842.0
259,-823.0
260,-300.0
261,-572.0
262,-300.0
263,-300.0
264,-833.0
265,-827.0
266,-300.0
267,-848.0
268,-300.0
269,-300.0
270,-300.0
271,-733.0
272,-300.0
273,-836.0
274,-300.0
275,-300.0
276,-300.0
277,-300.0
278,-568.0
279,-681.0
280,-300.0
281,-300.0
282,-641.0
283,-300.0
284,-300.0
285,-707.0
286,-300.0
287,-844.0
288,-805.0
289,-300.0
290,-814.0
291,-300.0
292,-300.0
293,-825.0
294,-300.0
295,-705.0
296,-604.0
297,-300.0
298,-300.0
299,-778.0
300,-701.0
301,-300.0
302,-300.0
303,-300.0
304,-694.0
305,-300.0
306,-300.0
307,-300.0
308,-300.0
309,-752.0
310,-300.0
311,336.0
312,-300.0
313,-780.0
314,-725.0
315,-300.0
316,-300.0
317,-300.0
318,-632.0
319,-300.0
320,-300.0
321,-300.0
322,-672.0
323,-791.0
324,-730.0
325,-300.0
326,-300.0
327,-789.0
328,-738.0
329,-300.0
330,-738.0
331,-300.0
332,-627.0
333,-820.0
334,-300.0
335,-300.0
336,-300.0
337,-300.0
338,-300.0
339,-300.0
340,-300.0
341,-300.0
342,-300.0
343,-300.0
344,-300.0
345,-300.0
346,-300.0
347,-812.0
348,-300.0
349,-300.0
350,-300.0
351,-300.0
352,-735.0
353,-672.0
354,-655.0
355,-789.0
356,-300.0
357,-300.0
358,-300.0
359,-300.0
360,-569.0
361,-300.0
362,-781.0
363,-300.0
364,-300.0
365,345.0
366,-300.0
367,-300.0
368,421.0
369,-300.0
370,-300.0
371,-300.0
372,-300.0
373,-300.0
374,-300.0
375,-755.0
376,-300.0
377,-300.0
378,-657.0
379,-300.0
380,-773.0
381,-647.0
382,-300.0
383,-788.0
384,-300.0
385,-300.0
386,-644.0
387,-659.0
388,-300.0
389,-300.0
390,-300.0
391,-300.0
392,-835.0
393,-673.0
394,-300.0
395,-300.0
396,-659.0
397,-300.0
398,-300.0
399,352.0
400,-300.0
401,-805.0
402,-300.0
403,-300.0
404,381.0
405,-300.0
406,-300.0
407,-300.0
408,-300.0
409,-300.0
410,-764.0
411,-621.0
412,-755.0
413,-300.0
414,-300.0
415,-300.0
416,-747.0
417,-660.0
418,-300.0
419,-300.0
420,-671.0
421,-698.0
422,-841.0
423,-300.0
424,-300.0
425,-300.0
426,-650.0
427,-300.0
428,-300.0
429,-300.0
430,-300.0
431,-300.0
432,-300.0
433,-300.0
434,-300.0
435,-300.0
436,-838.0
437,-730.0
438,-300.0
439,-655.0
440,393.0
441,-560.0
442,-300.0
443,-300.0
444,-300.0
445,-788.0
446,-300.0
447,-300.0
448,-685.0
449,470.0
450,-763.0
451,-300.0
452,-300.0
453,-707.0
454,-300.0
455,-708.0
456,-300.0
457,-833.0
458,-300.0
459,-300.0
460,-300.0
461,-300.0
462,-794.0
463,422.0
464,-300.0
465,-715.0
466,-300.0
467,-747.0
468,-720.0
469,401.0
470,-597.0
471,-300.0
472,-300.0
473,-300.0
474,-663.0
475,-300.0
476,-300.0
477,-727.0
478,-712.0
479,-300.0
480,-588.0
481,-300.0
482,-777.0
483,-300.0
484,-300.0
485,-300.0
486,-744.0
487,-300.0
488,-830.0
489,-723.0
490,-300.0
491,-300.0
492,-608.0
493,-691.0
494,-300.0
495,-300.0
496,-598.0
497,-300.0
498,-300.0
499,-300.0
500,-300.0
501,-300.0
502,-300.0
503,-300.0
504,-300.0
505,-692.0
506,-695.0
507,-734.0
508,-300.0
509,-590.0
510,-300.0
511,-300.0
512,-300.0
513,-300.0
514,-300.0
515,-300.0
516,-794.0
517,-300.0
518,-648.0
519,-300.0
520,-300.0
521,-300.0
522,-300.0
523,-698.0
524,-300.0
525,-300.0
526,-830.0
527,-780.0
528,-300.0
529,-747.0
530,-300.0
531,-300.0
532,-706.0
533,-768.0
534,-300.0
535,-636.0
536,-300.0
537,-776.0
538,-728.0
539,-795.0
540,-300.0
541,-814.0
542,-790.0
543,-300.0
544,-672.0
545,-602.0
546,-300.0
547,-300.0
548,-736.0
549,-698.0
550,-300.0
551,-300.0
552,-662.0
553,-300.0
554,-736.0
555,-802.0
556,-300.0
557,-300.0
558,-741.0
559,-612.0
560,-300.0
561,-752.0
562,-300.0
563,-300.0
564,-300.0
565,-300.0
566,-300.0
567,-300.0
568,-631.0
569,-846.0
570,-300.0
571,-672.0
572,-300.0
573,-834.0
574,-818.0
575,-745.0
576,-784.0
577,-300.0
578,-772.0
579,-300.0
580,-810.0
581,-300.0
582,-300.0
583,-700.0
584,-300.0
585,-716.0
586,-300.0
587,-300.0
588,-300.0
589,-300.0
590,-583.0
591,-726.0
592,-586.0
593,-740.0
594,-663.0
595,-300.0
596,-300.0
597,-300.0
598,-300.0
599,-300.0
600,-300.0
601,-300.0
602,-657.0
603,-300.0
604,-300.0
605,-664.0
606,-737.0
607,-679.0
608,-300.0
609,-749.0
610,-595.0
611,-300.0
612,-300.0
613,-300.0
614,-809.0
615,-658.0
616,-300.0
617,-672.0
618,-300.0
619,-730.0
620,-746.0
621,-300.0
622,-300.0
623,-846.0
624,-300.0
625,-300.0
626,-300.0
627,-300.0
628,-300.0
629,-778.0
630,-300.0
631,-300.0
632,-300.0
633,-759.0
634,-300.0
635,-750.0
636,-732.0
637,-300.0
638,-300.0
639,-840.0
640,-672.0
641,-829.0
642,-300.0
643,-300.0
644,-300.0
645,-300.0
646,-300.0
647,-300.0
648,-826.0
649,-627.0
650,-741.0
651,-300.0
652,-300.0
653,-300.0
654,-300.0
655,-687.0
656,-300.0
657,-300.0
658,-300.0
659,-300.0
660,-300.0
661,-783.0
662,-300.0
663,-713.0
664,-660.0
665,-300.0
666,-661.0
667,-300.0
668,-300.0
669,-684.0
670,-300.0
671,-300.0
672,-300.0
673,-300.0
674,-766.0
675,-745.0
676,-649.0
677,-798.0
678,-734.0
679,-300.0
680,-300.0
681,-300.0
682,-819.0
683,-300.0
684,-300.0
685,-300.0
686,-300.0
687,-300.0
688,-773.0
689,-810.0
690,-300.0
691,-632.0
692,-300.0
693,-300.0
694,-604.0
695,-849.0
696,-300.0
697,-784.0
698,-735.0
699,-769.0
700,-300.0
701,-300.0
702,-732.0
703,-699.0
704,-774.0
705,-300.0
706,-300.0
707,-728.0
708,-300.0
709,-669.0
710,-300.0
711,-300.0
712,-798.0
713,-841.0
714,-300.0
715,-300.0
716,-828.0
717,-783.0
718,-300.0
719,-768.0
720,-300.0
721,-300.0
722,-300.0
723,-300.0
724,-653.0
725,-683.0
726,-300.0
727,-300.0
728,-699.0
729,-300.0
730,-670.0
731,-300.0
732,-300.0
733,-720.0
734,-300.0
