,reward
0,582.0
1,-590.0
2,-680.0
3,-814.0
4,-722.0
5,-836.0
6,-552.0
7,-1518.0
8,-484.0
9,-798.0
10,-782.0
11,-488.0
12,-782.0
13,582.0
14,-590.0
15,714.0
16,-990.0
17,-572.0
18,-468.00000000000006
19,-804.0
20,-782.0
21,-902.0000000000001
22,-672.0000000000003
23,-836.0
24,-724.0000000000001
25,-896.0000000000002
26,-552.0000000000005
27,-642.0000000000005
28,-538.0000000000006
29,-1154.0000000000005
30,-530.0000000000006
31,-586.0000000000007
32,-572.0000000000005
33,-598.0000000000002
34,-634.0000000000005
35,-598.0000000000001
36,-580.0000000000007
37,-896.0
38,-1174.000000000001
39,-566.0000000000005
40,-596.0000000000005
41,-626.0000000000005
42,-908.0000000000003
43,-522.0000000000003
44,-560.0000000000008
45,-668.0000000000001
46,-622.0000000000005
47,-918.0000000000002
48,-638.0000000000002
49,-542.0000000000002
50,-494.00000000000045
51,-624.0000000000005
52,-862.0000000000001
53,-1202.0000000000005
54,-930.0000000000002
55,-784.0000000000002
56,-1016.0000000000003
57,-672.0000000000005
58,-616.0000000000002
59,-966.0000000000003
60,-518.0000000000006
61,-592.0000000000005
62,-624.0000000000005
63,-670.0000000000005
64,-672.0000000000005
65,-1002.0000000000001
66,-620.0000000000005
67,-624.0000000000005
68,-640.0000000000006
69,-586.0000000000005
70,-1114.0000000000005
71,-638.0000000000003
72,-714.0000000000003
73,-614.0000000000002
74,-1026.0000000000002
75,-784.0
76,-896.0000000000002
77,-876.0000000000002
78,-600.0000000000007
79,-506.00000000000034
80,-816.0000000000001
81,-700.0000000000005
82,-568.0
83,-1066.0000000000005
84,-1080.0000000000005
85,-662.0000000000005
86,-722.0000000000001
87,-684.0000000000001
88,-586.0000000000001
89,-582.0000000000002
90,-570.0000000000003
91,-544.0000000000007
92,-646.0000000000005
93,-1168.0000000000005
94,-740.0000000000005
95,-600.0000000000007
96,-1162.0000000000005
97,-598.0000000000002
98,-618.0000000000005
99,-500.0000000000002
100,-518.0000000000002
101,-964.0000000000002
102,-614.0000000000005
103,-1234.0000000000005
104,-578.0000000000005
105,-762.0000000000005
106,-520.0000000000007
107,-692.0
108,-596.0000000000005
109,-1142.0000000000002
110,-580.0000000000005
111,-816.0000000000001
112,-608.0000000000007
113,-502.0000000000001
114,-666.0000000000007
115,-684.0000000000001
116,-546.0000000000005
117,-548.0000000000005
118,-592.0000000000002
119,-618.0000000000005
120,-652.0000000000002
121,-560.0000000000005
122,-712.0000000000002
123,-948.0000000000005
124,-1064.0
125,-564.0000000000002
126,-948.0000000000005
127,-602.0000000000005
128,-1020.0000000000005
129,-1020.0000000000006
130,-570.0000000000005
131,-608.0000000000005
132,-802.0000000000001
133,-646.0000000000002
134,-678.0000000000005
135,-666.0
136,-1216.0000000000005
137,-600.0000000000002
138,-610.0000000000005
139,-478.00000000000074
140,-1018.0000000000002
141,-904.0000000000002
142,-558.0000000000002
143,-922.0000000000005
144,-676.0
145,-1074.0000000000005
146,-574.0000000000001
147,-1008.0000000000005
148,-598.0000000000005
149,-966.0000000000002
150,-968.0000000000002
151,-728.0
152,-544.0000000000005
153,-620.0000000000005
154,-650.0000000000005
155,-632.0000000000006
156,-628.0000000000005
157,-958.0000000000005
158,-556.0000000000002
159,-602.0000000000005
160,-936.0000000000002
161,-1062.0
162,-698.0000000000006
163,-984.0000000000005
164,-636.0000000000002
165,-958.0000000000002
166,-516.0000000000007
167,-880.0
168,-566.0000000000005
169,-648.0000000000002
170,-926.0000000000002
171,-1172.0
172,-594.0
173,-706.0000000000008
174,-1152.0000000000002
175,-706.0000000000001
176,-610.0000000000005
177,-568.0000000000002
178,-602.0000000000001
179,-622.0000000000002
180,-776.0000000000002
181,-910.0000000000001
182,-1102.0000000000002
183,-604.0000000000001
184,-516.0000000000003
185,-936.0000000000002
186,-606.0000000000005
187,-636.0
188,-890.0000000000002
189,-628.0000000000005
190,-1052.0000000000002
191,-536.0000000000005
192,-622.0000000000002
193,-960.0000000000002
194,-672.0000000000003
195,-628.0000000000002
196,-996.0000000000002
197,-798.0
198,-1182.0000000000005
199,-512.0000000000001
200,-590.0000000000005
201,-656.0000000000005
202,-602.0000000000002
203,-1014.0000000000002
204,-614.0000000000005
205,-570.0000000000005
206,-712.0000000000005
207,-1196.0000000000002
208,370.0
209,-760.0000000000005
210,-666.0000000000002
211,-612.0000000000002
212,-1194.0
213,-668.0
214,-508.00000000000045
215,-652.0000000000005
216,-562.0000000000003
217,-558.0
218,-876.0000000000003
219,-650.0000000000002
220,-958.0000000000003
221,-1124.0000000000005
222,-586.0000000000005
223,-528.0000000000001
224,-762.0000000000005
225,-922.0000000000002
226,-548.0000000000001
227,-794.0
228,-612.0000000000005
229,-642.0000000000005
230,-606.0000000000002
231,-634.0000000000005
232,-654.0000000000001
233,-562.0000000000002
234,-514.0000000000002
235,-896.0000000000002
236,-638.0000000000001
237,-616.0000000000007
238,-774.0000000000005
239,-992.0000000000003
240,-638.0000000000007
241,-768.0000000000001
242,-700.0000000000001
243,-622.0000000000002
244,-606.0000000000002
245,-606.0000000000005
246,-590.0000000000002
247,-980.0000000000002
248,-960.0000000000002
249,-964.0000000000002
250,-640.0000000000002
251,-1050.0000000000005
252,-1072.0000000000005
253,-642.0000000000002
254,-526.0
255,-566.0
256,-614.0000000000005
257,-582.0000000000005
258,-682.0000000000005
259,-660.0000000000001
260,-646.0000000000007
261,-1320.0
262,-596.0000000000005
263,-666.0000000000005
264,-610.0000000000001
265,-1170.0000000000002
266,-986.0000000000005
267,-618.0000000000005
268,-1152.0000000000005
269,-556.0000000000005
270,-566.0000000000001
271,-610.0000000000002
272,-658.0000000000005
273,-1.1368683772161603e-13
274,-626.0
275,-714.0000000000006
276,-574.0000000000002
277,-570.0000000000001
278,-606.0000000000005
279,-1166.0000000000005
280,-586.0000000000002
281,-698.0000000000005
282,-996.0000000000002
283,-1114.0000000000005
284,-980.0000000000002
285,-630.0000000000005
286,-760.0
287,-464.00000000000006
288,-1092.0000000000005
289,-708.0000000000003
290,-668.0
291,-1010.0000000000001
292,-912.0000000000002
293,-546.0000000000002
294,-668.0000000000005
295,-694.0
296,-846.0000000000002
297,-578.0000000000005
298,-634.0000000000005
299,-622.0000000000007
300,-954.0000000000005
301,-654.0000000000005
302,-616.0
303,-864.0000000000002
304,-686.0000000000005
305,-702.0000000000003
306,-546.0000000000007
307,-602.0000000000005
308,-550.0000000000005
309,-980.0000000000003
310,-1188.0000000000002
311,-582.0000000000005
312,-1008.0000000000005
313,-1036.0000000000005
314,-490.0000000000002
315,-1208.0000000000005
316,-616.0000000000007
317,-654.0000000000005
318,-840.0000000000002
319,-792.0
320,-950.0000000000002
321,-744.0000000000002
322,-512.0000000000006
323,-616.0000000000002
324,-600.0000000000001
325,-572.0000000000005
326,-584.0000000000003
327,-734.0000000000002
328,-700.0000000000001
329,-632.0000000000005
330,-518.0000000000005
331,-650.0000000000005
332,-1028.0000000000005
