,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,665.399146404463
23,2400.978511098226
24,-12183.778194986979
25,-3328.3753042996786
26,-6119.929552408854
27,-7626.398680013021
28,-7539.773587239583
29,-7390.439779459635
30,-5653.593220214843
31,-3024.37440612793
32,100.59373926798503
33,2271.4447050562444
34,3801.390365526514
35,5098.250019734701
36,6933.868091264205
37,9061.170471191406
38,10602.089738769531
39,11752.722992204193
40,13253.126069335938
41,14159.924239908854
42,15559.442258284396
43,15586.130777994791
44,17319.400356445312
45,18623.396861979167
46,20289.93190467409
47,21948.084879557293
48,23875.565999348957
49,24577.2548828125
50,25843.402750651043
51,27205.993207055817
52,28505.069856770835
53,30263.292303555252
54,32390.596153846152
55,33546.702057291666
56,34964.771172195185
57,37310.27425655242
58,38440.22677083333
59,40139.126100260415
60,40687.21285807292
61,41482.052266160106
62,41876.71359375
63,42300.61318359375
64,42743.00251302083
65,44523.38556640625
66,45076.45214192708
67,45320.874674479164
68,46289.65837239583
69,46319.83350260417
70,46618.96391574586
71,47300.510625
72,47815.922265625
73,44850.05128613945
74,39161.908841197706
75,36559.54807428728
76,31855.944638671874
77,33857.02287760417
78,35667.61343544408
79,36963.13828776042
80,37322.027180989586
81,37188.759850260416
82,36878.794557291665
83,35818.52305989584
84,35004.42814379295
85,33446.3918359375
86,33487.91201171875
87,32065.939635416667
88,29571.979593098957
89,29741.67224609375
90,26631.017509765625
91,25166.161869517542
92,22968.068805338542
93,21753.842302876135
94,22898.020948786223
95,22487.612752278645
96,21162.23585530599
97,20548.611070165094
98,19988.551763712567
99,17153.523505859375
100,15828.286576517512
101,16278.985147705078
102,15793.659506022135
103,14885.495477701823
104,12734.270122070313
105,10902.777271525065
106,10135.452213541666
107,10019.174887756095
108,10151.80883544922
109,9320.305465494792
110,8402.536522216797
111,6084.702777913411
112,2889.529118290654
113,2387.9618946150235
114,-460.62244608561195
115,1368.022225748698
116,-1434.6895365195699
117,-3059.7146268717447
118,-804.569917195638
119,455.76056599934896
120,627.3820591756743
121,383.72480021158856
122,2629.7954399956598
123,1064.520017052665
124,127.52333475748698
125,-1374.073002726237
126,-4510.736394348144
127,-873.0776737467448
128,-2832.081203527618
129,-1802.1136415608723
130,-2815.5399690755207
131,-4535.838756930443
132,-6504.6881626383465
133,-9500.376711832681
134,-16627.513329671223
135,-16286.308431396485
136,-17386.09679869072
137,-20466.435856188757
138,-19460.73553222656
139,-18833.240576578777
140,-15130.402793375652
141,-17591.108806966145
142,-18393.80228734676
143,-12542.469251130757
144,-19307.1202259679
145,-18520.539472859702
146,-16094.402787239322
147,-18020.700286865234
148,-14397.335327148438
149,-11636.126188151042
150,-7587.242980143229
151,-2906.364097900391
152,1518.4559513346355
153,4169.871283115484
154,456.34177368164063
155,-5650.171492293074
156,-5387.488073149181
157,-12545.038655144828
158,-15460.835776621207
159,-9799.452645845502
160,-7623.65498453776
161,-10777.929905580671
162,-11001.167435709636
163,-10756.455857747396
164,-13311.307633428614
165,-11536.99062906901
166,-15679.025231933594
167,-27333.94891845703
168,-26836.20444661458
169,-26147.314017288772
170,-30361.40284672868
171,-34675.65460876465
172,-33372.21507324219
173,-37725.25989583333
174,-37784.62844482422
175,-33287.23531982422
176,-29526.42847833108
177,-29635.577810465496
178,-36063.138091634115
179,-29529.57395345052
180,-41550.307469889325
181,-39415.94401487586
182,-42273.66671160798
183,-52946.644854329425
184,-50609.38833705357
185,-59911.71833902995
186,-59158.45417236328
187,-48371.115743001305
188,-52548.88350341797
189,-60112.49869547526
190,-64807.614618716034
191,-71344.33867153473
192,-73567.20934159128
193,-71244.66166503906
194,-65065.22159749349
195,-57799.66779891304
196,-50464.58580078125
197,-37912.69232633221
198,-35666.599494748
199,-47853.24977539063
200,-44912.62775553385
201,-46943.53383626302
202,-50769.279548577506
203,-54561.04556803386
204,-63722.823604329424
205,-70285.94509277344
206,-95182.33810709635
207,-92389.52895019531
208,-91777.22347905586
209,-96658.77444426547
210,-95877.81780232747
211,-100576.48823242188
212,-112388.38561848958
213,-116172.77463541667
214,-121755.47354166667
215,-133491.24481770833
216,-127754.07172594573
217,-132954.71260416668
218,-145165.9634765625
219,-155943.83803385418
220,-166767.65819010418
221,-174594.1844921875
222,-203255.6970964567
223,-214817.43329427083
224,-226561.2759375
225,-232578.99859375
226,-233001.01703125
227,-240348.80966145833
228,-251699.57239583333
229,-256788.60533854167
230,-257200.65864583335
231,-271500.8588598901
232,-256617.962734375
233,-265395.39455729164
234,-279882.54864583333
235,-278902.9311810662
236,-301297.83315104165
237,-288493.058359375
238,-281202.101328125
239,-292674.741484375
240,-309053.0338541667
241,-348599.28146904206
242,-330108.96546875
243,-358470.4945833333
244,-363097.58921875
245,-354102.48997395835
246,-371606.1907487624
247,-369459.29661458335
248,-379238.0091145833
249,-387151.9188541667
250,-396184.46054025425
251,-409666.3315496575
252,-422287.40577471483
253,-439862.0118001302
254,-421165.66408898303
255,-383625.47197420633
256,-396950.43445616885
257,-402390.49541541917
258,-417951.22055785125
259,-445622.7475
260,-458584.3675199468
261,-478208.6024128401
262,-485714.5945971386
263,-466168.9880729167
264,-453001.12114583334
265,-544564.1663074712
266,-557997.366875
267,-563810.43609375
268,-586216.2451041667
269,-591956.3833854167
270,-624178.9364583333
271,-622483.8858333334
272,-690101.9537337662
273,-694734.4277083334
274,-693914.7584375
275,-719196.1375
276,-753208.9830208333
277,-756315.5975215518
278,-791548.265
279,-847737.1045833334
280,-810296.8108333333
281,-869201.8888541666
282,-880709.2117708334
283,-907715.7136780105
284,-914065.6845833333
285,-919891.2176041667
286,-946150.5761458334
287,-983619.4723958333
288,-1018041.5154166666
289,-1068593.198125
290,-1086867.4666022337
291,-1120421.9272119342
292,-1148116.1717708334
293,-1146325.849375
294,-1168904.9057692308
295,-1170460.901875
296,-1235796.9964583332
297,-1232884.5410416666
298,-1257125.5958333334
299,-1382910.3115808824
300,-1457253.9988839286
301,-1412786.293218085
302,-1461913.0745833332
303,-1476603.015858209
304,-1504546.4722593583
305,-1553062.2272916667
306,-1609640.4760416667
307,-1539156.555625
308,-1563459.3145833334
309,-1507808.4089583333
310,-1532036.8991477273
311,-1528598.3927083334
312,-1551903.7963957055
313,-1558539.3375796177
314,-1542100.0125
315,-1544023.6339583334
316,-1503137.641194332
317,-1457073.5510416667
318,-1468853.3589583333
319,-1501574.4233398438
320,-1483033.829375
321,-1449706.2333559783
322,-1355800.418125
323,-1353423.8834325396
324,-1379229.3355582524
325,-1344614.8729166666
326,-1200453.219216418
327,-1228549.149955036
328,-1253880.6901041667
329,-1280712.738441781
