,reward
0,478.0
1,-648.0
2,-670.0
3,-578.0
4,-579.0
5,-578.0
6,-578.0
7,-578.0
8,-587.0
9,-670.0
10,-579.0
11,-580.0
12,-578.0
13,-578.0
14,-578.0
15,-725.0
16,-300.0
17,-678.0
18,-615.0
19,-760.0
20,-766.0
21,-300.0
22,-300.0
23,-300.0
24,-300.0
25,-697.0
26,-300.0
27,-300.0
28,-730.0
29,326.0
30,-653.0
31,-300.0
32,-745.0
33,-300.0
34,-799.0
35,-622.0
36,-713.0
37,-715.0
38,-300.0
39,-300.0
40,-682.0
41,-300.0
42,-720.0
43,-573.0
44,-666.0
45,-300.0
46,-300.0
47,-300.0
48,-617.0
49,-569.0
50,-700.0
51,-731.0
52,-794.0
53,-300.0
54,-300.0
55,-730.0
56,-648.0
57,-300.0
58,-666.0
59,-300.0
60,-718.0
61,-662.0
62,-300.0
63,-300.0
64,-300.0
65,-300.0
66,-300.0
67,-300.0
68,-300.0
69,-825.0
70,-652.0
71,-737.0
72,-693.0
73,-300.0
74,-300.0
75,-300.0
76,-767.0
77,-679.0
78,-300.0
79,-658.0
80,-715.0
81,-300.0
82,-300.0
83,-300.0
84,-828.0
85,-749.0
86,-663.0
87,-686.0
88,-761.0
89,-732.0
90,-300.0
91,-300.0
92,-300.0
93,-300.0
94,-300.0
95,-300.0
96,-777.0
97,-800.0
98,-300.0
99,-791.0
100,-647.0
101,-792.0
102,-300.0
103,-300.0
104,-300.0
105,-300.0
106,-300.0
107,-628.0
108,-703.0
109,-802.0
110,-765.0
111,-300.0
112,-607.0
113,-300.0
114,-566.0
115,-300.0
116,-819.0
117,-300.0
118,458.0
119,-559.0
120,-848.0
121,-689.0
122,-617.0
123,210.0
124,-653.0
125,-783.0
126,-300.0
127,-828.0
128,-300.0
129,-300.0
130,-588.0
131,-640.0
132,-817.0
133,-300.0
134,-827.0
135,-300.0
136,-795.0
137,-300.0
138,-300.0
139,-620.0
140,-300.0
141,-826.0
142,-564.0
143,-590.0
144,-742.0
145,-300.0
146,-300.0
147,-300.0
148,-300.0
149,-300.0
150,-638.0
151,-772.0
152,-733.0
153,-679.0
154,-300.0
155,-300.0
156,-300.0
157,-300.0
158,-300.0
159,-300.0
160,-300.0
161,-300.0
162,-715.0
163,-300.0
164,-819.0
165,-772.0
166,-300.0
167,-765.0
168,-565.0
169,-670.0
170,-300.0
171,-300.0
172,-655.0
173,-696.0
174,-300.0
175,-300.0
176,-300.0
177,-300.0
178,-300.0
179,-681.0
180,-813.0
181,-771.0
182,-300.0
183,-300.0
184,-300.0
185,-300.0
186,-300.0
187,-630.0
188,-744.0
189,-823.0
190,-827.0
191,-670.0
192,-300.0
193,-300.0
194,-736.0
195,-718.0
196,-775.0
197,-681.0
198,-300.0
199,-646.0
200,-666.0
201,-300.0
202,-744.0
203,-300.0
204,-300.0
205,-300.0
206,-661.0
207,-300.0
208,-300.0
209,-300.0
210,-300.0
211,-300.0
212,-611.0
213,-300.0
214,-782.0
215,-300.0
216,-300.0
217,-300.0
218,-300.0
219,-300.0
220,-300.0
221,-300.0
222,-300.0
223,-300.0
224,-300.0
225,-300.0
226,-300.0
227,-300.0
228,-795.0
229,-300.0
230,-300.0
231,-708.0
232,-660.0
233,-723.0
234,-767.0
235,-300.0
236,-300.0
237,-694.0
238,-681.0
239,-300.0
240,-677.0
241,-300.0
242,-300.0
243,-841.0
244,-300.0
245,-300.0
246,-300.0
247,-792.0
248,-674.0
249,-300.0
250,-300.0
251,-712.0
252,-723.0
253,-830.0
254,-300.0
255,-759.0
256,-730.0
257,-831.0
258,-771.0
259,-686.0
260,-639.0
261,-300.0
262,-300.0
263,-300.0
264,-300.0
265,-300.0
266,-300.0
267,-597.0
268,-300.0
269,-300.0
270,-300.0
271,-300.0
272,-300.0
273,-823.0
274,-300.0
275,-300.0
276,-300.0
277,-803.0
278,-300.0
279,-300.0
280,-645.0
281,-667.0
282,-587.0
283,-300.0
284,-642.0
285,-641.0
286,-300.0
287,-681.0
288,-713.0
289,-300.0
290,-691.0
291,-831.0
292,-300.0
293,-300.0
294,-300.0
295,-300.0
296,-819.0
297,-566.0
298,-705.0
299,-780.0
300,-739.0
301,-775.0
302,-300.0
303,-300.0
304,-300.0
305,-300.0
306,-678.0
307,-300.0
308,-300.0
309,-300.0
310,-300.0
311,-300.0
312,-300.0
313,-300.0
314,-300.0
315,-300.0
316,-300.0
317,-300.0
318,-300.0
319,-767.0
320,-300.0
321,-727.0
322,-720.0
323,-300.0
324,-300.0
325,-300.0
326,-774.0
327,-300.0
328,-300.0
329,-300.0
330,-694.0
331,-300.0
332,-622.0
333,-802.0
334,-702.0
335,-300.0
336,-771.0
337,-300.0
338,-300.0
339,-766.0
340,-300.0
341,-300.0
342,-817.0
343,-747.0
344,-300.0
345,-809.0
346,-730.0
347,-300.0
348,-300.0
349,-575.0
350,-752.0
351,-827.0
352,-300.0
353,-689.0
354,-753.0
355,-300.0
356,-800.0
357,-797.0
358,-300.0
359,-794.0
360,-300.0
361,-571.0
362,-791.0
363,-300.0
364,-300.0
365,-683.0
366,-300.0
367,-300.0
368,-744.0
369,-565.0
370,-300.0
371,-300.0
372,-300.0
373,-300.0
374,-754.0
375,-833.0
376,-831.0
377,-300.0
378,-300.0
379,-607.0
380,-734.0
381,-300.0
382,-300.0
383,-767.0
384,-811.0
385,-827.0
386,465.0
387,-726.0
388,-608.0
389,-300.0
390,-300.0
391,-300.0
392,-300.0
393,-300.0
394,-680.0
395,-300.0
396,-300.0
397,-748.0
398,-634.0
399,-300.0
400,-648.0
401,-829.0
402,-300.0
403,-632.0
404,-300.0
405,-300.0
406,-689.0
407,-747.0
408,-689.0
409,-300.0
410,-751.0
411,-300.0
412,-300.0
413,-300.0
414,-300.0
415,-662.0
416,-828.0
417,-714.0
418,-300.0
419,-849.0
420,-300.0
421,-785.0
422,-661.0
423,-744.0
424,-300.0
425,-300.0
426,-300.0
427,-300.0
428,-300.0
429,-825.0
430,-785.0
431,-759.0
432,-300.0
433,-300.0
434,-300.0
435,-572.0
436,-300.0
437,-686.0
438,-787.0
439,-300.0
440,-748.0
441,-732.0
442,-835.0
443,-681.0
444,-825.0
445,-300.0
446,-300.0
447,-761.0
448,-300.0
449,-300.0
450,-300.0
451,-723.0
452,-696.0
453,-300.0
454,-300.0
455,-668.0
456,-837.0
457,-818.0
458,-570.0
459,-618.0
460,-826.0
461,-819.0
462,-701.0
463,-598.0
464,-796.0
465,-300.0
466,201.0
467,-794.0
468,-300.0
469,-588.0
470,-300.0
