,reward
0,582.0
1,-590.0
2,630.0
3,-614.0
4,-724.0
5,-472.0
6,-782.0
7,-774.0
8,-1206.0
9,-798.0
10,-774.0
11,-754.0
12,-814.0
13,-604.0
14,-764.0
15,-774.0
16,-510.0
17,-774.0
18,-766.0
19,-764.0
20,-434.0
21,-548.0
22,-454.0
23,-790.0
24,-448.00000000000006
25,-1206.0
26,-782.0
27,-766.0
28,-774.0
29,-442.0
30,-758.0
31,-2014.0
32,-1980.0
33,-832.0000000000002
34,-370.00000000000045
35,-680.0
36,-546.0000000000007
37,-698.0
38,-544.0000000000007
39,-854.0000000000002
40,-806.0
41,-978.0000000000003
42,-1166.0000000000002
43,-846.0000000000002
44,-916.0000000000002
45,-896.0000000000006
46,-512.0000000000001
47,-620.0000000000001
48,-828.0000000000002
49,-802.0000000000002
50,-644.0000000000002
51,-458.00000000000034
52,-446.0000000000007
53,-874.0000000000003
54,-434.00000000000057
55,-1084.0
56,-532.0000000000007
57,-496.0000000000004
58,-392.00000000000034
59,-484.00000000000045
60,-518.0000000000002
61,-546.0000000000005
62,-482.00000000000057
63,-458.00000000000045
64,-528.0000000000007
65,-614.0
66,-468.00000000000034
67,-648.0
68,-1100.0000000000007
69,-474.0000000000001
70,-586.0
71,-430.00000000000034
72,-710.0000000000002
73,-548.0000000000001
74,-1066.0000000000005
75,-856.0000000000003
76,-500.0000000000002
77,-424.00000000000045
78,-502.0000000000006
79,-830.0000000000002
80,364.0
81,-990.0000000000003
82,-542.0000000000002
83,-480.00000000000017
84,-874.0
85,-498.00000000000085
86,-460.0000000000004
87,-542.0000000000007
88,-436.0000000000003
89,-422.00000000000074
90,-540.0
91,-530.0
92,-390.00000000000045
93,181.9999999999996
94,-928.0000000000005
95,-994.0000000000003
96,-1032.0000000000005
97,-574.0000000000007
98,-524.0000000000005
99,-1146.0000000000005
100,-670.0
101,-826.0000000000001
102,-522.0
103,-460.0000000000007
104,-520.0000000000007
105,-918.0000000000001
106,-908.0000000000006
107,-448.0000000000002
108,-918.0000000000002
109,-944.0000000000001
110,-1046.0000000000005
111,-768.0000000000002
112,-490.0000000000007
113,-812.0000000000002
114,-614.0000000000002
115,-862.0000000000002
116,-416.00000000000017
117,-578.0000000000002
118,-486.0000000000005
119,-1050.0000000000002
120,436.0
121,-448.00000000000057
122,-720.0
123,-482.00000000000057
124,-490.0000000000003
125,-452.00000000000074
126,-500.0000000000006
127,-428.00000000000034
128,-548.0000000000005
129,-520.0000000000007
130,-496.0000000000006
131,-390.0000000000005
132,-680.0
133,-454.0000000000003
134,-662.0
135,-550.0000000000001
136,-1006.0000000000005
137,-554.0
138,-410.0000000000005
139,-954.0000000000002
140,-820.0
141,-452.0000000000005
142,-1064.0000000000005
143,-1162.0000000000007
144,-448.00000000000034
145,-434.0000000000002
146,-478.0000000000008
147,-768.0000000000002
148,-906.0000000000005
149,-1142.0000000000005
150,-628.0000000000005
151,-560.0000000000005
152,-442.0000000000006
153,-494.0000000000006
154,-430.0000000000005
155,-1094.0000000000005
156,-426.0000000000005
157,-378.0000000000005
158,-478.0000000000006
159,-380.00000000000045
160,-454.00000000000034
161,-440.00000000000045
162,-504.0000000000004
163,-398.00000000000045
164,-436.0000000000007
165,-512.0000000000005
166,-336.0000000000001
167,-992.0000000000003
168,-454.0000000000006
169,-822.0000000000002
170,-462.00000000000057
171,-782.0000000000001
172,-324.0000000000004
173,-448.0000000000007
174,-554.0
175,-532.0
176,-406.0000000000002
177,-512.0000000000007
178,-806.0
179,-396.00000000000057
180,-942.0000000000002
181,-486.00000000000074
182,-600.0000000000001
183,-350.0000000000004
184,-952.0000000000005
185,-848.0000000000003
186,-414.00000000000074
187,-456.0000000000007
188,-414.00000000000045
189,-926.0000000000005
190,-462.0000000000003
191,-494.0000000000006
192,-876.0
193,-880.0000000000001
194,-886.0000000000002
195,-582.0000000000001
196,-444.00000000000057
197,-562.0000000000005
198,-554.0000000000005
199,-898.0000000000002
200,-494.0
201,-1004.0000000000002
202,-622.0000000000001
203,-870.0000000000002
204,-520.0000000000005
205,-512.0000000000007
206,-488.00000000000045
207,-456.00000000000045
208,-802.0
209,-474.00000000000045
210,-1026.0
211,-466.0000000000007
212,-430.00000000000034
213,-720.0
214,-622.0
215,-860.0000000000002
216,-480.0000000000007
217,-978.0000000000002
218,-458.0
219,-522.0000000000002
220,-818.0000000000001
221,-512.0000000000001
222,-926.0000000000005
223,-812.0000000000002
224,-864.0000000000002
225,-596.0
226,-554.0000000000007
227,-536.0000000000007
228,-618.0000000000007
229,-450.00000000000034
230,-1082.0000000000005
231,-952.0000000000002
232,-1016.0000000000001
233,-1038.0000000000005
234,-936.0000000000002
235,-500.0000000000002
236,-694.0
237,-484.00000000000074
238,-530.0000000000005
239,-414.0000000000007
240,-460.00000000000034
241,-638.0
242,-558.0000000000007
243,-468.0000000000006
244,-512.0000000000007
245,-934.0000000000005
246,-524.0000000000005
247,-478.0000000000002
248,-492.00000000000074
249,-476.0000000000005
250,-702.0000000000002
251,-928.0000000000006
252,-1024.0000000000005
253,-584.0000000000005
254,-404.0000000000005
255,-462.0000000000004
256,-800.0
257,-376.0000000000007
258,-1078.0000000000005
259,-670.0
260,-740.0000000000002
261,-784.0
262,-482.00000000000074
263,-454.00000000000034
264,-778.0000000000001
265,-992.0000000000005
266,-1014.0000000000005
267,-500.00000000000074
268,-472.0000000000001
269,-902.0000000000002
270,-988.0000000000007
271,-836.0000000000001
272,-722.0000000000001
273,-448.0000000000007
274,-644.0
275,-438.0000000000001
276,-518.0000000000005
277,-800.0
278,-548.0000000000002
279,-1004.0000000000007
280,-444.0
281,-658.0
282,-986.0000000000005
283,-812.0
284,-420.00000000000074
285,-1060.0000000000005
286,-1080.0000000000005
287,-728.0000000000002
288,-456.00000000000034
289,-428.00000000000057
290,-718.0
291,-522.0000000000002
292,430.0
293,-584.0
294,-550.0000000000007
295,-480.0000000000006
296,-952.0000000000002
297,-776.0
298,-1092.0000000000002
299,-1014.0000000000005
300,-564.0000000000005
301,-498.0000000000005
302,-390.0000000000001
303,-440.0000000000005
304,-806.0000000000002
305,-774.0000000000002
306,-486.0
307,-602.0
308,-486.0000000000006
309,-530.0000000000006
310,-406.0000000000002
311,-490.0000000000005
312,-554.0000000000007
313,-820.0000000000002
314,-446.0000000000001
315,-434.0000000000007
316,-448.0000000000006
317,-928.0000000000002
318,-404.00000000000045
319,-542.0000000000007
320,-1002.0000000000002
321,-746.0
322,-454.0
323,-444.0000000000004
324,-838.0
325,-430.00000000000074
326,-480.00000000000057
327,-458.0000000000005
328,-1012.0000000000005
329,-500.00000000000074
330,-494.00000000000074
331,-554.0000000000005
332,-872.0000000000005
333,-504.00000000000057
334,-980.0000000000002
335,-876.0000000000001
336,-794.0000000000005
337,-554.0000000000005
338,-496.00000000000085
339,-482.00000000000074
340,-630.0
341,-624.0
342,-760.0
343,-476.0
344,-374.00000000000045
345,-864.0000000000005
346,-560.0000000000007
347,-926.0000000000001
