,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,8483.222936179422
36,7034.153858129529
37,6941.650390625
38,7494.818768669577
39,8163.14314104797
40,10413.253321385646
41,12331.26171875
42,13626.443499348958
43,16711.189498697917
44,19922.645930989584
45,23285.22806640625
46,26572.368209635417
47,29908.49439453125
48,33258.970123697916
49,35225.6624609375
50,32811.33366549745
51,33262.21363636364
52,34285.60625
53,34646.326686197914
54,32467.4396875
55,32684.69681640625
56,32860.644694010414
57,32806.978487723216
58,33036.2671875
59,33458.671959635416
60,33862.53489176432
61,34340.48962890625
62,34799.845690104165
63,35402.728668580574
64,35884.70314342571
65,36159.400865885415
66,36740.56895182292
67,37058.27081380208
68,37625.22055989583
69,38192.799393983645
70,38674.10086588542
71,39254.25970793777
72,39823.82557291666
73,40351.07216145833
74,40895.055546875
75,41158.026354166665
76,41600.44829358553
77,41570.83785445602
78,41661.996470256025
79,42112.13695004112
80,42441.18956689927
81,43126.62390625
82,43827.832060842804
83,44848.9841796875
84,45743.616783405174
85,45889.09973958333
86,46865.52069010417
87,47436.66558527543
88,47770.343391047296
89,47936.506763059704
90,49038.0301953125
91,50266.8001953125
92,51583.867526041664
93,52022.12362132353
94,53207.636692708336
95,54026.60533854167
96,55801.47055989583
97,56800.3932421875
98,58723.26618489583
99,60132.85625
100,61131.78626302083
101,62758.92130498927
102,63921.56807291666
103,65478.239622395835
104,67383.18265625
105,68511.80881076389
106,68960.74108617842
107,70349.33619791667
108,71503.77734375
109,73020.1446875
110,74902.86248697917
111,76188.12770833333
112,77124.29221354167
113,79238.14018229167
114,79095.9965625
115,73494.2953515625
116,66761.455078125
117,59142.125456204376
118,51291.5764453125
119,50880.376171875
120,51414.47442708333
121,51854.99526059878
122,52106.276591435184
123,52235.07626329787
124,52548.161518513654
125,52902.29498697917
126,53290.4848046875
127,53593.144921875
128,54019.3505859375
129,54314.11905184659
130,54520.42795138889
131,54845.550398284315
132,55334.603515625
133,55839.42935075431
134,56102.0751953125
135,56683.10863597973
136,57059.96686197917
137,57522.02371258803
138,58081.428671875
139,58549.71180023006
140,58866.35955443905
141,59229.16015625
142,59531.00022135417
143,60114.623671875
144,60732.77479166666
145,61001.462022569445
146,61370.96403645833
147,61934.86313802083
148,62424.58993587854
149,62994.52428385417
150,63674.629557291664
151,64215.09098958333
152,64893.54747395834
153,65190.048236268936
154,65652.1937109375
155,66391.98112201365
156,66803.54635296659
157,67185.0001953125
158,67363.70340285041
159,67919.82272135417
160,68354.91605659966
161,68863.82966145834
162,69158.70341082317
163,69752.70424479166
164,70368.05184895833
165,70695.67913787688
166,71282.94403645833
167,71947.25611979167
168,72433.95777165033
169,72991.741953125
170,73455.6528125
171,73730.76715353261
172,74390.13203125
173,74955.94067708333
174,75640.52130208333
175,76283.64336520522
176,76751.89200520833
177,77404.33892822266
178,77952.09596354167
179,78764.84880208333
180,79447.587890625
181,80199.43234375
182,80802.7496875
183,81536.5211314006
184,81684.28098958333
185,81957.45455729167
186,82730.32127604166
187,83207.76182291667
188,83796.07369791667
189,83497.07356770833
190,84023.21062748016
191,84296.78660239362
192,84963.82317708334
193,85681.46393229166
194,86170.15329694976
195,86841.1784375
196,87644.0613793545
197,88260.86244791666
198,88788.60872395833
199,88850.53497942387
200,89450.20880681818
201,89540.79421875
202,90147.19192708333
203,90232.26768229167
204,90122.89838541667
205,90753.70669270834
206,90842.70421875
207,91497.57809895833
208,91784.24593974014
209,94301.92317708333
210,94723.04684231171
211,95214.15604166666
212,95627.92302083333
213,95823.52442200204
214,96135.09721354167
215,96615.21973339161
216,97213.0806919643
217,96892.31932291666
218,97234.29569920569
219,97980.44359205777
220,98648.34598958334
221,99308.87994462025
222,99514.98770833333
223,99786.40726461039
224,99916.35049019608
225,100601.630859375
226,101296.09351415094
227,101686.01192708334
228,102386.59989583334
229,102715.68473958333
230,102991.61947202166
231,103673.46549479167
232,103518.73996184593
233,104398.42426601423
234,104341.86588541667
235,104882.95004734848
236,105478.74546875
237,105617.91856770833
238,105711.73460477941
239,106069.86434895833
240,106810.03708333333
241,107167.27544270833
242,107824.95303914836
243,107761.47822916666
244,107842.41986979167
245,108248.31828327922
246,108369.81979166667
247,108882.33169270834
248,109734.69390625
249,109787.84291666666
250,110224.55083333333
251,110859.19742531447
252,110191.79248478982
253,110992.31703125
254,111693.89105902778
255,111573.85747395833
256,112254.60034579918
257,112284.97669270834
258,112570.75099158654
259,113575.36647727272
260,114078.41432291667
261,114225.91082243217
262,114501.46013327206
263,114591.68104166667
264,115463.10828125
265,115894.18705729167
266,116310.272578125
267,116670.09947916666
268,117305.9580455801
269,117417.66539228724
270,118154.34051486784
271,118810.87483891753
272,118787.46720421124
273,119088.27163209034
274,119475.35580729166
275,119660.08723958333
276,119938.10979166666
277,120664.84541666666
278,120937.99252604166
279,121070.23859375
280,121339.12472707423
281,121852.57265625
282,122201.38395833333
283,122613.70513020833
284,123239.2298201107
285,123741.32535679133
286,124454.32982716481
287,124756.06177083333
288,124763.88440104167
289,124730.69463541667
290,125198.54260416667
291,125600.1584123884
292,125811.68255739796
293,127068.52291666667
294,126152.08205645162
295,126364.72630208333
296,126862.62897675992
297,127126.85932291667
298,127291.70155646717
299,127554.30796030405
300,127933.77469978166
301,127979.89556525735
302,128189.676328125
303,128503.60307291667
304,128958.18955729167
305,128842.01183956186
306,129164.51012731482
307,129194.26848958334
308,129576.04440104167
309,129676.18567319652
310,131561.26242897726
311,131443.53102678573
312,131671.66815104167
313,132125.68916666668
314,132103.85483284883
315,132474.688671875
316,133217.88809895833
317,133649.66143229167
318,134242.81583333333
319,134438.74635416668
320,135052.75582386364
321,134846.39833333335
322,135343.23942708335
323,135749.75205729165
324,136207.373125
325,136001.92135416667
326,136200.45087316175
327,136506.52466475096
328,136809.25331182065
329,136973.89430501932
330,137529.64114583333
331,137767.9831684363
332,138380.32213541667
333,138919.71234375
334,138996.65827767176
335,139461.9964953271
336,139864.41994863015
337,140478.38651041666
338,141039.18791666668
339,141331.43869791666
340,142448.7978125
341,142154.9296875
342,142652.56623340707
343,143334.5669527202
344,144748.9907756024
345,144150.02208333334
346,145008.90994791666
347,145349.88994791667
348,145953.55197916666
349,146853.78267045456
350,147753.01807291666
351,147719.34880208335
352,148085.16328125
353,148497.16223958333
354,148712.3940625
355,149046.42398097826
356,151025.71447916667
357,151452.99235857665
358,152009.19921875
359,151878.08098958334
360,152684.45677083332
361,153492.81075581396
