,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,19.29214282069646
40,15.144799629847208
41,13.551688015460968
42,12.637608858744303
43,11.03828397432963
44,9.870934997170659
45,9.518163255898349
46,9.280893481405158
47,8.913134030847742
48,8.72585603237152
49,8.129384628931682
50,7.607130918502808
51,7.2174043089656506
52,7.174187308998518
53,7.113992681986169
54,7.009497292706223
55,6.916808520952861
56,6.552577537318271
57,6.321667815699722
58,6.288726304372152
59,6.173946125507355
60,5.991955550817343
61,5.854324147448562
62,5.838242477575938
63,5.710474637349447
64,5.590849803288777
65,5.371112938189425
66,5.4501718110051645
67,5.4803871544202165
68,5.210154589811961
69,5.099951544602712
70,5.012527523040771
71,4.967387311458587
72,4.825694739023844
73,4.83953097820282
74,4.639650615851084
75,4.542219484249751
76,4.434488088434393
77,4.543332136594332
78,4.696573238372803
79,4.666246253596849
80,4.523159728050232
81,4.500847307677121
82,4.462352251684344
83,4.515760786268446
84,4.4028952662150065
85,4.460250414415603
86,4.295786156726243
87,4.210676864645947
88,4.423765137195587
89,4.357367204825083
90,4.215824178413109
91,4.613775693764121
92,4.227921001356224
93,4.174275347443878
94,4.3401085742532395
95,4.246264618304041
96,4.6090537623355265
97,4.669441992586309
98,4.3818215155601505
99,4.365131084124247
100,4.190553179403552
101,4.180556087782889
102,4.260402633518469
103,4.314065638214651
104,4.557749350115938
105,4.470933754841487
106,4.454164671897888
107,4.390523848930995
108,4.530680309931437
109,4.571910425027212
110,4.521161369375281
111,4.585030692021052
112,4.744887902623131
113,4.749052062034607
114,4.895839502016703
115,4.8205054135502134
116,4.854420641263326
117,4.869104526440302
118,4.943519186576207
119,4.850688326358795
120,4.306116237606801
121,3.540981974204381
122,2.646927878657977
123,2.126827134451735
124,2.18458936949571
125,2.08406074723201
126,2.167677225696074
127,2.2628977026258195
128,2.1520717561244966
129,2.255847016175588
130,2.2200876882388476
131,2.3900775029261907
132,2.388085122708674
133,2.4022809704144796
134,2.381998036702474
135,2.3375847923755644
136,2.2541181765104596
137,2.3010515606403352
138,2.234944462299347
139,2.2555886751413343
140,2.2476682555675507
141,2.132911093327222
142,2.125878889958064
143,2.136236760594429
144,2.0717285599311195
145,2.092294485273218
146,2.174517595038122
147,2.1489049061139425
148,2.16382522258722
149,2.25648825183636
150,2.2512133236726126
151,2.1551262613137565
152,2.0804275198777518
153,2.1550425068537393
154,2.0817702962085605
155,2.1364766347408293
156,2.0816870772049403
157,2.1801803237513493
158,2.107079537709554
159,2.130015397866567
160,2.1195977516969045
161,2.1080369293689727
162,2.116256489356359
163,2.101934320979066
164,2.086036724448204
165,2.1608756601810457
166,2.132277515331904
167,2.160017923116684
168,2.1773799949884416
169,2.391985607147217
170,2.1913127970695494
171,2.1070619579404593
172,2.2024837721903774
173,2.266550990343094
174,2.252582824190056
175,2.233783801396688
176,2.181344333911102
177,2.158145620681272
178,2.2054066010316213
179,2.204382960042805
180,2.323878905773163
181,2.082212044945303
182,2.127435182730357
183,2.188598840435346
184,2.175861333211263
185,2.333425365331519
186,2.2571548708279927
187,2.3485141372680665
188,2.3033460151110448
189,2.519122519493103
190,2.3933698035055593
191,2.4942844397312887
192,2.6236468330025673
193,2.64644447962443
194,2.582899979352951
195,2.4934382871786753
196,2.2918021627094434
197,2.444426877895991
198,2.45016196578048
199,2.732075665919286
200,3.0067183474699655
201,3.1367478764057157
202,3.080658764044444
203,2.9103557137648264
204,2.985616636673609
205,2.7694624598821003
206,2.7807070996663343
207,2.8212040265401206
208,2.7945136972268423
209,2.732337333758672
210,2.9190052755673728
211,2.7369147662321724
212,2.602426813443502
213,2.6028123044967653
214,2.725169180212794
215,2.8753668836752575
216,2.7945391659466727
217,2.84513769308726
218,2.840500752925873
219,2.878615376797128
220,2.91091925740242
221,2.898356540074487
222,3.14428329706192
223,3.1205146249135334
224,2.967562138432204
225,3.0096264803409576
226,2.634457336908037
227,3.2219796975453696
228,2.749429058220427
229,3.1152460515499114
230,2.846028003692627
231,2.715420314470927
232,2.5961152402559917
233,2.756507734754192
234,2.7282223888805937
235,2.87978097875913
236,2.553514509598414
237,2.85445720911026
238,3.0379755171140035
239,2.8185653519212153
240,2.8279320238200762
241,3.0546671986579894
242,3.099289461322453
243,3.1891899441971496
244,3.1851605723480887
245,3.747858566897256
246,3.9428397678349114
247,3.7430355772701414
248,3.8504479550496704
249,3.6927563015619915
250,3.7634460513753103
251,4.028645358085632
252,3.79373287320137
253,3.76175608956222
254,4.280946548382441
255,4.347258620262146
256,4.298779432202728
257,4.49146787219223
258,4.608009473085404
259,4.5739870309829715
260,4.380056039889653
261,4.5331999411830655
262,4.79148321668307
263,4.5696521631050935
264,4.864974340995153
265,4.477325042088826
266,4.450516300201416
267,4.143740416367849
268,4.18541386683782
269,4.216453514496485
270,4.010754298922178
271,4.529963246583939
272,4.114897550995817
273,4.2743496308724085
274,4.947655198176702
275,4.454842518074344
276,4.428080100615819
277,4.432258023818334
278,4.241808018684387
279,4.081977056264877
280,4.125789940357208
281,3.359654988296301
282,3.6886880087852476
283,3.8475942541571224
284,3.4715180383331474
285,4.244754658937454
286,3.751257478793462
287,3.938244707584381
288,3.6914827938874564
289,3.5677516428629557
290,3.2961488371053016
291,3.6204319067796074
292,3.7772603070735933
293,3.6571159811814624
294,3.6191412858168284
295,3.589842039744059
296,3.3848514914512635
297,3.330134461996919
298,3.644255103667577
299,3.108850793838501
300,3.147546694278717
301,3.039848643143972
302,3.1142237238089243
303,3.581411537257108
304,3.240300367673238
305,3.3969491652849704
306,3.10555093924878
307,3.1580538749694824
308,2.5516189112265906
309,2.4241735974947614
310,2.290694425702095
311,2.41048494040966
312,2.4236470752954484
313,2.312428702513377
314,2.3143331504449614
315,2.645144105354945
316,2.612513878742854
317,2.4659419119358064
318,2.4156169827779133
319,2.4569081868728
320,2.345250999927521
321,2.4518834864121137
322,2.5711583360036214
323,2.5240298481782277
324,2.6019814127967473
325,2.6740528945128124
326,2.707025899753704
327,2.6186133715613136
328,2.7097809531978356
329,3.410949764251709
330,3.035207880338033
331,2.9450417598088583
332,3.1271437844564747
333,3.414168558518092
334,3.383819453318914
335,3.3941472494602203
336,3.2026577512423198
337,3.1400637026186344
338,3.2728580407301586
339,3.225373722159344
340,3.2864265620708464
341,3.335561961332957
342,3.4327973461151124
343,3.388410796324412
344,3.1698606991767884
345,3.4825203835964205
346,3.517257501681646
