,reward
0,477.0
1,-641.0
2,-578.0
3,-578.0
4,-577.0
5,-578.0
6,-578.0
7,-577.0
8,-578.0
9,-578.0
10,-577.0
11,-589.0
12,-578.0
13,-578.0
14,-578.0
15,-578.0
16,-577.0
17,-578.0
18,-578.0
19,-577.0
20,-578.0
21,-578.0
22,-578.0
23,-578.0
24,478.0
25,-556.0
26,-578.0
27,-578.0
28,-578.0
29,-578.0
30,-577.0
31,-578.0
32,-578.0
33,-589.0
34,-578.0
35,-578.0
36,-578.0
37,-578.0
38,-578.0
39,-300.0
40,-300.0
41,-613.0
42,-300.0
43,-300.0
44,-844.0
45,-632.0
46,-739.0
47,-698.0
48,-300.0
49,-300.0
50,-300.0
51,-726.0
52,-735.0
53,-707.0
54,-793.0
55,-300.0
56,-846.0
57,-747.0
58,-300.0
59,-300.0
60,-757.0
61,-766.0
62,-300.0
63,-300.0
64,-300.0
65,-840.0
66,-694.0
67,-300.0
68,-300.0
69,-300.0
70,-300.0
71,-300.0
72,-300.0
73,-300.0
74,-300.0
75,-300.0
76,-659.0
77,-822.0
78,-300.0
79,-791.0
80,-300.0
81,-840.0
82,-697.0
83,-774.0
84,-300.0
85,-776.0
86,-748.0
87,-636.0
88,-300.0
89,-300.0
90,-684.0
91,-608.0
92,-781.0
93,-610.0
94,-768.0
95,-693.0
96,463.0
97,-571.0
98,-300.0
99,-300.0
100,-843.0
101,-648.0
102,-671.0
103,-648.0
104,-602.0
105,-300.0
106,-300.0
107,-300.0
108,-300.0
109,-300.0
110,-697.0
111,-300.0
112,-675.0
113,-300.0
114,-300.0
115,-788.0
116,-300.0
117,-300.0
118,-300.0
119,-300.0
120,-833.0
121,-300.0
122,-300.0
123,-767.0
124,-300.0
125,-616.0
126,-845.0
127,-689.0
128,-300.0
129,-300.0
130,-717.0
131,-300.0
132,-835.0
133,-300.0
134,-300.0
135,-300.0
136,-739.0
137,-300.0
138,-674.0
139,-300.0
140,-300.0
141,-730.0
142,-300.0
143,-767.0
144,-300.0
145,235.0
146,-598.0
147,-300.0
148,-810.0
149,-787.0
150,-300.0
151,-300.0
152,-300.0
153,-300.0
154,-677.0
155,-300.0
156,-836.0
157,-758.0
158,-300.0
159,-300.0
160,-300.0
161,-300.0
162,-300.0
163,-731.0
164,-300.0
165,-300.0
166,-300.0
167,-300.0
168,-300.0
169,-569.0
170,-300.0
171,-677.0
172,-778.0
173,-300.0
174,-846.0
175,-300.0
176,-698.0
177,-751.0
178,-300.0
179,-742.0
180,-300.0
181,-761.0
182,-300.0
183,-300.0
184,-300.0
185,-680.0
186,-300.0
187,-300.0
188,-790.0
189,-300.0
190,-673.0
191,-660.0
192,-725.0
193,-300.0
194,-300.0
195,-300.0
196,-641.0
197,-300.0
198,-721.0
199,-655.0
200,-609.0
201,-300.0
202,-300.0
203,-300.0
204,-300.0
205,-300.0
206,-695.0
207,-300.0
208,-300.0
209,-300.0
210,-300.0
211,-300.0
212,-300.0
213,-300.0
214,-623.0
215,-300.0
216,-655.0
217,-300.0
218,-300.0
219,-643.0
220,-300.0
221,-790.0
222,-300.0
223,-300.0
224,-846.0
225,-300.0
226,325.0
227,-552.0
228,-726.0
229,-300.0
230,-300.0
231,-300.0
232,-300.0
233,-750.0
234,431.0
235,-300.0
236,-300.0
237,-300.0
238,-300.0
239,-720.0
240,-680.0
241,-300.0
242,-641.0
243,-617.0
244,224.0
245,-563.0
246,-622.0
247,-778.0
248,-782.0
249,-300.0
250,-682.0
251,-300.0
252,-300.0
253,-831.0
254,-300.0
255,-799.0
256,-620.0
257,-848.0
258,-300.0
259,-300.0
260,-300.0
261,-703.0
262,-300.0
263,-780.0
264,-300.0
265,-300.0
266,-300.0
267,-300.0
268,-300.0
269,-300.0
270,-845.0
271,-300.0
272,-743.0
273,-789.0
274,-300.0
275,-747.0
276,-300.0
277,-300.0
278,-300.0
279,-300.0
280,-300.0
281,-806.0
282,-300.0
283,-617.0
284,-636.0
285,-300.0
286,-300.0
287,-300.0
288,-300.0
289,-300.0
290,-670.0
291,-300.0
292,-300.0
293,-300.0
294,-300.0
295,-300.0
296,-300.0
297,-785.0
298,-300.0
299,-300.0
300,-300.0
301,-300.0
302,-300.0
303,-714.0
304,-300.0
305,-726.0
306,-785.0
307,-300.0
308,-300.0
309,-300.0
310,-300.0
311,-300.0
312,-300.0
313,-300.0
314,-754.0
315,-300.0
316,-300.0
317,-300.0
318,-300.0
319,-300.0
320,-609.0
321,-782.0
322,-300.0
323,-300.0
324,-717.0
325,-300.0
326,-692.0
327,-781.0
328,-763.0
329,-300.0
330,-300.0
331,-300.0
332,-764.0
333,-300.0
334,-300.0
335,-300.0
336,-300.0
337,366.0
338,-300.0
339,-664.0
340,-300.0
341,-300.0
342,-300.0
343,-300.0
344,-300.0
345,-300.0
346,-300.0
347,-848.0
348,-300.0
349,-300.0
350,-300.0
351,-300.0
352,-814.0
353,-826.0
354,-784.0
355,-300.0
356,-300.0
357,-300.0
358,-300.0
359,-816.0
360,-300.0
361,-727.0
362,-300.0
363,-300.0
364,-684.0
365,-300.0
366,-300.0
367,-300.0
368,-300.0
369,-300.0
370,-812.0
371,-300.0
372,-630.0
373,-300.0
374,-300.0
375,-578.0
376,-779.0
377,-678.0
378,-683.0
379,-300.0
380,-300.0
381,-740.0
382,-300.0
383,-729.0
384,-300.0
385,-300.0
386,-300.0
387,-601.0
388,-300.0
389,-754.0
390,-797.0
391,-833.0
392,-811.0
393,-300.0
394,-300.0
395,-300.0
396,-732.0
397,-300.0
398,-800.0
399,-300.0
400,-300.0
401,-300.0
402,-300.0
403,-838.0
404,-300.0
405,-849.0
406,-300.0
407,-300.0
408,-300.0
409,-300.0
410,-300.0
411,-300.0
412,-300.0
413,-711.0
414,-300.0
415,-824.0
416,-656.0
417,-300.0
418,-300.0
419,-726.0
420,-300.0
421,-300.0
422,202.0
423,-600.0
424,-673.0
425,-300.0
426,-635.0
427,-720.0
428,-300.0
429,-300.0
430,-300.0
431,-741.0
432,-300.0
433,-300.0
434,-707.0
435,-849.0
436,-641.0
437,-300.0
438,-300.0
439,-300.0
440,-300.0
441,-300.0
442,-300.0
443,-619.0
444,-569.0
445,-300.0
446,-612.0
447,-300.0
448,-704.0
449,-300.0
450,-300.0
451,-300.0
452,-300.0
453,-727.0
454,-300.0
455,-672.0
456,-760.0
457,-300.0
458,-726.0
459,-794.0
460,-817.0
461,-627.0
462,-300.0
463,-774.0
464,-300.0
465,-300.0
466,-300.0
467,-300.0
468,-841.0
469,-817.0
470,-711.0
471,-661.0
472,-300.0
473,-741.0
474,-300.0
475,-300.0
476,-300.0
477,-300.0
478,-300.0
479,-841.0
480,-300.0
481,-712.0
482,-300.0
483,-725.0
484,-300.0
485,-300.0
486,-300.0
487,-300.0
488,-300.0
489,-696.0
490,-725.0
491,-300.0
492,-300.0
493,-300.0
494,-622.0
495,-300.0
496,-784.0
497,-300.0
498,-775.0
499,-300.0
500,-300.0
501,-723.0
502,-300.0
503,-300.0
504,-300.0
505,-827.0
506,-300.0
507,-780.0
508,-300.0
509,-300.0
510,-300.0
511,-300.0
512,-695.0
513,-300.0
514,-300.0
515,-300.0
516,-300.0
517,-655.0
518,-300.0
519,-300.0
520,-300.0
521,-300.0
522,-618.0
523,-750.0
524,-720.0
525,-300.0
526,-300.0
527,-300.0
528,-682.0
529,-300.0
530,-300.0
