,reward
0,590.0
1,-582.0
2,-460.00000000000006
3,-774.0
4,-652.0
5,-774.0
6,-712.0
7,-774.0
8,-774.0
9,-684.0
10,-774.0
11,-782.0
12,-692.0
13,-512.0000000000001
14,-774.0
15,-430.00000000000006
16,-782.0
17,-774.0
18,-544.0
19,-774.0
20,580.0
21,-590.0
22,-782.0
23,-742.0
24,-774.0
25,-782.0
26,-684.0
27,712.0
28,-902.0
29,-440.0
30,-798.0
31,-452.0
32,-782.0
33,-782.0
34,-592.0
35,-782.0
36,-732.0
37,-782.0
38,-772.0
39,-630.0
40,-782.0
41,-1482.0
42,-1062.0
43,-518.0000000000005
44,-486.00000000000074
45,-460.0000000000006
46,-432.00000000000057
47,-440.00000000000057
48,-1044.0
49,-860.0000000000001
50,-1142.0
51,-528.0000000000007
52,-996.0000000000002
53,-696.0000000000001
54,-474.0000000000005
55,-786.0000000000001
56,-560.0000000000005
57,-516.0000000000001
58,-604.0
59,-438.0000000000006
60,-436.0000000000008
61,-588.0000000000007
62,-544.0000000000005
63,-968.0000000000002
64,-482.0000000000002
65,-908.0000000000007
66,-466.0000000000007
67,-668.0000000000001
68,-1030.0000000000005
69,-544.0000000000007
70,-424.00000000000074
71,-620.0000000000002
72,-438.00000000000057
73,-556.0000000000007
74,-516.0000000000007
75,-984.0000000000002
76,-1034.0000000000002
77,-502.0000000000005
78,-612.0
79,-854.0000000000002
80,-898.0000000000003
81,-534.0000000000002
82,-886.0000000000002
83,-514.0
84,-704.0
85,-460.00000000000074
86,-832.0000000000003
87,394.0
88,-550.0
89,-378.0000000000004
90,-506.00000000000045
91,-344.0000000000002
92,-862.0000000000003
93,-816.0000000000001
94,-406.00000000000057
95,-710.0
96,-516.0000000000005
97,-570.0000000000001
98,-468.0000000000005
99,-476.0000000000005
100,-1058.0000000000005
101,-430.0000000000003
102,-400.00000000000034
103,-504.00000000000045
104,-416.0000000000005
105,-562.0000000000003
106,-584.0000000000005
107,-898.0000000000002
108,-488.0000000000002
109,-864.0000000000003
110,-466.00000000000074
111,-630.0
112,-446.0000000000003
113,-988.0000000000002
114,-684.0000000000002
115,-362.00000000000057
116,-472.0000000000005
117,-462.0000000000006
118,-920.0000000000003
119,-442.0000000000004
120,-438.0000000000005
121,-542.0000000000006
122,-586.0000000000001
123,-720.0000000000001
124,-1098.0000000000007
125,-462.0000000000008
126,-618.0000000000001
127,-502.0
128,-1054.0000000000005
129,-940.0000000000005
130,-472.0000000000002
131,-716.0000000000002
132,-318.0000000000004
133,-1042.0000000000005
134,-416.00000000000045
135,-936.0000000000005
136,-880.0000000000003
137,-514.0000000000002
138,-516.0000000000002
139,-400.00000000000034
140,-822.0
141,-482.0000000000005
142,223.99999999999972
143,-590.0
144,-552.0000000000005
145,-368.00000000000006
146,-874.0000000000002
147,-624.0
148,-494.0000000000006
149,-952.0000000000002
150,-458.0000000000005
151,-570.0000000000005
152,-542.0000000000005
153,-1194.0000000000005
154,-572.0000000000005
155,-476.0000000000001
156,-1066.0000000000007
157,-456.00000000000074
158,-522.0000000000002
159,-524.0000000000007
160,-908.0000000000005
161,-438.00000000000074
162,-438.0000000000006
163,-512.0000000000005
164,-414.00000000000045
165,-540.0000000000001
166,-1096.0000000000005
167,-550.0000000000007
168,-428.00000000000017
169,-896.0000000000002
170,-378.00000000000057
171,-526.0000000000002
172,-680.0000000000001
173,-886.0000000000005
174,-422.0000000000005
175,-532.0000000000005
176,-894.0
177,-596.0000000000005
178,-916.0000000000001
179,-454.00000000000057
180,-452.0000000000005
181,-494.0000000000006
182,-578.0000000000006
183,-380.0000000000006
184,-1044.0000000000005
185,-452.00000000000057
186,-410.00000000000074
187,-804.0000000000002
188,-500.0000000000002
189,-868.0000000000003
190,-438.0000000000002
191,-800.0000000000001
192,-562.0000000000007
193,-488.0000000000006
194,-468.00000000000057
195,-436.0000000000001
196,-596.0000000000007
197,-494.0000000000006
198,-552.0000000000005
199,-512.0000000000007
200,-540.0000000000003
201,-424.0000000000004
202,-438.0000000000007
203,-352.0000000000004
204,-450.00000000000057
205,-778.0000000000002
206,-874.0000000000002
207,-614.0
208,-486.0000000000007
209,-838.0000000000002
210,-780.0000000000002
211,-426.00000000000034
212,-1006.0000000000007
213,-556.0000000000005
214,-628.0000000000001
215,-528.0
216,-802.0000000000001
217,-546.0000000000007
218,-508.0000000000006
219,-704.0000000000002
220,-842.0000000000002
221,-1014.0000000000005
222,-452.0000000000005
223,-510.0000000000001
224,-494.00000000000074
225,-928.0000000000005
226,-850.0000000000002
227,-742.0000000000002
228,-600.0
229,-1052.0000000000005
230,-708.0000000000001
231,-726.0
232,-476.0000000000005
233,-456.0000000000006
234,-994.0000000000007
235,-924.0000000000002
236,-444.00000000000045
237,-394.0000000000007
238,-724.0
239,-1094.0000000000007
240,504.0
241,-636.0
242,-432.00000000000057
243,-412.00000000000057
244,-940.0000000000002
245,-692.0000000000002
246,-434.0000000000005
247,-462.0
248,-478.00000000000074
249,-912.0000000000001
250,-514.0000000000005
251,-528.0000000000001
252,-562.0000000000007
253,-730.0000000000002
254,-870.0000000000002
255,-478.0000000000007
256,-1092.0000000000005
257,-398.00000000000034
258,-658.0000000000002
259,-526.0000000000005
260,-766.0
261,-482.00000000000074
262,-824.0000000000003
263,-454.00000000000074
264,-454.0000000000005
265,-526.0000000000005
