,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,4883.726949615479
34,4992.009826660156
35,4825.971240942029
36,4660.999801070602
37,3795.2919404871323
38,2914.512420654297
39,2406.918062097886
40,2102.3602870594373
41,1526.6673152863034
42,1340.552562713623
43,883.292874081034
44,-755.0838775634766
45,-438.98377697284405
46,-62.98986198788597
47,-187.94282290810034
48,172.9446130049856
49,118.5309566921658
50,294.72874407087056
51,352.5321330194888
52,670.9206223664461
53,481.1449255371094
54,845.0698560826919
55,1522.3448689778645
56,1414.6618187945821
57,1599.7407929176509
58,2048.402564199347
59,2260.4616088867188
60,2364.7822265625
61,2698.898367745536
62,2410.7573137283325
63,2725.388299239309
64,2784.749841944377
65,3395.2768474378086
66,3837.715635468688
67,3668.280373068417
68,4120.77131652832
69,4011.093075022978
70,4576.75871329472
71,4749.528954599418
72,5198.810435633505
73,4727.011825952774
74,-2554.551721655804
75,-3236.4008072217307
76,-3167.9225799560545
77,-2612.58222672746
78,-1926.4205388608186
79,-2182.0746820623226
80,-1456.2904450951553
81,-1635.4285837809246
82,-1157.0366792224702
83,-1003.3973352768842
84,-718.2296594238281
85,-698.1417491824128
86,-59.33258492606027
87,-422.24954617408014
88,206.27240511266197
89,-23.33561845259233
90,-1196.3761166431864
91,-10950.831873739919
92,-10987.979070490057
93,-9582.368959780093
94,-10839.81925048828
95,-11072.26494891827
96,-11220.206998697917
97,-9907.09726969401
98,-9194.904296875
99,-10659.998841540648
100,-11917.801607998934
101,-11131.834386025706
102,-5154.2314453125
103,-11839.808201524078
104,-10662.346634476273
105,-11266.319263599536
106,-11463.670059204102
107,-11673.456133868243
108,-12101.986314808239
109,-12101.838233741553
110,-12300.087905273438
111,-11144.624745244566
112,-12227.199788411459
113,-11894.543348524305
114,-11520.014234459919
115,-12355.732629654256
116,-12418.17227450284
117,-13238.83457388529
118,-12735.966382575758
119,-11997.294719416921
120,-14515.714613970587
121,-12514.17446899414
122,-13247.348894391742
123,-12733.546571928879
124,-13166.047180175781
125,-12428.376556396484
126,-13798.834749348958
127,-13838.01042600538
128,-16961.998046875
129,-16317.464111328125
130,-15014.843212890624
131,-15615.70297436004
132,-17113.888093171296
133,-16839.132664535984
134,-16967.992897727272
135,-16736.56748046875
136,-17141.242797851562
137,-15981.083200555098
138,-17116.19751880787
139,-16325.652622767857
140,-16325.765805844907
141,-18293.798884465145
142,-18425.81640625
143,-17405.319921875
144,-17071.74782986111
145,-16191.521674262152
146,-17593.682552083334
147,-18215.731971153848
148,-17436.472759046053
149,-18622.136276971727
150,-18599.779318576388
151,-20586.427734375
152,-19118.903289794922
153,-19232.079022381757
154,-19977.715485491073
155,-18659.804111578527
156,-18780.619588216145
157,-20033.78076171875
158,-19577.976768092107
159,-21647.676866319445
160,-18571.443969726562
161,-19713.569140625
162,-18853.609063331118
163,-19890.11183826959
164,-21892.78443170363
165,-20706.266130118536
166,-21428.44724527995
167,-19632.181568287036
168,-20572.069759114584
169,-21269.991570723683
170,-20258.361328125
171,-21390.0002043968
172,-22343.07446986607
173,-23046.987630208332
174,-22622.55732421875
175,-23187.77783203125
176,-21563.13224712171
177,-22064.865591653965
178,-21809.4181640625
179,-22989.431257918073
180,-23746.82544642857
181,-23237.246843204943
182,-22400.716691300677
183,-24343.039659288195
184,-23527.01220703125
185,-23746.2326171875
186,-24068.565303679436
187,-24473.009765625
188,-22791.388244628906
189,-24305.606380208334
190,-25947.02640625
191,-24055.958257630813
192,-26383.561563297193
193,-26845.639144405242
194,-27555.491153492647
195,-29167.062245244564
196,-28010.947784423828
197,-29042.965057791094
198,-30260.61464293574
199,-30598.808779761905
200,-33064.153492647056
201,-30447.314908854165
202,-31713.519401041667
203,-31692.412760416668
204,-31838.432049418603
205,-31208.057270665322
206,-31120.782516891893
207,-32797.46451322115
208,-33357.330992879746
209,-33608.43178013393
210,-34616.619989809784
211,-36147.339375
212,-29644.7421875
213,-36314.82216282895
214,-33718.03989109849
215,-36668.263716264206
216,-36396.070963541664
217,-36125.08873521959
218,-36998.82728794643
219,-39491.699744591344
220,-37110.39098668982
221,-36735.27261117788
222,-38307.39114900915
223,-37901.60916940789
224,-39998.20627170139
225,-38208.66008890086
226,-39783.12627180233
227,-40506.39662388393
228,-39634.583359375
229,-37909.586115056816
230,-39833.045803931454
231,-39827.24003575212
232,-40125.84202665441
233,-40632.063802083336
234,-43073.977156929344
235,-41984.48779296875
236,-39474.3935546875
237,-40634.21688565341
238,-40930.77156355574
239,-43340.46390086207
240,-43950.64350043403
241,-43410.109095982145
242,-39443.694140625
243,-44841.848916330644
244,-44438.580674913195
245,-44775.38044674296
246,-43388.492751736114
247,-45543.88923891129
248,-42700.89501953125
249,-47796.62880345395
250,-46270.11587126359
251,-47809.717035060974
252,-48540.45096628289
253,-48858.93470982143
254,-49602.71712853773
255,-52394.88245738636
256,-48782.849137931036
257,-49005.09590517241
258,-50340.46875
259,-50517.2734375
260,-47920.10904017857
261,-48054.13875679348
262,-49385.7896412037
263,-54528.97265625
264,-49057.845052083336
265,-52303.9296875
266,-50750.51799665178
267,-48676.55112591912
268,-52214.81063179348
269,-51388.981689453125
270,-52303.21175986842
271,-50089.88628472222
272,-53353.626085069445
273,-51214.204129464284
274,-52009.59784679878
275,-52717.10087316176
276,-53284.07366071428
277,-54481.5033203125
278,-54013.91052827381
279,-56216.75502232143
280,-59006.466145833336
281,-56347.03335336538
282,-59086.767578125
283,-60360.197265625
284,-58617.98705357143
285,-60903.14119944853
286,-59297.360139266304
287,-60658.20784293831
288,-60046.234825721156
289,-52098.88671875
290,-60743.56732536765
291,-62107.99408783784
292,-62411.07630208333
293,-61777.365975215514
294,-64151.94746767241
295,-64599.85797991072
296,-66139.96034307065
297,-65025.78177966102
298,-65892.081640625
299,-62462.69460227273
300,-70583.01546875
301,-66378.09552556818
302,-64758.784288194445
303,-66948.11971028645
304,-66754.07703993056
305,-67689.98083496094
306,-69135.937109375
307,-69350.51689453125
308,-68627.97898065476
309,-68369.7470407197
310,-69753.96384079392
311,-72172.20470412234
312,-74003.02804129464
313,-73745.99983016304
314,-77197.81705729167
315,-77146.87177309782
316,-75967.24145507812
317,-75810.4289504717
318,-78740.65761264534
319,-77540.55130709134
320,-76542.05606617648
321,-77241.77722167969
322,-80188.44549278847
323,-78931.39713541667
324,-80258.73285590278
325,-82584.55394071691
326,-83023.64876302083
327,-85743.66471354167
328,-86819.415625
329,-83869.06875
330,-87537.28727213542
