,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,17.781928437550864
20,16.363404830296833
21,15.97633249419076
22,17.020508251358976
23,17.49003570874532
24,16.957091522216796
25,17.680998379329466
26,17.982773052748815
27,17.395461667378743
28,17.47065335119556
29,18.3031211551867
30,17.92957803726196
31,17.525521001815797
32,17.009952125549315
33,17.117017472585044
34,17.24096676826477
35,17.2226190748094
36,18.04708543141683
37,18.225945123036702
38,18.692122077941896
39,18.957606388727825
40,18.86328974723816
41,19.082525008217583
42,19.554209739931167
43,19.875177504221597
44,19.932446870803833
45,19.38981876373291
46,19.572357942769816
47,20.177518726217336
48,20.349815572102866
49,20.24500010808309
50,20.618809086935862
51,20.87228682200114
52,21.06911642710368
53,20.842881469726564
54,20.88646649678548
55,21.122022438049317
56,21.26317179997762
57,21.070698960622153
58,21.08134019215902
59,21.10203785682792
60,21.26193656274828
61,21.469009132385253
62,21.414233067830402
63,21.185470150825672
64,20.985621472479593
65,21.047273349314228
66,20.642535161972045
67,20.920430949529013
68,20.614278246561685
69,20.609448528289796
70,20.098940353393555
71,20.36727678208124
72,19.434333152770996
73,18.8780599925829
74,19.301650628686588
75,19.138878939946494
76,18.867542339960735
77,18.558191318511962
78,18.381087109247844
79,18.698441222508748
80,18.438946342468263
81,18.386612741116483
82,19.55791723538959
83,19.587805042266847
84,19.393138615771978
85,19.807386066602625
86,20.047805315653484
87,20.078763001759846
88,19.946472888684454
89,20.169234959284463
90,20.043649492263793
91,19.460256074269612
92,19.58404001235962
93,19.997160327049993
94,20.18530687805294
95,20.44570538520813
96,20.41245436668396
97,20.085760974884032
98,20.452902711232504
99,20.160554311133378
100,19.82912240308874
101,20.120671154657998
102,19.914842799504598
103,19.16089598655701
104,19.163658768335978
105,19.717309842006767
106,20.050009536743165
107,19.63034452120463
108,19.707874325539567
109,19.66549827893575
110,19.557087904612224
111,19.072003138860065
112,18.818365172734335
113,18.973537256737718
114,19.383344237009684
115,19.954577349544913
116,19.774861907958986
117,19.746749499638874
118,19.326187823613484
119,19.744676891962687
120,20.314432474283073
121,20.470577042897542
122,20.310151437123615
123,20.033882948931527
124,20.039454887516765
125,20.28233348733128
126,20.341100282669068
127,20.29375656776958
128,20.514119628270468
129,20.65880129178365
130,20.727596495946248
131,20.739715226491292
132,20.921832049886387
133,21.2903793185365
134,21.02742433230082
135,21.8397642326355
136,20.8652395401001
137,21.46789428515312
138,21.51258996963501
139,21.77980642636617
140,21.43455707325655
141,22.121721159737064
142,22.376612122853597
143,21.95497598250707
144,22.471154847578568
145,24.01500350258567
146,23.701964753468832
147,23.811792062123615
148,22.964836107889813
149,22.76834866593524
150,22.98852907816569
151,22.618632481892902
152,21.461732495625814
153,21.36156998702458
154,21.54063946723938
155,21.280442215147474
156,21.2190718237559
157,21.16853290134006
158,21.001691193230407
159,20.82343192100525
160,20.811290213267007
161,20.798300530115764
162,21.4080810101827
163,21.133121287027993
164,20.67404163678487
165,20.309372148513795
166,20.97215340316033
167,21.12800024615394
168,21.233416690826417
169,21.132038071950277
170,21.53425315221151
171,22.264763247172038
172,22.414717566172282
173,22.17977133433024
174,22.616723070144655
175,22.89956953684489
176,23.58297209836999
177,23.799707209269204
178,23.03644039447491
179,22.9218216641744
180,22.662818609873455
181,22.976275815802104
182,23.60930934754929
183,24.498989232381184
184,24.222308851877848
185,23.91126138051351
186,23.82203851699829
187,23.830051529575403
188,24.067892990112306
189,24.17953448613485
190,23.177767575581868
191,24.15589362335205
192,23.777762565612793
193,23.59253012339274
194,23.519484539031982
195,24.000142634709675
196,23.597628679275513
197,23.537973079681397
198,24.51123935699463
199,23.989017785390217
200,24.536291987101237
201,24.517914879770956
202,24.14420276006063
203,24.041044898655105
204,23.809512532552084
205,23.442416791915893
206,23.063152414284005
207,24.04067911090273
208,24.16009110042027
209,24.855673114905198
210,24.80488337555977
211,24.68910808705572
212,25.495157595338494
213,25.863289942160744
214,25.397693179902575
215,25.390169067382814
216,25.249640827178954
217,25.447612785998686
218,24.396711457570394
219,24.64162733496689
220,24.695332839571197
221,25.853126291368827
222,25.859213227909322
223,26.852243229962777
224,26.90743261395079
225,27.07993050257365
226,26.76449063618978
227,27.46890466109566
228,26.25463998158773
229,25.717075697580974
230,24.761579208374023
231,24.4669948164622
232,23.880280387692334
233,25.78915155850924
234,25.806874352532464
235,25.913243834177653
236,25.23362019220988
237,25.174320101322614
238,25.005092652638755
239,24.442680422465006
240,24.941361349982184
241,25.11332862218221
242,25.373826831689996
243,25.20380495707194
244,25.05740984362835
245,25.209291051228842
246,25.576584978970615
247,25.80763588587443
248,26.341115068506312
249,26.34816128867013
250,27.140981567572364
251,27.469339334281386
252,28.01698980331421
253,27.496675206469252
254,27.677176074981688
255,27.368410631815593
256,27.23197914759318
257,28.37534656524658
258,27.457537682851157
259,27.055028508504233
260,27.24265822728475
261,27.728057181040445
262,28.59158966700236
263,28.357834033966064
264,28.776323649508893
265,30.166604343970217
266,30.639679851531984
267,30.749416837886887
268,30.492603448232014
269,30.82836994625601
270,31.568558190663655
271,30.600777397155763
272,30.234859809875488
273,29.70262507120768
274,29.69623929977417
275,31.032290185292563
276,32.01689482323917
277,30.93558655420939
278,31.833466917412466
279,32.43486475626628
280,32.06168909072876
281,32.309973928141474
282,32.04892488479614
283,31.636642061869303
284,30.783158219618603
285,31.990136421643772
286,31.686761315663656
287,31.761747665405274
288,31.948582503000896
289,33.11988823572795
290,32.168873119354245
291,32.02718702952067
292,33.37051486333211
293,34.000791702270504
294,34.10906170075198
295,35.599173058212074
296,36.52097034080356
297,37.35454693476359
298,35.639193271768505
299,37.21586104801723
300,36.88215110837951
301,36.10845879236857
302,36.62346626917521
303,36.645442447662354
304,36.63210906982422
305,38.66851603825887
306,39.28274208068848
307,40.72592174530029
308,39.29952501696209
309,41.927875226338706
310,44.479515883127846
311,43.358340428670246
312,44.78823342005412
313,43.50592514038086
314,43.59365152359009
315,44.83502674738566
316,43.39217291937934
317,46.31707022984823
318,48.54099368023616
319,48.98211487201082
320,49.62564846700873
321,52.45845789591471
322,53.22324166474519
323,54.18196566899618
324,54.24863879521688
325,52.62937147776286
326,54.83891726175944
327,57.032493874378005
328,53.96030666351319
329,54.729387763087736
330,55.22529652714729
331,59.959300689697265
332,60.123274874096076
333,58.67160432815552
334,57.279710591634114
335,57.35896975034243
336,59.565730794270834
337,59.70505304205908
338,61.01921668419471
339,62.273011910287956
340,61.23286252641408
341,62.57245853969029
342,62.59238363901774
343,64.20040906270346
344,65.24017546727107
345,63.99837439400809
346,65.86083090483253
347,68.25186729431152
348,67.40873419443766
349,68.80367332458496
350,66.43277464241817
